證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 存入保證金增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款減少,　　 存入保證金減少,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　 不影響現金流量之收益費損項目,　　　　 股利收入,　　　　 不影響現金流量之收益費損項目合計,　　 收取之股利,　　 其他籌資活動,　　　　　 其他營業資產（增加）減少,　　 其他非流動資產減少
1537,2015年01月01日至2015年09月30日,,                777492,                777492,,,                121319,                  3757,                 -5588,                  3521,                 -4300,                    385,                  6139,                125233,,,                 23522,                  5867,                -75287,                171647,                -32754,                -22654,                 70341,,                 23317,                 40513,                 -2296,                 -4294,                -10463,                    285,                 47062,                117403,                242636,              1020128,                  4516,                 -3470,               -203762,                817412,,               -178919,                    932,                  1482,               -176505,,                 21834,                     -7,               -530305,                              0,               -508478,                 28159,                160588,                489665,                650253,                650253,,,,,,,,,,
1537,2015年01月01日至2015年06月30日,,                440252,                440252,,,                 81115,                  2473,                 -5503,                  2443,                 -3300,                    942,                 -8209,                 69961,,,                -16364,                 -1444,                -30942,                125170,                  1054,                    108,                 77582,,                 -2572,                 40415,                -24703,                 -3178,                 -5837,                    189,                  4314,                 81896,                151857,                592109,                  3514,                 -2377,               -120621,                472625,,                -99285,                    145,                  1371,                -97769,,,,,                              0,               -106369,                 -3915,                264572,                489665,                754237,                754237,               -106362,                     -7,,,,,,,,
1537,2015年01月01日至2015年03月31日,,                210078,                210078,,,                 39505,                  1234,                 -5503,                  1387,                 -1233,                    953,                 -1684,                 34659,,,                -16726,                  8088,                 46946,                157033,                -16369,                 22888,                201860,,                 -1525,                 15497,                -43955,                   -113,                 -6890,                     91,                -36895,                164965,                199624,                409702,                  1360,                 -1446,                -12903,                396713,,                -54562,                    149,                 -2981,                -57394,,                 16150,                              0,                              0,                              0,                 16150,                 -6525,                348944,                489665,                838609,                838609,,,                              0,,,,,,,
1537,2014年度,,                897683,                897683,,,                139122,                  4946,                 11234,                  6629,                 -3654,                    262,                 -4538,,,,                -17954,                 -1061,               -111629,               -139603,                  5092,                 -5182,               -270337,,                 -4566,               -109659,                 29043,                   -114,                  7865,                    799,                -76632,               -346969,               -194940,                702743,                  3475,                 -6760,               -147679,                554411,,               -160536,                  1946,                  2726,               -155864,,                -92060,                              0,               -448720,                 -7922,               -548702,                 14442,               -135713,                625378,                489665,                489665,,,                    660,,                 -2632,                152029,                  2632,,,
1537,2014年01月01日至2014年09月30日,,                652134,                652134,,,                106900,                  3743,                  5222,                  4802,                 -2336,                    260,                 -4426,                114165,,,                -15512,                 10271,                -80727,               -169279,                    499,                  6641,               -248107,,                 -2791,               -142528,                 12521,                    451,                 13017,                  1169,               -118161,               -366268,               -252103,                400031,                  2257,                 -4794,               -132351,                265143,,               -156462,                  1121,                   -840,               -156181,,                109201,                              0,               -448719,                 -7922,               -347440,                 44840,               -193638,                625378,                431740,                431740,,,,,,,,,,
1537,2014年01月01日至2014年06月30日,,                413104,                413104,,,                 69137,                  2522,                  5127,                  3042,                 -1565,                   -236,                 -2010,                 76017,,,                -16998,                   -317,                -40502,                -55110,                -41282,                  8403,               -145806,,                   -196,               -136256,                -16126,                 -1491,                  2756,                  1414,               -149899,               -295705,               -219688,                193416,                  1555,                 -2982,                -70992,                120997,,                -76826,                  1012,                  1748,                -74066,,,,,                 -7922,                 50758,                  6281,                103970,                625378,                729348,                729348,                 58937,                   -257,,,,,,,,
1537,2014年01月01日至2014年03月31日,,                195173,                195173,,,                 33310,                  1284,                  4287,                  1435,                   -851,                   -162,                 -2776,                 35900,,,                -10378,                 -1769,                 27685,                 -5338,                 14577,                 10731,                 35508,,                 -8281,               -148443,                -18424,                   -770,                 16553,                 -1689,               -161054,               -125546,                -89646,                105527,                    848,                 -1483,                -13129,                 91763,,                -32477,                  1612,                -10958,                -41823,,                -50003,                    231,                              0,                 -7922,                -57694,                 24196,                 16442,                625378,                641820,                641820,,,                   -627,,,,,,,
1537,2013年度,,                752663,                752663,,,                132443,                  5598,                              0,                  7370,                 -3804,                 -1532,                 -3022,,,,                 -3275,                 12109,                 76605,                 40740,                 -7950,                 -3668,                114561,,                  4777,                -34551,                 15606,                 -2720,                 -8804,                   -822,                -26514,                 88047,                226296,                978959,                  3785,                 -7222,               -148256,                827888,,               -161469,                  6285,                -18763,               -173947,,                 97380,                    150,               -367135,                              0,               -269605,                 15817,                400153,                225225,                625378,                625378,,,                  1818,,                   -622,                138249,                    622,,,
1537,2013年01月01日至2013年12月31日,,                752663,                752663,,,                132443,                  5598,,                  7370,                 -3804,                 -1532,                 -3022,,,,                    361,                 12109,                 76605,                 40740,                 -7950,                 -3668,                118197,,                  4777,                 -3443,                -15502,                 -2720,                 -8804,                   -822,                -26514,                 91683,                226918,                979581,                  3785,                 -7222,               -148256,                827888,,               -161469,                  6285,                -18763,               -173947,,                 97380,                    150,               -367135,,               -269605,                 15817,                400153,                225225,                625378,                625378,,,                 -1818,,,                135235,,,,
1537,2013年01月01日至2013年09月30日,,                573538,                573538,,,                 98967,                  4311,                              0,                  5731,                 -3247,                   -507,                 -4773,,,,                   -541,                 20399,                108012,                  4130,                 -9902,                  8674,                130772,,                 -5149,               -124158,                 -6128,                 -3303,                -25482,                 -2537,               -166757,                -35985,                 63680,                637218,                  3279,                 -6950,               -110420,                523127,,               -104762,                  2150,                 -3527,               -106139,,                272255,                    150,               -367135,                              0,                -94730,                -19188,                303070,                225225,                528295,                528295,,,                   -817,,,                 99665,,,,
