證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 其他項目,　　 採用權益法之被投資公司減資退回股款,　　 發放現金股利,　　 庫藏股票處分,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　 庫藏股票買回成本,　　　　 非金融資產減損損失,　　 處分採用權益法之投資
1441,2015年01月01日至2015年09月30日,,                -62782,                -62782,,,                 41417,                  2879,                     60,                  1509,                 25533,                   -190,                 -7719,                -19782,                      3,                   -290,                 -1989,                 41431,,,                 -5863,                  2587,                -14060,                  3266,                  9000,                 10795,                   -886,                  4839,,                 -3126,                  1071,                 17019,                -16767,                 -7442,                 -9245,                 -4406,                 37025,                -25757,                    190,                 32522,                -25818,                    -17,                -18880,,                 29910,                  5440,                -20797,                              0,                 -4500,                -19926,                 -9873,,                              0,                 -3583,                128000,                -84734,                 39683,                 12580,                 23510,                 93317,                116827,                116827,,,,,,,,,,,
1441,2015年01月01日至2015年06月30日,,                -45318,                -45318,,,                 27528,                  1869,                   -271,                  2307,                 16825,                   -143,                 -4851,                -10174,                      3,,                  5339,                 38432,,,                 -6524,                 -6690,                  6261,                -12585,                -70448,                 13014,                 -3892,                -80864,,                 -6801,                  5493,                 13955,                -16435,                 -5078,                 -8866,                -89730,                -51298,                -96616,                    143,                 29654,                -17058,                    -11,                -83888,,,                  4595,                -12639,                              0,,                 -3021,                -11065,,                 39512,,                 91954,,                131466,                 -5550,                 30963,                 93317,                124280,                124280,,,,,,,,,,,
1441,2015年01月01日至2015年03月31日,,                -34667,                -34667,,,                 13808,                    943,                    513,                   -124,                  8322,                    -58,                              0,                  3133,                      3,                              0,                  4467,                 31007,,,                  1134,                 -3176,                 -8156,                 -5732,                 -4949,                  8629,                     21,                -12229,,                  1172,                 31177,                  3122,                 -5663,                 -2569,                 27239,                 15010,                 46017,                 11350,                     58,                              0,                 -8381,                     -1,                  3026,,,,                 -9456,                              0,,                 -1264,                -10720,,                129954,,                              0,,                129954,                 -2431,                119829,                 93317,                213146,                213146,                              0,                              0,                              0,                              0,,,,,,,
1441,2014年度,,               -195915,               -195915,,,                 40874,                  1299,                 16194,                  2919,                 28329,                   -392,                 -7457,                -39878,                   -324,,                 -5549,,,,                              0,                  8629,                -42785,                 20627,                -67502,                -12146,                  1691,                -91486,,                 13385,                  7166,                -13052,                 20697,                -10430,                 17766,                -73720,                -35466,               -231381,                    392,                 25171,                -27865,                    -17,               -233700,,,                  2896,               -249045,                    333,                 -8358,                 -4270,               -258444,,                206768,,                189919,,                396687,                  1322,                -94135,                187452,                 93317,                 93317,                              0,                              0,                              0,,,                  2239,                              0,                 38254,                              0,,
1441,2014年01月01日至2014年09月30日,,               -108667,               -108667,,,                 26227,                     36,                    566,                  4582,                 20417,                   -292,                 -7457,                -31622,                   -324,                              0,                 -3187,                  8946,,,                              0,                  3650,                 -4648,                 16619,                -83742,                -26266,                  1504,                -92883,,                  5686,                  6502,                 -5664,                 21317,                 -7739,                 20102,                -72781,                -63835,               -172502,                    292,                 25171,                -19905,                    -12,               -166956,,                              0,                  2896,               -242174,                    333,                              0,                 -6696,               -245641,,                137725,                              0,                243655,                              0,                381380,                  2750,                -28467,                187452,                158985,                158985,,,,,,,,,,,
1441,2014年01月01日至2014年06月30日,,                -47473,                -47473,,,                 13232,                     24,                     79,                  1960,                 13297,                   -234,                 -4966,                -23470,                   -324,,                 -3187,                 -3589,,,                              0,                 -2120,                 30524,                 15134,               -179315,                 -7231,                  1621,               -141387,,                  8600,                -12935,                 -8653,                 11694,                 -5124,                 -6418,               -147805,               -151394,               -198867,                    234,                 22680,                -12860,                    -12,               -188825,,,                              0,               -211121,                    333,,                 -3469,               -214257,,                 90345,,                241839,,                332184,                  5364,                -65534,                187452,                121918,                121918,,,,,,,,,,,
1441,2014年01月01日至2014年03月31日,,                -16054,                -16054,,,                  4391,                     12,                              0,                  2229,                  6163,                    -93,                              0,                 -9107,                   -324,                              0,                 -5506,                 -2235,,,                              0,                 -5665,                 28405,                -10561,                -11572,                    -25,                   -950,                   -368,,                  9671,                -10964,                -15257,                  2852,                 -2602,                -16300,                -16668,                -18903,                -34957,                     93,                              0,                 -5945,                     -5,                -40814,,,,               -166911,                    333,,                -16476,               -183054,,                139330,,                 52500,,                191830,                  3215,                -28823,                187452,                158629,                158629,                              0,                              0,                              0,                              0,,,,,,,
1441,2013年度,,                -12286,                -12286,,,                 19070,                  4435,                 11106,                 -1155,                 16771,                   -418,                 -7150,                -30111,                   -522,,                    704,,,,                  3639,                 45812,                 -7443,                -16380,                -94113,                 12389,                  6877,                -49219,,                 -8727,                -10136,                 23937,                 -5857,                -10062,                -10845,                -60064,                -64203,                -76489,                    588,                 24460,                -17072,                 -1446,                -69959,,,                 14565,               -272377,                    683,                              0,               -157087,               -361017,,                 68270,,                380000,,                439466,                 -1347,                  7143,                180309,                187452,                187452,                -13263,                 53199,                 -8804,,,                              0,                 -3606,                 -4139,                              0,,
1441,2013年01月01日至2013年12月31日,,                -12286,                -12286,,,                 19070,                  4435,                 11106,                 -1155,                 16771,                   -418,                 -7150,                -30111,                   -522,                              0,                    704,,,,                  3639,                 45812,                 -7443,                -16380,                -94113,                 12389,                  6877,                -49219,,                 -8727,                -10136,                 23937,                 -5857,                -10062,                -10845,                -60064,                -64203,                -76489,                    588,                 24460,                -17072,                 -1446,                -69959,,,                 14565,               -272377,                    683,                              0,               -157087,               -361017,,                 68270,                              0,                380000,                              0,                439466,                 -1347,                  7143,                180309,                187452,                187452,                -13263,                 53199,                 -8804,,,,                 -3606,                 -4139,                              0,                              0,                              0
1441,2013年01月01日至2013年09月30日,,                -11307,                -11307,,,                 14483,                  4399,                  2346,                 -1685,                 12450,                   -329,                 -7150,                -14197,                   -531,                              0,                  1380,,,,                    642,                 37686,                 13033,                 -1727,                -62582,                   -343,                  7161,                 -6130,,                  7097,                -22555,                 30746,                 -2341,                 -7357,                  5590,                   -540,                 -2637,                -13944,                    453,                 22231,                -11768,                 -1436,                 -4464,,,                 14565,                -54176,                    691,,               -147815,               -133536,,                              0,               -153492,                280000,,                117704,                 -3341,                -23637,                180309,                156672,                156672,                -13263,                 53199,                 -8804,,,,,                 -2097,                              0,,
