證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 取得投資性不動產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還公司債,　　 存入保證金增加,　　 發放現金股利,　　 員工購買庫藏股,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　 存出保證金減少,　　 其他非流動資產減少,　　 短期借款減少,　　　　 處分無形資產損失（利益）,　　 處分採用權益法之投資,　　 其他應收款減少,　　 處分無形資產,　　 存入保證金減少,　　 其他應收款－關係人減少,　　　　　 應收帳款－關係人（增加）減少
3027,2014年度,,                 58211,                 58211,,,                 37324,                    321,                  7657,                -10307,                   -226,                  1366,                     -9,                    603,                 -2553,                    501,                 28676,                              0,                 63353,,,                -18626,                   -775,                 19855,                    -90,                 -5816,                   -450,                 -5902,,                   -112,                 -3626,                -42919,                  9381,                   -395,                    625,                -37046,                -42948,                 20405,                 78616,                 10151,                 -7345,                -18567,                 62855,,                              0,                              0,                              0,                              0,                -11635,                     24,                   -510,                              0,                 -2726,                              0,                   -170,                    226,                -14791,,                 56310,                              0,                    120,                -14007,                  1974,                 44397,                  5996,                 98457,                499765,                598222,                598222,,,,,,,,,,,
3027,2014年01月01日至2014年09月30日,,                 65796,                 65796,,,                 27780,                    337,                  5714,                 -6628,,                  1366,                   -118,                    479,                 -1451,,                  9120,                              0,                 36599,,,                 -4266,                   -996,                  2357,                102592,                 -8632,                -16150,                 74905,,                   -112,                 -5289,                -18361,                 -4422,                  1801,                    457,                -25926,                 48979,                 85578,                151374,                  6633,                 -5335,                 -7192,                145480,,                              0,                              0,                              0,,                 -9997,                              0,                   -143,,                              0,                  3490,,,                 -5394,,                              0,                              0,                    113,                -14007,                  1974,                -54890,                  3420,                 88616,                499765,                588381,                588381,                    -55,                     15,                  1296,                -42970,,,,,,,
3027,2014年01月01日至2014年06月30日,,                 25977,                 25977,,,                 18548,                    232,                  2722,                 -4411,,                  1366,                    -66,                     60,                 -1246,,                -14998,                              0,                  2207,,,                 -9890,                   -190,                  9890,                -38335,                -13553,                  5573,                -46505,,                   -112,                  5688,                -22339,                  9306,                -10455,                    304,                -17608,                -64113,                -61906,                -35929,                  4416,                 -3130,                 -6264,                -40907,,                              0,                              0,                              0,,                 -2254,                              0,,,                              0,                  3154,                              0,,                  2787,,                 25251,                              0,                    113,,                  1974,                 27338,                 -3949,                -14731,                499765,                485034,                485034,                    -10,                     15,                  1882,,,,,,,,
3027,2014年01月01日至2014年03月31日,,                 14163,                 14163,,,                  9341,                     95,                  1148,                 -1931,,                  1157,                      1,                     60,                   -459,,                  6514,                              0,                 15926,,,                 -2393,                   -475,                 36357,                 68418,                 -7774,                 -2050,                 92083,,                    -93,                  1341,                -31312,                -14513,                 -4542,                    150,                -48969,                 43114,                 59040,                 73203,                  1931,                 -1556,                 -4364,                 69214,,,,,,                 -1555,                              0,,,                              0,                  3154,,,                  2214,,                              0,                              0,                              0,,                  1571,                 -9166,                   -318,                 61944,                499765,                561709,                561709,                              0,                     15,                    600,                -10737,,,,,,,
3027,2013年度,,                 55360,                 55360,,,                 38448,                    451,                  4091,                 -9191,                              0,                 11249,                   -171,                -46617,                 -1238,                    666,                  6315,                    264,                  4267,,,                 17332,                  1977,                -70377,               -458629,                 97346,                   -817,               -413168,,                   -363,                  3592,                 39230,                -14668,                -12247,                    710,                 16254,               -396914,               -392647,               -337287,                  9324,                 -3706,                 -5631,               -337300,,                  4903,                 -2328,                  1553,                 -6000,                 -7118,                 94543,                              0,               -108238,                              0,                    955,                   -556,                              0,                -22286,,                342563,                 -6500,                    626,                -13642,                 29078,                352125,                  9901,                  2440,                497325,                499765,                499765,,,,,,,,,,,
3027,2013年01月01日至2013年12月31日,,                 55360,                 55360,,,                 38448,                    451,                  4091,                 -9191,,                 11249,                   -171,                -46617,                 -1238,                    666,                  6315,                    264,                  4267,,,                 17332,                  1977,                -70377,               -458629,                 97346,                   -817,               -413168,,                   -363,                  3592,                 39230,                -14668,                -12247,                    710,                 16254,               -396914,               -392647,               -337287,                  9324,                 -3706,                 -5631,               -337300,,                  4903,                 -2328,                  1553,                 -6000,                 -7118,                 94543,                              0,               -108238,,                    955,                   -556,,                -22286,,                342563,                 -6500,                    626,                -13642,                 29078,                352125,                  9901,                  2440,                497325,                499765,                499765,,,                              0,,                              0,                              0,                              0,                              0,                              0,,
3027,2013年01月01日至2013年09月30日,,                 53303,                 53303,,,                 29150,                    353,                  2498,                 -5815,,                    724,                              0,                -41195,                   -616,,                  4582,                    264,                -10055,,,                 17336,                  1093,                -36272,               -423646,                  7418,                -37642,               -471713,,                   -311,                 10096,                 35332,                -20733,                -19531,                    518,                  5371,               -466342,               -476397,               -423094,                  5953,                 -2521,                 -3624,               -423286,,                  4903,                 -6000,                  1553,,                 -1539,                 27179,                              0,,                -29696,                              0,,,                 -2890,,                342894,                 -6500,                      9,                -13642,                  4437,                327198,                  7563,                -91415,                497325,                405910,                405910,                              0,                    327,                    383,                              0,,,,,,,
3027,2013年01月01日至2013年06月30日,,                  3090,                  3090,,,                 19968,                    248,                    903,                 -2994,,                    711,                              0,                     -2,                   -625,,                  8984,                    264,                 27457,,,                 21026,                 -1159,                  7454,               -513481,                 98205,                 -2562,               -390517,,                  1364,                 -2507,                  2064,                 -3018,                -25043,                    330,                -26810,               -417327,               -389870,               -386780,                  3132,                   -926,                 -3570,               -388144,,                  3486,                 -6000,                  1352,,                 -1592,                     22,,,               -159010,                              0,                   -145,,               -161902,,                410978,                 -6500,                     11,,                  4367,                408856,                  7442,               -133748,                497325,                363577,                363577,                    -15,                              0,                              0,,,,,,,,
3027,2013年01月01日至2013年03月31日,,                 11460,                 11460,,,                 10212,                    435,                    389,                   -957,,                    711,                              0,                     -2,                   -614,,                  3560,                    264,                 13998,,,                  2988,                  1319,                 -4484,                   -834,               -167676,                 -3097,               -171784,,                   -380,                 -7503,                -12347,                    252,                -19465,                    127,                -39316,               -211100,               -197102,               -185642,                  1095,                   -412,                 -1812,               -186771,,,,,,                 -1281,                     22,,,               -206269,                              0,,,               -207210,,                178811,                 -6500,                      8,,                  4367,                176686,                  7956,               -209339,                497325,                287986,                287986,                    -12,                              0,                    330,                              0,,,,,,,
3027,2012年01月01日至2012年12月31日,,                 49792,                 49792,,,                 40924,                    881,                  2499,                 -7633,,                    459,                    369,                -64500,                 -6912,                  2177,                -10580,                  9408,                -33041,,,                 39831,                    189,                 51130,                -12599,                -70947,                 -8822,                 -1218,,                  2418,                 -1623,                -89833,                -23297,                 11642,                    117,               -100576,               -101794,               -134835,                -85043,                  7633,                    -43,                -11184,                -88637,,                     15,                              0,                  1759,                              0,                -13332,                 83719,                   -667,                              0,,                 77645,                              0,,                160451,,                 58046,               -230647,                              0,                -27154,                  5676,               -195510,                -10569,               -134265,                631590,                497325,                497325,,,                  6829,,                   -133,                  1496,                  2728,                    259,                 -1431,,
