證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 償還長期借款,　　 存入保證金增加,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 停業單位稅前淨利（淨損）,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應收票據（增加）減少,　　 取得無活絡市場之債券投資,　　 償還公司債,　　 舉借長期借款,　　　　　 持有供交易之金融資產（增加）減少,　　 存出保證金增加,　　 其他非流動資產增加,　　　　 買回應付公司債損失（利益）
3308,2015年01月01日至2015年09月30日,,                 24404,                 24404,,,                 35892,                     49,                  1027,                 -1653,                 14023,                -14572,                      3,                 16956,                 -5266,                    853,                 47312,,,                 48949,                    697,                 98980,                  4298,                   -128,                152796,,                    -28,               -108909,                 -3580,                  4041,               -108476,                 44320,                 91632,                116036,                 15790,                -13532,                 -4660,,,                113634,                113634,,                -36701,               -132701,                347155,                 -9260,                              0,                    -14,                    -97,                168382,,              1395435,             -1362490,                699526,               -699538,                -40931,                     47,                 -3627,                -11578,                 21012,                291450,                966355,              1257805,              1257805,,,,,,,,,,,
3308,2015年01月01日至2015年06月30日,,                 -8416,                 -8416,,,                 24234,                     30,                  1019,                   -176,                  9282,                -11369,                      3,                  5394,                    224,                    567,                 29208,,,                 33236,                     24,                126146,                  4794,                   -111,                164089,,                    -28,               -194963,                  1457,                    656,               -192878,                -28789,                    419,                 -7997,                 11592,                 -9114,                 -2830,,,                 -8349,                 -8349,,                -36701,                -99694,                244595,                 -6041,                              0,                     22,                    -97,                102084,,                922560,               -891700,                420306,               -420284,                -28799,                     -4,,                  2079,                  1394,                 97208,                966355,              1063563,              1063563,                              0,,,,,,,,,,
3308,2014年度,,                -16733,                -16733,,,                 59681,                    118,                   -463,,                 18820,                -21382,                  3543,                 21491,                 -3867,                  1115,,,,                 51694,                  1446,                 33330,                  2920,                   -203,                 89187,,                     28,               -160919,                -41345,                    232,               -202004,               -112817,                -33761,                -50494,                 19783,                -18499,                -10857,,,,                -60067,,,,,                -32711,                  1732,                    -33,                              0,               -322655,,              2206340,             -2073735,                 69975,,               -181786,                      5,,                 20799,                 17634,               -344289,              1310644,                966355,                966355,                              0,,                 79056,                              0,               -291643,                              0,                              0,,,,
3308,2014年01月01日至2014年09月30日,,                -72068,                -72068,,,                 42772,                    104,                    726,                              0,                 14186,                -15782,                  3476,                  2745,                 -3032,                    831,                 46026,,,                 12517,                   -105,                 13363,                  5918,                   -151,                 31542,,                              0,                -57125,                -42504,                  1691,                -97938,                -66396,                -20370,                -92438,                 13600,                -14269,                 -4864,,,                -97971,                -97971,,                              0,                              0,                              0,                -37744,                  1623,                              0,                              0,                -36121,,              1424360,             -1408735,                 70000,                              0,                -84586,                              0,                              0,                  1039,                 16815,               -116238,              1310644,              1194406,              1194406,,,,,,,,,,,
3308,2014年01月01日至2014年06月30日,,               -107585,               -107585,,,                 29388,                     90,                    362,                              0,                  9830,                -10212,                  3675,                  5237,                 -1690,                    555,                 37235,,,                -12776,                  1325,                 37086,                  4370,                   -101,                 29904,,                  4000,               -203672,                -36083,                  4588,               -231167,               -201263,               -164028,               -271613,                  8279,                 -9606,                 -2973,,,               -275913,               -275913,,                              0,                              0,                              0,                -28583,                    882,                 -3991,                              0,                -31692,,              1024360,               -978695,                 70000,                              0,                -57268,                     -4,,                 58393,                 16737,               -232475,              1310644,              1078169,              1078169,                              0,,,,,,,,,,
3308,2014年01月01日至2014年03月31日,,                -66725,                -66725,,,                 15978,                     45,                   -501,,                  4956,                 -5214,                    176,                  2969,                    425,                    282,,,,                208604,                 -5272,                  9865,                  1601,                    -51,                214747,,                  4000,               -250803,                -17726,                  2269,               -262260,                -47513,                -28397,                -95122,                  9303,                 -4922,                 11078,,,,                -79663,,,,,                -13843,,                 -4004,                              0,                -17847,,                479320,               -463695,,,                -28596,                     -1,,                -12972,                 14261,                -96221,              1310644,              1214423,              1214423,,,                 19116,                              0,,,,,,                              0,
3308,2013年度,,               -126422,               -126422,,,                 63199,                    185,                   -651,,                 18628,                -11796,                    429,                 42912,                 -4162,                  1356,,,,                -10366,                 -1565,                 25706,                  3761,                   -202,                 17437,,                     -6,                322608,                 44499,                  2648,                369749,                387186,                497286,                370864,                 13107,                -22589,                -54160,,,,                307222,,,,,                -31503,                    771,                  1057,                   -282,                -29957,,              1579835,             -1584925,                              0,,               -118329,                      8,,                -73411,                 -2859,                200995,              1109649,              1310644,              1310644,                              0,,                110100,                    103,                              0,                -35000,                 85000,,,,
3308,2013年01月01日至2013年12月31日,,               -126422,               -126422,,,                 63199,                    185,                   -651,                              0,                 18628,                -11796,                    429,                 42912,                 -4162,                  1356,,,,                -10366,                 -1565,                 25706,                  3761,                   -202,                 17437,,                     -6,                322608,                 44499,                  2648,                369749,                387186,                497286,                370864,                 13107,                -22589,                -54160,,,,                307222,,,,,                -31503,                    771,                  1057,                   -282,                -29957,,              1579835,             -1584925,,,               -118329,                      8,,                -73411,                 -2859,                200995,              1109649,              1310644,              1310644,,,                110100,                    103,,                -35000,                 85000,                              0,,,                              0
3308,2013年01月01日至2013年09月30日,,                -90604,                -90604,,,                 47807,                    136,                   -354,,                 13891,                 -8191,                    364,                 36277,                  2759,                  1082,,,,               -151349,                  3288,                 61342,                  2878,                   -151,                -85232,,                      5,                 99998,                 13770,                 11969,                125742,                 40510,                134281,                 43677,                  7925,                -17900,                -50211,,,,                -16509,,,,,                -15000,                    770,,                   -282,                -14627,,              1164835,             -1140000,                              0,,                -88979,                      5,,                -64139,                  1216,                -94059,              1109649,              1015590,              1015590,,,                 93771,                 -1240,,                -35000,                 35000,                              0,                   -115,,
3308,2013年01月01日至2013年06月30日,,                -43930,                -43930,,,                 30848,                     88,                    -24,,                  9468,                 -5723,                    455,                 29915,                 -3806,                    741,,,,                 68412,                  8995,                 72504,                 -1901,                   -101,                144599,,                    185,               -121224,                 -4506,                    673,               -124872,                 19727,                 81689,                 37759,                              0,                -12095,                -46391,,,,                -20727,,,,,                 -7629,                    120,                   -123,                   -282,                 -7914,,                689910,               -700000,                              0,,                -60520,                      7,,                -70603,                  5472,                -93772,              1109649,              1015877,              1015877,                              0,,                 61962,                 -3310,,,,,,,
