證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分其他資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產減少,　　 其他預付款項減少,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 呆帳費用提列（轉列收入）數,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 其他非流動資產增加,　　 其他籌資活動,　　 非控制權益變動,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　 短期借款減少,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 存出保證金減少,　　 其他預付款項增加
2449,2015年01月01日至2015年09月30日,,              2255192,              2255192,,,              3793062,                  8249,                118054,                -57897,                   -362,                  4411,                -43844,                -38024,                              0,                -35731,                   -188,                  9681,                 49481,              3806892,,,                 -3893,                316110,                -97108,                 14573,                 -6143,               -175726,                133266,               -105984,                 75095,,                  2970,                151252,                              0,                 76417,                  1370,                -31929,                200080,                275175,              4082067,              6337259,                 57451,               -392721,              6001989,,                -87077,                 79968,                              0,                 11118,                 -2179,             -5972134,                344504,                 -2699,                              0,                 12632,                              0,                 35769,                  1817,                  8762,             -5569519,,              6441779,             -4837763,                    128,             -2146146,               -604721,               -112214,             -1258937,                -33536,               -860003,              7418163,              6558160,              6558160,,,,,,,,,,,,
2449,2015年01月01日至2015年06月30日,,              1570848,              1570848,,,              2565353,                  5132,                 75936,                -39974,,                  4411,                -38222,                -42011,                              0,                -35731,                    -36,                  9681,               -230153,              2274386,,,                  1228,                249390,                -17136,                 55503,                 -1455,                -68157,                 99608,                -72244,                246737,,                 -1781,                185347,                              0,                 10201,                 19505,               -106326,                106946,                353683,              2628069,              4198917,                 39541,               -390181,              3848277,,                -88180,                 30036,,                              0,                 -2179,             -4510364,                304905,                 -2631,                              0,,                 10861,                 35769,                  1573,                  8400,             -4211810,,              2607931,             -2863410,,,                   -144,                -74029,               -329652,               -135209,               -828394,              7418163,              6589769,              6589769,,,,,,,,,,,,
2449,2015年01月01日至2015年03月31日,,                716028,                716028,,,              1222900,                  2190,                 40990,                -20136,,                  4540,                -25084,                -36915,                              0,,                    -39,,               -106445,              1082001,,,                  1246,                379318,                152175,                 -8850,                 12440,                -26174,                -50189,                -68459,                391507,,                 12685,                 84418,                              0,               -134751,                 -2490,                -18555,                -58693,                332814,              1414815,              2130843,                 20713,                 -4827,              2146729,,                -38407,                 30038,,,,             -1940778,                250714,                 -2675,,,                 12236,                     38,                    604,,             -1688230,,                936538,             -2187530,,,                              0,                -41388,             -1292380,                -33797,               -867678,              7418163,              6550485,              6550485,,,,,,,,,,,,
2449,2014年度,,              3119360,              3119360,,,              4420138,                  8753,                138847,                -88723,                   -432,                 19355,               -112548,                 -2482,                  1099,,                 -4245,                 87490,                145463,,,,                  2940,               -654560,                -58606,                -18524,              1482643,                -36798,               -201092,                -65794,                450209,,                 -2594,                 89906,,             -1186044,                  6145,                 32145,             -1065575,               -615366,              3997349,              7116709,                 93938,               -309164,              6901483,,               -114159,                116066,                -30301,                  8600,                              0,             -8427758,                173367,                    381,                   -238,                -31794,                              0,,                  3273,                  6757,             -8281890,,              5003763,             -3361888,                     90,             -1550175,                 -1311,               -125441,                -34962,                125100,             -1290269,              8708432,              7418163,              7418163,,                              0,              4612715,                 -5133,                 13916,                              0,,,,,,
2449,2014年01月01日至2014年09月30日,,              2406903,              2406903,,,              3226534,                  6310,                 98300,                -60396,                   -432,                 16707,                -92503,                   -708,                  1099,                              0,                 -4079,                 47000,                 35414,              3273246,,,                   -157,               -718969,                -84149,                -36603,              1466893,                -35131,               -241366,                -84861,                265657,,                  4103,                143071,                    154,             -1171319,                 -1813,                -64972,             -1090776,               -825119,              2448127,              4855030,                 67486,               -303558,              4618958,,                -98885,                 91800,                -30300,                  1600,                              0,             -6764664,                140680,                 -4023,                   -227,                              0,                -57231,                              0,                  1975,                  6757,             -6712518,,              4349734,             -2676232,                              0,             -1550175,                 -1311,                -89046,                 32970,                 19795,             -2040795,              8708432,              6667637,              6667637,,,,,,,,,,,,
2449,2014年01月01日至2014年06月30日,,              1439807,              1439807,,,              2106168,                  3833,                 67955,                -42730,,                 10865,                -62875,                  1858,                  1070,                              0,                 -2112,                 47000,                -19553,              2111479,,,                  1787,               -421499,                -68441,                 34441,                392432,                -29146,               -261088,                -37170,               -388684,,                 -1941,                213921,                     95,               -154775,                 27783,                -61090,                 23993,               -364691,              1746788,              3186595,                 48804,               -297589,              2937810,,                -98885,                 81592,,                  1600,                              0,             -4465875,                 74894,                 -4739,                   -223,,                -25715,                              0,                  1320,                  6325,             -4429706,,              1698932,             -1892807,,,                 -1311,                -62747,               -257933,                -16738,             -1766567,              8708432,              6941865,              6941865,,,,,,,,,,,,
2449,2014年01月01日至2014年03月31日,,                527640,                527640,,,              1057410,                  1784,                 37318,                -19510,,                  5244,                -19718,                    899,                    602,,                              0,,                 43446,              1107475,,,                  2883,                104346,                 -1433,                -63066,                237861,                  9371,                -11271,                 20844,                299535,,                 10610,                -25964,                    108,               -346378,                  6739,                 -3794,               -358679,                -59144,              1048331,              1575971,                 24832,                 -1144,              1599659,,                -24784,                              0,,,,             -1720713,                 32627,                 -5038,,,                  7585,                              0,                    664,,             -1709659,,              1124770,             -1079740,,,                   -568,                -34105,                 10357,                 21665,                -77978,              8708432,              8630454,              8630454,,,,,,,,,,,,
2449,2013年度,,              2319799,              2319799,,,              4645502,                  7055,                158722,                -82825,                 -1239,                 21656,                 43145,                 -8125,                  1300,,                -14404,                 50000,                 47783,,,,                128901,               -158985,               -389312,                 23086,               -645938,                 54459,                -74885,                -40741,             -1103415,,                  1467,                 81015,,                410875,                 18176,                -32587,                470969,               -632446,              4286124,              6605923,                 81911,               -225811,              6462023,,               -198647,                805623,                -14974,                  2001,               -295813,             -4980534,                102860,                   -418,                 -3965,                              0,                 42062,,                  2575,                  5258,             -4533973,,              4850015,             -4948531,                    222,             -1309740,                 -1290,               -148285,             -1545609,                 68772,                451213,              8257219,              8708432,              8708432,,                 50000,              4918570,                 -7977,                     -1,                 12000,,,,,,
2449,2013年01月01日至2013年12月31日,,              2319799,              2319799,,,              4645502,                  7055,                158722,                -82825,                 -1239,                 21656,                 43145,                 -8125,                  1300,,                -14404,                 50000,                 47783,,,,                128901,               -158985,               -389312,                 23086,               -645938,                 54459,                -74885,                -40741,             -1103415,,                  1467,                 81015,,                410875,                 18176,                -32587,                470969,               -632446,              4286124,              6605923,                 81911,               -225811,              6462023,,               -198647,                805623,                -14974,                  2001,               -295813,             -4980534,                102860,                   -418,                 -3965,                              0,                 42062,                     -1,                  2575,                  5258,             -4533973,,              4850015,             -4948531,                    222,             -1309740,                 -1290,               -148285,             -1545609,                 68772,                451213,              8257219,              8708432,              8708432,,                 50000,              4918570,                 -7977,,                 12000,,                              0,                              0,                              0,,
2449,2013年01月01日至2013年09月30日,,              1782242,              1782242,,,              3532867,                  5379,                120455,                -61375,                 -1239,                 14624,                 17271,                 -8915,                              0,,                -13595,                 30000,                 12241,,,,                130010,               -204425,               -226043,                -24067,               -696272,                 25888,                 -5016,                -15648,             -1015573,,                 -2082,                 72657,                              0,                469888,                 12653,                -60327,                495694,               -519879,              3162834,              4945076,                 61850,               -224582,              4782344,,               -150000,                704815,                -14974,                              0,,             -4005903,                 98074,                 -1041,                 -3965,                              0,                 42703,,                  1928,                  1239,             -3327125,,              2849444,             -3014006,                      2,             -1309740,                 -1290,               -113011,             -1576950,                 43268,                -78463,              8257219,              8178756,              8178756,,                 35000,              3682713,                  2905,                     -1,                 12000,                   -349,,,,,
2449,2013年01月01日至2013年06月30日,,              1143992,              1143992,,,              2375265,                  3615,                 82135,                -33032,,                  8959,                 -8555,                 -8728,                 18332,,                -11213,                 30000,                 47060,,,,                 43897,               -319150,                -76687,                -55580,               -361899,                 16024,                -45264,                -13572,               -812231,,                 -1268,                 32440,                              0,                121382,                  8060,                -19398,                142867,               -669364,              1869474,              3013466,                 30599,               -223408,              2820657,,               -150000,                 29932,                -14974,                              0,,             -2668433,                 71881,                 -1029,                 -1735,                              0,                  7121,,                  1277,                              0,             -2725961,,              1412394,             -1525815,                      2,,                   -720,                -77473,               -179942,                 56189,                -29057,              8257219,              8228162,              8228162,,                 35000,              2538838,                  1651,                     -1,                 12000,                   -330,,,,,
2449,2013年01月01日至2013年03月31日,,                453499,                453499,,,              1188313,                  1848,                 41732,                -13372,,                  2520,                -10001,                 -6832,                 18332,,                 -5245,                 30000,                 54978,,,,                 44085,                  8626,                 14081,                -50835,                150520,                  4544,                 36357,                 -1063,                206315,,                 11570,                 15026,                              0,               -351336,                  8318,                 52564,               -262609,                -56294,              1265979,              1719478,                 13674,                 -1113,              1732039,,               -150000,                 14604,,,,             -1070174,                 22105,                 -1020,,,                  6495,,                    633,,             -1177358,,                945400,               -977063,                    100,,                   -480,                -38532,                -63855,                 30014,                520840,              8257219,              8778059,              8778059,,                 20000,              1322273,                  1249,                     -1,                  6720,,,,,,
2449,2012年01月01日至2012年12月31日,,              1974635,              1974635,,,              5184904,                  8866,                187054,                -61424,                 -1755,                  4581,                -63507,                -33957,                  1950,,                   -424,                 16707,                -33895,,,,                -25562,                -24808,                 28735,                 14700,                -96642,                 71255,                 30626,                -23511,                -25207,,                  1253,               -113687,,                276229,                  7783,                103905,                271265,                246058,              5448675,              7423310,                 56590,               -114271,              7365629,,               -826256,                241636,                              0,                  2000,               -242383,             -3956557,                209360,                 -1613,                 -2997,                 -5556,                              0,                      1,                  2514,                  6256,             -4573595,,              9663605,             -9712172,                              0,               -778404,               -645795,               -164716,             -1680032,                -44324,              1067678,              7189541,              8257219,              8257219,,                 17000,              5202617,                 -4218,,                 18000,,                -23483,                -60550,                              0,,
2449,2012年01月01日至2012年09月30日,,              1402328,              1402328,,,              3967780,                  6916,                147086,                -48342,                 -1755,                  1412,                -56050,                -32306,                  1950,,                   -362,                  5427,                -51166,,,,                -13201,               -567415,                -81066,                -36598,               -240263,                -12504,                 -4865,                -14230,               -970142,,                 -2480,                 19659,,                327515,                  8266,                 80238,                429903,               -540239,              3404427,              4806755,                 45889,               -113318,              4739326,,               -726255,                239987,                              0,                  2000,               -242383,             -3220324,                195147,,                 -3020,,                -61445,                      1,,                  6256,             -3806850,,              7215678,             -7189846,                              0,               -778404,               -645795,               -127249,             -1568224,                -41904,               -677652,              7189541,              6511889,              6511889,,                 10000,              3944666,                 -3295,,                 18000,                    -58,                 -5924,                -60550,                              0,                  1293,                  1893
2449,2012年01月01日至2012年06月30日,,                642425,                642425,,,              2699251,                  4770,                103870,                -32074,,                              0,                -45907,                -29722,                  2234,,                 -6202,                              0,                  3212,,,,                 -5210,               -342235,                 36097,                 22634,               -271673,                -27769,                 -7938,                -10754,               -606848,,                   -687,                137810,,                189710,                  5071,                 35452,                365134,               -241714,              2497900,              3140325,                 27979,               -112153,              3056151,,               -236257,                234155,                              0,,,             -1831024,                199822,,                 -3082,,                  6374,                      1,,,             -1627456,,              4201520,             -4739639,                              0,,               -645814,                -89887,             -1274682,                -14203,                139810,              7189541,              7329351,              7329351,,                 10000,              2739614,                 -2222,,                              0,                    -72,                 30182,                   -790,                              0,                  1292,                  1263
2449,2012年01月01日至2012年03月31日,,                166085,                166085,,,              1376053,                  2465,                 53167,                -13700,,                              0,                -25931,                -20173,                              0,,                 -6025,                              0,                 16537,,,,                 14769,                 50892,                 92397,                -31647,                -48786,                -27912,                 30694,                  9526,                 89933,,                 20675,                 24460,,               -186517,                  2089,                 -5053,               -145402,                -55469,              1335590,              1501675,                 17610,                   -795,              1518490,,                              0,                  4024,,,,               -457734,                 26298,                    187,                 -2906,,                 10771,,,,               -418727,,              2751315,             -1926948,                              0,,               -273381,                -46774,                502519,                -24732,              1577550,              7189541,              8767091,              8767091,,                              0,              1391059,                 -1056,                      1,                              0,                   -163,                  8666,                 -1530,                              0,,                    632
