證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 保證責任準備淨變動,　　　　 處分及報廢不動產及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 存放央行及拆借金融同業（增加）減少,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 應收款項（增加）減少,　　　　　 貼現及放款（增加）減少,　　　　　 備供出售金融資產（增加）減少,　　　　　 持有至到期日金融資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 央行及銀行同業存款增加（減少）,　　　　　 附買回票券及債券負債增加（減少）,　　　　　 應付款項增加（減少）,　　　　　 存款及匯款增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 員工福利負債準備增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 取得不動產及設備,　　 取得無形資產,　　 其他金融資產減少,　　 其他資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 發行金融債券,　　 存入保證金增加,　　 存入保證金減少,　　 其他負債減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,　　 符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,　　 其他金融資產增加,　　 其他負債增加,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 無活絡市場之債務商品投資到期還本,　　 取得持有至到期日金融資產,　　 處分持有至到期日金融資產,　　 持有至到期日金融資產到期還本,　　 以成本衡量之金融資產減資退回股款,　　 處分不動產及設備,　　 發放現金股利,　　 其他資產減少,　　　　　 透過損益按公允價值衡量之金融負債增加（減少）,　　 處分無活絡市場之債券投資
2836,2015年01月01日至2015年09月30日,,                532952,                532952,,,                 45544,                 15668,                327342,                 48462,              1729492,             -3586734,                -54905,                              0,                              0,                -37259,                 23586,             -1488804,,,               -170284,              5996812,                 27593,              5213569,             -8767695,             -7295259,               -518678,             -5513942,,              1072744,                631853,                818093,             -5854576,                 -2692,                 21674,             -3312904,             -8826846,            -10315650,             -9782698,              3455572,                 53741,             -1707246,                -44115,             -8024746,,                              0,                -24868,                -21440,                  5311,                -80500,               -121497,,                              0,                              0,                 -2281,                -13910,                -16191,                -23726,             -8186160,             33768670,             25582510,              3118709,              7529577,             14934224,,,,,,,,,,,,,,,,,,
2836,2015年01月01日至2015年06月30日,,                348530,                348530,,,                 30472,                 10383,                239816,                -87192,              1144820,             -2375747,                -52827,                              0,,                -30460,                 15591,             -1105144,,,               -478503,              4526431,                -56921,              5234054,             -3617208,             -5034882,               -483141,                 89830,,               -559528,                -14494,               -265584,             -6688057,                 -2008,                  9061,             -7520610,             -7430780,             -8535924,             -8187394,              2341122,                  7909,             -1180381,                -27143,             -7045887,,,                -21645,                -20750,                              0,                -30789,                -77327,,                              0,                              0,                 -2005,                -14862,                -16867,                -23834,             -7163915,             33768670,             26604755,              3111857,             11883201,             11609697,                 -4143,,,,,,,,,,,,,,,,,
2836,2015年01月01日至2015年03月31日,,                184110,                184110,,,                 15354,                  5049,                110422,                -63328,                564751,             -1173546,,                              0,                              0,                -25635,                  7881,               -559052,,,               -458981,                670607,               -126823,              3827775,             -2700951,               -463658,               -386030,                361939,,               -597644,                 -2939,                 85554,             -1770389,                   -362,                  7429,             -2278351,             -1916412,             -2475464,             -2291354,              1157399,,               -594011,                -12164,             -1740130,,,                -15885,                -18930,                              0,                -54367,               -102295,,                              0,                              0,                 -2834,                 -5834,                 -8668,                -23950,             -1875043,             33768670,             31893627,              3157572,             14090237,             14645818,                -13113,                              0,,,,,,,,,,,,,,,,
2836,2014年度,,                511330,                511330,,,                 57670,                 17119,                840932,                123596,              2145799,             -4613680,                -51537,                 29000,                              0,               -113001,                101904,,,,                 76702,             -9491273,               -106659,             -5450740,             -6843505,             -2746339,                202671,            -24359143,,             -5505536,                 -6898,                111253,             38237507,                 39705,                 45469,             32921500,              8562357,              6909961,              7421291,              4622776,                 51537,             -2127081,                -48831,              9919692,,                -43000,               -101892,                -37759,                              0,                -12786,               -200810,,              1000000,                  5436,,                   -390,                990625,                 21592,             10731099,             23037571,             33768670,              4107916,             16275436,             13385318,                 -5373,                              0,,               -190198,             -1652396,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                -14421,,,
2836,2014年01月01日至2014年09月30日,,                374386,                374386,,,                 42629,                 12315,                623409,                 38455,              1574486,             -3408977,                -55918,                 11000,                      1,               -109888,                 33842,             -1238646,,,                976986,             -4335469,               -126853,             -3362833,             -6121219,             -2248081,                208512,            -15008957,,             -5520813,                 -6971,                597355,             28856010,                 56767,                 32834,             24015182,              9006225,              7767579,              8141965,              3407499,                 55669,             -1556982,                -35806,             10012345,,                -43000,                -83083,                 -5713,                 13314,                -38251,               -156733,,                200000,                  8684,                              0,                   -758,                207926,                  2007,             10065545,             23037571,             33103116,              4236785,             16178169,             12688162,,,,,,,,,,,,,,,,,,
2836,2014年01月01日至2014年06月30日,,                246358,                246358,,,                 28742,                  8822,                480319,                -53657,              1028080,             -2229649,                -51537,                 10000,,                -99756,                 25705,               -852931,,,              1024057,             -1567013,               -533047,             -1867068,             -1580303,             -1642582,                178811,             -5987145,,             -3762441,                 -7044,                -34103,             17809492,                 56876,                 20558,             14083338,              8096193,              7243262,              7489620,              2244832,                 10808,             -1047403,                -20879,              8676978,,,                -61598,                 -2768,                  7306,                -41336,                -98396,,                200000,                  2441,                              0,                   -317,                202124,                 -5404,              8775302,             23037571,             31812873,              4169126,             19275609,              8368138,                              0,,,,,,,,,,,,,,,,,
2836,2014年01月01日至2014年03月31日,,                155579,                155579,,,                 14894,                  4314,                171658,                 -2971,                498581,             -1091311,,                  5000,                              0,                -20115,                  9552,               -410398,,,              2227113,               -636725,               -125348,              8227976,               -877236,               -758017,                  7410,              8065173,,             -2223294,                     72,               -462297,              2964553,                 -7400,                  6224,                277858,              8343031,              7932633,              8088212,              1072051,,               -513872,                 -9868,              8636523,,,                -54305,                   -500,                  8663,                -32282,                -78424,,              1200000,                    570,                              0,                              0,              1203566,                 -1308,              9760357,             23037571,             32797928,              4377069,             20303139,              8117720,                              0,                  2996,,,,,,,,,,,,,,,,
2836,2013年度,,                479119,                479119,,,                 56085,                 18990,                539667,                -55854,              1890012,             -4159339,                -36097,                 36300,                      1,                -58914,                 27937,,,,                675077,                -70117,                129534,            -16743186,               -195887,                              0,                -21588,            -16226167,,              3088986,                   -895,             -1177782,              9234465,                -13413,                 32117,             11163478,             -5062689,             -6803901,             -6324782,              4187992,                 36097,             -1909363,                -35365,             -4045421,,                              0,                -39393,                 -8141,                  1785,                 -3608,                  1894,,              2000000,                  2289,,                -38477,              1949673,                  9475,             -2084379,             25121950,             23037571,              3329141,             16247872,              3460558,                              0,                              0,,                              0,             -1741212,                              0,                              0,                              0,                 26251,                              0,                              0,                              0,                 25000,                              0,                -14139,,,
2836,2013年01月01日至2013年12月31日,,                479119,                479119,,,                 56085,                 18990,                539667,                -55854,              1890012,             -4159339,                -36097,                 36300,                      1,                -58914,                 27937,,,,                641988,                -70117,                129534,            -16743186,,,,            -16041781,,              3088986,                   -895,             -1177782,              9234465,                -13413,                 32117,             11163478,             -4878303,             -6619515,             -6140396,              4187992,                 36097,             -1909363,                -35365,             -3861035,,,                -39393,                 -8141,,                 -3608,               -215581,,              2000000,                  2289,,                -38477,              1949673,                  9475,             -2117468,             26428457,             24310989,              3329141,             17521290,              3460558,                  1785,                              0,,,             -1741212,            -20833324,             20637437,                -21588,                 26251,                              0,                              0,                              0,                 25000,                              0,                -14139,,,
2836,2013年01月01日至2013年09月30日,,                356933,                356933,,,                 42385,                 14564,                451801,                -62907,              1397236,             -3077080,                -39940,                 33300,                      1,                -51953,                 18570,,,,               -694136,               -316245,                 30921,             -9824946,                889902,                              0,                              0,             -9914504,,                -83676,                 -1027,               -367884,              6192847,                 -9333,                 17919,              5748846,             -4165658,             -5439681,             -5082748,              3113006,                 40410,             -1388961,                -26931,             -3345224,,                              0,                -33814,                 -8141,                              0,                -36818,                -49625,,              2000000,                              0,                   -954,                -32967,              1951940,                 -4778,             -1447687,             25121950,             23674263,              3541790,             13422683,              6709790,                 -7934,                              0,,,             -1274023,                              0,                              0,,                 12082,                              0,                              0,                              0,                 25000,,                -14139,,,
2836,2013年01月01日至2013年06月30日,,                234326,                234326,,,                 28191,                  9651,                326800,                -14227,                915245,             -2012304,                -36097,                 16300,                      1,                -56283,                 18570,,,,                -17949,                202790,               -129648,             -5979080,              1817688,                              0,                 -9972,             -4116171,,                439920,                 -1076,               -717343,              2081368,                 -6502,                 10035,              1806402,             -2309769,             -3113922,             -2879596,              2030810,                  8997,               -981798,                -10209,             -1831796,,,                -28506,                 -7844,                              0,                 -7256,                -50828,,                              0,                              0,                   -524,                -18773,                -19297,                  9863,             -1892058,             25121950,             23229892,              4491232,             15944880,              2793780,                 -7222,                              0,,,               -804153,,,,,,,,,,,                              0,,
2836,2013年01月01日至2013年03月31日,,                132724,                132724,,,                 14042,                  4584,                 73463,                    344,                447424,               -970000,,                  5000,                      1,                -57235,                 18570,,,,               -965973,                437294,               -199737,             -2267024,                235134,                              0,                 -7175,             -2767481,,              2229208,                 -1171,               -237766,             -3618647,                 -2162,                    411,             -1630127,             -4397608,             -4861415,             -4728691,                964436,,               -485119,                 -6939,             -4256313,,,                 -7990,                 -3039,                              0,                -22001,                -36197,,                              0,                 19857,,                 -1358,                 18499,                    732,             -4273279,             26428457,             22155178,              3114391,             16185751,              2855036,                 -3167,                              0,,,               -463807,,,,,,,,,,,,,
2836,2012年01月01日至2012年12月31日,,                438296,                438296,,,                 63160,                 15404,                565312,                 -5535,              1883548,             -3989935,                -38153,                 15000,                -11483,               -138697,                 96301,,,,             -1844100,                158718,                 31174,              3626019,,,,              1971811,,                424083,                -34293,                592364,             -4410543,                -43034,                 44745,             -3426678,             -1454867,             -2999945,             -2561649,              3936396,                 38153,             -1900288,                -19330,               -506718,,,                -13677,                   -764,,                 -1205,             -1492121,,                              0,                    940,,                              0,                 78523,                 -7280,             -1927596,             28356053,             26428457,              3166781,             18294442,              4967234,                   -626,                 77583,,,             -1545078,            -46061448,             44599003,                              0,                 19452,               -958956,                102373,                792380,                              0,                 31347,                              0,,,
2836,2012年01月01日至2012年09月30日,,                366123,                366123,,,                 48919,                 11684,                311150,                   -889,              1423619,             -2987553,                -37736,                  5000,                     45,               -104185,                 73081,,,,             -1497540,                604349,               -165612,              3181442,,,,              2122639,,                438347,                -34386,                626712,            -10539484,                -39513,                 27428,             -9522623,             -7399984,             -8656849,             -8290726,              2881375,                 37769,             -1414527,                -11356,             -6797465,,,                 -8255,                 -1207,,                -24540,                -98696,,                              0,                  7075,                              0,                              0,                 77190,                 -4840,             -6823811,             28356053,             21532242,              3274782,             14963438,              3294022,                 -1273,                 70115,,,             -1256865,            -32749148,             32732912,,                 17018,               -958956,                102373,                792380,                              0,,                              0,,                 -1727,
2836,2012年01月01日至2012年06月30日,,                258416,                258416,,,                 34097,                  7868,                175900,                  3097,                952875,             -1987233,                -35159,                  5000,                     45,                -18098,                 49045,,,,             -1479748,               -306334,               -435655,              2170523,,,,                -51214,,              1918340,                -31480,                139039,             -6996176,                 -5867,                 21420,             -4958247,             -5009461,             -5822024,             -5563608,              1985226,                  2240,               -989817,                 -1339,             -4567298,,,                 -3960,                 -1479,,                              0,             -1453113,,,,                 -2239,                              0,                 56750,                  1451,             -5962210,             28356053,             22393843,              3010794,             13959650,              5423399,                -20614,                 58989,,,               -812563,            -23984946,             22874558,                              0,,               -972183,                107549,                534420,,,,                  1842,                 -3523,                 11700
2836,2012年01月01日至2012年03月31日,,                138762,                138762,,,                 18625,                  3988,                 29324,                -13034,                479305,               -990693,,                              0,                     41,                 -7602,                  6032,,,,                  8214,                108916,                -42579,              3726877,,,,              3801428,,                792480,                -31575,                 34296,             -6422602,                 -3765,                 10763,             -5623990,             -1822562,             -2296576,             -2157814,                921713,,               -519401,                 -7697,             -1763199,,,                 -1382,                              0,,                -27884,             -1377469,,,                              0,,                              0,                 46277,                   -475,             -3094866,             28356053,             25261187,              2883718,             14410842,              7966627,                -19329,                 46277,,,               -474014,            -13550688,             11946697,                              0,,               -275204,                109262,                432260,,,,,                 -3587,                  8799
