證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 應付公司債匯率影響數,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 金融資產減損迴轉利益,　　　　 非金融資產減損迴轉利益,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 遞延貸項增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 採用權益法之被投資公司減資退回股款,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 處分無形資產,　　 其他金融資產增加,　　 預付設備款增加,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 員工執行認股權,　　 庫藏股票買回成本,　　 庫藏股票處分,　　 處分子公司股權（未喪失控制力）,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他金融資產減少,　　 應付短期票券增加,　　 其他投資活動,　　　 不影響現金流量之收益費損項目,　　　　 處分其他資產損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　 處分採用權益法之投資,　　 償還公司債,　　 處分子公司,　　　　 處分無形資產損失（利益）,　　 發行公司債,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 其他非流動負債增加,　　　　　 應計退休金負債增加（減少）,　　 存出保證金增加,　　 存出保證金減少
4938,2015年01月01日至2015年09月30日,,             27241697,             27241697,,,             10107611,                162102,               -119766,                228861,                500143,             -1161488,                -74036,                633641,                -13748,                 43001,                127061,                  1735,               -396161,               -401590,                              0,                              0,               -158168,                              0,                306703,              9785901,,,                886089,            -21518321,             -5316655,            -62490111,                              0,             -3408356,              1716547,                 54590,            -90076217,,                 -8937,                 -2038,             42400452,                  1529,              2057449,               -125714,               -447006,              1328514,                              0,                127090,             45331339,            -44744878,            -34958977,             -7717280,              1236816,                 74036,               -631117,             -7147376,            -14184921,,                              0,                943725,               -138731,                222267,                              0,                -10000,                161307,                598359,             -8204902,                541603,                -86279,                              0,                257983,             -3282649,               -448054,             -9445371,,             35153740,                              0,                              0,              5783448,            -10269735,            -12840060,                 39794,                -32895,                 46521,                              0,             -1661881,                375028,             16593960,              1308241,             -5728091,            107688632,            101960541,            101960541,,,,,,,,,,,,,,,,,,,,
4938,2015年01月01日至2015年06月30日,,             16610269,             16610269,,,              6713015,                105451,               -190116,                222617,                285100,               -854174,                -18493,                264142,                -13748,                 23909,                 99399,                  1024,               -392904,               -360410,,,               -169373,,               -156968,              5558471,,,             -1380405,             42268910,              9767384,            -26134788,,                 47229,             -1829095,                 22262,             22761497,,                 -8937,,            -36747808,,             -3845144,               -130641,               -365198,                681572,,                 84441,            -40331715,            -17570218,            -12011747,              4598522,                838228,                 18493,               -404314,             -5520958,               -470029,,,                927669,               -123281,                 99955,                              0,                -10000,                151214,                594035,             -4744816,                511741,                -46096,,,             -1560316,,             -3873260,,             14124328,,,              5291811,             -8975478,,                 36326,,                 46521,                              0,                  3520,                379988,             10907016,             -1452000,              5111727,            107688632,            112800359,            112800359,                326635,                              0,,,,,,,,,,,,,,,,,,
4938,2015年01月01日至2015年03月31日,,              9337020,              9337020,,,              3402027,                 53487,               -178925,                230142,                100089,               -447056,                 -8417,                 43977,                -13748,                 13255,                 12047,                  1339,                -65368,               -172471,,,                 -5808,,                -75658,              2888912,,,               -733096,             13209076,             10352353,              7415192,,                926228,             -1083424,                 51319,             30137648,,                 -8937,,            -26491381,,             -5020332,               -142292,               -231094,                313210,,                 40074,            -31540752,             -1403104,              1485808,             10822828,                431168,                  8417,               -210325,             -1451789,              9600299,,                -17981,                538674,,                 28217,,,,                165285,             -2402618,                116164,                -23124,,                -41332,               -690963,,             -2358577,,              4457720,,,              5033600,             -5666055,,                 34497,,                 46521,                              0,                    857,                -10631,              3896509,               -808304,             10329927,            107688632,            118018559,            118018559,                              0,                              0,                -30899,,,,,,,,,,,,,,,,,
4938,2014年度,,             26262087,             26262087,,,             13562092,                200322,                109221,              4304477,                868009,             -1778928,                -87166,                297826,                517134,                320323,                351566,                 15199,                -61740,               -225501,                332694,,                              0,                              0,                823584,,,,              1312092,            -25934337,             14424266,              7968434,,             -5831149,               -350950,                -37372,             -8449016,,               -170706,,             16094114,,              6042567,                 70552,             -2630445,             -3465616,,               -148064,             15792402,              7343386,             27129141,             53391228,              1754649,                127316,               -788850,             -4918362,             49565981,,               -634599,                226274,               -158461,                227642,                  7497,                -30180,,                432240,             -7570382,                788056,                -84967,                              0,                              0,             -2830092,               -342270,             -9317505,,              4166085,,,             21173983,            -29822575,            -10129957,                373592,,                 51620,              4291730,                189946,                215901,             -9569653,              2748503,             33427326,             74261306,            107688632,            107688632,                624167,                -79978,                 27570,,                 -9422,                              0,                246065,             19785755,                              0,                              0,,,,,,,,,,
4938,2014年01月01日至2014年09月30日,,             16160023,             16160023,,,             10196862,                147951,                -63815,              2498197,                807819,             -1412973,                -67765,                223113,                214458,                170634,                264508,                 17697,                -61391,               -147661,                    130,                              0,                -88690,                              0,                335732,             13034806,,,              1171267,             -3737001,              9108049,             -2353196,                              0,             -3678879,                383850,                -44538,                849552,,               -169096,                 -1899,              8161441,               -462447,              3238688,                 93235,             -2284600,             -3521054,                              0,               -179295,              4874973,              5724525,             18759331,             34919354,              1403689,                106355,               -774970,             -4049435,             31604993,,                              0,                 71114,               -158461,                227800,                  7497,                -30123,                              0,                432240,             -5106209,                573411,                -53993,                              0,                -10304,             -1772891,               -176851,             -5996770,,                              0,             -2033273,                -79978,             15179850,            -27620611,            -10129957,                351288,                              0,                 51620,              4192863,                189946,                218784,            -19679468,                559204,              6487959,             74261306,             80749265,             80749265,,,,,,,,,,,,,,,,,,,,
4938,2014年01月01日至2014年06月30日,,              8133769,              8133769,,,              6833890,                 98816,               -168074,              2515069,                588742,               -970648,                 -8230,                127682,                 -3710,                116353,                151847,                 13708,                -61508,                -40062,,,                -36270,,                117116,              9274721,,,                436993,             21330018,             16303397,             27036171,,                440275,             -1165983,                  2578,             64383449,,                -58900,,            -39480603,,             -2427151,                 -9626,             -1559906,             -3226602,,                -96245,            -46859033,             17524416,             26799137,             34932906,                938015,                  8230,               -538139,             -2885488,             32455524,,,                  5452,               -156750,                 48444,                  7497,                -30180,                              0,                432240,             -3063284,                415895,                -42144,,,               -829488,,             -2598319,,            -12644574,,,              7360600,            -12909066,,                265216,,                 51611,              4240728,                              0,                220000,            -13495463,               -276848,             16084894,             74261306,             90346200,             90346200,                613999,                -79978,,,,,,,,,,,,,,,,,,
4938,2014年01月01日至2014年03月31日,,              4462347,              4462347,,,              3489987,                 48514,                -97128,                786486,                306847,               -484556,                              0,                 61993,                187026,                 67265,                105373,                  1729,                -61635,                 -5255,,,                -48003,,                374935,              4733578,,,                -14391,             20509594,             17891263,             22754715,,              2469261,             -1020031,                 -1449,             62588962,,                -10556,,            -38113684,,             -6309105,                 55698,               -616034,             -1724229,,                 -9549,            -46727459,             15861503,             20595081,             25057428,                405772,                              0,               -209498,               -758454,             24495248,,                              0,                  5452,,                 48444,,,,                432240,             -1434507,                 77537,                -19177,,                              0,               -261009,,               -726390,,            -11900375,,,              6468500,            -11537471,,                 69888,,                              0,              4172685,                              0,                              0,            -12726761,                667733,             11709830,             74261306,             85971136,             85971136,                424630,                     12,                              0,,,,,,,,,,,,,,,,,
4938,2013年度,,             19029872,             19029872,,,             13332674,                592146,              1587222,               -628347,              1062713,               -879927,                -83019,                533654,                212436,                 75586,                374085,                 67611,                              0,                -34927,                342154,,               -168535,                  6065,                778302,,,,                609294,             17098956,            -13373882,            -10920788,,              2329320,               -990114,                 32943,             -5214271,,                  7345,,            -13706974,,              3352753,                183721,              2461035,              6342168,,                 95422,             -1264530,             -6478801,             10693258,             29723130,                851416,                132726,               -711288,             -4925480,             25070504,,                -87040,                278836,                -59410,                 10468,                  8330,                -30271,,                              0,            -11116474,              1374163,                -80788,                     27,               -929092,             -2198292,               -153898,            -12973949,,              3401319,,,             12605065,            -10063179,             -5736566,                762661,,                 10597,                290725,              2356179,                 60620,              2151436,                589191,             14837182,             59424124,             74261306,             74261306,                              0,                -22704,                              0,,                              0,                  2166,                              0,             17172059,                  9492,             -1513281,,,,,,,,,,
4938,2013年01月01日至2013年12月31日,,             19029872,             19029872,,,             13332674,                592146,              1587222,               -628347,                817030,               -879927,,                533654,                212436,                 75586,                374085,                 67611,,                -34927,                              0,,,                  6065,              1023985,,,,                609294,             17098956,            -13373882,            -10920788,,              2329320,               -990114,                 32943,             -5214271,,                  7345,,            -13706974,,              3352753,                183721,              2461035,              6342168,,                 95422,             -1264530,             -6478801,             10776277,             29806149,                851416,                 49707,               -711288,             -4925480,             25070504,,                -87040,                278836,                -59410,                 10468,,                -30271,                  8330,,            -11116474,              1374163,                -80788,                     27,               -929092,             -2198292,               -153898,            -12683224,,              3401319,                              0,                -22704,             12605065,            -10063179,             -5736566,                762661,,                 10597,,              2356179,                 60620,              1860711,                589191,             14837182,             59424124,             74261306,             74261306,,,,,,                  2166,                173619,             17255078,,             -1513281,                300217,                              0,                              0,                              0,,,,,,
4938,2013年01月01日至2013年09月30日,,             12785480,             12785480,,,              9997836,                450139,              1125853,               -153977,                699189,               -559062,                -68065,                398950,                158529,                 46673,                203243,                 68232,                              0,                -29057,                              0,,               -187615,                  6065,                615122,,,,              1079783,              9401876,             -4143734,            -15291906,,             -1174012,             -1644713,                  2657,            -11770049,,                  1533,                   -152,             -8802007,                -97195,              3332486,                 69781,              1354856,              5382730,,                157182,              1399214,            -10370835,              2401220,             15186700,                547303,                117381,               -626995,             -4486284,             10738105,,               -146450,                216038,                              0,                              0,                  8330,                              0,,                              0,             -7991707,              1313548,                -62431,                     27,               -165311,             -1871616,               -149413,             -8839478,,              2701037,                              0,,              4760364,             -5950638,             -2300260,                659703,,                 10597,                290725,              2218565,                              0,                876789,                250073,              3025489,             59424124,             62449613,             62449613,,                    -23,,,,,,             12772055,                  9507,             -1513281,,,,,,,,,,
