證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發行公司債,　　 存入保證金減少,　　 其他金融負債增加,　　 發放現金股利,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他應收款－關係人（增加）減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 存出保證金增加,　　 存入保證金增加
3054,2015年01月01日至2015年09月30日,,                -52612,                -52612,,,                 31162,                    885,                     11,                 -3461,                  3015,                   -670,                 -4808,                     18,                              0,                              0,                 -2860,                              0,                 -2073,                  4448,                 25667,,,                      4,                 60733,                 12078,                  2324,                 52499,                 47949,                -29261,                146326,,                 -1296,                 -7123,                -58911,                  6142,                 -5082,                  2880,                              0,                -63390,                 82936,                108603,                 55991,                    670,                  4808,                 -3015,                 -5035,                 53419,,                -65037,                 11554,                -25148,                              0,                -20648,                              0,                  2205,                              0,                    -98,                -16398,               -113570,,                865000,               -925000,                              0,                   -235,                              0,                -13507,                  6613,                -67129,                  2676,               -124604,                488060,                363456,                363456,,,,,
3054,2015年01月01日至2015年06月30日,,                -33272,                -33272,,,                 20144,                    633,                     11,                 -2890,                  2094,                   -501,                              0,                     18,                              0,                              0,                 -2860,                              0,                   -692,                  2994,                 18951,,,                      9,                 35145,                 12755,                  2781,                 51044,                 19813,                 -1742,                119805,,                 -1269,                 -8082,                -58820,                 -2233,                 -4670,                    269,                              0,                -74805,                 45000,                 63951,                 30679,                    501,                              0,                 -2094,                 -5017,                 24069,,                -23232,                 11554,                -12000,                              0,                -20134,                              0,                  2851,                              0,                    -84,                -16398,                -57443,,                620000,               -680000,                              0,                   -235,                              0,                              0,                  6613,                -53622,                    600,                -86396,                488060,                401664,                401664,                              0,,,,
3054,2015年01月01日至2015年03月31日,,                -15562,                -15562,,,                  9399,                    337,                     11,                 -3360,                  1092,                   -161,,                     13,,                              0,                              0,,                  2465,                  1515,                 11311,,,                      9,                 28124,                 13589,                    162,                 67323,                -30215,                     76,                 79068,,                   -149,                 -6142,                -58825,                 -2405,                 -2765,                  1025,                              0,                -69261,                  9807,                 21118,                  5556,                    161,,                 -1092,                    -41,                  4584,,                 -8931,                              0,                -12000,,                 -3048,                              0,                  2823,                              0,                    -57,                -15647,                -36860,,                450000,               -450000,,                   -235,,,                  6136,                  5901,                 -2507,                -28882,                488060,                459178,                459178,,,,,
3054,2014年度,,                 15889,                 15889,,,                 37265,                  1785,                     92,                  2912,                  3206,                 -1556,                -12389,                   -266,                              0,                 -3733,                   -673,                              0,                     27,                  6060,,,,                     -9,                 92874,                 -4047,                 -1941,                382247,                -20728,                  1360,                449756,,                    -62,                -16534,                 33235,                -39684,                 -3120,                 -1775,                   -441,                -28381,                421375,                454105,                469994,                  1556,                 12389,                 -3206,                 -7695,                473038,,               -167277,                  3404,,,               -328193,                  5282,                    716,                   -427,                   -849,                -27274,               -514618,,                675735,               -730735,,                 -1433,                              0,               -159916,                  7995,               -208354,                    210,               -249724,                737784,                488060,                488060,,,                 32730,,
3054,2014年01月01日至2014年09月30日,,                 30541,                 30541,,,                 28333,                  1352,                     92,                  3542,                  2135,                 -1110,                -12389,                     31,                              0,                   -417,                   -760,                              0,                  2576,                  4545,                 27930,,,                              0,                114134,                    513,                 -5349,                256177,                 26060,                  1172,                392707,,                   -937,                -18031,                 -3723,                -12055,                 -2542,                 -1497,                   -160,                -38945,                353762,                381692,                412233,                  1110,                 12389,                 -2135,                 -7651,                415946,,               -136288,                  2156,                              0,                              0,               -328379,                  1137,                    661,                   -319,                              0,                 -4703,               -465735,,                276360,               -325310,                              0,                 -1083,                              0,               -159916,                  7995,               -201954,                 -2497,               -254240,                737784,                483544,                483544,,,,,
3054,2014年01月01日至2014年06月30日,,                 37042,                 37042,,,                 19144,                  1023,                     92,                  1022,                  1479,                   -886,                              0,                     66,                              0,                   -154,                   -760,                              0,                  3036,                  3030,                 27092,,,                              0,                107267,                 -2535,                 -7301,                221854,                 36105,                  1393,                356710,,                   -725,                 -4017,                149722,                -23849,                 -1401,                 -1566,                   -106,                118058,                474768,                501860,                538902,                    886,                              0,                 -1479,                 -7601,                530708,,                              0,                  2156,                              0,                              0,               -327880,                    375,                  1560,                   -319,                              0,                   -132,               -324240,,                 70310,               -275310,                              0,                 -1083,                              0,                              0,                  7940,               -198143,                 -3021,                  5304,                737784,                743088,                743088,                    -73,,,,
3054,2014年01月01日至2014年03月31日,,                 28425,                 28425,,,                  9505,                    595,                     92,                    217,                    812,                   -247,,                    120,,                    -68,                   -760,,                  2091,                  1515,                 13872,,,                              0,                -15117,                  1114,                -23476,                366807,                 27364,                    112,                356804,,                              0,                -15099,                -24094,                -20819,                 -1415,                     88,                    -53,                -61392,                295412,                309284,                337709,                    247,,                   -812,                    -48,                337096,,                              0,                  2156,                              0,,               -326985,                    131,                  2268,                   -319,                              0,                              0,               -322749,,                 10000,               -215000,,                              0,,,                  4736,               -200264,                 -2000,               -187917,                737784,                549867,                549867,,,,,
3054,2013年度,,                335169,                335169,,,                 41364,                  2762,                     31,                 -3326,                  2706,                   -343,                -10158,                    934,                   -209,                     69,                -97903,                 26690,                    360,                  1541,,,,                              0,                -70376,                 20149,                 15070,               -131969,                 -1669,                    425,               -168370,,                    147,                -12518,               -241276,                 23947,                    635,                    730,                   -367,               -228702,               -397072,               -432554,                -97385,                    343,                 10158,                 -2706,                    147,                -89443,,                -86806,                212428,,,                -14997,                     33,                     51,                 -2881,                   -513,                 -5795,                101520,,              1715000,             -1560000,,                   -377,                350000,                              0,                 11112,                515735,                   -173,                527639,                210145,                737784,                737784,,,                -35482,,
3054,2013年01月01日至2013年12月31日,,                335169,                335169,,,                 41364,                  2762,                     31,                 -3326,                  2706,                   -343,                -10158,                    934,                   -209,                     69,                -97903,                 26690,                    360,                  1541,,,,                              0,                -70376,                 20149,                 15070,               -131969,                 -1669,                    425,               -168370,,                    147,                -12518,               -241276,                 23947,                    635,                    730,                   -744,               -229079,               -397449,               -432931,                -97762,                    343,                 10158,                 -2706,                    147,                -89820,,                -86806,                212428,,                              0,                -14997,                     33,,                 -2881,                   -513,                 -5795,                101520,,              1715000,             -1560000,                              0,,                350000,,                 11112,                516112,                   -173,                527639,                210145,                737784,                737784,,,                -35482,                     51,
3054,2013年01月01日至2013年09月30日,,                316700,                316700,,,                 31022,                  1970,                     31,                 -3326,                  1998,                   -100,                -10158,                    801,                   -209,                      9,                -97903,                              0,                  1846,                  1541,,,,                              0,                -69264,                 15172,                -27958,               -254517,                 -2394,                   -359,               -339320,,                  1299,                -14237,                 13213,                 12108,                  3372,                    768,                   -170,                 16353,               -322967,               -395445,                -78745,                    100,                 10158,                 -1998,                    169,                -70316,,                -71806,                212428,,                -15000,                -13809,                     15,                              0,                 -1993,                   -500,                 -4211,                105100,,              1260000,             -1135000,                              0,                              0,                              0,                              0,                  8000,                133236,                 -1838,                166182,                210145,                376327,                376327,,,                -72478,                    -24,                    236
