證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 對子公司之收購（扣除所取得之現金）,　　 預付設備款增加,　　 短期借款減少,　　 應付短期票券減少,　　 存入保證金減少,　　　　　 應收帳款－關係人（增加）減少,　　 存出保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 不動產、廠房及設備轉列費用數,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 收取之股利,　　 其他投資活動,　　　　 呆帳費用提列（轉列收入）數
3645,2015年01月01日至2015年09月30日,,                181690,                181690,,,                180465,                  2133,                 14155,                 -1619,                              0,                  1743,                    101,                    104,                  1082,                 38583,                236747,,,                     -3,                  3953,                -18867,               -233143,                   -231,               -248291,,                 -2119,                   -930,                 12474,                 28183,                 -1842,                    637,                 36403,               -211888,                 24859,                206549,                  1671,                -14121,                -68532,                125567,,                 20000,                  1412,               -213441,                     40,                    -78,                   -528,               -192595,,                -52897,                 19935,                328645,                -77369,                      2,               -176082,                 30551,                 72785,                -10425,                 -4668,                371620,                366952,                366952,,,,,,,,,,,,,,,,,,
3645,2015年01月01日至2015年06月30日,,                106779,                106779,,,                120161,                  1446,                  8964,                 -1165,                              0,                  1743,                    101,,                  2649,                  7371,                141270,,,                   -144,                 40311,                 -2814,               -183257,                 -2477,               -148381,,                 -1260,                   -285,                  3952,                  4175,                 -1546,                 10398,                 15434,               -132947,                  8323,                115102,                  1169,                 -8811,                -42477,                 64983,,                 20000,                  1412,               -133038,                     40,                    -54,                    -52,               -156978,,                279979,                 49889,                115546,                 -2916,                              0,,                              0,                118750,                 -1441,                 25314,                371620,                396934,                396934,                -32149,                -13137,               -253920,                -69828,                              0,,,,,,,,,,,,,
3645,2015年01月01日至2015年03月31日,,                 65853,                 65853,,,                 59610,                    722,                  4329,                   -503,                              0,                     91,,,                -26146,                    219,                 38322,,,                              0,                 31811,                 31204,               -112306,                 -2142,                -51444,,                 -1714,                   -893,                 41638,                 -4315,                   -968,                  6760,                 40508,                -10936,                 27386,                 93239,                    507,                 -4243,                   -197,                 89306,,                 20000,,                -60999,,                              0,                    -52,                -48105,,                129979,                 19980,                 13000,                 -1454,                              0,,                              0,                 54208,                 13582,                108991,                371620,                480611,                480611,,                 -7055,                -57449,                -49848,,                    -11,                      1,,,,,,,,,,,
3645,2014年度,,                277009,                277009,,,                201500,                  2760,                 13313,                  3403,                    280,                    122,                              0,,                 -6420,                -12591,,,,                              0,                -55231,                -57995,                -15022,                -10185,               -138403,,                  1025,                    312,                 36282,                 26468,                  8057,                 17542,                 89244,                -49159,                153208,                430217,                 -3285,                -13089,                -20004,                393839,,,,               -774289,,                    -71,                 -4908,               -789916,,                510032,                 99714,                324358,                -42000,                              0,                -58694,                 45800,                374280,                   -151,                -21948,                393568,                371620,                371620,,                 -9795,               -455064,                -49866,,                     30,                    947,,                              0,                202367,                   -442,                 -1800,                              0,                              0,                              0,                              0,,
3645,2014年01月01日至2014年09月30日,,                165860,                165860,,,                147951,                  2041,                  9212,                 -2684,                    280,                     19,                              0,                              0,                -13062,                 -4982,                138775,,,                              0,                -48999,                -65484,                 23758,                -15372,               -106097,,                  2293,                     79,                 40330,                 27590,                  7914,                  8025,                 86231,                -19866,                118909,                284769,                  2754,                 -8500,                -18699,                260324,,                 -6800,                              0,               -463852,                              0,                   -120,                 -4429,               -475201,,                 91588,                              0,                436376,               -238260,                              0,                -58694,                 45800,                276810,                 -1880,                 60053,                393568,                453621,                453621,,,,,,,,,,,,,,,,,,
3645,2014年01月01日至2014年06月30日,,                 56650,                 56650,,,                 99252,                  1295,                  6307,                 -1949,                    280,                    -30,                              0,,                  4403,                 -4034,                105524,,,                   -326,                -34391,                -36598,                 34765,                -12389,                -48939,,                 -1175,                    540,                 10033,                 11123,                 14814,                  5976,                 41311,                 -7628,                 97896,                154546,                  1928,                 -6144,                 -7828,                142502,,                   -580,                              0,               -319907,                              0,                    -51,                 -4429,               -342759,,                362082,                              0,                200250,               -167312,                              0,,                 45800,                211479,                   -602,                 10620,                393568,                404188,                404188,                              0,                -17792,               -229339,                              0,                     -2,,,,,,,,,,,,,
3645,2014年01月01日至2014年03月31日,,                  7889,                  7889,,,                 49439,                    548,                  2985,                   -861,                    280,                     44,,,                  2986,                   -484,                 54937,,,                 -1919,                -34572,                 33821,                 20746,                 -6200,                 11876,,                 -1175,                   -280,                 15301,                 -8282,                  1265,                    936,                  7765,                 19641,                 74578,                 82467,                    760,                 -2833,                   -498,                 79896,,                   -580,,               -204493,,                    -56,                 -4308,               -209437,,                124801,                 39876,                 41626,                 -3625,                              0,,                 45800,                248478,                    658,                119595,                393568,                513163,                513163,,                              0,                              0,                              0,,                              0,                              0,,,,,,,,,,,
3645,2013年度,,                117810,                117810,,,                186515,                  2354,                 11099,                 -3510,                              0,                    482,                     13,,                -19644,                 -2372,,,,                              0,                 -9712,                -64532,               -103354,                 18250,               -159105,,                 -1275,                 -3315,                 -1720,                 -2118,                    155,                 -7918,                -16657,               -175762,                   -825,                116985,                  3455,                -11257,                -30628,                 78555,,,,               -234277,,                 -1023,                   -553,               -238140,,                183213,                              0,                 19682,                -14500,                      9,               -117389,                              0,               -114819,                  2608,               -271796,                665364,                393568,                393568,,                              0,               -135989,                -49845,,                    243,                  2414,,                              0,                174937,                   -466,                 -3711,                  3000,                     10,                 -4000,                              0,,
3645,2013年01月01日至2013年12月31日,,                117810,                117810,,,                186515,                  2354,                 11099,                 -3510,,                    482,                     13,,                -19644,                 -2372,,,,                              0,                 -9712,                -64532,               -103354,                 18250,               -159105,,                 -1275,                 -3315,                 -1720,                 -2118,                    155,                 -7918,                -16657,               -175762,                   -825,                116985,                  3455,                -11257,                -30628,                 78555,,,,               -234277,,                 -1023,                   -553,               -238140,,                183213,                              0,                 19682,                -14500,                      9,               -117389,                              0,               -114819,                  2608,               -271796,                665364,                393568,                393568,,,               -135989,                -49845,,                    243,                  2414,,                              0,                174937,                   -466,                 -3711,                  3000,                     10,                 -4000,                              0,                              0,
3645,2013年01月01日至2013年09月30日,,                 92165,                 92165,,,                139409,                  1789,                  8286,                 -2699,                              0,                    220,,,                -16203,                 -7765,,,,                   -143,                -25846,                -79795,               -149051,                 -6422,               -261257,,                 -2450,                 -3291,                 28465,                  3700,                    312,                 -7609,                 19127,               -242130,               -119093,                -26928,                  2721,                 -8355,                -30558,                -63120,,,,               -139268,,                    -44,                   -377,               -138279,,                142849,,                              0,                -10875,                     12,               -117389,                              0,                -85307,                  2031,               -284675,                665364,                380689,                380689,,                              0,                -50059,                -49845,,,                  2400,,,                123037,,                  3000,,                     10,                 -4000,,,
