證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 其他非流動負債減少,　　 發放現金股利,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 停業單位稅前淨利（淨損）,　　　　 金融資產減損迴轉利益,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他金融資產（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 取得以成本衡量之金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 短期借款增加,　　 償還公司債,　　 原始認列時指定為透過損益按公允價值衡量之金融負債增加,　　 取得無活絡市場之債券投資,　　 原始認列時指定為透過損益按公允價值衡量之金融負債減少,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 處分投資損失（利益）,　　 處分以成本衡量之金融資產,　　　　　 應收票據－關係人（增加）減少,　　 存入保證金減少,　　 應付租賃款增加,　　　　 股份基礎給付酬勞成本
2484,2015年01月01日至2015年09月30日,,                253375,                253375,,,                163286,                  2919,                  5202,                  2001,                  9250,                 -1032,                -34168,                 -2285,                              0,                 -1618,                 11652,                155207,,,                  4714,               -142500,                 -4507,                 27964,                 -9233,                  3741,               -119821,,                -63877,                   -898,                 -2404,                  9006,                  3136,                -55037,               -174858,                -19651,                233724,                  1032,                  3295,                 -9799,                              0,                228252,,                              0,                  1500,                              0,               -136102,                 23401,                   -780,                              0,                 31989,                -79992,,                              0,                 80000,                -80906,                      3,                              0,               -159421,                              0,               -160324,                 12933,                    869,                662850,                663719,                663719,,,,,,,,,,,,,,,,,,,,,
2484,2015年01月01日至2015年06月30日,,                129300,                129300,,,                108470,                  2024,                  5202,                   -506,                  6186,                   -683,                -19761,                 -2041,,                 -1610,                 -5964,                 91317,,,                  3162,                -13257,                 -5931,                 -7923,                -10705,                  1722,                -32932,,                -65301,                -56374,                -20506,                   -986,                  3079,               -140088,               -173020,                -81703,                 47597,                    683,,                 -6736,                              0,                 41544,,                              0,,                              0,                -45121,                 22562,                   -743,                              0,                -37103,                -60405,,                              0,                 70000,                -83574,                              0,                     -2,,                              0,                -13576,                   -253,                -32690,                662850,                630160,                630160,                              0,,,,,,,,,,,,,,,,,,,,
2484,2015年01月01日至2015年03月31日,,                 62451,                 62451,,,                 54248,                  1122,                  3687,                   -628,                  3139,                   -265,                -11084,                 17528,,,                  3615,                 52390,,,                    803,                -29867,                 -5484,                -28048,                -11796,                  2034,                -72358,,                 -6585,                -55528,                -21435,                    131,                  3368,                -80049,               -152407,               -100017,                -37566,                    265,,                 -2976,                 -1518,                -41795,,,,                              0,                -39851,                 10489,                   -617,                 -6494,,                -36473,,                              0,                 70000,                -80227,                              0,,,,                -10227,                  1651,                -86844,                662850,                576006,                576006,,                -18972,,,,,,,,,,,,,,,,,,,
2484,2014年度,,                324690,                324690,,,                231010,                  9391,                    -32,                    213,                 11977,                 -1162,                -18353,                  6560,                  6468,,                              0,,,,                   -970,               -178410,                 32606,                 21141,                  6473,                 -1549,               -120709,,                  8562,                  7035,                 -4975,                   -834,,                  9446,               -111263,                145847,                470537,                  1162,                    823,                -12074,                -30981,                429467,,,                    490,               -130042,                -83082,                    169,                 -1891,                 -9832,,               -224188,,                -14265,                450000,               -528229,                     -5,,                -94486,                 36683,               -144167,                -20156,                 40956,                621894,                662850,                662850,,,,                 11038,                257110,                              0,                   -342,                              0,                              0,                  6135,                              0,                              0,,,,,,,,,
2484,2014年01月01日至2014年09月30日,,                194469,                194469,,,                174464,                  8133,                  2021,                    476,                 11597,                   -911,                -14011,                  4569,                  6468,                              0,                 -3558,                189248,,,                     36,               -168460,                 -3455,                 10807,                 -1422,                 -2560,               -165054,,                 -1093,                -20396,                -22132,                  4061,                    -32,                -39592,               -204646,                -15398,                179071,                    911,                    824,                -11060,                -30907,                138839,,                -30000,                    490,                -54653,                -66332,                  1548,                   -247,                 -5684,                              0,               -154878,,                -14265,                446436,               -527420,                              0,                     -1,                -94486,                 11788,               -177948,                  6537,               -187450,                621894,                434444,                434444,,,,,,,,,,,,,,,,,,,,,
2484,2014年01月01日至2014年06月30日,,                102179,                102179,,,                117551,                  6479,                   -286,                   -576,                  8105,                   -598,                 -8885,                  3781,,                              0,                -10345,                115226,,,                 -2472,                 -2237,                   -810,                -11865,                   -836,                 -4988,                -23208,,                -66356,                -32766,                -20847,                  3338,                    162,               -116469,               -139677,                -24451,                 77728,                    598,,                 -7905,                -21126,                 49295,,                -30000,,                -54653,                -35368,                    947,                              0,                 -5265,                              0,               -124339,,                -14265,                427427,               -529087,                      3,                              0,,                  1321,               -114601,                  5271,               -184374,                621894,                437520,                437520,                              0,,,,,,,,,,,,,,,,,,,,
2484,2014年01月01日至2014年03月31日,,                 50496,                 50496,,,                 59005,                  3959,                              0,                     45,                  5789,                   -167,                 -4155,                  2228,,,                 -3535,                 63169,,,                  1819,                 58143,                    461,                -15087,                 -2763,                    -19,                 42554,,                -24831,                -49362,                -18120,                  9989,                    146,                -82178,                -39624,                 23545,                 74041,                    167,,                 -5701,                   -251,                 68256,,,,                -54653,                -10629,                  2515,                              0,                 -6995,,                -69762,,                -14265,                397427,               -509412,                      3,,,,               -126247,                     65,               -127688,                621894,                494206,                494206,,                              0,,,,,,,,,,,,,,,,,,,
2484,2013年度,,                180408,                180408,,,                239783,                 17283,                 -1344,                    652,                 16606,                 -1555,                 -1958,                  6420,                              0,,                  7927,,,,                 -1185,               -115307,                -30995,                 98050,                    -52,                 10193,                -39186,,                 69178,                 50099,                 13081,                 -5332,,                128682,                 89496,                373310,                553718,                  1555,                  2883,                -16154,                -11899,                530103,,,                              0,                 -9282,               -208763,                 56430,                 -4221,                 19722,,               -178467,,                -16875,                217107,               -266135,                     26,,                              0,                              0,                -78775,                -31903,                240958,                380936,                621894,                621894,,,,                              0,                283814,                    110,                  1656,                -23404,                 -8949,                 14265,                -27400,                    237,,,,,,,,,
2484,2013年01月01日至2013年12月31日,,                180408,                180408,,,                239783,                 17283,                 -1344,                    652,                 16606,                 -1555,                 -1958,                  6420,                              0,,                -18597,,,,                 -1185,               -115307,                -30995,                124574,                    -52,                 10193,                -12662,,                 69178,                 50099,                 13081,                 -5332,,                128682,                116020,                373310,                553718,                  1555,                  2883,                -16154,                -11899,                530103,,,,                 -9282,               -208763,                 56430,                 -4221,                 19722,,               -178467,,                 -2610,                217107,               -266135,                     26,,,,                -78775,                -31903,                240958,                380936,                621894,                621894,,,,                              0,                257290,                    110,                  1656,                -23404,                 -8949,,                -27400,                    237,,,,                              0,                              0,,,,
2484,2013年01月01日至2013年09月30日,,                137869,                137869,,,                180973,                 13231,                  3713,                     44,                 13655,                   -757,                 -1086,                  3370,                              0,,                -43719,,,,                 -1245,               -107516,                 -1792,                 98798,                 -1497,                 13941,                    695,,                 61565,                -20087,                  6541,                  2770,,                 52773,                 53468,                222892,                360761,                    757,                              0,                -13247,                -11653,                336618,,,                              0,                 -9282,               -181548,                127603,                 -4221,                -84829,,               -184683,,                 -1720,                188577,               -110140,                     31,,                              0,                              0,                 54183,                -77127,                128991,                380936,                509927,                495672,,,,,                169424,                      6,                  1984,                -23457,                 -8949,                  4847,                -27400,,                              0,                    -12,                 14255,,,,,,
