證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應付票據－關係人增加（減少）,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 短期借款減少,　　　　 不動產、廠房及設備轉列費用數
3189,2015年度,,              3205248,              3205248,,,              3196903,                 34432,                -19603,                -24586,                 56968,                -86116,                108807,                -30845,                 14211,              3250171,,,              1623650,                  4417,               -529703,                187497,                111215,                   -774,               -122467,                -60704,                -44397,                 13291,              1182025,,                 14473,                 10050,                              0,                 73374,                     -8,                -11246,                 -2035,                 -4241,                 80367,              1262392,              4512563,              7717811,                 90561,                -55519,               -814278,              6938575,,                 46520,                              0,                 35715,                              0,             -5000206,                  1680,                   -363,                              0,                -44806,             -4961460,,              1288134,              1084751,             -1310123,                              0,                -29106,             -1784000,                -32885,                              0,               -783229,                 10806,              1204692,             11541615,             12746307,             12746307,,,,,,,,
3189,2015年01月01日至2015年09月30日,,              2197976,              2197976,,,              2370896,                 24242,                -13088,                 23309,                 39308,                -64920,                108738,                -74577,                 14202,              2428110,,,              1582621,                  4887,               -568899,                -12882,                 63656,                 -1399,                -13353,                -88467,                  6302,                  5484,                977950,,                 -3368,                -26730,                              0,                -89780,                     67,                -15432,                 -9215,                 -3181,               -147639,                830311,              3258421,              5456397,                 69486,                -39197,               -801098,              4685588,,                 46520,,                 35551,                              0,             -3586096,                  1687,                              0,                  1756,                -25880,             -3526462,,              1610674,                428700,               -914159,                -21500,,             -1784000,                -32895,                              0,               -713180,                 10011,                455957,             11541615,             11997572,             11997572,                              0,,,,,,,
3189,2015年01月01日至2015年06月30日,,              1325694,              1325694,,,              1560671,                 15434,                -11817,                -14099,                 25628,                -44386,                108450,                -31068,                 14165,              1622978,,,                 17317,                  1054,                -36700,                 80412,                -54177,                   -333,                 17812,                -73775,                  3820,                 10298,                -34272,,                 35028,               -274535,                              0,                -30702,                    -87,                -10364,                -20128,                 -2128,               -302916,               -337188,              1285790,              2611484,                 48525,                -25180,               -448793,              2186036,,                 46520,                              0,                 38729,                              0,             -2406764,                  1674,                 -1003,                              0,                -17452,             -2338296,,                352453,                311283,               -694869,                  7878,                              0,,,,                -23255,                  9331,               -166184,             11541615,             11375431,             11375431,                              0,,,,,,,
3189,2015年01月01日至2015年03月31日,,                670948,                670948,,,                770527,                  7762,                 -9906,                 -7167,                 12229,                -22103,                              0,                -30957,,                720385,,,                 16259,                  5767,                 23021,                 95867,                 47947,                     66,                 11635,                -39856,                 21341,                  5953,                188000,,                 -1983,               -191620,                              0,               -156716,                    -44,                -14549,                -23107,                 -1071,               -389090,               -201090,                519295,              1190243,                 21175,                -13071,                 -2937,              1195410,,                 46520,,                 18296,,             -1184823,                              0,                   -549,                              0,                 -9899,             -1130455,,                 57957,                              0,               -345370,                  7216,,,,                -30226,               -310423,                 37151,               -208317,             11541615,             11333298,             11333298,                              0,,,,,,,
3189,2014年度,,              4151072,              4151072,,,              3018003,                 26567,                  5876,                -26895,                 56482,                -96170,                    724,                -26135,                              0,              2958452,,,                 28033,                 63131,                -32739,                124063,                 45116,                    622,               -157472,                 14168,                -26170,                 -9195,                 49557,,                    942,                101197,                   -163,                411866,                    302,                 21638,                 -2478,                 -3973,                529331,                578888,              3537340,              7688412,                 93723,                -57162,               -837885,              6887088,,                 51620,                              0,                 43601,                -50000,             -3348791,                  8113,                 -3661,                              0,                -32271,             -3331389,,                225442,                524402,             -1238051,                              0,                -33678,             -1561000,                              0,                292537,             -1790348,                -11563,              1753788,              9787827,             11541615,             11541615,,,              2958452,                 -3973,                              0,                 43601,                              0,
3189,2014年01月01日至2014年09月30日,,              3531894,              3531894,,,              2245572,                 18947,                -13099,                -19719,                 43577,                -72027,                    835,                -26069,                              0,              2178017,,,                -27937,                 67613,               -736037,                 44583,               -165957,                    680,               -246774,                -17303,                 -7649,                  1801,             -1086980,,                 -1261,                415265,                   -163,                410613,                              0,                  6821,                  2744,                 -1975,                832044,               -254936,              1923081,              5454975,                 69634,                -43791,               -834451,              4646367,,                 51620,,                 32336,                -50000,             -2531641,                  7930,                   -850,                              0,                -21931,             -2512536,,                879831,                 70000,               -960102,                -20574,,             -1561000,                              0,                226248,             -1365597,                 -3253,                764981,              9787827,             10552808,             10552808,                              0,,,,,,,
3189,2014年01月01日至2014年06月30日,,              2341860,              2341860,,,              1477991,                 12036,                 -2812,                -13241,                 30204,                -48175,                     89,                -25637,                              0,              1430455,,,                     25,                 61630,               -779587,                 56911,                -47294,                    703,               -144248,                -53758,                 16497,                  5223,               -883898,,                  3900,                271955,                   -163,                336084,                              0,                 26282,                -40608,                 -1994,                595456,               -288442,              1142013,              3483873,                 46760,                -28955,               -498191,              3003487,,                 51619,                              0,                  7523,                -50000,             -1453536,                  1387,                              0,                  1740,                -18951,             -1460218,,                465794,                 70000,               -660622,                              0,                -14267,,,,               -139095,                   -194,              1403980,              9787827,             11191807,             11191807,                              0,,,,,,,
3189,2014年01月01日至2014年03月31日,,                893789,                893789,,,                729336,                  4694,                   -957,                 -7211,                 14980,                -22057,                     90,                              0,,                718875,,,                -40000,                 47228,               -274443,                105765,               -112982,                    508,                 42175,                 -1456,                 15762,                 -1989,               -219432,,                 -1780,                -83433,                   -163,                -30478,                              0,                    424,                -12957,                   -994,               -129381,               -348813,                370062,              1263851,                 21849,                -14174,                 -1508,              1270018,,                              0,,                 19859,,               -792349,                  1412,                              0,                  1870,                 -9229,               -778437,,                155335,                 70000,               -279985,                 59465,,,,                 27750,                 32565,                -35415,                488731,              9787827,             10276558,             10276558,                              0,,,,,,,
3189,2013年度,,              3663348,              3663348,,,              2915154,                 15563,                -27767,                -22949,                 55589,                -87324,                 -5074,                -10732,,,,,               -700000,                -13234,                150701,                -84700,                188275,                   -917,                -31882,                -22896,                 -8492,                 -9058,               -532203,,                   -243,                -28573,                    163,                515199,                              0,                -12026,                 16059,,                486395,                -45808,              2786652,              6450000,                 98539,                -56613,               -414693,              6077233,,                 10597,,,                              0,             -3629501,                 17859,                              0,                 24578,                -21302,             -3676195,,                              0,                305065,             -1070196,                 14349,                              0,             -1338000,,                221670,             -2084307,               -163629,                153102,              9634725,              9787827,              9787827,,,              2832460,                 -4184,                -78426,                              0,               -217195,
3189,2013年01月01日至2013年12月31日,,              3663348,              3663348,,,              2915154,                 15563,                -27767,                -22949,                 55589,                -87324,                 -5074,                -10732,                              0,,,,               -700000,                -13234,                150701,                -84700,                188275,                   -917,                -31882,                -22896,                 -8492,                 -9058,               -532203,,                   -243,                -28573,                    163,                515199,,                -12026,                 16059,,                486395,                -45808,              2786652,              6450000,                 98539,                -56613,               -414693,              6077233,,                 10597,,,,             -3629501,                 17859,                              0,                 24578,                -21302,             -3676195,,                              0,                305065,             -1070196,                 14349,,             -1338000,,                221670,             -2084307,               -163629,                153102,              9634725,              9787827,              9787827,                              0,,              2832460,                 -4184,                -78426,,               -217195,
