證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 預付設備款增加,　　 其他預付款項增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債減少,　　 發放現金股利,　　 現金增資,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得無活絡市場之債務工具投資,　　 短期借款減少,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 其他非流動資產減少,　　 其他非流動負債增加,　　 其他應付款－關係人減少
1589,2015年01月01日至2015年09月30日,,              1224743,              1224743,,,                346876,                  2404,                  6504,                 -1235,                 28276,                -43056,                  1409,                  1630,                -36379,                  5902,                312331,,,               -101856,               -500003,                 74769,                -35809,                 32678,               -530221,,                    479,                -30215,                 53932,                102264,                  9783,                136243,               -393978,                -81647,              1143096,                 -8456,               -277731,                856909,,                              0,               -582428,                    982,                 -2741,                -17382,               -599641,                -67125,                 43613,             -1224722,,                 81224,              2493454,                  6427,                              0,                              0,               -667094,                              0,                              0,              1914011,                 44835,              1591033,              2942384,              4533417,              4533417,,,,,,,,,,
1589,2015年01月01日至2015年06月30日,,                753745,                753745,,,                228211,                  1480,                    380,                -21548,                 16596,                -29718,                    832,                 -4090,                 -2349,                  3699,                193493,,,                  5827,               -409824,                128210,                 14507,                 88264,               -173016,,                    479,               -222972,                -11894,                 24275,                  4518,               -205594,               -378610,               -185117,                568628,                 -4381,               -163661,                400586,,,               -281736,                    352,                              0,                      5,               -396770,                -65319,                 30695,               -712773,,                 30344,                              0,,                              0,                              0,,,,                 30344,                -52226,               -334069,              2942384,              2608315,              2608315,                              0,,,,,,,,,
1589,2015年01月01日至2015年03月31日,,                310900,                310900,,,                114086,                    746,                   -110,                -25650,                  8738,                -15592,                     76,                  2078,                 22157,                  1788,                108317,,,                 28994,                -93499,                106482,                -16797,                 75222,                100402,,                  1379,               -160526,                -97134,                -27935,                  7699,               -276517,               -176115,                -67798,                243102,                 -2457,                -50476,                190169,,                              0,                -57748,                    123,,               -235138,               -330869,,                 16592,               -607040,,                              0,,                    358,,                              0,,,,               -124372,                -21844,               -563087,              2942384,              2379297,              2379297,,               -124730,,,,,,,,
1589,2014年度,,              1321077,              1321077,,,                428078,                  2298,                -66501,                   -329,                 54848,                -45441,                    261,                  5717,                -16670,                  6869,,,,                -25630,                160156,               -235836,                  5684,                -16743,               -112369,,                  1943,                 72680,                 86667,                 99293,                 -5050,                255533,                143164,                512294,              1833371,                -39299,               -298759,              1495313,,,               -268270,                    868,                 -1009,                 -6601,               -341440,                              0,                 43763,               -548018,,,              1496286,,               -719190,                    -23,               -353112,                468854,                116125,                319104,                119274,              1385673,              1556711,              2942384,              2942384,,               -689836,,                              0,                369130,                              0,                 24671,,,
1589,2014年01月01日至2014年09月30日,,                961819,                961819,,,                318020,                  1771,                -44148,                  1810,                 44675,                -29089,                    255,                   -927,                 24187,                  5120,                321674,,,                -30354,                 33883,               -190930,                 29206,                -78237,               -236432,,                  1943,                190903,                 54276,                 65742,                 -6187,                306677,                 70245,                391919,              1353738,                -36272,               -236182,              1081284,,                 24519,               -188004,                  1003,                 -1003,                 -6857,               -313058,                              0,                 28839,               -454561,,               -576560,              1496286,                              0,               -714336,                    -23,               -353112,                468854,                 34838,                355947,                 28563,              1011233,              1556711,              2567944,              2567944,,,,,,,,,,
1589,2014年01月01日至2014年06月30日,,                665014,                665014,,,                212805,                  1237,                -37042,                  3562,                 34638,                -18086,                    127,                 -1791,                  7140,                  3425,                206015,,,                -56832,                -49982,               -116605,                 26665,                -37472,               -234226,,                  1943,                202206,                  4084,                 21101,                 -4216,                225118,                 -9108,                196907,                861921,                -33219,               -142485,                686217,,,                -95021,                    836,                   -949,                -24512,               -143867,                              0,                 17745,               -253640,,               -670574,              1496286,,               -716974,                    -23,,,,                108715,                 -4031,                537261,              1556711,              2093972,              2093972,                 -7872,,,,,,,,,
1589,2014年01月01日至2014年03月31日,,                267465,                267465,,,                106721,                    600,                -15814,                 12759,                 14762,                 -6464,                    270,                 -3176,                 -3007,                  1724,                108375,,,                  3755,                   -436,               -145951,                 11123,                 45459,                -86050,,                  1943,                 -8506,                 86117,                -37078,                 -4043,                 38433,                -47617,                 60758,                328223,                -14026,                -70487,                243710,,                  4952,                -44805,                     54,,                 -4751,                -71315,,                  6370,               -109495,,                 38037,,                 75513,,                    -23,,,,                113527,                 21080,                268822,              1556711,              1825533,              1825533,,                              0,,,,,,,,
1589,2013年度,,                729576,                729576,,,                408888,                  2147,                 62094,                 -1902,                 71270,                -14507,                  1978,                -16508,                 -8229,                  7025,,,,                 -6009,               -464450,                -90445,               -148758,               -174262,               -883924,,                              0,                339452,                 96910,                 19835,                 18739,                474936,               -408988,                179671,                909247,                -71943,               -159725,                677579,,,                -97166,                 19286,                 -3170,                 -1590,               -106129,                 10198,                 14507,               -188028,,,                              0,,                -65415,                   -289,               -262311,                              0,                              0,               -436809,                 73770,                126512,              1430199,              1556711,              1556711,,               -108794,,                 76403,                588659,                -23964,                              0,,,
1589,2013年01月01日至2013年12月31日,,                729576,                729576,,,                408888,                  2147,                 61354,                 -1902,                 71270,                -14507,                  1978,                -16508,                 -8229,                  7025,,,,                 -6009,               -463710,                -90445,               -148758,               -174262,               -883184,,,                339452,                 96910,                 19835,                 18739,                474936,               -408248,                179671,                909247,                -71943,               -159725,                677579,,,                -97166,                 19286,                 -3170,                   -103,               -106129,                 10198,                 14507,               -188028,,,,                              0,                -65415,                   -289,               -262311,                              0,,               -436809,                 73770,                126512,              1430199,              1556711,              1556711,,               -108794,,                 76403,                587919,                -25451,,                              0,                              0,                              0
1589,2013年01月01日至2013年09月30日,,                523905,                523905,,,                304810,                  1546,                 45100,                   -445,                 52430,                 -5669,                    317,                -16204,                   -786,                  5346,,,,                -37386,               -365650,                -30177,               -106719,               -193626,               -733558,,                              0,                 70129,                149039,                  9886,                 37231,                266285,               -467273,                -80828,                443077,                -52426,               -103791,                286860,,,                -45286,                  7247,                 -2431,                              0,                -77767,                 10177,                  5669,               -139926,,                200473,                              0,,                -49898,                              0,               -262311,                              0,                              0,               -111736,                 40561,                 75759,              1430199,              1505958,              1505958,,,,,                386445,                -37728,                              0,                    193,,
