證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 預付設備款增加,　　 其他預付款項增加,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他籌資活動,　　 處分無形資產,　　　 不影響現金流量之收益費損項目,　　　　 處分無形資產損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　　　 非金融資產減損損失,　　　　　 應付票據增加（減少）,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 備供出售金融資產減資退回股款,　　 員工執行認股權,　　　　　 其他營業負債增加（減少）
2457,2015年01月01日至2015年09月30日,,               -432703,               -432703,,,                290365,                 12174,                  4677,                 -3829,                 22124,                -16292,                 -5542,                  5070,                   -733,                -13075,                              0,                 -9550,                  2964,                288353,,,               -286616,                 40789,                -15815,                    375,               -159767,               -421034,,                 40709,                -31962,               -168963,                 10183,                    -92,               -150125,               -571159,               -282806,               -715509,                 13876,                 -3086,                -65086,               -769805,,                -61971,                              0,                 54750,               -540938,                 10397,                              0,                 10952,                 -6423,                 -5165,                              0,                 15325,                 22139,               -500934,,                 98610,                              0,                              0,               -134969,                700000,                              0,                              0,                   -301,               -133062,                530278,                 39428,               -701033,              2152834,              1451801,              1451801,,,,,,,,,,,,,,,,
2457,2015年01月01日至2015年06月30日,,               -370418,               -370418,,,                193286,                  8175,                  2949,                 -2293,                 13907,                -10986,                 -5542,                   -288,                    341,                 -4254,                              0,,                  1972,                197267,,,               -142539,                 60474,                -74902,                   -289,               -215490,               -372746,,               -139458,                -28556,               -199526,                  7584,                    -68,               -360024,               -732770,               -535503,               -905921,                 10772,                 -1343,                -45885,               -942377,,,                 56238,,               -371088,                 23315,                              0,                  1217,                 -4436,,                              0,                 15325,                 10027,               -269402,,,                              0,                              0,,,                              0,,                   -237,,                   -237,                -19162,             -1231178,              2152834,                921656,                921656,                              0,,,,,,,,,,,,,,,
2457,2015年01月01日至2015年03月31日,,               -119645,               -119645,,,                 97160,                  5092,                 -1461,                 -3989,                  6832,                 -5166,,                    -22,                 -3873,,                              0,,,                 94573,,,                320678,                 62083,                -96483,                 32559,,                318837,,               -244139,                -14022,               -243783,                 -1899,                    -38,               -503881,               -185044,                -90471,               -210116,                  4908,                   -596,                -18147,               -223951,,               -172815,                              0,,               -136047,                  7132,                              0,                    489,                 -1773,                 -3347,                              0,,,               -305665,,                              0,,,,                              0,,,                    -77,,                    -77,                -16189,               -545882,              2152834,              1606952,              1606952,,                    696,,,,,,,,,,,,,,
2457,2014年度,,                297764,                297764,,,                400566,                 18815,                 -2405,                 -3106,                 25513,                -20064,                 -4373,                -11794,                -50716,                              0,                 11200,,,,,,                 -5604,                -72025,                 69756,                184079,                  1989,                178195,,                220058,                -10394,                 30440,                -13006,,                226845,                405040,                764781,              1062545,                 18843,                -11301,               -134838,                935249,,               -140733,,                 20948,               -747837,                163481,                -21310,                              0,                -13723,                              0,                -25468,                 10686,,               -732859,,                              0,               -100000,              1497331,,                              0,               -800000,                  3805,                              0,               -137281,                463855,                 63844,                730089,              1422745,              2152834,              2152834,,                  5562,,                 -3895,                359741,                   -253,                              0,                              0,                              0,                 15535,,,,,,
2457,2014年01月01日至2014年09月30日,,                196444,                196444,,,                302733,                 10922,                  1046,                              0,                 18283,                -13999,                 -4373,                 -4228,                 21039,                              0,                 11200,                              0,                  2861,                345484,,,               -365435,                 -4293,                116691,                198074,                              0,                -54963,,                219237,                -30377,                -72743,                -15949,                    638,                100806,                 45843,                391327,                587771,                 12953,                -10423,               -108631,                481670,,                              0,                 50957,                              0,               -440885,                 26431,                -18511,                              0,                -13123,                              0,                -25468,                 10686,                  7043,               -402870,,                              0,               -100000,              1497331,                              0,                              0,               -800000,                    112,                              0,               -137281,                460162,                 17815,                556777,              1422745,              1979522,              1979522,,,,,,,,,,,,,,,,
2457,2014年01月01日至2014年06月30日,,                 91290,                 91290,,,                203840,                  6963,                 -1381,                              0,                 11356,                 -7029,                 -4373,                 -1839,                  8985,                              0,                 11200,,                  1895,                229617,,,               -388008,                 -6443,               -157466,                187576,                              0,               -364341,,                347939,                   -315,                -42482,                -18462,                    417,                287097,                -77244,                152373,                243663,                  6993,                 -9837,                -81883,                158936,,,                 50957,,               -282384,                 25470,                 -4879,                              0,                -11403,,                -25468,                 10686,                  7043,               -229978,,,               -100000,              1503000,,,               -800000,,                     -3,,                597328,                  1148,                527434,              1422745,              1950179,              1950179,                 -5669,,,,,,,,,,,,,,,
2457,2014年01月01日至2014年03月31日,,                 26622,                 26622,,,                105352,                  4416,                   -200,                              0,                  4372,                 -3040,,                 -5412,                  1759,,                 11200,,,                118447,,,                -74972,                    943,               -157846,                -94028,,               -325903,,                 98337,                  2084,               -144362,                -10940,                    205,                -54676,               -380579,               -262132,               -235510,                  2835,                 -3836,                -26654,               -263165,,                              0,                  4073,,               -109524,                 10304,                 -4827,                              0,                 -2594,                -21825,                -25013,,,               -149406,,                482970,,,,                200000,,,                              0,,                682970,                 19768,                290167,              1422745,              1712912,              1712912,,                              0,,,,,,,,,,,,,,
2457,2013年度,,                296836,                296836,,,                420115,                 18639,                 -5293,                              0,                  8867,                -10717,                   -234,                 -5006,                  3000,                    169,                              0,,,,,,                -54045,                 22011,                -25840,               -171614,                  3924,               -225564,,                -62155,                 61591,                -57555,                 11111,,                -47167,               -272731,                156809,                453645,                 10740,                 -7337,               -152142,                304906,,                -50957,,                              0,               -734276,                 14265,                              0,                  2392,                -18372,               -105967,                              0,                  6419,,               -877999,,                100000,                              0,                              0,,                600000,                              0,                              0,                    -87,               -277164,                422749,                 29801,               -120543,              1543288,              1422745,              1422745,,                    122,,                              0,                429540,                   -159,                 31092,                -49996,                 10483,                 16796,,,,,,
2457,2013年01月01日至2013年12月31日,,                296836,                296836,,,                420115,                 18639,                 -5293,,                  8867,                -10717,                   -234,                 -5006,                  3000,                    169,,,,,,,                -54045,                 22011,                -70853,               -171614,                  3924,               -270577,,                -62155,                 61591,                -57555,                 11111,,                -47167,               -317744,                156809,                453645,                 10740,                 -7337,               -152142,                304906,,,,                              0,               -840243,                 14265,,                  2392,                -18372,,                              0,                  6419,                 16796,               -877999,,                100000,,,,                600000,,,                    -87,               -277164,                422749,                 29801,               -120543,              1543288,              1422745,              1422745,,                    122,,,                474553,                   -159,                 31092,                -49996,                 10483,,                 45013,,                -50957,                              0,                              0,
2457,2013年01月01日至2013年09月30日,,                281201,                281201,,,                316356,                 13842,                 -4255,,                  5212,                 -7562,                   -234,                   -229,                  1639,                    169,                              0,,,,,,               -256049,                 22667,               -238733,               -133568,                -36137,               -641820,,                252557,                 71061,                -87160,                 -1747,,                234585,               -407235,                -40576,                240625,                  7580,                 -4203,               -115834,                128168,,               -139306,                              0,,               -594172,                 21298,                              0,                  4685,                -13942,,                              0,                  6419,,               -711827,,                200000,                              0,                              0,,                400000,                              0,                              0,                   -105,               -277164,                322731,                 13210,               -247718,              1543288,              1295570,              1295570,,                    122,,,                366659,                   -126,                 31092,                -49996,                 10483,                 11490,                 41721,,,,,
