證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分其他資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 應付短期票券增加,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　 處分備供出售金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 應付短期票券減少,　　 處分投資性不動產,　　 其他非流動負債增加,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　　　　 其他金融負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 其他非流動負債減少,　　　　　 其他營業資產（增加）減少,　　 處分採用權益法之投資,　　 預付投資款增加
1717,2015年01月01日至2015年09月30日,,              2439339,              2439339,,,              1107102,                 13521,                 95087,                 -5266,                232935,                -98145,                -30605,               -107567,                  6812,                              0,                              0,                              0,                 17439,              1231313,,,                186063,                  1248,               -530825,                 14675,                457661,               -369346,               -240524,,                  5266,                 -6834,               -188567,                 42911,                  2979,                 11910,               -132335,               -372859,                858454,              3297793,                125714,                329569,               -232399,               -379494,              3141183,,                              0,                 12403,               -196497,             -2822696,                  5021,                 -6389,                -63693,                 37074,              2107723,               -927054,,                              0,               -819611,             11497619,             -9242644,                              0,                   -986,             -1839904,                 17913,               -387613,                350477,              2176993,              5417390,              7594383,              7594383,,,,,,,,,,,,,,,,
1717,2015年01月01日至2015年06月30日,,              1473539,              1473539,,,                731859,                  8787,                 78729,                 -4615,                151429,                -65976,                 -1250,                -67713,                  2919,                              0,                              0,                              0,                 11511,                845680,,,                242434,                  1793,               -398438,                -17742,                121042,               -189897,               -240808,,                  4615,                -12386,                 64124,                 17779,                 -5966,                 10152,                 78318,               -162490,                683190,              2156729,                 97909,                  1250,               -150819,               -273270,              1831799,,                              0,,               -148750,             -1538156,                  6962,                 -4624,,                 12712,              2528056,                856200,,              1326376,,              2657866,             -4449732,,                 -1071,,                  4531,                 37329,               -152189,              2573139,              5417390,              7990529,              7990529,                499359,,,,,,,,,,,,,,,
1717,2015年01月01日至2015年03月31日,,                657198,                657198,,,                373281,                  4361,                 51355,                 -2963,                 78336,                -34695,,                -24764,                  1389,,,                              0,                  6212,                452512,,,                185424,                    618,                373244,                -10167,                267739,               -231293,                585565,,                  2963,                    956,                -89961,               -175829,                 -4658,                 11677,               -254852,                330713,                783225,              1440423,                 41909,,                -78449,                -69341,              1334542,,,,,               -889593,                  4549,                   -745,                -29216,,              1506806,                591801,,                169018,,                487111,             -1099432,                    474,,,                  6819,               -436010,                -95386,              1394947,              5417390,              6812337,              6812337,,,,,,,,,,,,,,,,
1717,2014年度,,              3007562,              3007562,,,              1484769,                 16120,                 61975,                -10064,                333994,               -167735,                -28441,               -108702,                  6427,                 -1561,                   -578,                 30766,                 22700,,,,               -512626,,                -92188,,               -348592,                143870,               -809536,,                 10064,                -72678,               -430620,                135888,                -25820,                 48590,               -334576,             -1144112,                495558,              3503120,                177096,                161334,               -330197,               -610196,              2901157,,,,                              0,             -1873156,                 12328,                -26887,               -252093,                  7723,               -302412,             -2434497,,             -1116301,,             11193356,             -8932274,                    770,,             -1389356,                169963,                -73842,                179680,                572498,              4844892,              5417390,              5417390,,,                              0,              1639670,                              0,                              0,                              0,,,,,,,,,
1717,2014年01月01日至2014年09月30日,,              2229854,              2229854,,,              1079859,                 11449,                 46498,                 -7830,                250679,               -127900,                -28441,                -63759,                  5701,                 -1490,                   -478,                  9192,                 16622,              1190102,,,               -181074,                   -835,               -506212,                -64574,               -391678,               -243222,             -1387595,,                  7830,                -31112,                287172,                134415,                -76854,                 46867,                368318,             -1019277,                170825,              2400679,                109123,                 97395,               -241454,               -409182,              1956561,,                    513,                              0,                              0,             -1256607,                 15888,                -21277,               -258329,                 11305,               -106631,             -1615138,,                502813,                              0,              9564579,             -8064400,                    555,                              0,             -1389356,                169961,                784152,                  6463,              1132038,              4844892,              5976930,              5976930,,,,,,,,,,,,,,,,
1717,2014年01月01日至2014年06月30日,,              1287373,              1287373,,,                719597,                  7365,                 33199,                 -5140,                169024,                -83758,                              0,                -40155,                  5037,                 -1483,                   -478,                  9192,                  9584,                821984,,,                153656,                 -1073,               -249123,                -38678,               -192176,               -186598,               -513992,,                  5140,                -75143,                 50959,                 28929,                -60982,                 37251,                -13846,               -527838,                294146,              1581519,                 65482,                              0,               -159409,               -302358,              1185234,,                    513,,                              0,               -898153,                 12876,                 -9250,,                -59706,                141971,               -811749,,                  6854,,              6405453,             -5131043,,                              0,,                141962,              1423226,                 -1576,              1795135,              4844892,              6640027,              6640027,                              0,,,,,,,,,,,,,,,
1717,2014年01月01日至2014年03月31日,,                481979,                481979,,,                367452,                  3469,                 14391,                 -1319,                 84273,                -37940,,                -22716,                  2424,,,                  8948,                  4677,                423659,,,               -215119,                    459,              1170323,                -38044,                -22115,                 96575,                992079,,                  1319,                -40441,               -248624,               -344313,                -55274,                 29979,               -657354,                334725,                758384,              1240363,                 18501,,                -76767,               -118836,              1063261,,,,,               -527465,                  3905,                 -1400,                 23241,,               -177353,               -679072,,               -214455,,              2552585,             -1120481,                 -2122,,,                              0,              1215527,                 10725,              1610441,              4844892,              6455333,              6455333,,,,,,,,,,,,,,,,
1717,2013年度,,              2612397,              2612397,,,              1407881,                 47558,                 -5115,                -21638,                320086,               -136639,                -22737,                -76190,                  2577,                              0,                 -1326,                              0,                 18547,,,,               -137463,,             -1103354,,                -31352,                379471,               -892698,,                 21190,                 58742,                -37122,                182715,                -30773,                 22328,                217080,               -675618,                856415,              3468812,                102952,                274354,               -319779,               -442200,              3084139,,,,                -58610,             -1437631,                 61164,                 -3716,                 -4981,                              0,               -791112,             -2281698,,                249688,,             14541892,            -13682573,                    936,,             -1091637,                 14185,               -417192,                328639,                713888,              4131004,              4844892,              4844892,,,                   -971,              1532033,                 67012,               -113824,               -449683,,,,,,,,,
1717,2013年01月01日至2013年12月31日,,              2612397,              2612397,,,              1407881,                 47558,                -15557,                -21638,                320086,               -136639,                -22737,                -76190,                  2577,,                 -1326,,                 17576,,,,               -137463,,             -1092912,,                -31352,                500084,               -761643,,,                 58742,                -37122,                182715,                -30773,,                241851,               -519792,              1001799,              3614196,                102952,                153741,               -319779,               -442200,              3108910,,                 30676,,                -58610,             -1437631,                 61164,                 -3716,                 -4981,,               -821788,             -2281698,,                249688,,             14541892,            -13682573,,,             -1091637,                 14185,               -441963,                328639,                713888,              4131004,              4844892,              4844892,               -449683,,,              1521591,                 67012,               -113824,,                              0,,,                 21190,                 47099,                -23835,,,
1717,2013年01月01日至2013年09月30日,,              1870963,              1870963,,,              1050118,                 32762,                -10658,                -20603,                238909,                -99546,                -22737,                -71848,                  1556,                              0,                 -1325,                              0,                 82434,,,,                111414,,             -1134487,,                247793,                397892,               -377388,,                 20155,                 49295,               -182584,                180435,                -74366,                 20837,                 13772,               -363616,                815446,              2686409,                 71331,                 22709,               -246710,               -325287,              2208452,,                              0,,                              0,             -1118603,                 43254,                 -3346,                -23864,                              0,             -1248851,             -2418210,,                367761,,             17687657,            -15843282,                    488,,             -1091637,                -21524,                649780,                198281,                638303,              4131004,              4769307,              4769307,,,,              1179062,                 47024,               -113824,               -449683,,,,,,,,,
