證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分備供出售金融資產,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 預付設備款增加,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應收帳款－關係人（增加）減少,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 其他金融資產減少,　　 存入保證金增加,　　 非控制權益變動,　　 短期借款減少,　　　　 不動產、廠房及設備轉列費用數,　　　　　 其他應付款－關係人增加（減少）,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得採用權益法之投資,　　 應付短期票券減少,　　 償還長期借款,　　 附買回票券及債券負債增加,　　 停業單位稅前淨利（淨損）,　　　　　 其他金融資產（增加）減少,　　　　　 應付票據－關係人增加（減少）,　　 其他符合國際會計準則第七號現金及約當現金定義之項目
3044,2015年度,,              3530615,              3530615,,,              2994663,                 84846,                 -5952,                -93335,                144106,               -339598,                              0,                  6228,                              0,                -19929,                223151,                 60758,                 87150,              3142088,,,                233598,                -48766,                506738,                177853,               -135765,                493168,                  6165,              1232991,,               -250953,                              0,               -408274,                285880,                    996,                -36643,                 18744,               -390250,                842741,              3984829,              7515444,                289311,               -144044,               -554772,              7105939,,                147956,                              0,                              0,             -2156372,                 19051,                              0,                 29813,                -15169,                -98548,               -143074,                -11980,             -2228323,,              2048302,                -20717,             -1445416,                582169,                297590,              5757375,             21500716,             27258091,             27258091,,,,,,,,,,,,,,,,,,,,
3044,2015年01月01日至2015年09月30日,,              2544914,              2544914,,,              2242444,                 64056,                 -6139,               -146907,                107140,               -262733,                              0,                 -3142,                              0,                -19929,                203971,                 31097,                  6509,              2216367,,,                199129,                -69304,                 34579,                 98498,               -398402,                239357,                 11371,                115228,,               -186361,                              0,                 54396,                 81787,                  3963,               -122855,                 -3675,               -172745,                -57517,              2158850,              4703764,                227570,               -106254,               -488703,              4336377,,                 98733,                              0,                              0,             -1732075,                 15927,,                 29694,                -14567,               -112767,               -106642,                -11980,             -1880576,,                735612,                -15514,             -1445416,               -725318,                563727,              2294210,             21500716,             23794926,             23794926,                              0,                -46899,                              0,                              0,                              0,,,,,,,,,,,,,,,
3044,2015年01月01日至2015年06月30日,,              1363328,              1363328,,,              1472727,                 42781,                 -7357,               -184717,                 75849,               -197304,                              0,                   -449,,,                 82835,                  1928,                  4286,              1290579,,,                110194,                  3206,              1048067,                  6712,               -285882,                263099,                  5736,              1151132,,                -41228,                              0,               -698421,               -231841,                 -2662,               -294268,                  1017,             -1267403,               -116271,              1174308,              2537636,                181436,                -76499,               -477905,              2164668,,                 45578,,                              0,             -1221303,                  2871,,                 42395,                -11909,,               -199816,                -11980,             -1350237,,                              0,                -25402,,             -2600885,               -457097,             -2243551,             21500716,             19257165,             19257165,,,                  3927,,                              0,             -2575483,,,,,,,,,,,,,,
3044,2015年01月01日至2015年03月31日,,                629578,                629578,,,                721736,                 21297,                -12316,                -96594,                 37093,               -106384,                              0,                    858,,,                 69429,                -22214,                  2151,                615056,,,                 32527,                -25647,              1152884,                174769,               -380313,                143414,                  6476,              1104110,,                -34636,                              0,               -546599,               -134234,                 -3357,               -159686,                    508,               -878004,                226106,                841162,              1470740,                 56337,                -35422,                 -4355,              1487300,,,,,               -814800,                    373,                 -1772,,                 -8772,                 -7000,                -74896,,               -906867,,                147803,                -16645,,                131158,               -181213,                530378,             21500716,             22031094,             22031094,                              0,,                              0,                              0,,,                              0,                              0,,,,,,,,,,,,
3044,2014年度,,              3240021,              3240021,,,              2738341,                 77401,                  8380,               -170054,                137154,               -414017,                 20199,                 -5152,                    171,                              0,                159986,                 16765,                174047,              2743221,,,                144592,                146866,               -332123,                -57346,               -235436,               -191260,                 17013,               -507694,,                -97453,                     21,                144043,                837348,                 10824,               -129421,                 -3624,                761738,                254044,              2997265,              6237286,                451098,               -135194,               -391553,              6161637,,                154715,                 56979,                197574,             -2115181,                 22244,                 -7088,                              0,                -32413,                 -4540,               -385079,               -240382,             -2353171,,              4623803,                 -9111,             -1182613,              3432079,                907265,              8147810,             13352906,             21500716,             21500716,,,,,,,,,,,,,,,,,,,,
3044,2014年01月01日至2014年09月30日,,              2382929,              2382929,,,              2055072,                 57316,                   -542,               -155434,                100603,               -329628,                 12437,                 -7763,                    171,                              0,                222402,                 11966,                 13015,              1979615,,,                 94733,                106200,               -719564,                 29991,                 -1078,                -89929,                -11428,               -591075,,                -81729,                     21,                287998,                463344,                 11194,               -164004,                  1483,                518307,                -72768,              1906847,              4289776,                367764,               -100732,               -384357,              4172451,,                118670,                 56979,                197574,             -1061771,                 22080,,                  1573,                -19673,                 -4470,               -296805,               -240382,             -1226225,,              3480730,                -35618,             -1182613,              2262499,                252920,              5461645,             13352906,             18814551,             18814551,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,
3044,2014年01月01日至2014年06月30日,,              1451241,              1451241,,,              1395211,                 38285,                   -421,                -36074,                 64644,               -210985,                  7897,                 -3944,,,                155982,                  5982,                 10945,              1427522,,,                 28798,                 97180,                -85314,                 28088,                244721,                215028,                 11508,                540009,,                -79622,                     51,               -148399,                143448,                  3778,               -192641,                    989,               -272396,                267613,              1695135,              3146376,                227505,                -62845,               -380555,              2930481,,                 93395,,                -96980,               -636352,                  6884,,                  1277,                -19477,,               -334308,               -240382,             -1219757,,              2968848,                -19704,,              2949144,               -170754,              4489114,             13352906,             17842020,             17842020,,,                  6186,,                              0,                              0,,,,,,,,,,,,,,
3044,2014年01月01日至2014年03月31日,,                719373,                719373,,,                723495,                 19034,                   -709,                 33829,                 31845,                -99749,                  5583,                     74,,,                 28706,                 63818,                    842,                806768,,,                 57460,                111117,                582652,                 89551,                350176,                -29524,                 12041,              1173473,,                -53118,                     -2,               -573809,                -60774,                 -1868,               -200997,                    502,               -890005,                283468,              1090236,              1809609,                107471,                -30084,                 -4194,              1882802,,,,,               -363327,                     20,                   -900,,                -14473,                              0,               -274621,,               -647115,,              2141518,                              0,,              2148724,                102593,              3487004,             13352906,             16839910,             16839910,                              0,,                  6186,                  7206,,,                              0,                     61,,,,,,,,,,,,
3044,2013年度,,              2891717,              2891717,,,              3572017,                 65953,               -125862,               -161904,                 74037,               -183630,                 26234,                  3416,                              0,,                331332,                 -2454,                  4330,,,,                198756,                 -5392,               -251215,                167612,               -110531,                -98534,                  4135,                -94244,,                -13391,                     -7,                282250,               -411914,                 50798,                168491,,                 77897,                -16347,              3472981,              6364698,                123219,                -71156,             -2208439,              4208322,,,                              0,                              0,             -1094765,                 12645,                -30901,,                -26205,                              0,             -1074734,                -24926,             -2216907,,              2212708,                              0,             -1314015,                934613,                313181,              3239209,             10113697,             13352906,             13352906,                    925,,                 21979,                 38285,                 -2365,,                              0,,,               -114141,              3489328,                  1670,                              0,                              0,                              0,,,,,
3044,2013年01月01日至2013年12月31日,,              2891717,              2891717,,,              3572017,                 65953,               -125862,               -161904,                 74037,               -183630,                 26234,                  3416,,,                331332,                 -2454,                  4330,,,,                198756,                 -5392,               -251215,                167612,               -110531,                -98534,                  4135,                -94244,,                -13391,                     -7,                282250,               -411914,                 50798,                168491,,                 77897,                -16347,              3472981,              6364698,                123219,                -71156,             -2208439,              4208322,,,,,             -1094765,                 12645,                -30901,,                -26205,                              0,             -1074734,                -24926,             -2216907,,              2212708,                              0,             -1314015,                934613,                313181,              3239209,             10113697,             13352906,             13352906,                    925,,                 21979,                 38285,                 -2365,,                              0,,,               -114141,              3489328,                  1670,                              0,                              0,                              0,,,,,
