證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得投資性不動產,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還長期借款,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分子公司,　　 處分投資性不動產,　　 其他投資活動,　　 舉借長期借款,　　 發放現金股利,　　 存入保證金增加,　　　　 股利收入,　　　　 金融資產減損迴轉利益,　　　　 其他項目,　　　　　 負債準備增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他營業負債增加（減少）,　　 其他非流動資產減少
2302,2015年01月01日至2015年03月31日,,                -14804,                -14804,,,                  9776,                  1361,                   -773,                    652,                    -20,                              0,                    -73,                 10923,,,                 -1014,                 38669,                 15572,                    476,                -20449,                  2009,                -16102,                 19161,,                 14966,                -16434,                 -2312,                   -740,                 -4520,                 14641,                 25564,                 10760,                     20,                   -652,                              0,                 10128,,                 -1063,                              0,                 -2035,                 -2415,                 -5513,,                  5000,                -15000,                   -674,                              0,                -10674,                   -493,                 -6552,                 56399,                 49847,                 49847,,,,,,,,,,,,,,,,,,,,
2302,2014年度,,                124061,                124061,,,                 33940,                  6933,                 -2517,                  2772,                   -170,                   -856,                -59222,,,,,                 -6347,                 -6172,                 33313,                 61867,                 -2081,                  4557,                 85137,,                -71855,                -45622,                  4381,,               -120044,                -34907,               -165383,                -41322,                    170,                 -2772,                 -4427,                -48351,,                -12331,                  2227,,                 -7300,                -22404,,                301500,               -310000,                 -2763,                  1120,                 -3743,                  2960,                -71538,                127937,                 56399,                 56399,,                      4,               -111360,                              0,               -130476,                 -6948,                 -5000,                              0,                              0,                              0,                 10400,                 -4000,,,,,,,,
2302,2014年01月01日至2014年09月30日,,                -15681,                -15681,,,                 25959,                  6008,                 -1910,                  2082,                   -146,                 -1466,                   -209,,,,,                 -5186,                -12556,                 31936,                 48833,                  3039,                 -9480,                 56586,,                -52040,                -69947,                  2796,,               -125291,                -68705,                -38407,                -54088,                    146,                 -2082,                              0,                -56024,,                -11699,                  2826,,                -10396,                -19269,,               -190000,                198500,                  2100,,                    212,                    981,                -74100,                127937,                 53837,                 53837,,,,                    -20,                 30298,                 -6100,,                              0,,                              0,                -10400,,                     12,,,,,,,
2302,2014年01月01日至2014年06月30日,,                -25616,                -25616,,,                 17692,                  4275,                 -1279,                  1386,                   -109,                   -746,,,,,,                    418,                 16286,                 28270,                 30299,                  5728,                 -9868,                 71133,,                -48264,                -63030,                  5055,,               -112219,                -41086,                -20222,                -45838,                    109,                 -1386,                              0,                -47115,,                 -6823,                  1188,,                -10463,                -16098,,                 70000,                -70000,,,                     43,                    -92,                -63262,                127937,                 64675,                 64675,,,,                              0,                 20864,                 -5980,,                              0,,                              0,,,                     43,                              0,                   -335,                    -20,                              0,,,
2302,2014年01月01日至2014年03月31日,,                -19445,                -19445,,,                  8844,                  2184,                   -626,                    695,                    -47,                      2,                    -70,                 10982,,,                 -5018,                   -327,                 45339,                -23779,                 34846,                  4178,                 -1392,                 53847,,                -35135,                -24590,                  5758,                    389,                -53578,                    269,                 11251,                 -8194,                     47,                   -695,                              0,                 -8842,,                 -4241,                    250,                              0,                 -7595,                -11586,,                 70000,                -70000,                              0,                     32,                     32,                  1439,                -18957,                127937,                108980,                108980,,,,,,,,,,,,,,,,,,,,
2302,2013年度,,                 27960,                 27960,,,                 34644,                  9897,                 -2877,                  2523,                   -137,                  8431,                -21540,,,,,                  4393,                -22892,                 12860,                -18346,                -13954,                  9094,                -28845,,                122103,                -59846,                 -3281,,                 56067,                 27222,                -23795,                  4165,                    137,                 -2523,                 -1792,                    -13,,                -39379,                 15252,,               -188979,                 27015,,                236136,               -214436,                              0,                    -22,                 21678,                  1555,                 50235,                 77702,                127937,                127937,,                              0,                -72516,                 -9442,                -51017,                 -2909,                              0,                 80740,                155060,                  4321,                              0,                              0,,,,,,,,
2302,2013年01月01日至2013年12月31日,,                 27960,                 27960,,,                 34644,                  9897,                 -2877,                  2523,                   -137,                  8431,,,,,,                  4393,                -22892,                 12860,                -18346,                -13954,                  9094,                -28845,,,                -59846,                 -3281,,                 56067,                 27222,                -23795,                  4165,                    137,                 -2523,                 -1792,                    -13,,                -39379,                 15252,,               -188979,                 27015,,                236136,               -214436,,                    -22,                 21678,                  1555,                 50235,                 77702,                127937,                127937,,,                -72516,                 -9442,                -51017,                 -2909,,                 80740,                155060,                  4321,,,,,                -21540,                              0,,                122103,,
2302,2013年01月01日至2013年09月30日,,                -15121,                -15121,,,                 25626,                  7579,                 -2468,                  1838,                   -103,                    684,                 -2750,,,,,                  4852,                -23100,                  6989,                 -1382,                 -7361,                    855,                -19147,,                107558,                 -9897,                -73955,,                 21085,                  1938,                 22902,                  7781,                    103,                 -1809,                    433,                  6508,,                -18708,                      5,,               -102431,                -33560,,               -120000,                121700,                              0,,                  1700,                  1203,                -24149,                 77702,                 53553,                 53553,,,,                 -9442,                 20964,                 -2621,,                 80740,,                  6834,                              0,,                              0,,,,,,,
2302,2013年01月01日至2013年06月30日,,                  2322,                  2322,,,                 16672,                  5436,                 -1859,                  1189,                    -70,                      8,,,,,,                  3239,                -20598,                 -1271,                 -9657,                   -562,                    991,                -27858,,                 45939,                 -6514,                 -2273,,                 29490,                  1632,                 17775,                 20097,                     70,                 -1160,                    433,                 19440,,                 -6832,                              0,,                -64632,                  7084,,                100000,                -98300,,,                  1700,                  2351,                 30575,                 77702,                108277,                108277,,,,                 -9442,                 16143,                 -2271,,                 80740,,                 -2192,,,                              0,                  4923,                   -714,                              0,                 -5391,,,
2302,2013年01月01日至2013年03月31日,,                -15406,                -15406,,,                  9223,                  2922,                    -90,                    559,                    -15,                      8,                   -370,,,,                              0,                  1387,                 -1642,                  8678,                   -278,                 -8796,                  8075,                  7424,,                  6466,                -12090,                  1882,,                 -5307,                  2117,                 14354,                 -1052,                     15,                   -559,                    433,                 -1163,,                   -160,                              0,,                -32377,                -41573,,                 70000,                -65300,,                              0,                  4700,                 14026,                -24010,                 77702,                 53692,                 53692,,,,,                 12237,                 -1565,,,,                 -9036,,,,,,,,,,
2302,2012年01月01日至2012年12月31日,,               -162471,               -162471,,,                 40449,                  8830,                 -2163,                    776,                 -3897,                  4238,,,,,,                  5180,                 43175,                 25026,                 40724,                -10262,                   -905,                102938,,,                -20443,                  1801,,                -67408,                 35530,                146251,                -16220,                  3897,                   -735,                 -1707,                -14765,,                -97202,                              0,,                -14258,               -193818,,                126300,                -38000,,                              0,                 88300,                 -4536,               -124819,                202521,                 77702,                 77702,,,                              0,                              0,                110721,                 -2625,,                              0,                              0,                -82358,,,,,                 -4121,                 66609,,                -46141,,
2302,2012年01月01日至2012年09月30日,,                -44761,                -44761,,,                 30058,                  5573,                 -2670,                    380,                 -2633,                              0,                -14043,,,,,                   -803,                 34549,                  9551,                 23101,                 -1224,                 -2191,                 62983,,                -23760,                -40096,                 30902,,                -35456,                 27527,                 47987,                  3226,                  2633,                   -307,                  1618,                  7170,,                 -6534,                     51,,               -161812,               -163393,,                 58822,,,,                 58822,                -17716,               -115117,                202521,                 87404,                 87404,,,,                              0,                 20460,                 -2502,,                              0,,                  4902,,,,,,                  3795,,,                              0,
2302,2012年01月01日至2012年06月30日,,                -25747,                -25747,,,                 19193,                  3502,                   -774,                    220,                 -2433,                              0,,,,,,                  2770,                 29054,                  6067,                 20588,                  1140,                 -2359,                 57260,,                -40268,                -11930,                  6709,,                -47877,                  9383,                 20860,                 -4887,                  2433,                   -220,                   -943,                 -3617,,                -12543,,,                 -1442,               -108378,,                 21639,,,,                 21639,                 -2311,                -92667,                202521,                109854,                109854,,,,                              0,                 11477,                 -2388,,                              0,,                -94393,,,,,                -12160,                  3929,                              0,,,
2302,2012年01月01日至2012年03月31日,,                 -9015,                 -9015,,,                  8999,                  2884,                    474,                     98,                   -983,                              0,                -11782,,,,,                 -3252,                 31396,                 12953,                  8063,                -48848,                  1487,                  1799,,                -47712,                -18849,                 16343,,                -50334,                -48535,                -48845,                -57860,,                              0,                    433,                -57427,,                 -2829,,,                    367,                 -2462,,                 36180,,,,                 36180,                 -9058,                -32767,                202521,                169754,                169754,,,,,                   -310,                   -116,,,,                              0,,,,,,,,,,                              0
