證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還公司債,　　 償還長期借款,　　 其他非流動負債增加,　　 其他非流動負債減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他應收款（增加）減少,　　 其他應收款增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應收帳款－關係人（增加）減少,　　　　　 生物資產（增加）減少,　　　　　 應付帳款－關係人增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 發行公司債,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　　 其他營業資產（增加）減少,　　　　　 應計退休金負債增加（減少）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應付款－關係人增加（減少）,　　 處分不動產、廠房及設備,　　 現金增資,　 匯率變動對現金及約當現金之影響
9946,2015年01月01日至2015年09月30日,,                686523,                686523,,,                  2593,                  1606,                              0,                    177,                      5,                   -926,                  3455,,,                   -482,                -38434,                866359,                147611,                   -520,                    222,                974756,,                -34249,                 -6981,                  4332,               -626247,                 41468,               -621677,                353079,                356534,              1043057,               -118165,               -228879,                696013,,                              0,                   -619,                   -788,                              0,                313263,                              0,                  1281,                    926,                314063,,              3012124,             -3901254,                   -513,                 -3230,                    135,                              0,                              0,                -38609,               -931347,                 78729,                367456,                446185,                446185,,,,,,,,,,,,,,,,,,,,,,,
9946,2015年01月01日至2015年06月30日,,                 77614,                 77614,,,                  1731,                    415,                              0,                    177,                      3,                   -886,                  1440,,,                    -49,                -37444,               -886202,                -40787,                 -5465,                    519,               -969428,,                 23754,                 42212,                  1295,                268791,                 98555,                434607,               -534821,               -533381,               -455767,                -79569,                -19504,               -554840,,                              0,                   -580,                    -26,,,                    524,,                    886,                 65353,,              1958850,             -1231956,,                 -2153,                     98,,,                -37155,                687684,                198197,                367456,                565653,                565653,                              0,                 64549,,,,,,,,,,,,,,,,,,,,,
9946,2015年01月01日至2015年03月31日,,                 25277,                 25277,,,                    864,                    213,                              0,                    177,                      2,                   -105,                  1151,,,                    -57,                 -2493,               -440126,                -10748,                 -1363,                    135,               -454652,,                 -1894,                 80803,                -15147,                 -9033,                 75871,                130600,               -324052,               -322901,               -297624,                -38643,                   -810,               -337077,,,                   -356,                    -29,,                  2370,                              0,                    173,                    105,                  2263,,              1412500,             -1177146,,                 -1076,                     44,,,,                234322,               -100492,                367456,                266964,                266964,                              0,                              0,,,,,,,,,,,,,,,,,,,,,
9946,2014年度,,                 49349,                 49349,,,                  3612,                    828,                              0,                   -117,                    511,                 -4097,,,,                   -630,                  5577,,                -40890,                -13127,                126418,             -2295021,,                 -5412,                 53090,                -17421,                 24130,                 -7340,                 47148,             -2247873,             -2247136,             -2197787,               -128636,                -31572,             -2225262,,,                   -365,                   -914,                 19159,,                 -1815,,                  4097,                214565,,              2925810,               -276970,,                 -4308,                -10040,,               -511366,                -19785,              1974705,                -35992,                403448,                367456,                367456,,,,                    737,                    -15,             -2372354,                    101,                              0,                198500,                              0,,,,,,,,,,,,,
9946,2014年01月01日至2014年09月30日,,                 24639,                 24639,,,                  2766,                  1191,                    581,                     64,                    511,                 -3073,                  2040,,,                   -629,                   -476,             -1798253,                -82904,                -20581,                 88870,             -1813973,,                 23904,                -21449,                -38844,                 22129,                 -3136,                -17396,             -1831369,             -1829329,             -1804690,                -81487,                -31015,             -1917192,,                 49500,                   -144,                 -1422,                              0,                              0,                 -3426,                              0,                  3073,                 47581,,              2603610,               -443400,                              0,                 -3231,                              0,                    -68,               -511366,                -19785,              1625760,               -243851,                403448,                159597,                159597,,,,,,,,,,,,,,,,,,,,,,,
9946,2014年01月01日至2014年06月30日,,                 39106,                 39106,,,                  1921,                    767,                    211,                     64,                    329,                 -2460,                    832,,,                   -291,                  1959,             -1434953,                -41314,                  3352,                 81824,             -1388027,,                  8580,                -33529,                -22797,                  5359,                 -4408,                -46795,             -1434822,             -1433990,             -1394884,                -50312,                -26548,             -1471744,,                 49500,                   -144,                   -987,,,                 -3443,,                    963,                 45889,,              1706870,               -393400,,                 -2154,                    -22,,,                -19785,              1291509,               -134346,                403448,                269102,                269102,                  1396,                              0,,,,,,,,,,,,,,,,,,,,,
9946,2014年01月01日至2014年03月31日,,                 48885,                 48885,,,                    980,                    460,                    186,                     64,                    165,                   -963,                    892,,,                   -391,                    697,               -756265,                   -809,                    516,               -132364,               -888563,,                 -5183,                -27091,                -20116,                -67313,                 -3930,               -123633,             -1012196,             -1011304,               -962419,                -24001,                 -3298,               -989718,,,                   -122,                   -265,,                              0,                 -1539,                              0,                    963,                   -963,,              1115980,               -343400,,                 -1077,                    -19,,,,                771484,               -219197,                403448,                184251,                184251,                     53,                              0,,,,,,,,,,,,,,,,,,,,,
9946,2013年度,,              1536448,              1536448,,,                  5160,                    899,                   -438,                  1043,                    747,                 -5290,,,,                    223,                 28910,,                 24865,                  3150,               -175777,               -229181,,                  6498,                -10689,                 19879,               -182116,                  4646,               -161782,               -390963,               -388842,              1147606,                -91745,               -175211,                977685,,,                   -892,                    550,               -257226,,                  6764,,                  5290,               -440304,,              2972336,             -3753180,,                 -4667,                 -1502,,               -423083,                              0,               -652721,               -115340,                518788,                403448,                403448,,,,                  2121,                              0,               -110552,                              0,               -189500,                              0,                649120,,,,,,,,,,,,,
9946,2013年01月01日至2013年12月31日,,              1536448,              1536448,,,                  5160,                  3749,                   -438,                  1043,                    747,                 -5290,,,,                    223,                 28910,                   -637,               -303770,               -423026,,               -807012,,                  6498,                -10689,                 16159,              5241793,                  4646,              5262163,              4455151,               -636454,                899994,                -91745,               -175211,                633038,,,                   -892,                 -3400,,,,,                  5290,               -188502,,              2972336,             -3753180,,                 -4667,,,               -423083,,               -559474,               -115340,                518788,                403448,                403448,                    -63,,,             -5091605,,,,               -189500,,                649120,                 -1716,             -5094860,               -108649,                     36,,,                              0,                              0,                              0,                  3720,                              0,                              0,                   -402
9946,2013年01月01日至2013年09月30日,,              1399818,              1399818,,,                  3982,                  1005,                   -236,                    916,                    516,                 -3273,,,,                   -492,                 27571,                   -536,               -179859,               -183018,,                596891,,                  1124,                -40776,                 41584,              4720478,                  8360,              4730768,              5327659,                653740,              2053558,                -72314,               -172600,              1808644,,,                   -386,                 -1736,,,                 23498,,                  3273,               -164851,,              1890376,             -2835300,,                 -3590,,                 -8203,               -423083,                              0,             -1379800,                263993,                518788,                782781,                782781,                   -303,,,             -4673919,                              0,,,               -189500,                              0,,                   -229,             -4676600,                933528,                     -2,,,,,,,,,
