證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 發行公司債,　　 發放現金股利,　　 支付之利息,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股份基礎給付酬勞成本,　　　　　 持有供交易之金融負債增加（減少）,　　 處分無形資產,　　 處分無活絡市場之債務工具投資,　　 透過其他綜合損益按公允價值衡量之金融資產減資退回股款,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 取得持有至到期日金融資產,　　 短期借款增加,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　 處分無活絡市場之債券投資,　　 存出保證金減少
3029,2015年度,,                223018,                223018,,,                  7644,                  1703,                  1422,                  6231,                 -8072,                 -1790,                    335,                    146,                -16129,                              0,                              0,                  8569,                -29284,                -11304,                              0,                    613,                -39916,,,                100622,                 51683,                108624,                166982,                 -9641,                418270,,                    112,               -116714,                  3419,                 17172,                  1744,                -94267,                324003,                284087,                507105,                -34982,                472123,,                -13694,                              0,                107176,                 -4500,                              0,                 -5825,                      5,                 -1977,                 -1294,                  8410,                  1790,                 90091,,               -175670,                              0,                -47372,                 -1898,                              0,                              0,               -224940,                 13126,                350400,                162005,                512405,                512405,,,,,,,,,,,,,,
3029,2015年01月01日至2015年09月30日,,                174996,                174996,,,                  5543,                  1277,                 -1236,                  5818,                 -6001,                 -1790,                    335,                     -1,,,                              0,                  7243,                -18677,                 -3582,                              0,                              0,                -10918,,,                127634,                -10273,                293010,                110305,                -12576,                508100,,,               -322551,                -19696,                 13258,                 -4947,               -336996,                171104,                160186,                335182,                -20066,                315116,,                -13694,                              0,                  8544,                 -2000,                              0,                 -5433,                      6,                 -2053,                 -1060,                  6084,                  1790,                 -7816,,               -173070,                              0,                -47372,                 -1630,                              0,                              0,               -222072,                  4781,                 90009,                162005,                252014,                252014,                    153,                 -3060,                              0,,,,,,,,,,,
3029,2015年01月01日至2015年06月30日,,                104788,                104788,,,                  3560,                    893,                  1654,                  5356,                 -4496,                   -390,                    335,                              0,,,                              0,                  7243,                 -2616,                  1808,,                              0,                 13347,,,                122363,                -36001,                401873,                 34836,                 -7417,                515654,,,               -210168,                -31099,                 -2985,                 -4907,               -252320,                263334,                276681,                381469,                -19979,                361490,,                -11148,                              0,                              0,                 -2000,                              0,                 -2741,                              0,                 -1069,                   -290,                  5206,,                  3608,,               -176600,                              0,,                 -1363,,,               -177963,                 -2727,                184408,                162005,                346413,                346413,,                 -3161,                              0,                 15650,,,,,,,,,,
3029,2015年01月01日至2015年03月31日,,                 62035,                 62035,,,                  1753,                    551,                 -1248,                  3241,                 -1683,,                    153,                              0,                   -624,,                              0,,                 -9861,                    617,,,                 -7101,,,               -103529,                 74913,                380666,                137889,                -18541,                471398,,,               -381251,                -31880,                 11813,                   -174,               -401492,                 69906,                 62805,                124840,                   -242,                124598,,,                              0,,                 -2000,                              0,                   -339,                              0,                    -71,                   -291,                  2853,,                  4879,,               -178000,,,                 -1132,,,               -179132,                 -1218,                -50873,                162005,                111132,                111132,,                              0,                              0,                 14552,                 -9825,,,,,,,,,
3029,2014年度,,                134702,                134702,,,                  6584,                  3701,                  4644,                  9402,                 -8646,                 -1206,                  2422,                   -804,                -13010,                     62,                 -2919,                  3807,                 21891,                  5998,                    388,                              0,                 32314,,,               -114179,                  8635,               -357711,               -137950,                 18328,               -582877,,                              0,                320060,                 14887,                 22804,                   -467,                357284,               -225593,               -193279,                -58577,                -19351,                -77928,,                 -5174,                  5335,                 79363,                   -250,                -10000,                 -6151,                  3596,                 -1076,                 -2186,                  8205,                  1206,                 72868,,               -351323,                495645,                -80532,                 -3796,                  8000,                -51143,                 16851,                  6525,                 18316,                143689,                162005,                162005,,,,,,,,,,,,,,
3029,2014年01月01日至2014年09月30日,,                 80237,                 80237,,,                  4652,                  2808,                  1061,                  6480,                 -6403,                 -1206,                  1801,                   -226,,,                 -2919,                    250,                 19467,                  7721,                     -2,                 -2075,                 31409,,,               -255954,                 77715,                126690,               -186316,                 18690,               -219175,,,                186473,                 41615,                 31485,                   -407,                260593,                 41418,                 72827,                153064,                -19218,                133846,,                   -706,                  5335,                 95956,                   -250,                -10000,                 -4686,                  1644,                 -1053,                 -1812,                  6681,                  1206,                 92427,,               -535323,                495645,                -80532,                 -3150,                  3000,                 -9505,               -129865,                  1804,                 98212,                142048,                240260,                240260,                              0,                  1427,                    112,,,,,,,,,,,
3029,2014年01月01日至2014年06月30日,,                 49265,                 49265,,,                  2996,                  1938,                   -466,                  3923,                 -4372,                   -200,                  1504,                    -13,,,                 -2919,                              0,                  8901,                 -4396,,                 -2075,                  4821,,,               -120798,                 35029,                196726,               -134861,                  1460,                -22444,,,                 42048,                 -2084,                 15562,                   -356,                 55361,                 32917,                 37738,                 87003,                 -9949,                 77054,,                   -544,                  5335,                 37916,                   -250,                -10000,                   -785,                    699,                   -582,                   -529,                  5023,,                 36295,,               -552523,                495645,,                 -2943,,,                -59821,                  1022,                 54550,                142048,                196598,                196598,,                    191,                     12,                              0,,,,,,,,,,
3029,2014年01月01日至2014年03月31日,,                 20549,                 20549,,,                  1777,                  1025,                  1144,                  1746,                 -2084,,                    491,                     -9,                              0,,                 -2919,,                 11037,                   -989,,,                 11219,,,               -181992,                -14071,                311037,                 30132,                  8973,                154079,,,               -102178,                -16805,                 10082,                   -261,               -109148,                 44931,                 56150,                 76699,                   -304,                 76395,,,                  5335,,                   -250,                -10000,                              0,                    695,                   -582,                   -529,                  3151,,                   -678,,                -37523,,,                 -1747,,,                -39270,                  2162,                 38609,                142048,                180657,                180657,,                     14,                     12,                  1490,                              0,,,,,,,,,
3029,2013年度,,                 98352,                 98352,,,                 10723,                  3968,                   -537,                  4447,                 -7484,                 -1574,                              0,                              0,                              0,                              0,                 -8315,                  5000,                 14476,                  1693,                              0,,,,,               -104784,                 -2062,               -202379,                -68415,                 -4553,               -382193,,,               -141588,                 17684,                 18810,,               -105514,               -487707,               -465310,               -366958,                -16014,               -382972,,                   -857,                 18491,,                              0,                              0,                 -2686,                              0,                   -540,                 -1718,                  6413,                  1574,                 59477,,                              0,                              0,                -75795,                 -4354,                  1500,                              0,                450074,                    501,                127080,                 16609,                143689,                143689,,,,,,,                 22397,                   -420,                 86600,                -47800,                528723,,,
3029,2013年01月01日至2013年12月31日,,                 98352,                 98352,,,                 10723,                  3968,                   -537,                  4447,                 -7484,                 -1574,,                              0,,,                 -8315,                  5000,                 14476,                  1693,,,,,,               -104784,                 -2062,               -202379,                -68415,                 -4553,               -382193,,,               -141588,                 17684,                 18810,,               -105514,               -487707,               -465310,               -366958,                -16014,               -382972,,                   -857,                 18491,,                              0,,                 -2686,                              0,                   -540,                 -1718,                  6413,                  1574,                 57836,,,,                -75795,                 -4354,                  1500,,                450074,                    501,                125439,                 16609,                142048,                142048,,,,,,,                 22397,                   -420,                 84959,                -47800,                528723,,,                              0
