證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 非控制權益變動,　　　　 股份基礎給付酬勞成本,　　　　 非金融資產減損迴轉利益,　　 現金增資,　　 其他符合國際會計準則第七號現金及約當現金定義之項目
4536,2015年01月01日至2015年09月30日,,                616842,                616842,,,                323516,                  5489,                  2042,                 -7542,                 20061,                 -8079,                 -1705,                 12031,                  1307,                 -1880,                 -5868,                  2507,                341879,,,                  5420,                 29213,                 11562,                118807,                -27608,                137394,,                   -123,                 11643,               -111273,                    234,                     96,                -99423,                 37971,                379850,                996692,                  7945,                  1705,                -20353,               -185152,                800837,,                              0,                 30881,               -537504,                  2516,                 -4623,                -17041,                -45715,               -571486,,                298014,                              0,                -26565,                 -1494,               -408690,               -138735,                 52324,                142940,              1820710,              1963650,              1963650,,,,,,,,
4536,2015年01月01日至2015年06月30日,,                295733,                295733,,,                209384,                  3613,                  5165,                -13798,                 12923,                 -5810,                 -1705,                  8778,,                   -289,                 -3920,                  1663,                216004,,,                  5392,                137766,                -17484,                  7013,                -20234,                112453,,                  1096,                 29528,               -132106,                -14929,                 -8033,               -124444,                -11991,                204013,                499746,                  5830,                  1705,                -12698,                -47385,                445493,,                              0,,               -439138,                     52,                 -5361,                 -2170,                -20741,               -465653,,                 71952,                              0,                -14629,                 -1487,,                 55836,                  2363,                 38039,              1820710,              1858749,              1858749,,,,,,,,
4536,2015年01月01日至2015年03月31日,,                 80432,                 80432,,,                103529,                    837,                  7710,                 -9326,                  6635,                 -1655,                 -3379,                  4506,,                    -62,                 -2108,                  1559,                108246,,,                 -1746,                422390,                  5132,                 27327,                -11219,                441884,,                  1187,                 -9555,               -186459,                -13456,                 -5933,               -214216,                227668,                335914,                416346,                  1655,                  3379,                 -7008,                -21276,                389717,,                              0,,               -182387,                     36,                -11473,                   -272,                -76160,               -266877,,,                              0,                 -4904,                 -1497,,               -112882,                  7576,                 17534,              1820710,              1838244,              1838244,               -106481,,,,,,,
4536,2014年01月01日至2014年09月30日,,                518125,                518125,,,                259060,                  5025,                 -2905,                 32519,                 18617,                 -8101,                 -1571,                  3667,                              0,                  2657,                  2819,                  2428,                314215,,,                  5239,               -149940,               -220704,                 25144,                -94151,               -434412,,                    -48,                 58779,                 10061,                 27962,                 -2722,                 94032,               -340380,                -26165,                491960,                  7947,                  1571,                -18940,               -117864,                364674,,                -29640,                              0,               -342967,                    487,                -26135,                 -3636,                -90057,               -491948,,                376850,                 89897,               -100702,                              0,               -454100,                -88055,                  5111,               -210218,              1774406,              1564188,              1564188,,,,,,,,
4536,2014年01月01日至2014年06月30日,,                259393,                259393,,,                172521,                  3384,                  7021,                 55505,                 12767,                 -4330,                 -1571,                  2999,,                  3633,                  3706,                  1622,                257257,,,                  4975,               -166242,               -133007,                 15248,                -10946,               -289972,,                  1280,                 38558,                 58986,                  8479,                   -509,                106794,               -183178,                 74079,                333472,                  4670,                  1571,                -13090,                -79124,                245928,,                -29640,,               -223320,                    433,                 -9150,                 -2069,               -165028,               -427203,,                122969,                 90082,                -88469,                              0,,                124582,                  2930,                -53763,              1774406,              1720643,              1720643,,,,,,,,
4536,2014年01月01日至2014年03月31日,,                 81245,                 81245,,,                 86010,                    822,                  5922,                 54054,                  6935,                 -2866,                 -1593,                  1257,,                   -212,                 -1965,                  1694,                150058,,,                  4095,                188410,                 13107,                 -7295,                  7858,                206175,,                  1134,               -110135,                -93885,                 -5632,                  1052,               -207466,                 -1291,                148767,                230012,                  2161,                  1593,                 -7258,                -14437,                210478,,                -29640,,               -117929,                    497,                              0,                   -165,                -37907,               -183551,,,                 77216,                -72280,                              0,,                 94355,                  9733,                131015,              1774406,              1905421,              1905421,                 89419,,,,,,,
4536,2013年01月01日至2013年12月31日,,                822078,                822078,,,                356017,                  8836,                 -1812,                -19501,                 36927,                -10292,                 -1459,                  5655,,,                 -5983,                              0,,,,                 27344,                132837,                -27669,                -76282,               -122993,                -66763,,                    -39,                -21803,               -106539,                -67176,                -10046,               -205603,               -272366,                 53584,                875662,                 10378,                  1459,                -36927,               -150020,                700552,,,,               -485621,                  1091,                    190,                 -2577,,               -486917,,,                              0,               -116941,                    -26,               -245700,                -37357,                 89468,                265746,              1508660,              1774406,              1774406,               -852130,,                325950,                              0,                  1862,                -44300,              1177440,                              0
4536,2013年01月01日至2013年09月30日,,                659251,                659251,,,                270726,                  2441,                 -4335,                -17427,                 30977,                 -7965,                 -1458,                  1929,,                -51184,                  4736,                  2546,,,,                 23953,                114638,                -21069,                -46588,               -127696,                -56762,,                    -73,                -44822,               -172018,                  4021,                 -7084,               -219976,               -276738,                -45752,                613499,                  8051,                  1458,                -30149,               -111799,                481060,,                              0,,               -276049,                    564,                    862,                 -1727,                -67266,               -343616,,              6808139,                              0,               -265078,                     19,               -245700,                -47917,                  6807,                 96334,              1508660,              1604994,              1604994,             -6345297,,                230986,,,,,
4536,2013年01月01日至2013年06月30日,,                434820,                434820,,,                185037,                  1645,                    879,                 -4252,                 21420,                 -5135,                 -1448,                  1628,,                -39883,                 -5919,                  1867,,,,                 15464,                281437,                 -6132,               -107687,                -93021,                 90061,,                     91,               -135515,               -186349,                 -1004,                 -9938,               -332715,               -242654,                -86815,                348005,                  5048,                  1448,                -20920,                -65612,                267969,,                              0,,               -122542,                    123,,                -12729,                -41762,               -176910,,              4055123,                              0,               -173375,,,                -25741,                  6622,                 71940,              1508660,              1580600,              1580600,             -3907489,,                155839,,,,,
4536,2013年01月01日至2013年03月31日,,                199629,                199629,,,                 84932,                    575,                  9011,                 -5728,                 12345,                 -3679,                 -1430,                    431,,                -22173,                -29267,                    454,,,,                 17020,                362739,                -19791,                -14423,                -56803,                288742,,                     28,               -118599,               -178417,                 -4760,                 -9039,               -310787,                -22045,                 23426,                223055,                  3626,                  1430,                -11905,                -21886,                194320,,                              0,,                -63545,                              0,                    -12,                 -5667,,                -69224,,                 18236,                              0,                -83351,                              0,,                -65115,                 39194,                 99175,              1508660,              1607835,              1607835,,,                 45471,                              0,,,,
