證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 取得投資性不動產,　　 長期應收租賃款增加,　　 其他金融資產增加,　　 其他非流動資產增加,　　 其他預付款項增加,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 附買回票券及債券負債減少,　　 其他非流動負債減少,　　 發放現金股利,　　 取得子公司股權,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損迴轉利益,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　 長期應收租賃款減少,　　 其他金融資產減少,　　 短期借款增加,　　　 不影響現金流量之收益費損項目,　　　　 處分投資性不動產損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 預付投資款增加,　　 處分投資性不動產,　　 其他應收款－關係人增加,　　 應付短期票券增加,　　 應付租賃款減少
1101,2015年01月01日至2015年09月30日,,              5883687,              5883687,,,              5226388,                293414,                 68561,              1383484,               -325186,               -764425,               -631435,                  9425,                   -515,                 51296,                -76841,                492040,                177978,              5904184,,,                 30439,              5899295,              2186463,               -624931,                661560,                827551,              2245254,                429732,                -89434,             11565929,,             -2673762,                -91791,             -1102995,                385980,                -87639,                -17850,             -3588057,              7977872,             13882056,             19765743,             -3024620,             16741123,,                    -87,                 10000,                     -1,                  9461,             -6359253,             -1537825,                 28799,               -375917,                              0,                601233,             -2134608,                 45877,               -125352,                311629,              1071469,             -8454575,,              3586367,             21577453,            -21009502,               -239220,               -341230,            -11888726,                              0,             -1251317,              6022411,             -3543764,                674552,              5417336,             30514042,             35931378,             35931378,,,,,,,,,,,,,,,,,,
1101,2015年01月01日至2015年06月30日,,              4712376,              4712376,,,              3402086,                182325,                    -18,                900633,               -215208,               -423438,               -409761,                  6995,                   -514,                 51296,                -91298,                -63353,                114318,              3454063,,,                 30514,              4973268,                551445,               -543758,                375854,              1530449,              1391767,                623389,                -21271,              8911657,,               -660600,                -38745,             -2853785,                -17840,                -61177,                -22852,             -3654999,              5256658,              8710721,             13423097,             -2194380,             11228717,,                              0,                              0,,                              0,             -3791183,               -977713,                 26711,               -371254,,                319701,             -2052938,                 64835,                -82523,                207404,                445070,             -6211890,,             -1427659,             21356262,            -14381360,               -726955,               -256772,             -2592626,                              0,               -791549,                              0,              1179341,               -861576,              5334592,             30514042,             35848634,             35848634,,,,,,,,,,,,,,,,,,
1101,2015年01月01日至2015年03月31日,,              1469867,              1469867,,,              1711428,                 92691,                     74,                482383,               -126367,,               -181127,                  5362,                   -438,                 51290,,               -116556,                 55093,              1900956,,,                 30417,              3826186,              1219119,               -360075,                370995,                657261,                679041,               -261314,               -127419,              5288183,,               -420251,                -20629,             -1264695,               -113323,                -51552,                 -8743,             -1879193,              3408990,              5309946,              6779813,             -1125661,              5654152,,                              0,,,,               -594733,               -818460,                    754,               -213360,,,,                -68146,                -34405,                100140,                 24620,             -1500087,,,              5134654,             -9803366,               -245853,                 -3924,,                              0,               -427626,                              0,             -3244859,                -17032,                892174,             30514042,             31406216,             31406216,                -72877,               -743988,                 -2040,                100480,                  3023,              2101256,,,,,,,,,,,,
1101,2014年度,,             21198720,             21198720,,,              6331499,                345401,                -34634,              1907215,               -309383,               -832814,             -1250088,               -148162,                   -130,                              0,                 11461,                165809,                212131,,,,                 52761,               -327064,                371274,                 13032,                460476,             -1507176,             -1195821,                851554,                 34898,             -1163819,,             -1403142,                 11604,             -1176176,                213928,               -223147,,             -2693072,             -3856891,              2854754,             24053474,             -4066554,             19986920,,                -15000,                 17001,                     -1,                    140,                              0,             -3701188,                320043,                 -1379,                   -238,                596158,                -31724,                 52986,               -151652,                329504,              1574022,             -3098012,,              3825866,             36204200,            -39756097,              1268225,                -52231,            -11411828,                 -1645,             -1810314,                  3050,            -11730774,               -355157,              4802977,             25711065,             30514042,             30514042,                313340,                 82247,,,,,,                              0,              6711645,               -116139,                 33696,                              0,                              0,             -2120380,                              0,,,
1101,2014年01月01日至2014年09月30日,,             15933466,             15933466,,,              4755689,                251738,                -13519,              1427905,               -204319,               -821554,               -997683,               -132244,                    -71,                              0,                300397,                 36131,                161727,              4764197,,,                 53509,               -714501,               -555544,                 12526,                 77536,                204180,             -1116556,                209302,                -61893,             -1891441,,               -115435,                 -9937,             -1371614,                820747,               -153068,               -110536,               -939843,             -2831284,              1932913,             17866379,             -3578105,             14288274,,                -15000,                 10001,                              0,                 22010,                              0,             -2316699,                264992,                 -1370,                   -238,                518482,                742046,                 24196,               -148966,                220223,              1220093,                539770,,              8908871,             14630231,            -25262611,              1822324,                 72982,            -11383461,                 -1645,             -1359396,                  3452,            -12569253,                -52692,              2206099,             25711065,             27917164,             27917164,,,,,,,,,,,,,,,,,,
1101,2014年01月01日至2014年06月30日,,              9837043,              9837043,,,              3168197,                166765,                -13015,                952623,               -127643,               -223942,               -637230,               -133998,                    -96,                              0,                321756,                122566,                 92930,              3688913,,,                 52714,                714325,                -16543,                 30180,                 21745,                135855,             -1136429,                401595,                -37370,                166072,,                380860,                    652,             -1251966,                250007,               -202673,                -69039,               -892159,               -726087,              2962826,             12799869,             -2437648,             10362221,,                -15000,                  5000,,                 21870,                              0,             -1405642,                264489,                 -1370,,                272390,                742763,                310710,               -149370,                136582,                348459,                530881,,                436458,             11430901,            -15505844,                238779,                 11272,             -2679477,                 -1645,               -898639,                  2880,             -6965315,               -461600,              3466187,             25711065,             29177252,             29177252,,,,,,,,,,,,,,,,,,
1101,2014年01月01日至2014年03月31日,,              3550846,              3550846,,,              1594505,                 81395,                  5517,                482195,                -56227,,               -271861,               -137596,                    -96,                              0,,                392934,                 47969,              2188842,,,                 34423,              2498317,                643541,                 44700,                 -2384,                  7429,             -1310774,               -232969,               -180275,              2141085,,              1300867,                -40714,             -1413349,                235834,               -199428,                 -7357,               -124147,              2016938,              4205780,              7756626,               -860794,              6895832,,                -15000,,,,                              0,               -940633,                260378,                   -167,,,,                226778,               -145349,                 53695,                 51954,               -406351,,,              3351397,            -11094275,                144862,                 11274,,                 -1645,               -449549,                  1919,             -2443264,               -427867,              3618350,             25711065,             29329415,             29329415,                 50107,                654733,                -15656,                 83637,                 18356,              5592753,,,,,,,,,,,,
1101,2013年度,,             18604456,             18604456,,,              6839020,                335203,                 12982,              1910300,               -198029,               -692685,               -585550,               -493344,               -468757,                321815,                250100,               -328115,                207476,,,,                -78079,             -5908031,                301652,                -42530,                887627,              1648292,                340240,               -124650,                 24095,             -2029444,,                236807,                -21531,                616370,                333995,               -191244,,                765816,             -1263628,              6057473,             24661929,             -2688324,             21973605,,             -1536492,                 45407,                     -3,                 21721,               -642888,             -2805066,                707821,               -175907,                   -398,                170373,                166343,               -411981,                -98265,                230778,              1090682,             -1248644,,             -2514570,             26772266,            -33479971,                190112,               -365503,             -8656161,               -950866,             -1792669,                 24513,            -20772849,                147547,                 99659,             25611406,             25711065,             25711065,                215974,                921940,,,,,,                 -5289,              7321101,               -208581,                  9000,               -222995,              2194144,                              0,                  9082,,,
1101,2013年01月01日至2013年12月31日,,             18604456,             18604456,,,              6839020,                335203,                 12428,              1910300,               -198029,               -692685,               -585550,               -493344,               -468203,                321815,                250100,               -328115,                207476,,,,                -78079,             -5908031,                301652,                -42530,                887627,              1648292,                340240,               -124650,                 24095,             -2029444,,                236807,                -21531,                616370,                333995,               -191244,,                765816,             -1263628,              6057473,             24661929,             -2688324,             21973605,,             -1536492,                 45407,                     -3,                 30721,               -642888,             -2805066,                707821,               -175907,                   -398,                170373,                166343,               -411981,                -98265,                230778,              1090682,             -1248644,,             -2514570,             26772266,            -33479971,,               -365503,             -8656161,               -950866,             -1792669,                 24513,            -20772849,                147547,                 99659,             25611406,             25711065,             25711065,                215974,                921940,,,,,,                 -5289,              7321101,               -208581,                              0,               -222995,              2194144,                              0,                  9082,                              0,                190112,
1101,2013年01月01日至2013年09月30日,,             13467984,             13467984,,,              4720349,                242218,                 -2158,              1439045,               -150507,               -676305,               -651774,                -28417,               -512621,                154149,                 29693,               -250274,                145307,,,,                -22597,             -3999163,                692690,                -26571,               -560409,              1079414,               -381621,                331132,               -104008,             -2167351,,                260520,                -55307,               -805180,              1173682,               -439740,,                -52801,             -2220152,              2238553,             15706537,             -2223279,             13483258,,                -53244,                 46858,                     -2,                 28311,               -637253,             -1703237,                164044,                 -4908,                              0,               -176707,                -66317,                492642,                -97311,                177690,                984057,              1125308,,              4191826,             14418601,            -29156061,                741402,                -41527,             -8634335,               -821365,             -1386778,                 17351,            -20670886,               -445029,             -6507349,             25611406,             19104057,             19104057,,                823782,,,,,,,              4458705,               -186776,,               -204573,              2194144,                -18886,,,,
