證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得投資性不動產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券減少,　　 存入保證金增加,　　 發放現金股利,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 應付短期票券增加,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　 處分以成本衡量之金融資產,　　 預付投資款減少,　　 其他金融資產減少,　　 短期借款增加,　　 處分採用權益法之投資,　　 員工執行認股權,　　 庫藏股票買回成本,　　 其他籌資活動,　　 存入保證金減少
4942,2015年01月01日至2015年09月30日,,               -320126,               -320126,,,                287149,                287677,                  2800,                  9305,                  6240,                -34975,                -14887,                 35779,                287477,                  9424,                875989,,,                125201,                  9481,              1136835,                -78756,                -46564,               -116720,              1029477,,                -52224,               -284605,                -44571,                 76207,               -305193,                724284,              1600273,              1280147,                 37328,               -140365,              1177110,,                -26900,                -23300,                 10516,               -122457,                 17210,                    -28,               -312772,               -119779,                  2800,               -574710,,               -327057,                    -45,                  1152,               -228457,                 -6357,                   -229,               -560993,                 -2919,                 38488,              2397352,              2435840,              2435840,,,,,,,,,,,,,
4942,2015年01月01日至2015年06月30日,,                -30990,                -30990,,,                189928,                214147,                  1805,                -17108,                  4592,                -22067,                -13294,                 34902,                    220,                 51275,                444400,,,                 70975,                 -5438,              1058970,                -26399,                 23745,               -104441,              1017412,,                -29244,               -309725,                -94837,                -30923,               -464729,                552683,                997083,                966093,                 24985,               -101598,                889480,,,                -23300,,                -70289,                 12823,                    -28,               -412040,                -52701,,               -545535,,               -260973,,,,                 -4564,,               -265484,                -91619,                -13158,              2397352,              2384194,              2384194,                     53,,,,,,,,,,,,
4942,2015年01月01日至2015年03月31日,,                -28808,                -28808,,,                 96047,                125303,                  3331,                 -6564,                  2897,                 -9946,                 -4956,                 16874,                  5306,                 37513,                265805,,,                103499,                 -1505,                703426,                -73917,                 29942,                -69028,                692417,,                -59468,                -62291,                -27369,                -39654,               -188782,                503635,                769440,                740632,                 20245,                -32005,                728872,,,,,                -20805,                  9328,                    -28,               -189605,                -58260,,               -259370,,               -273731,,,,                 -2968,,               -276583,                -53774,                139145,              2397352,              2536497,              2536497,                    116,,,,,,,,,,,,
4942,2014年度,,                536016,                536016,,,                376280,                416211,                 19927,                  6055,                 12698,                -51371,                 19086,                 12963,                 -8248,                -32619,,,,                -37397,                 95236,                225893,                 62706,                 55430,               -482664,                -80796,,                -19212,               -287899,                -60024,                 43006,               -324129,               -404925,                366057,                902073,                 34617,               -317327,                619363,,,                              0,,               -145969,                 32717,                              0,                -41744,               -115076,,               -270072,,               -199733,,,               -249018,                -12226,,               -411096,                245054,                183249,              2214103,              2397352,              2397352,                 49881,,                              0,                770982,                              0,                              0,                              0,                              0,,,,,
4942,2014年01月01日至2014年09月30日,,                453332,                453332,,,                280463,                318073,                  1481,                  7579,                  9525,                -39342,                 17728,                  9461,                 -7899,                 -3552,                593517,,,                 19777,                 83265,                137492,                 -5292,                 48228,               -300956,                -17486,,                  9912,               -148410,                -89149,                   -189,               -227836,               -245322,                348195,                801527,                 39060,               -275750,                564837,,                              0,                              0,                              0,               -102446,                 31715,                              0,                 43206,                -47997,                              0,                -75522,,               -206127,                 49869,                              0,               -249018,                 -9192,                              0,               -414468,                 52232,                127079,              2214103,              2341182,              2341182,,,,,,,,,,,,,
4942,2014年01月01日至2014年06月30日,,                282793,                282793,,,                187664,                216469,                    841,                  9174,                  7019,                -25988,                  7794,                  8630,                -15741,                 15637,                411499,,,                 19416,                 79076,                305002,                 60495,                 43076,               -200040,                307025,,                  5266,               -299860,               -153409,                 -6513,               -454516,               -147491,                264008,                546801,                 25791,               -216842,                355750,,,                              0,,                -65875,                 26382,                              0,                 87019,                -10392,,                 37134,,               -415005,,,,                 -6797,,               -421943,                -21203,                -50262,              2214103,              2163841,              2163841,                   -141,,,,,,,,,,,,
4942,2014年01月01日至2014年03月31日,,                193628,                193628,,,                 95192,                 95805,                  1624,                  6948,                  3847,                -12494,                  2949,                    871,                  4539,                -17260,                182021,,,                 69339,                 48939,                131973,                -26227,                    819,                -97355,                127488,,                 50954,               -279395,               -111837,                 -4236,               -344514,               -217026,                -35005,                158623,                 13215,                -61439,                110399,,,,,                -19222,                 11893,                              0,                -59625,                -25736,,                -92690,,                -59227,,,,                 -3333,,                -62668,                 53306,                  8347,              2214103,              2222450,              2222450,                   -108,,,,,,,,,,,,
4942,2013年度,,                668118,                668118,,,                359582,                400052,                    745,                 -6613,                 11635,                -37134,                 12350,                  5993,                 26686,                -10840,,,,                 49626,                -56606,             -1095139,                -87690,                -72510,               -506217,             -1768536,,                 34309,                396320,                115713,                 15661,                562003,             -1206533,               -417933,                250185,                 39098,               -250488,                 38795,,,                -50129,,               -245142,                 41116,                   -110,                              0,               -269914,,               -118458,,                              0,,,               -305125,                -11208,,               -118952,                207566,                  8951,              2205152,              2214103,              2214103,                     59,,                 26144,                788600,                 13270,                -51054,                443505,                197322,,,,,
4942,2013年01月01日至2013年12月31日,,                668118,                668118,,,                359582,                400052,                    745,,                 11635,                -37134,                 12350,                  5993,                 26686,                -10840,,,,                 43013,                -56606,             -1095139,                -87690,                -72510,               -506217,             -1775149,,                 34309,                396320,                115713,                 15661,                562003,             -1213146,               -417933,                250185,                 39098,               -250488,                 38795,,,                -50129,,               -245142,                 41116,                   -110,,               -269914,,               -118458,,,,                              0,               -305125,                -11208,                              0,               -118952,                207566,                  8951,              2205152,              2214103,              2214103,                     59,,                 26144,                795213,                 13270,                -51054,                443505,                197322,                              0,                              0,                              0,,
4942,2013年01月01日至2013年09月30日,,                472068,                472068,,,                263057,                303489,                  4312,                 -3668,                  8554,                -28280,                 11717,                  4794,                 22169,                  1917,,,,                142561,                -21317,               -567012,               -157584,                -85169,               -346869,             -1035390,,                 36032,                295789,                 11564,                 -1886,                341499,               -693891,                -98124,                373944,                 47723,               -222959,                198708,,,                -40184,,               -184584,                 35651,,,               -206933,,                110411,,,,,               -305125,                 -8049,,               -272936,                139231,                175414,              2205152,              2380566,              2380566,                -49978,,                  7706,                595767,                 13270,,                493191,                 90216,,,,,
