證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 應付公司債匯率影響數,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現銷貨利益（損失）,　　　　 已實現銷貨損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 處分無形資產,　　 其他金融資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 發放現金股利,　　 員工執行認股權,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分投資性不動產損失（利益）,　　　　　 其他金融資產（增加）減少,　　 短期借款增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 發行公司債,　　 存入保證金增加,　　 非控制權益變動,　　 其他籌資活動,　　　　　 其他流動資產（增加）減少,　　 存出保證金減少
2448,2015年01月01日至2015年09月30日,,               -605694,               -605694,,,              4365565,                279531,                 78703,             -1030519,                340849,               -113006,                -13083,                 37983,                306363,                207457,                 -9806,                   -366,                -46491,                              0,                 -3821,                  1653,                 -4756,                 50431,               -653712,              3792975,,,                294489,              1882991,              1008125,                -68624,             -1422414,               -228829,                198187,              1663925,,                 43799,                204627,               -259926,                -89744,                158833,                 57589,              1721514,              5514489,              4908795,                117470,                 34563,               -186950,                -27772,              4846106,,               -206449,                151290,                -14830,               -824358,                -95911,             -2843838,                289753,                 30031,               -384203,                  1496,                799528,             -3097491,,             -1989552,               -925850,              2280000,             -1953945,                -18136,               -910000,                              0,               -509076,             -4026559,                 55413,             -2222531,             10514997,              8292466,              8292466,,,,,,,,,,,
2448,2015年01月01日至2015年06月30日,,                745395,                745395,,,              2903194,                182218,                 71460,               -889740,                226681,                -76356,                   -497,                 36504,               -194920,                108401,,,                -17603,                              0,                   -525,                  1651,                 -4756,                              0,               -601720,              1764878,,,               -314108,              1115287,              1197387,                128210,             -1282523,               -335102,                 53727,                562878,,                 40820,                271579,                215396,                148777,                -51005,                625567,              1188445,              2953323,              3698718,                 80257,                    497,               -134074,                -26686,              3618712,,                -55743,                123114,                -11329,               -824358,                -95911,             -1744021,                161637,                  1776,                -70586,,               -908676,             -3424097,,,                              0,                 50000,               -706440,                -14980,,                              0,,               -462926,                 81469,               -186842,             10514997,             10328155,             10328155,                 20886,                              0,                208494,,,,,,,,
2448,2014年01月01日至2014年09月30日,,              2105175,              2105175,,,              3202474,                234815,                              0,                -87534,                238857,                -69375,                 -7355,                199123,                208136,                 26385,               -123539,                              0,               -192691,                  5694,                -15472,                    792,                 -1520,                440123,               -113075,              3945838,,,                -35034,             -1054854,             -2320278,               -401050,               -693993,               -133040,                -50956,             -4689205,,                  5034,              1010121,                743940,                -58854,                299621,              1999862,             -2689343,              1256495,              3361670,                 98291,                 58582,                -90473,               -171504,              3256566,,               -133408,                266652,                 -5673,                  1782,                              0,             -3475090,                 88146,                 14192,               -106830,                              0,                508696,             -2841533,,              1434357,             -7786618,                              0,               -905469,                 -1031,               -418001,                 14042,               -169778,             -7832498,               -125999,             -7543464,             15781537,              8238073,              8238073,,,,,,,,,,,
2448,2014年01月01日至2014年06月30日,,                -72418,                -72418,,,              2139670,                163599,                  3594,              1076378,                146991,                -46066,                    -87,                154184,                 72801,                 35060,,,               -193383,                  5694,                -13851,                    207,                 -1520,                440123,                -77938,              3894183,,,               -126657,               -996297,             -1852328,                 -7048,                 -7138,                -84630,                -23380,             -3097488,,                  3047,                603317,                494674,               -106164,                  9314,              1004188,             -2093300,              1800883,              1728465,                 77357,                     87,                -56243,               -145543,              1604123,,                -16741,                255471,                              0,                  1782,                              0,             -2864769,                 50311,                 -2402,                -81260,,                968552,             -1689056,,,             -7786618,                              0,               -668877,                              0,,                 14042,,             -8482169,                -97735,             -8664837,             15781537,              7116700,              7116700,                -11273,                    -10,                -40716,,,,,,,,
2448,2013年01月01日至2013年12月31日,,                 68627,                 68627,,,              4285406,                156346,                -12497,                389714,                391412,               -142433,                -17768,                383511,                157703,                131001,                 44636,,                 14908,,                -68875,,,,               -295613,,,,               -992696,             -1106771,             -1693515,                133373,               -559768,               -284948,                 60149,             -4444191,,                   -799,                203494,               -459321,                747947,,                491321,             -3952870,              1464581,              1533208,                116931,                 66848,                -45574,               -140093,              1531320,,               -551654,                              0,               -494855,                -83799,                              0,             -2738360,                174626,               -201770,               -228016,,               -214002,             -4337830,,,                              0,                296890,               -856654,,                              0,                 69537,,              6948915,                -64693,              4077712,             11703825,             15781537,             15781537,,                    -15,                483742,,              5417451,              7446879,                  8521,                              0,               -500000,,
2448,2013年01月01日至2013年09月30日,,                 66200,                 66200,,,              3206324,                120383,                 -9255,                315196,                265558,                -97797,                -17752,                288516,                 44357,                 61105,                -36778,,                 13258,,                -35729,,,,               -222343,,,,               -304718,               -560272,             -1349477,                172968,               -619221,               -245562,                146195,             -2760087,,                  3306,                 24322,               -167374,                 46205,                 48841,                -44700,             -2804787,              1090256,              1156456,                 88654,                 66832,                -43322,                -15111,              1253509,,               -125768,                  4850,               -374682,                -83799,,             -2131057,                152680,               -202678,                -44967,,               -385144,             -3190565,,,,                 89202,               -696205,,                              0,                 43503,,              6680892,                 24600,              4768436,             11703825,             16472261,             16472261,,                              0,                318251,,              3895043,              7446879,                  1650,                -22388,               -500000,,
2448,2013年01月01日至2013年06月30日,,                143274,                143274,,,              2133140,                 82625,                -18337,                -16622,                166012,                -57986,,                176317,                238615,                 64867,                -10328,,                 18701,,                -34854,,,,               -167705,,,,               -579073,                137278,             -1359683,                252315,               -272349,                -50217,                -45615,             -1917344,,                  2939,                431189,               -372967,                 55591,                 57838,                174590,             -1742754,                831691,                974965,                 54972,,                -43322,                -59792,                926823,,               -144027,                  3465,               -120094,                -83799,,             -1329930,                335138,               -201222,                -41035,,               -124937,             -1706441,,,,                              0,               -327755,,,                 28537,,               -363978,                 60769,             -1082827,             11703825,             10620998,             10620998,,,                -44881,,              2574445,,                  2509,                -22388,,,
2448,2013年01月01日至2013年03月31日,,               -264772,               -264772,,,              1066278,                 44270,                  5257,                -44685,                 82334,               -102343,,                 84616,                194583,                 61857,                -10473,,                              0,,                -30361,,,,                -77944,,,,               -189587,                 38265,                327435,                164641,               -385201,               -110231,                  5360,               -161551,,                    778,                 45531,               -510452,                 45000,                 -7007,               -426150,               -587701,                685688,                420916,                 28471,,                -26492,                 -5927,                416968,,                -79770,                              0,               -120094,                -83799,,               -551994,                 11536,,                -19086,,                 11225,               -823957,,               -135706,,,               -224023,,,                 20354,,               -361763,                 57044,               -711708,             11703825,             10992117,             10992117,,,,,              1273389,,,                -22388,,                -12233,                  8025
2448,2012年01月01日至2012年12月31日,,             -2294201,             -2294201,,,              4299392,                178537,                 13084,                133622,                420397,               -170350,                 -6091,                128322,               -396552,                194868,                 93382,,                -42783,,                574208,,,,               -171088,,,,                -14424,               -542246,               -791554,                 19103,                -56883,                -99135,                 35764,             -1449365,,                -18310,                401804,                192018,                323876,,                899388,               -549977,              4698971,              2404770,                181616,                  7075,                -93356,               -197609,              2302496,,               -309715,                  5830,               -558954,                -34568,                  2374,             -2955413,                162987,                101261,               -444587,,               -853320,             -4884105,,,             -1965600,                477782,             -2050824,,               -454146,                 79971,,             -2929783,                -59198,             -5570590,             17274415,             11703825,             11703825,,                     10,              1379744,,              5248948,                              0,                -12797,                108061,               -491974,,
2448,2012年01月01日至2012年09月30日,,               -961424,               -961424,,,              3172744,                129111,                -37736,                123813,                328002,               -136019,                 -5965,                 50149,               -236597,                109954,                 17529,,                 -3059,,                181439,,,,               -103272,,,,               -249965,               -247868,             -1729846,               -134512,                 28173,               -186632,                 19181,             -2501459,,                -12721,                773879,                433208,               -582032,                 95125,                707459,             -1794000,              1796093,                834669,                121251,                  7075,               -106092,               -168351,                688552,,                -48336,                  5830,               -568665,                -34568,,             -2204224,                196770,                109022,                -39848,,               -485743,             -3069762,,,,                482214,             -1948208,,               -454146,                 63286,,             -1546429,                -31869,             -3959508,             17274415,             13314907,             13314907,,                     10,                762320,,              3590093,                              0,                -12797,                 52876,               -491974,,
