證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金減少,　　 發放現金股利,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　 存入保證金增加,　　　　 處分待出售非流動資產損失（利益）,　　　 不影響現金流量之收益費損項目,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 支付之利息,　　 對子公司之收購（扣除所取得之現金）,　　 處分不動產、廠房及設備,　　 預付設備款增加,　　 員工購買庫藏股,　　　　　 其他營業負債增加（減少）,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 備供出售金融資產減資退回股款,　　 收取之股利,　　 庫藏股票買回成本,　　 其他金融資產減少,　　 取得子公司股權,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產
3094,2015年01月01日至2015年09月30日,,                 72403,                 72403,,,                  5054,                  4324,                 -3030,                  4499,                   -540,                -11156,                    138,                   -711,,,                    476,                 -5599,                 -2813,                 -2517,                   -442,                    -64,                -10959,,                    155,                  2521,                 -2266,                  2060,                    335,                  2805,                 -8154,                 -8865,                 63538,                  3039,                -11407,                 55170,,                -38994,                  1761,                 16760,                   -162,                              0,                              0,                    -97,                -20732,,                    -24,                -95744,                    992,                -94776,                  3068,                -57270,                916368,                859098,                859098,,,,,,,,,,,,,,,,,,,,,,,,
3094,2015年01月01日至2015年06月30日,,                 40333,                 40333,,,                  3367,                  3063,                 -1564,                  4499,                   -540,                -11156,                    138,                 -2193,,,                    475,                -12369,                     81,                  3774,                   -904,                    -20,                 -8963,,                  1407,                 -2672,                 -3075,                    847,                    223,                 -3270,                -12233,                -14426,                 25907,                  1574,                 -3750,                 23731,,,                  1761,                 16760,                    -20,,                              0,                              0,                 18501,,,,                    992,                    968,                 -2713,                 40487,                916368,                956855,                956855,                              0,                    -24,,,,,,,,,,,,,,,,,,,,,,
3094,2015年01月01日至2015年03月31日,,                 10229,                 10229,,,                  1684,                  1632,                   -739,                  2852,,,,                  5242,,,                    461,                  5378,                     64,                    639,                  1028,                    -62,                  7508,,                 -1003,                 -4342,                 -1832,                     38,                              0,                 -7139,                    369,                  5611,                 15840,                    740,                    -73,                 16507,,,                  1153,,                    -20,                              0,                              0,                              0,                  1133,,,,                    992,                  1104,                 -1235,                 17509,                916368,                933877,                933877,,                    112,                   -187,,,,,,,,,,,,,,,,,,,,,
3094,2014年度,,                 96433,                 96433,,,                  9797,                  5351,                 -2796,                  3453,,,                  2979,,,,                   -437,                 -1478,                    514,                 -6077,                   -256,                    139,                 -7595,,                    287,                  4667,                  2062,                    272,,                  7692,                     97,                 22266,                118699,                  2763,                -14860,                106602,,                -22668,,,                   -391,,                   -278,                 -7590,                -30910,,,                -92988,                  4105,                -88315,                  6118,                 -6505,                922873,                916368,                916368,                     17,                              0,,,                              0,                              0,                    385,                              0,                  3000,                 22169,                    404,                              0,                              0,                              0,                              0,                    568,,,,,,,,
3094,2014年01月01日至2014年09月30日,,                 73431,                 73431,,,                  7558,                  3422,                 -2056,                  2523,                              0,                              0,                  1630,                 13077,,,                     39,                    833,                 -2530,                 -5692,                   -713,                     79,                 -7984,,                  1796,                  2682,                 -4935,                  2904,                    330,                  2777,                 -5207,                  7870,                 81301,                  2065,                -13474,                 69892,,                -22686,                              0,                              0,                   -391,                     16,                   -155,                 -7335,                -30551,,                              0,                -92988,                  4105,                -88883,                  2301,                -47241,                922873,                875632,                875632,,,,,,,,,,,,,,,,,,,,,,,,
3094,2014年01月01日至2014年06月30日,,                 46946,                 46946,,,                  5041,                  2166,                 -1454,                  1635,                              0,                              0,                    922,                  8310,,,                     39,                 -2533,                 -1228,                   -593,                 -1257,                      1,                 -5571,,                  3843,                  7362,                 -6343,                  3093,                    230,                  8185,                  2614,                 10924,                 57870,                  1432,                 -6633,                 52669,,,                              0,                              0,                   -292,,                   -154,                 -1555,                 -1950,,,,                  1475,                  1475,                     32,                 52226,                922873,                975099,                975099,                     51,                              0,,,,,,,,,,,,,,,,,,,,,,
3094,2014年01月01日至2014年03月31日,,                 24174,                 24174,,,                  2523,                  1087,                   -663,                  1316,,,,                  4263,,,                     39,                 -6642,                    606,                  3094,                    513,                    -40,                 -2430,,                    -69,                  1870,                 -2118,                    -49,                    100,                   -266,                 -2696,                  1567,                 25741,                    633,                    -62,                 26312,,,                              0,,                   -147,                     31,                   -154,                   -284,                   -554,,,,                              0,                              0,                  2079,                 27837,                922873,                950710,                950710,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,
3094,2013年度,,                 86419,                 86419,,,                 10314,                  5499,                 -2112,                  1783,,,                              0,,,,                     61,                 11394,                  1180,                  5786,                  1743,                   -143,                 20021,,                 -5960,                 -2389,                -12653,                   -899,,                -21559,                 -1538,                 20293,                106712,                  2088,                 -5735,                103013,,                              0,,,                   -330,,                   -203,                   -813,                  1207,,,                -83025,                              0,                -60356,                  5581,                 49445,                873428,                922873,                922873,                  2215,                  1345,,,                   -486,                     52,                  3235,                     20,                  3526,                 21831,                    342,                    -52,                    484,                     29,                   -175,                 21324,,,,,,,,
3094,2013年01月01日至2013年12月31日,,                 86419,                 86419,,,                 10314,                  5499,                 -2112,                  1783,                              0,,,,,,                     61,                 11394,                  1180,                  5786,                  1743,                   -143,                 20021,,                 -5960,                 -2389,                -12653,                   -899,,                -21559,                 -1538,                 20293,                106712,                  2088,                 -5735,                103013,,                              0,,,                   -330,,                   -203,                   -813,                  1207,,,                -83025,                              0,                -60356,                  5581,                 49445,                873428,                922873,                922873,                  2215,                  1345,,,                   -486,                     52,                  3235,                     20,                  3526,                 21831,                    342,                    -52,                    484,                     29,                   -175,                 21324,,,                              0,                              0,                              0,                              0,                              0,
3094,2013年01月01日至2013年09月30日,,                 62490,                 62490,,,                  7745,                  4108,                 -2170,                  3756,,,                              0,,,,                     52,                 11766,                    701,                 -2625,                    944,                    -63,                 10775,,                 -3031,                  7327,                 -7237,                   -693,,                 -2014,                  8761,                 26957,                 89447,                  2156,                 -5106,                 86473,,                              0,,,                   -298,                  1715,                   -203,                   -659,                 -2147,,,                -83025,                              0,                -61701,                  3817,                 26442,                873428,                899870,                899870,,,,,                     -9,                     24,                  3235,                      7,                  1500,                 18196,                              0,                    -24,                    484,,,                 21324,                  1620,                 -3186,,,,,,
