證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 遞延借項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還長期借款,　　 庫藏股票處分,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 預付費用（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 處分備供出售金融資產,　　 舉借長期借款,　　 現金增資,　　 處分以成本衡量之金融資產,　　 非控制權益變動,　　　　　 其他金融資產（增加）減少
1472,2015年01月01日至2015年09月30日,,                -15776,                -15776,,,                 29245,                    171,                 10701,                   -102,                -46324,                              0,                   -299,                 -6608,,,                -21293,                -20707,                     57,                 10884,                  3711,                  1062,                    797,                -25489,,                 13819,                  7733,                  2417,                 -3511,                    105,                 20563,                 -4926,                -11534,                -27310,                    102,                -10763,                 -1492,                -39463,,                 -9716,                 72528,                   -466,                   -328,                -70209,                              0,                 -8191,,                779858,               -809178,                -12661,                 19451,                -22530,                  1090,                -69094,                122294,                 53200,                 53200,,,,,,,,,,,,
1472,2015年01月01日至2015年06月30日,,                 -3953,                 -3953,,,                 19766,                    108,                  7277,                    -94,                -46324,                              0,                    288,                -18979,,,                 11003,                -10000,                     -5,                 15140,                  4582,                   -488,                    553,                 20785,,                 -6200,                  2820,                 -3220,                 -3299,                     67,                 -9832,                 10953,                 -8026,                -11979,                     94,                 -7253,                 -1492,                -20630,,                 -8317,                  2928,                     27,                   -232,                 -1631,                              0,                 -7225,,                471482,               -485417,                -10100,                 19451,                 -4584,                    380,                -32059,                122294,                 90235,                 90235,,,,,,,,,,,,
1472,2015年01月01日至2015年03月31日,,                -29804,                -29804,,,                 10074,                     52,                  3803,                              0,                              0,,                     79,                 14008,,,                 19126,                -11381,                     75,                -15311,                -19887,                 -1367,                    301,                -28444,,                 19784,                 29517,                   -149,                 -1937,                     35,                 47250,                 18806,                 32814,                  3010,                              0,                 -3588,,                   -578,,                 -6461,                              0,                              0,                   -134,                 -1560,                              0,                 -8155,,                300127,               -307581,                 -2547,                  8036,                 -1965,                   -241,                -10939,                122294,                111355,                111355,,,,,,,,,,,,
1472,2014年度,,                -63941,                -63941,,,                 39977,                    247,                 14811,                   -255,                     41,,                 -1517,,,,                -13224,                 29145,,                 40338,                 -1592,                    371,                  2214,                 57252,,                  9987,                -47030,                 -5335,                   -560,,                -42726,                 14526,                 54841,                 -9100,                    255,                -14830,                    -21,                -23696,,                -44967,                  1136,                    -94,                              0,                  6498,                   -774,                -38201,,              1102019,             -1045665,                -18275,                 38920,                 76999,                   -930,                 14172,                108122,                122294,                122294,,                              0,                -12989,                 40315,                              0,                    212,                              0,                              0,                              0,,,
1472,2014年01月01日至2014年09月30日,,                -47539,                -47539,,,                 29766,                    196,                 10909,                   -166,                     92,                -12989,                 -1151,                 26657,,,                -30987,                 12387,                   -681,                 14324,                 -2134,                 -1488,                  2138,                 -6441,,                 -9431,                 31512,                  1681,                 -3617,                    159,                 20304,                 13863,                 40520,                 -7019,                    166,                -11000,                              0,                -17853,,                -21290,                    920,                    -81,                              0,                 -5548,                   -774,                -26773,,                895530,               -826011,                -25926,                 12010,                 55603,                   -478,                 10499,                108122,                118621,                118621,,,,,,,,,,,,
1472,2014年01月01日至2014年06月30日,,                -36717,                -36717,,,                 19706,                    145,                  7009,                   -129,                    308,                -12989,                    738,                 14788,,,                  6732,                 10622,                    175,                 12870,                 -3919,                 -3394,                  1735,                 24821,,                  7446,                 21919,                     -9,                 -4660,                     96,                 24792,                 49613,                 64401,                 27684,                    129,                 -7068,                     -9,                 20736,,                -13816,                    702,                     -6,                              0,                 -2975,                   -774,                -16869,,                568228,               -530875,                -18372,                              0,                 18981,                 -1282,                 21566,                108122,                129688,                129688,,,,,,,,,,,,
1472,2014年01月01日至2014年03月31日,,                -18557,                -18557,,,                  9867,                     83,                  3379,                    -29,                    378,,                 -1396,                 12282,,,                 16312,                  6617,                   -154,                 -2416,                 -2299,                   -980,                  1209,                 18289,,                  6208,                -10036,                   -787,                 -3268,                     52,                 -7831,                 10458,                 22740,                  4183,                     29,                 -3452,,                    760,,                 -3194,                    602,                    -15,                              0,                 -1015,                -10638,                -14260,,                398030,               -397544,                 -9860,                              0,                 -9374,                 -1029,                -23903,                108122,                 84219,                 84219,,,,,,,,,,,,
1472,2013年度,,               -107129,               -107129,,,                 49802,                    251,                 17584,                   -227,                 20844,,                   -556,,,,                 25367,                -15886,,                 43811,                 14006,                  6574,                 10840,                 86681,,                 -3474,                -17442,                 -3073,                -19250,,                -43121,                 43560,                140572,                 33443,                    227,                -17558,                    -19,                 16093,,                 -7310,                106476,                   -343,                   -612,                -11331,                 -5875,                 81349,,              1056680,             -1180856,                -52883,                    187,                -71372,                   -713,                 25357,                 82765,                108122,                108122,,                   -344,                  9658,                 97012,                  1969,                    118,                    344,                 30000,                 75500,,,
1472,2013年01月01日至2013年12月31日,,               -107129,               -107129,,,                 49802,                    251,                 17584,                   -227,                 20844,,                   -556,,,,                 25367,                -15886,,                 43811,                 14006,                  6555,                 10840,                 86662,,                 -3474,                -17442,                 -3073,                -19250,,                -43121,                 43541,                140553,                 33424,                    227,                -17558,,                 16093,,                 -7310,                106476,                   -343,                   -612,                -11331,                 -5875,                 81349,,              1056680,             -1180856,                -52883,                    187,                -71372,                   -713,                 25357,                 82765,                108122,                108122,,                   -344,                  9658,                 97012,                  1969,                    118,                    344,                 30000,                 75500,                              0,                              0,
1472,2013年01月01日至2013年09月30日,,                -90378,                -90378,,,                 38424,                    198,                 13797,                    -80,                 21416,,                     37,,,,                 -3091,                 -5066,                    170,                 37229,                 11918,                  3304,                  2959,                 47209,,                 -3201,                -33207,                 -1029,                -22581,,                -59928,                -12719,                 64389,                -25989,                     80,                -13583,,                -39492,,                 -4389,                 91281,                   -360,,                -17140,                    785,                 70521,,                957743,               -946692,                -41208,                    187,                 75530,                   -955,                105604,                 82765,                188369,                188369,,                   -344,                  3660,                 77108,                   -214,                     90,                    344,                 30000,                 75500,,,
