證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 已實現銷貨損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 其他金融資產增加,　　 舉借長期借款,　　 其他應付款－關係人增加,　　 非控制權益變動,　　　　 未實現銷貨利益（損失）,　　　　 股份基礎給付酬勞成本,　　　　 金融資產減損損失,　　 員工購買庫藏股,　　　　　 其他金融資產（增加）減少,　　 存入保證金增加,　　 其他符合國際會計準則第七號現金及約當現金定義之項目
3022,2015年01月01日至2015年09月30日,,              1214026,              1214026,,,                 73531,                 17076,                 -2886,                 44115,                 82946,               -128052,               -219643,                  2112,               -111487,                -47918,                    114,                135454,               -154638,,,              1691403,               -162238,                -20940,                   -419,                 65257,                -16493,              1556570,,               -148923,                -54903,                  8122,               -372231,                -65604,                   -840,               -634379,                922191,                767553,              1981579,                110878,                 81432,               -103957,               -174295,              1895637,,                              0,                              0,                              0,                 24000,                -10000,                              0,                -27263,                    216,                -23309,              1027917,               -109875,                881686,,              2653625,             -4310001,                   -129,               -820786,             -2477291,                 11377,                311409,              3007440,              3318849,              3318849,,,,,,,,,,,,,,,
3022,2014年度,,              1769679,              1769679,,,                107305,                 16561,                    966,                -33651,                148960,               -219116,               -452137,               -122183,               -123602,                  8995,                   -100,                 -7388,,,,               -662311,               -313110,                -33509,                   -968,                -73110,                -40087,             -1123095,,                  4289,                 91055,               -188607,,                318855,,                225708,               -897387,             -1572777,                196902,                209682,                274900,               -141167,               -144480,                395837,,                 -3092,                  8960,                 -7500,                 36229,                -44431,                199357,                -72556,                409877,                 -8749,,               -167772,             -1166215,,              9545811,             -6626190,                              0,             -1486707,              1432914,                 80287,                742823,              2264617,              3007440,              3007440,,                              0,               -675390,                    116,             -1516538,                              0,                              0,                              0,,,,,,,
3022,2014年01月01日至2014年09月30日,,              1239223,              1239223,,,                 80636,                 12437,                 11239,                -19480,                111120,               -138454,               -364125,               -121867,               -105288,                  8303,                     -1,                 35522,               -489958,,,               -402456,               -510541,                -95856,                    788,               -103421,               -225404,             -1336890,,                323394,                111381,               -101749,                 32981,                398455,                    272,                764734,               -572156,             -1062114,                177109,                111996,                274422,               -107442,               -124502,                331583,,                 -3092,                  8960,                 -7500,                 10445,                -44431,                199357,                -49467,                409826,                 -4532,             -1472049,               -145951,             -1098434,,              8532901,             -5643756,                              0,                              0,              2889145,                 14504,              2136798,              2264617,              4401415,              4401415,,,,,,,,,,,,,,,
3022,2014年01月01日至2014年06月30日,,                794553,                794553,,,                 53278,                  8351,                  5148,                  9041,                 71175,               -110609,               -238192,               -121237,                -88596,                  7375,                   -140,                 39510,,,,                859415,               -442149,                -85335,                    440,               -183680,                -17110,                131581,,                689905,                101526,                 31520,,                312624,,              1135757,              1267338,                902442,              1696995,                 90455,                274422,                -63934,                -83058,              1914880,,                 -2053,                  8960,                 -7500,                 10445,                -44431,                199357,                -44900,                401541,                 -3604,,               -106207,             -1154138,,              5475439,             -3513481,                              0,,              1961958,                -28487,              2694213,              2264617,              4958830,              4958830,,,               -364896,                    182,             -1565746,,                              0,                              0,,,,,,,
3022,2014年01月01日至2014年03月31日,,                412760,                412760,,,                 27334,                  4194,                 -1194,                -16531,                 19108,                -42289,               -125573,               -126351,                -22984,                  3899,                              0,                 98344,,,,                 49165,               -255370,                  4598,                   -491,                -30005,                -19475,               -251578,,                -17889,                -29985,                 27292,,                320080,,                299589,                 48011,               -133991,                278769,                 26315,,                -15546,                 -8185,                281353,,                 -2053,                  3021,                 -7500,,,                 -3879,                 -8431,                314323,                 -1992,             -1723330,                -22456,             -1452297,,              5508518,             -2875687,                              0,,              2632831,                 14115,              1476002,              2264617,              3740619,              3740619,,,               -182002,                     91,,,,,                     41,,,,,,
3022,2013年度,,              1372206,              1372206,,,                109881,                 18150,                   -838,                -49464,                 50820,               -190793,               -450527,                 -9350,                 -8729,                              0,                    109,                 21375,,,,             -1949237,               -104434,                 14727,                 -1381,                 70739,                -83031,             -2052617,,                105439,                -32016,                205475,,                305446,,                585058,             -1467559,             -1983474,               -611268,                104238,                135721,                -29684,                -95751,               -496744,,                -20761,                 23709,                -24164,                              0,                              0,                              0,                -52546,                 56009,                -11091,,               -105661,             -3924795,,              5915653,             -1328365,                 -1451,               -442472,              4562744,                 27245,                168450,              2096167,              2264617,              2264617,,                 -6549,               -515915,                    714,             -3790290,                284884,                109495,                 25000,,,,,,,
3022,2013年01月01日至2013年12月31日,,              1372206,              1372206,,,                109881,                 18150,                   -838,                -49464,                 50820,               -190793,               -450527,                 -9350,                 -8729,,                    109,                 21375,,,,             -1949237,               -104434,                 14727,                 -1381,                 70739,                -83031,             -2052617,,                105439,                -32016,                205475,,                305446,,                585058,             -1467559,             -1983474,               -611268,                104238,                135721,                -29684,                -95751,               -496744,,                -20761,                 23709,                -24164,                              0,                              0,,                -52546,                 56009,                -11091,,               -105661,             -3924795,,              5915653,             -1328365,                 -1451,               -442472,              4562744,                 27245,                168450,              2096167,              2264617,              2264617,,                 -6549,               -515915,                    714,             -3790290,                284884,                109495,                 25000,,                              0,                              0,                              0,,,
3022,2013年01月01日至2013年09月30日,,              1042881,              1042881,,,                 83733,                 12687,                   -522,                -21105,                 18519,               -114719,               -337568,                -10251,                 -6743,                -44480,                    297,                -17356,,,,               -898595,                  3759,                 15468,                   -649,                111800,                  6343,               -761874,,                391277,                -24642,                122871,,                -51065,,                437994,               -323880,               -761388,                281493,                 74158,                135720,                 -9924,                -81347,                400100,,                -15000,                  8684,                -24164,                              0,                              0,                              0,                -45343,                 44573,                 -8831,,                -61100,               -455795,,              1855799,               -387221,                 -1494,,              1565426,                 22500,              1532231,              2096167,              3628398,              3628398,,,               -437508,                   -447,               -354614,,                 73342,                 25000,,,,,,,
3022,2013年01月01日至2013年06月30日,,                643617,                643617,,,                 54837,                  7704,                  1828,                 -4480,                  7965,                -32996,               -245310,                 -9664,                 -2913,                -53239,                   -179,                -23097,,,,               -204867,                -10220,                 24548,                    142,                203445,                 27922,                 40970,,                 78400,                 -5248,                137212,,                -33554,,                176446,                217416,                -82128,                561489,                 18620,                135720,                 -2137,                -65168,                648524,,                -15000,                  8684,                              0,                              0,                              0,                              0,                 -1529,                 44491,                 -4974,,                -73290,               -729718,,              1092070,                -87525,                 -1490,,              1104990,                 36547,              1060343,              2096167,              3156510,              3156510,,,               -299544,                   -364,               -688100,,                 76935,                 25000,,,,,,,
3022,2013年01月01日至2013年03月31日,,                327518,                327518,,,                 28052,                  3751,                    476,                   -922,                  1506,                 -8620,               -131973,                 -9015,                 -2698,                -12977,                    -88,                 -5854,,,,                              0,                -30584,                 22086,                -19583,                 93220,                 13088,                 78227,,                  5385,                -17124,                 82052,,                 -3058,,                 67139,                145366,                  7004,                334522,                  4030,,                 -1570,                 -5239,                331743,,                              0,                  8685,                              0,,,                              0,                -28650,                 44112,                   -535,               -449637,                    981,               -425044,,                699524,               -147274,                 -1479,,                550771,                 19441,                476911,              2096167,              2573078,              2573078,,,               -138362,                   -116,,,,,                              0,,,,,,
