證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他非流動資產減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 償還長期借款,　　 其他非流動負債增加,　　 發放現金股利,　　 庫藏股票處分,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款減少,　　　 不影響現金流量之收益費損項目,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業資產（增加）減少,　　　　 攤銷費用,　　　　　 其他營業負債增加（減少）,　　 原始認列時指定為透過損益按公允價值衡量之金融負債減少,　　　　 非金融資產減損迴轉利益,　　　　　 持有供交易之金融資產（增加）減少,　　 其他非流動資產增加,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　 匯率變動對現金及約當現金之影響
1454,2015年01月01日至2015年09月30日,,                106238,                106238,,,                 51971,                -13338,                  1868,                    -25,                 -7277,                    445,                              0,                 -4032,                 29612,,,                  2348,                 22516,                    767,                 19420,                  8995,                 -1334,                 52712,,                              0,                 -4291,                 -6167,                   -484,                 -3915,                    339,                -11462,                -25980,                 26732,                 56344,                162582,                     25,                  7277,                 -2523,                   -370,                166991,,                -37685,                 13186,                              0,                -12433,                    500,                    -19,                 -3606,                -40057,,                -45000,                -60000,                              0,                 -4040,                -53039,                 20598,               -141481,                -14547,                 95698,                 81151,                 81151,,,,,,,,,,,,,,,
1454,2015年01月01日至2015年06月30日,,                 77302,                 77302,,,                 34763,                -15064,                    988,                    -25,,                    269,                              0,                 -4035,                 16896,,,                  2590,                  9798,                     61,                 14168,                  2567,                    -94,                 29090,,                              0,                 -1530,                  5673,                 -6956,                  1363,                   -123,                -10468,                -12041,                 17049,                 33945,                111247,                     25,,                 -1402,                     -1,                109869,,                -26901,                 13186,                              0,                -10674,                    500,                    -19,                   -545,                -24453,,,                -10000,                              0,                 -4000,,                 20598,                 -3402,                 82014,                 95698,                177712,                177712,                -10000,,,,,,,,,,,,,,
1454,2015年01月01日至2015年03月31日,,                 30206,                 30206,,,                 17363,                  1557,                    452,,,                     13,                              0,                              0,                 19385,,,                  3510,                -21801,                 -1317,                 10461,                   -185,                 -1451,                -10783,,                              0,                -17942,                  2418,                -11836,                    847,                   -474,                   -883,                -27870,                -38653,                -19268,                 10938,,,                   -647,,                 10291,,                 -6521,                              0,                              0,                 -5929,,                    -17,                   -604,                -13071,,,                -10000,                              0,                 -4000,,,                  6000,                  3220,                 95698,                 98918,                 98918,                 20000,,,,,,,,,,,,,,
1454,2014年度,,                 74004,                 74004,,,                 69676,                 -3340,                  1609,                    -44,                -10993,                    269,                 -3335,                 -1665,,,,                  7557,                -60683,                  4756,                -41004,                 -2530,                    -93,                -91997,,                 -2277,                 11663,                 -4825,                   -118,                  2385,                   -569,,                  2511,                -89486,                -34480,                 39524,                     44,                 10993,                 -3044,                 -7230,                 29294,,,                  5812,                 14768,               -107529,,                    176,                   -401,                -76181,,,                              0,                -22600,                     95,                -32784,,                 34711,                -12176,                107874,                 95698,                 95698,                 90000,,                              0,                  2829,                 55006,                 -3748,,,,,,,,,
1454,2014年01月01日至2014年09月30日,,                 53953,                 53953,,,                 52396,                 -3341,                  1299,                    -21,                -10993,                    170,                 -3335,                 -1665,                 34510,,,                  7460,                -22266,                  2487,                -22685,                 -8109,                   -914,                -44027,,                 -2277,                  9909,                 -8265,                -10510,                   -709,                 -1204,                 -2791,                -15847,                -59874,                -25364,                 28589,                     21,                 10993,                 -2286,                 -7229,                 30088,,                              0,                  5812,                 14768,               -106106,                              0,                    176,                              0,                -85350,,                 90000,                -10000,                -22600,                 -3705,                -32784,                              0,                 20911,                -34351,                107874,                 73523,                 73523,,,,,,,,,,,,,,,
1454,2014年01月01日至2014年06月30日,,                 23158,                 23158,,,                 34944,                              0,                    647,                    -21,,                    103,                 -3335,                 -1665,                 30673,,,                -14679,                -28446,                  1940,                -19234,                 -8240,                   -318,                -68977,,                 -2277,                  9615,                  3973,                -12559,                  5187,                 -1337,                 -1824,                    778,                -68199,                -37526,                -14368,                     21,,                 -1437,                 -4818,                -20602,,                              0,                  5812,                 14768,               -100662,                              0,                     66,                 -1495,                -81511,,,                -10000,                -22600,                    495,,                              0,                167895,                 65782,                107874,                173656,                173656,                200000,,,,,,,,,,,,,,
1454,2014年01月01日至2014年03月31日,,                  6787,                  6787,,,                 16810,                              0,                    191,,,                     92,                 -3335,                 -1665,                 12093,,,                 -1538,                -20354,                 -1426,                -16566,                 -5077,                   -110,                -45071,,                 -2277,                  5320,                  9167,                -16233,                  5989,                 -1323,                   -858,                   -215,                -45286,                -33193,                -26406,,,                   -583,,                -26989,,                              0,                  5812,                 14768,                -32718,,                     66,                -58907,                -70979,,,                              0,                -12900,                 -3905,,,                 63195,                -34773,                107874,                 73101,                 73101,                 80000,,,,,,,,,,,,,,
1454,2013年度,,                 41948,                 41948,,,                 66366,                  1907,                  1339,                    -39,                 -6835,                    668,                              0,                   -860,,,,                 29509,                -17671,                   -231,               -125080,                  8914,                 -1234,               -105793,,                    -64,                   -978,                  6953,                    355,                   -841,                   -277,,                  1209,               -104584,                -39697,                  2251,                     39,                  6835,                 -1255,                 -3461,                 -2426,,,                  6449,                              0,                 -6624,,                              0,                 -4639,                  2021,,,                 60000,                -51600,                  3905,                -26226,,                -33921,                -34326,                142200,                107874,                107874,                -20000,,                  2341,                              0,                 64887,                 -3939,,,,,,,,,
1454,2013年01月01日至2013年12月31日,,                 41948,                 41948,,,                 66366,                  1907,                  1339,                    -39,                 -6835,                    668,,                   -860,,,,                 29509,                -17671,                   -231,               -125080,                  8914,                 -1234,               -105793,,                    -64,                   -978,                  6953,                    355,                   -841,                   -277,,                  1209,               -104584,                -39697,                  2251,                     39,                  6835,                 -1255,                 -3461,                 -2426,,                              0,                  6449,,                 -6624,                              0,,                 -4639,                  2021,,,                 60000,                -51600,                  3905,                -26226,,                -33921,                -34326,                142200,                107874,                107874,                -20000,,                  2341,,                 64887,                 -3939,,,,,                              0,                              0,                              0,,
1454,2013年01月01日至2013年09月30日,,                 38524,                 38524,,,                 49814,                  1906,                  1365,                    -13,                 -6835,                    363,                              0,                              0,,,,                 20509,                -48488,                  1047,                -53097,                 18321,                   -696,                -62404,,                    -64,                  8523,                  9804,                 -1952,                 -2522,                   -798,,                 10009,                -52395,                 -5731,                 32793,                     13,                  6835,                 -1333,                 -3454,                 34854,,,                              0,                              0,                 -6023,,                      1,                 -1199,                 -7221,,                -30000,                 60000,                -38700,                              0,                -26226,,                -34926,                 -7293,                142200,                134907,                134907,,,                     64,,                 46664,                 -2982,                              0,,,,,,,,
