證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 預付設備款增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 庫藏股票買回成本,　　 員工購買庫藏股,　　 支付之利息,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 已實現銷貨損失（利益）,　　　　　 應收票據（增加）減少,　　　　　 應付票據增加（減少）,　　　　　 其他流動負債增加（減少）,　　 存出保證金減少,　　 其他金融資產減少,　　 預付設備款減少,　　 存入保證金增加,　　　　　 應付帳款增加（減少）,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　 處分持有至到期日金融資產,　　　　　 預付款項（增加）減少,　　 預收款項減少－處分資產,　　 短期借款減少
3013,2015年01月01日至2015年09月30日,,                 98815,                 98815,,,                192170,                  2628,                 11200,                  8650,                   -738,                              0,                  7000,                  4277,                225187,,,                139600,                -15628,                -12008,                    872,                112836,,                -34678,                  7830,                -26848,                 85988,                311175,                409990,                    885,                 -1945,                408930,,                -98276,                  2656,                   -999,                 21000,                -32723,                    114,               -108228,,               -110000,                190000,               -118500,                -42798,                              0,                 -8404,                              0,                -89702,                              0,                211000,                305207,                516207,                516207,,,,,,,,,,,,,,,,
3013,2015年01月01日至2015年06月30日,,                 13432,                 13432,,,                114845,                  1826,,                  5586,                   -635,,                  1216,                  2553,                125391,,,,                 91556,                 29660,                  3805,                214693,,,,               -202134,                 12559,                137950,                151382,                    782,                    -64,                152100,,                -93986,,                   -135,,,                              0,                -73675,,                -80000,                180000,               -119000,                -36019,,                 -5332,,                -60351,                              0,                 18074,                305207,                323281,                323281,                              0,                 89672,               -179550,                -22584,                    114,                 21000,                   -668,                              0,,,,,,,,
3013,2015年01月01日至2015年03月31日,,                -14975,                -14975,,,                 55406,                    932,,                  2633,                   -112,,,                  2451,                 61310,,,                139889,                -74943,                  4489,                  2348,                 71783,,,,               -112241,                -40458,                 20852,                  5877,                    214,                    -16,                  6075,,                -18106,,                              0,,                -51100,                              0,                -69206,,                              0,,                 -9500,,,                 -2456,,                -11956,                              0,                -75087,                305207,                230120,                230120,,,,                -22462,,,,                              0,                -89779,,,,,,,
3013,2014年01月01日至2014年09月30日,,                -21642,                -21642,,,                144864,                  4035,                    144,                 13032,                 -1411,                  7662,                  3198,                  4547,                176071,,,                 67855,                 -6026,                 -9019,                  2332,                 55142,,               -108622,                 -7775,               -116397,                -61255,                114816,                 93174,                  1434,                -13895,                 80713,,               -115594,                    700,                 -3720,                 35050,                -13563,                    -44,                -97171,,                 39137,                 30000,                -90892,                              0,                 22383,                -12656,                    258,                -11770,                   -893,                -29121,                264969,                235848,                235848,,,,,,,,,,,,,,,,
3013,2014年01月01日至2014年06月30日,,                  1956,                  1956,,,                 92950,                  2954,,                  8836,                 -1039,,                  2216,                  2920,                108837,,,,                 48581,                  1764,                  3529,                 94186,,,,               -185014,                -90828,                 18009,                 19965,                  1055,                -13465,                  7555,,                -79062,,                 -1794,,,                     49,                -75133,,                 49137,                              0,                -34000,                              0,,                 -8513,,                 10182,                 -1869,                -59265,                264969,                205704,                205704,                              0,                 40312,               -179801,                 -5213,                 -6728,                 20050,                 -7648,                  3558,,,,,,,,
3013,2014年01月01日至2014年03月31日,,                 39025,                 39025,,,                 45764,                  1432,,                  4463,                   -413,,,                  1468,                 52714,,,                 29829,                  4630,                 14648,                  2116,                 51223,,,,               -180044,               -128821,                -76107,                -37082,                    420,                    -27,                -36689,,                -27815,,                 -1500,,                -14708,                    281,                -43742,,                 49137,,                 -7000,,,                 -4183,,                 41262,                   -535,                -39704,                264969,                225265,                225265,,,,                -15173,,,,                  3308,               -164871,,,,,,,
3013,2013年01月01日至2013年12月31日,,                118218,                118218,,,                146622,                  5644,,                 19657,                 -2402,,                 28074,                  4382,,,,                 84222,               -110636,                -16776,                 -1529,                -44719,,,,                128565,                 83846,                325354,                443572,                  2611,                   -192,                445991,,                -58038,,                 -1925,                 34450,,                 -3737,                -21990,,               -213213,                              0,               -138000,                -62350,,                -19258,                   -437,               -433258,                  1360,                 -7897,                272866,                264969,                264969,,,,                 10183,,,,,                118382,,                 39531,                241508,                  7260,,,
3013,2013年01月01日至2013年09月30日,,                 69759,                 69759,,,                106209,                  4229,,                 15315,                 -1694,                              0,                 24293,                  2627,,,,                210251,                -11600,                -41096,                   -605,                156950,,                  9306,                  7668,                 16974,                173924,                343406,                413165,                  1859,                   -622,                414402,,                -51725,,                 -1925,                 34450,                 -1649,                   -280,                -13869,,               -173457,                              0,               -131000,                -62350,                              0,                -15013,                   -353,               -382173,                    903,                 19263,                272866,                292129,                292129,,,,,,,,,,,                 18503,                169482,                  7260,,,
3013,2013年01月01日至2013年06月30日,,                 12056,                 12056,,,                 76081,                  2701,,                 10400,                 -1293,,                 17681,                  7968,,,,,                 22361,,                  2069,                398562,,,,                -97506,                301056,                414594,                426650,                  1285,                   -792,                427143,,                -43398,,                              0,,,                   -240,                -23345,,               -134576,,               -114000,                -62350,,                -10252,,               -321178,                  1761,                 84381,                272866,                357247,                357247,,                380125,                -70471,                -27035,                    220,                 25562,                 -5489,                              0,,,,                113538,,                 -5993,,
3013,2013年01月01日至2013年03月31日,,                 -7000,                 -7000,,,                 37930,                  1356,,                  5715,                   -542,,,                  1393,,,,                325440,                 43524,                  8714,                  1311,                378989,,,,               -101858,                277131,                322983,                315983,                    399,                   -227,                316155,,                -16380,,                              0,,                  7446,                   -196,                 -9130,,                -79250,,                 -7000,,,                 -5583,,                -91833,                  1408,                216600,                272866,                489466,                489466,,,,                -30114,,,,                              0,                -71744,,,                 45852,,,,
3013,2012年01月01日至2012年12月31日,,                 49978,                 49978,,,                118332,                  5400,,                 21909,                 -2407,,                130403,                  9761,,,,               -185896,                -80431,                111585,                  4371,               -150371,,,,                -78856,               -229227,                 54171,                104149,                  3116,                 -1032,                106233,,               -245235,,                 -1991,                -32374,,                 -4847,               -257199,,                 18481,                438056,               -358000,                -35261,,                -21153,                    -54,                 42069,                 -2284,               -111181,                384047,                272866,                272866,,,,                    628,,,,,                -79484,,                              0,                283398,                 27248,,,
