證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 償還公司債,　　 償還長期借款,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 預付款項（增加）減少,　　 應付短期票券減少,　　 舉借長期借款,　　　 不影響現金流量之收益費損項目,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 以成本衡量之金融資產減資退回股款,　　 存出保證金增加,　　 因合併產生之現金流入,　　 收取之股利,　　　　　 負債準備增加（減少）,　　 存入保證金增加,　　　　 處分投資性不動產損失（利益）
1524,2015年01月01日至2015年09月30日,,               -306323,               -306323,,,                321013,                 13316,                    906,                 41076,                   -233,                              0,                     -2,                   -459,                 18382,                345101,                739100,,,                 -8803,                -15024,                 64878,                    100,                 47396,                  8208,                 96755,,                -39486,                -25244,                -13267,                    358,                   -540,                -78179,                 18576,                757676,                451353,                    233,                -38439,                    -23,                413124,,                              0,                104880,               -212214,                     39,               -107295,,                  9097,                              0,                      6,               -131100,                -14791,                -99529,               -236317,                 69512,                185005,                254517,                254517,,,,,,,,,,,,,,,,
1524,2015年01月01日至2015年06月30日,,               -349633,               -349633,,,                214276,                  1919,                   -314,                 27291,                   -211,,                     24,                   -351,,                345101,                587735,,,                 -3270,                  3113,                 78025,                  1419,                 18586,,                103693,,                -21216,                -14557,                -12006,                  6025,                   -355,                -42109,                 61584,                649319,                299686,                    211,                -26638,                    -15,                273244,,                              0,                104880,               -142385,                      3,                -37502,,                 64383,                              0,                      3,               -131100,                              0,                -55496,                -71018,                164724,                185005,                349729,                349729,                  5820,                              0,                 51192,,,,,,,,,,,,,
1524,2015年01月01日至2015年03月31日,,               -257778,               -257778,,,                106707,                  1084,                   -336,                 11066,                    -43,,                     22,                   -128,,                267864,                386236,,,                  1162,                  2600,                 51203,                 -2280,                -20039,,                 34835,,                    961,                -27402,                -10415,                  1170,                   -176,                -35862,                 -1027,                385209,                127431,                     43,                -11051,,                116423,,,                104880,                -76482,                      3,                 28401,,                 16169,,                      1,               -131100,                 -6496,,               -121426,                 23398,                185005,                208403,                208403,                  2189,,,,,,,,,,,,,,,
1524,2014年度,,                  8660,                  8660,,,                453254,                  2186,                 -1479,                 47261,                   -481,                 -2793,                 -3731,                   -101,,                              0,,,,                  4998,                    561,                 -9885,                    830,                  8410,,                 -6843,,                 27926,                -26954,                 -9712,                 -1204,,                -10528,                -17371,                476745,                485405,                    481,                -44999,                      2,                440889,,,,               -260400,                  4600,               -271987,,                              0,                -44658,                     14,,               -267422,,               -312066,               -143164,                328169,                185005,                185005,                -11757,                              0,                              0,,                              0,                              0,                494116,                   -584,                -18980,                              0,                              0,                              0,                  2793,,,
1524,2014年01月01日至2014年09月30日,,                  2558,                  2558,,,                343554,                  1484,                 -1177,                 35563,                   -306,                              0,                 -3734,                    -89,                              0,                              0,                375295,,,                    390,                  7130,                 54153,                 -1319,                -11193,                 -7409,                 41752,,                 12263,                -67014,                -27223,                    608,                   -435,                -81801,                -40049,                335246,                337804,                    306,                -34156,                              0,                303954,,                -18980,                              0,               -184602,                  4600,               -198982,,                              0,                -48107,                      9,                              0,               -232863,                              0,               -280961,               -175989,                328169,                152180,                152180,,,,,,,,,,,,,,,,
1524,2014年01月01日至2014年06月30日,,                  6647,                  6647,,,                229952,                    983,                 -1159,                 23341,                   -290,,                 -3738,                    -55,,                              0,                249034,,,                  1287,                  1963,                 73888,                  2882,                -47243,,                 31016,,                 -2461,                -63606,                -26879,                  3427,                   -298,                -89817,                -58801,                190233,                196880,                    290,                -22605,                              0,                174565,,                  2440,                              0,               -122976,                  4600,               -115936,,                              0,                -10523,                      6,                              0,               -176857,                              0,               -187374,               -128745,                328169,                199424,                199424,                 -1761,                              0,                              0,,,,,,,,,,,,,
1524,2014年01月01日至2014年03月31日,,                 16402,                 16402,,,                115709,                    560,                     28,                 12134,                   -113,,                 -3741,                    -59,,                              0,                124518,,,                 -2479,                  7536,                 -2478,                 -4617,                -39589,,                -40909,,                 44611,                 -4855,                -27808,                  3033,                   -154,                 14827,                -26082,                 98436,                114838,                    113,                -11760,,                103191,,,                  2440,                -69416,                  4600,                -62376,,                  7569,,                      5,                              0,               -248403,,               -240829,               -200014,                328169,                128155,                128155,                    718,,,,,,,,,,,,,,,
1524,2013年度,,                -53173,                -53173,,,                479424,                    785,                   -432,                 57577,                   -503,                              0,                -16431,                              0,,                   -743,,,,                 -2169,                 34126,                 44786,                  5241,                 30752,,                127163,,                -55635,                -48561,                  8809,                   -729,,                -96710,                 30453,                544046,                490873,                    503,                -52410,                              0,                438966,,,,               -245647,                 25034,               -288537,,                219885,                              0,                 44924,,               -294871,,                -30062,                120367,                207802,                328169,                328169,                 14427,                              0,                              0,,                              0,                 -6084,                513593,                   -594,                -85900,                  6084,                     -2,                 11894,                              0,,,
1524,2013年01月01日至2013年09月30日,,                 -4918,                 -4918,,,                363925,                    753,                   -559,                 44059,                   -211,                              0,                -16248,                              0,,,,,,                 -1518,                 25621,                103887,                  3301,                -20122,                 12623,                123792,,                 -2021,               -101186,                -21257,                   -577,,               -126413,                 -2621,                382489,                377571,                    211,                -39732,,                338050,,,,               -183181,                 24808,               -285442,,                176494,                              0,                              0,,               -146520,,                 19966,                 72574,                207802,                280376,                280376,,                -10006,,,                   -525,                 -6084,                385110,                   -415,               -133153,                  6084,,,,                   -957,                     -2,
1524,2013年01月01日至2013年06月30日,,                 13411,                 13411,,,                246649,                    807,                 -2027,                 25931,                   -185,                              0,                -12866,,,                  7211,,,,,                 15950,                 23811,                  6774,                 23230,                  8257,                 78022,,                -30305,                -64499,                -23141,                 -3391,,               -122286,                -44264,                214824,                228235,                    185,                -26096,,                202324,,,,               -128545,                 21254,               -141574,,                200509,,,,                -98220,,                 72321,                133071,                219426,                352497,                352497,,                -29968,,,,                 -6432,                259088,                   -262,                -40713,                  6432,                     -2,,,                   -688,,
