證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分無形資產損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 備供出售金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還長期借款,　　 存入保證金增加,　　 應付租賃款減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 預收款項增加－處分資產,　　 其他金融資產增加,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 發行公司債
2314,2015年01月01日至2015年09月30日,,                 35467,                 35467,,,                111735,                 58003,                              0,                 15360,                 31806,                 -5654,                              0,               -171795,                              0,                     53,                              0,                              0,                 -4807,                 34701,,,                  8328,               -138846,                 35802,                229483,                 -1089,                133678,,               -127858,                -98821,                -18104,                 -5669,                -47043,               -297495,               -163817,               -129116,                -93649,                  5682,                -33281,                 -4846,               -126094,,                              0,               -138228,                494812,                 -1921,                  4684,                -13977,                  2850,                348220,,              2044000,             -2258480,                -71400,                    714,                              0,               -285166,                 38004,                -25036,              1364924,              1339888,              1339888,,,,,,,,,,,,
2314,2015年01月01日至2015年06月30日,,               -117034,               -117034,,,                 78073,                 40029,                              0,                 14757,                 21620,                 -3728,                              0,                    930,,,                              0,                              0,                  6065,                157746,,,                  1679,                148685,                -15629,                108916,                 13451,                257102,,               -195118,                -72125,                -14909,                  1882,                -37207,               -317477,                -60375,                 97371,                -19663,                  3631,                -22345,                 -3926,                -42303,,,               -116327,                    158,                   -912,                  3766,                -10816,,               -163100,,              1285279,             -1248191,                -71400,                    714,                              0,                -33598,                -32276,               -271277,              1364924,              1093647,              1093647,                 98100,               -137069,,,,,,,,,,
2314,2015年01月01日至2015年03月31日,,                 11895,                 11895,,,                 39443,                 20727,                              0,                 19417,                 11286,                 -2208,                    625,                    485,,,,                              0,                  7290,                 97065,,,                 -1482,                 79198,                -10124,                136777,                 10909,                215278,,                -71973,                -23828,                 -7705,                -14585,                -12525,               -130616,                 84662,                181727,                193622,                  2157,                -10324,                 -1938,                183517,,,               -116052,                    180,                   -633,                  1259,                 -3927,,               -258378,,                541517,               -531606,,                              0,                              0,                  9906,                -11614,                -76569,              1364924,              1288355,              1288355,,               -139205,                     -5,,,,,,,,,
2314,2014年度,,               -521257,               -521257,,,                180908,                106905,                  4920,                -14606,                 38624,                -10344,                  5801,                  7484,,,                 95834,                              0,                  3974,,,,                 45115,               -166747,                 42590,                -54775,                 -2902,               -131558,,                -52653,                  6994,                  7949,                 16317,,                -18539,               -150097,                269412,               -251845,                  9087,                -37436,                -19497,               -299691,,                  6042,               -160110,                 20658,                   -612,                  6344,                -27136,                              0,               -154814,,              3372182,             -2967185,               -142800,,                   -264,                262912,                 40759,               -150834,              1515758,              1364924,              1364924,,,                    979,,                              0,                      9,                419509,                  5161,                  2854,                              0,                              0,
2314,2014年01月01日至2014年09月30日,,               -357088,               -357088,,,                140245,                 85349,                  4486,                 -7965,                 28244,                 -8877,                  3308,                  2797,                      9,                              0,                 34361,                 12980,                  3635,                298572,,,                 47092,               -247384,                 13489,                -49331,                  7658,               -228476,,               -136359,                -56650,                 11079,                 24497,                 -3518,               -160951,               -389427,                -90855,               -447943,                  8922,                -26571,                -15050,               -480642,,                  6018,                -67279,                 18407,                 -1234,                  6136,                -21903,                              0,                -59855,,              2493207,             -2232706,                -71400,                    980,                   -268,                189813,                 19105,               -331579,              1515758,              1184179,              1184179,,,,,,,,,,,,
2314,2014年01月01日至2014年06月30日,,               -293581,               -293581,,,                 97516,                 61778,                  4502,                  3183,                 18078,                 -6469,                    816,                  1422,,,                 34361,                  9838,                    482,                225507,,,                 40563,               -169647,                 50746,                -60342,                  3331,               -135349,,               -122884,                -47323,                  6442,                  8310,                 -4619,               -160074,               -295423,                -69916,               -363497,                  6251,                -17297,                -12942,               -387485,,,                -60360,                 14983,                   -897,                  3255,                 -9057,,                -52076,,              1686717,             -1402990,                -71400,                    980,                   -191,                213116,                    915,               -225530,              1515758,              1290228,              1290228,                              0,                              0,,,,,,,,,,
2314,2014年01月01日至2014年03月31日,,               -156328,               -156328,,,                 51535,                 31051,                  4500,                 -3065,                  8319,                 -3082,                    408,                    650,,,,                  9854,                 -1257,                 98913,,,                 20362,                 46480,                -63559,               -163465,                 11367,               -148815,,                187701,                -54189,                  4884,                -10544,                 -3437,                124415,                -24400,                 74513,                -81815,                  2929,                 -7878,                 -2071,                -88835,,,                 -8214,                  8968,                              0,                  1762,                 -5581,,                 -3065,,                631707,               -630742,,                    980,                    -97,                  1848,                 12052,                -78000,              1515758,              1437758,              1437758,,                              0,                              0,,,,,,,,,
2314,2013年度,,               -884985,               -884985,,,                233783,                139967,                    823,                 -1381,                 39250,                 -8563,                  7243,                  5647,,,                              0,                 97416,                  5620,,,,                -54410,                631297,                 73872,                178286,                 -3104,                831561,,                  3803,                -99542,                  9819,                -25130,,               -239886,                591675,              1044123,                159138,                  8685,                -41333,                -14146,                112344,,                  5975,                -81185,                 13375,                 -6812,                  2487,                -34395,                854514,                775082,,              3697283,             -4231529,               -392340,,                   -888,               -929314,                 18267,                -23621,              1539379,              1515758,              1515758,,,                 -1840,,                 -7302,                -60055,                452448,                  5620,               -128836,                 -4147,                 25270,
2314,2013年01月01日至2013年12月31日,,               -884985,               -884985,,,                233783,                140756,                    823,                 -1381,                 39250,                 -8563,                  7243,                  5647,,,                              0,                 97416,                  5620,,,,                -54410,                631297,                 73872,                178286,                 -3104,                831561,,                  3803,                -99542,                  9819,                -25130,,               -239886,                591675,              1044912,                159927,                  8685,                -41333,                -14146,                113133,,                  5975,                -81185,                 13375,                 -4325,,                -34395,,                775082,,,               -534246,               -392340,,                   -888,               -929314,                 17478,                -23621,              1539379,              1515758,              1515758,,                854514,                 -1840,,                 -7302,                -60055,                453237,                  5620,               -128836,                 -4147,                 25270,                              0
2314,2013年01月01日至2013年09月30日,,               -547714,               -547714,,,                177608,                105874,                   -482,                  4926,                 32110,                 -7145,                  5432,                  1728,                              0,,                              0,                              0,                  7390,,,,                 -8523,                238271,                 58853,                 87334,                  2709,                384256,,                -58123,               -108536,                  9263,                  9144,,               -254289,                129967,                390061,               -157653,                  7235,                -32829,                -11500,               -194747,,                  5967,                -56001,                  6927,                 -3278,                              0,                -21911,                854514,                809522,,                              0,               -341825,               -320940,                              0,                   -696,               -665321,                 11538,                -39008,              1539379,              1500371,              1500371,,,                 -1860,,                 -7292,                -60055,                260094,                  5612,               -106037,                 -1930,                 25234,                              0
