證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債券投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他金融資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 發行公司債,　　 償還長期借款,　　 其他應付款－關係人減少,　　 發放現金股利,　　 現金增資,　　 合併發行新股追溯調整,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分無活絡市場之債券投資,　　 其他應收款減少,　　 其他預付款項增加,　　 短期借款增加,　　 舉借長期借款,　　 其他應付款－關係人增加,　　　　 股利收入,　　 其他應收款增加
1262,2014年度,,              1810392,              1810392,,,                265387,                  5717,                              0,                 69168,                -13014,                    932,                              0,                  6168,                334358,,,                              0,                -70816,                 10398,                -20029,                -95595,                              0,               -176042,,                110262,                  2504,                -23636,                   -130,                 89000,                -87042,                247316,              2057708,                  9598,                -69701,               -405917,              1591688,,             -1233460,             -1362142,                     88,                    426,                -19435,               -511481,             -3126004,,                 75828,                              0,               -394707,                              0,               -337500,              1884000,                              0,              1227621,                 96988,               -209707,              1681382,              1471675,              1471675,,,,,,,,
1262,2014年01月01日至2014年09月30日,,              1356629,              1356629,,,                194482,                  4261,                              0,                 53936,                 -6635,                    323,                              0,                  4597,                250964,,,                              0,                -82215,                 10472,                -55677,                -76916,                 -5200,               -209536,,                -49773,                  1797,                -45564,                 -2628,                -96168,               -305704,                -54740,              1301889,                  7489,                -54210,               -285572,                969596,,,             -1195642,                     88,                    400,                  6177,               -471140,             -1660117,,                107728,                              0,               -196727,                              0,               -337500,              1884000,                              0,              1457501,                   -559,                766421,              1681382,              2447803,              2447803,,,,,,,,
1262,2014年01月01日至2014年06月30日,,                904560,                904560,,,                128137,                  2849,                              0,                 37068,                 -4418,                    411,                              0,                  3074,                167121,,,                              0,                -32124,                 11704,                -47846,               -143289,                 -1386,               -212941,,               -214616,                  1017,                -55177,                 -2641,               -271417,               -484358,               -317237,                587323,                  5164,                -37389,               -173145,                381953,,                              0,               -882140,,                    416,                 57797,               -307988,             -1131915,,                 11172,                              0,               -196727,                              0,,              1884000,                              0,              1698445,                -61838,                886645,              1681382,              2568027,              2568027,,,,,,,,
1262,2014年01月01日至2014年03月31日,,                459964,                459964,,,                 63276,                  1433,                              0,                 19533,                 -2595,                    352,                              0,                  1546,                 83545,,,                              0,                -52807,                 10679,                -55096,                -29225,                   -742,               -127191,,                -67671,                  3138,                -29356,                  1207,                -92682,               -219873,               -136328,                323636,                  3007,                -19597,                -63657,                243389,,                              0,               -240741,,                    -34,                  3822,               -142092,               -379045,,                 -6661,                              0,                -49480,                              0,,              1884000,                              0,              1827859,                 16101,              1708304,              1681382,              3389686,              3389686,,,,,,,,
1262,2013年度,,              1302198,              1302198,,,                182327,                  5068,                  3696,                 66439,                 -8597,                  2932,                 -1494,                 25142,                275513,,,                 17647,               -126148,                 -9064,                 57971,                -42052,                    498,               -101148,,                144801,                -14498,                 67620,                   -703,                197220,                 96072,                371585,              1673783,                  7672,                -81750,               -203335,              1396370,,                              0,               -982342,                  3066,                   -254,                 -2548,                -38990,             -1021068,,               -367898,              1483108,               -263554,                 -9790,                              0,                              0,                415288,              1257154,                 48926,              1681382,                              0,              1681382,              1681382,,,,,,,,
1262,2013年01月01日至2013年12月31日,,              1344711,              1344711,,,                189509,                  5559,                  3696,                 68286,                 -8760,                  2932,                -15035,                 27722,                273909,,,                 28102,                 23862,                 -9060,                  5739,                144916,                    281,                193840,,                 56552,                -25026,                 75549,                 -2187,                104888,                298728,                572637,              1917348,                  7835,                -81750,               -204186,              1639247,,,               -988132,                  3066,                    -28,                -16288,                -39378,             -1040760,,,              1483108,               -263554,                 -9790,,,,                841703,                 51630,              1491820,                189562,              1681382,              1681382,                              0,                              0,                              0,               -368061,                              0,                              0,,
1262,2013年01月01日至2013年09月30日,,                901231,                901231,,,                130709,                  3672,                  3696,                 46325,                 -6109,                  2932,                 -1494,                 23636,                203367,,,                 17647,                149642,                 -8742,                 69103,                -43572,                   -828,                183250,,                109892,                -14799,                 36418,                    914,                132425,                315675,                519042,              1420273,                  5429,                -48937,               -150979,              1225786,,,               -670029,                  3066,                 -1012,                 -6460,                -28172,               -702607,,               -376849,              1483108,               -118815,                 -9790,                              0,                              0,                415288,              1392942,                  9643,              1925764,                              0,              1925764,              1925764,,,,,,,,
1262,2013年01月01日至2013年06月30日,,                549709,                549709,,,                 77374,                  2269,                  3696,                 52554,                 -3871,                              0,                 -1494,                 22122,                152650,,,                 17647,                 -2635,                   -771,                 95428,                -85100,                   -485,                 24084,,                 71422,                -15449,                 -3409,                  1331,                 53895,                 77979,                230629,                780338,                  3489,                -53080,               -107244,                623503,,               -213594,               -312607,,                   -342,                 28067,                -23874,               -522350,,               -162480,              1483108,               -118815,                 -9790,,                              0,                415288,              1607311,                 33726,              1742190,                              0,              1742190,              1742190,,,,,,,,
1262,2013年01月01日至2013年03月31日,,                235323,                235323,,,                 32905,                    865,                  1341,                 15195,                   -769,                              0,                 -1227,                 11838,                 60148,,,                 10511,               -185332,                   -513,                 18046,               -240048,                   -789,               -398125,,                 99094,                 -8741,                 33049,                  4749,                128151,               -269974,               -209826,                 25497,                    609,                -24926,                -58323,                -57143,,                -89475,               -108431,,                    -42,                 -7414,                 -1299,               -206661,,                -25619,              1483108,                              0,                 -9790,,                              0,                415288,              1862987,                 36538,              1635721,                              0,              1635721,              1635721,,,,,,,,
1262,2012年01月01日至2012年12月31日,,              1133246,              1133246,,,                147135,                  5294,                              0,                 88267,                 -3949,                    924,                 -2210,                 55951,                291412,,,                -28102,               -355552,                 24458,                250093,                  4114,                    486,               -104503,,               -157852,                 23371,                 -8469,                  3813,               -139137,               -243640,                 47772,              1181018,                  3949,                -79678,               -119073,                986216,,,               -800342,                    548,                   -159,                 25516,               -304862,             -1052115,,,                              0,                -70275,                              0,,,,                181144,                -35170,                 80075,                109487,                189562,                189562,                 24505,                 17254,                -14575,                453967,                 23425,               -225973,,
