證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 現金增資,　　 取得子公司股權,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 取得採用權益法之投資,　　 預付投資款增加,　　 取得待出售非流動資產,　　 非控制權益變動,　　　　 其他項目
3519,2015年01月01日至2015年09月30日,,             -1521068,             -1521068,,,              1198434,                  3180,                205714,                 -3736,                  1664,                  6204,                    -16,                              0,                 -1445,              1409999,,,               -142494,                915112,               -109357,                306230,                 74231,                  1131,                178986,              1223839,,                  3396,                230082,                475171,                  4445,                -40125,                    403,                  8899,                682271,              1906110,              3316109,              1795041,                  3908,                  1362,              1800311,,               -399408,                352941,                              0,               -155847,                     52,                 -1143,               -203405,,             10160115,            -10597754,                              0,                              0,                 66750,             -1905694,                600016,                              0,               -206145,             -1882712,                -37960,               -323766,                757189,                433423,                433423,,,,,,,,,,,,,,
3519,2015年01月01日至2015年06月30日,,               -960131,               -960131,,,                802381,                  2093,                139498,                 -2841,                  1664,                 -3391,                    -16,                              0,                 -1445,                937943,,,                -78403,              1406486,               -117130,                285178,                157963,                  1235,                121847,              1777176,,                -19184,                 84348,                299301,                    874,                -51091,                    266,                 11055,                325569,              2102745,              3040688,              2080557,                  3028,                  1362,              2084947,,               -221717,                203676,                              0,                -43193,                     52,                 -1076,                -62258,,              6658451,             -7824317,                              0,                              0,                 66750,             -1275610,                600016,                              0,               -139816,             -1914526,                -18400,                 89763,                757189,                846952,                846952,,,,,,,,,,,,,,
3519,2015年01月01日至2015年03月31日,,               -413191,               -413191,,,                405344,                  1017,                 76222,                 -2160,                  1664,                  3211,                     21,                              0,                 -1445,                483874,,,                -14530,                859497,                -58073,                135971,                215268,                  1378,                -17671,              1121840,,                 -7944,                143767,                269471,                  5509,                 -1304,                    133,                 14575,                424207,              1546047,              2029921,              1616730,                  2118,                    970,              1619818,,               -173659,                122388,                              0,                 -6488,,                   -796,                -58555,,              3458184,             -4122659,                              0,                              0,                  1750,               -461450,                              0,,                -74045,             -1198220,                -97545,                265498,                757189,              1022687,              1022687,,,,,,,,,,,,,,
3519,2014年度,,             -2085746,             -2085746,,,              1619314,                  3839,                277106,                 -3048,                 23025,                  6992,                              0,                -10602,                   -989,,,,                 22291,               -793871,                    885,               -667008,               -441793,                 -3381,                422071,             -1460806,,                 23527,                 87154,                  5385,                  4640,               -164486,,                -13566,                -56637,             -1517443,                709905,             -1375841,                  2857,                 -6007,             -1378991,,,,                121730,               -112221,                      3,                 -4922,                200820,,             15549229,            -15092603,              1197043,             -1745485,              1598100,             -1400065,                950060,                138457,               -274707,                920029,                 31589,               -226553,                983742,                757189,                757189,,                 -2639,                              0,                314350,              2227348,                    709,                              0,               -212180,                408410,                              0,                              0,                              0,                              0,
3519,2014年01月01日至2014年09月30日,,             -1012276,             -1012276,,,              1219594,                  2771,                186004,                 -2450,                 23680,                  7273,                     -1,                -10602,                   -989,              1425280,,,                 21285,               -540896,               -118193,             -1026269,               -255204,                 -6606,                133285,             -1792598,,                 22102,                -23933,                 22459,                  3561,               -130279,                    236,                -29526,               -135380,             -1927978,               -502698,             -1514974,                  2289,                -31992,             -1544677,,               -146613,                364740,                121730,               -105407,                      2,                 -2627,                231825,,             12178806,            -11734462,              1204515,             -1752957,              1501743,             -1131758,                950060,                138457,               -181251,              1173153,                 -8628,               -148327,                983742,                835415,                835415,,,,,,,,,,,,,,
3519,2014年01月01日至2014年06月30日,,               -356048,               -356048,,,                809462,                  1758,                111922,                 -1798,                  7436,                  1804,                              0,                -10602,                   -159,                919823,,,                 10165,               -135779,                 23014,               -917987,               -264449,                 -3711,                175961,             -1112786,,                  2495,               -180387,               -175761,                  2129,                -98885,                    110,                -49430,               -499729,             -1612515,               -692692,             -1048740,                  1787,                -33478,             -1080431,,                -58494,                339491,                121730,                -78553,                              0,                   -992,                323182,,              8622342,             -8949937,              1204515,             -1752957,              1448367,               -861815,                950060,                138457,               -110386,                688646,                 -3075,                -71678,                983742,                912064,                912064,,,,,,,,,,,,,,
3519,2014年01月01日至2014年03月31日,,               -116384,               -116384,,,                403683,                    886,                 54742,                   -326,                  8729,                              0,                              0,                -10602,                              0,                457112,,,                -12868,                271948,                 -7296,                -54962,               -199690,                   -586,                178871,                175417,,                  3742,               -472298,               -307988,                    954,                -60530,                     62,                -25733,               -861791,               -686374,               -229262,               -345646,                    317,                -19518,               -364847,,                -20675,                285426,                121730,                -62181,,                    -49,                324251,,              3915179,             -4142674,                903598,             -1352261,                751374,               -286122,                950060,,                -54856,                684298,                 -2566,                641136,                983742,              1624878,              1624878,,,,,,,,,,,,,,
3519,2013年度,,             -2361923,             -2361923,,,              2238533,                  3344,                275491,                 -4991,                 27704,                 10672,                    258,                              0,               -127791,,,,                 57537,               -644146,                330752,                270431,               -450761,                 -3868,                772361,                332306,,                -57965,              1918161,                561958,                  2755,               -314829,,                -67762,              2042486,              2374792,              4902166,              2540243,                  5140,                  7960,              2553343,,,,                              0,               -133002,                              0,                 -1411,               -200055,,             21531076,            -22107635,                548442,                              0,                178591,             -3284419,                450000,                              0,               -280477,             -2964213,                  9834,               -601091,              1584833,                983742,                983742,,                              0,               -115111,                219265,              2527374,                    168,                360357,               -390435,                 74220,                              0,                              0,               -109784,                    209,
3519,2013年01月01日至2013年12月31日,,             -2361923,             -2361923,,,              2238533,                  3344,                275491,                 -4991,                 27704,                 10672,                    258,,               -127791,,,,                 57537,               -644146,                330752,                270431,               -450761,                 -3868,                772361,                332306,,                -57965,              1918161,                561958,                  2755,               -314829,,                -67762,              2042486,              2374792,              4902166,              2540243,                  5140,                  7960,              2553343,,,,,               -133002,                              0,                 -1411,               -200055,,             21531076,            -22107635,                548442,                              0,                178591,             -3284419,                450000,,               -280477,             -2964213,                  9834,               -601091,              1584833,                983742,                983742,,                              0,               -115111,                219265,              2527374,                    168,                360357,               -390435,                 74220,                              0,                              0,               -109784,                    209,                              0
3519,2013年01月01日至2013年09月30日,,             -1721537,             -1721537,,,              1678406,                  2530,                207618,                 -3596,                 33247,                  8940,                    174,                              0,               -136385,,,,                 74055,               -443011,                256846,                 30548,               -387812,                   -947,                572347,                102026,,                -56718,              1665695,                850284,                  2042,               -222603,,                -47820,              2190880,              2292906,              3968729,              2247192,                  3520,                 17655,              2268367,,,,                              0,                -67793,                              0,                   -371,                -90386,,             14958566,            -15473826,                598696,                              0,                144370,             -2393146,                450000,                              0,               -206640,             -1921771,                 13714,                269924,              1584833,              1854757,              1854757,,,               -115111,,              1675823,                              0,                360357,               -491825,                218969,               -109723,,,                    209,
