證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 其他非流動資產減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應收帳款（增加）減少,　　　　 其他項目,　　 短期借款減少,　　　　 處分其他資產損失（利益）,　　　　　 其他營業資產（增加）減少,　　 應付短期票券增加,　　 其他非流動資產增加,　　　　　 應計退休金負債增加（減少）
2548,2015年01月01日至2015年09月30日,,              2318861,              2318861,,,                  5064,                  1355,                              0,                 39855,                -31610,                 -2102,                     40,                              0,                 12602,,,                117037,                -31521,                  1059,             -3250620,                 -6376,                225558,                719012,             -2225851,,                150424,               -230487,                 13285,               -207398,                227617,                  1866,                -44693,             -2270544,             -2257942,                 60919,                 31610,                  2400,               -248258,               -219846,               -373175,,                              0,                              0,                              0,                    111,                -10436,               -162190,                  1249,                              0,               -171266,,                623390,                339433,              1380000,             -1148200,                  3340,             -1384065,                  6191,               -179911,                 -1034,               -725386,                926000,                200614,                200614,,,,,,,,,,,
2548,2015年01月01日至2015年06月30日,,              1944631,              1944631,,,                  3236,                    878,                              0,                 28282,                -25135,                 -1129,                     12,                              0,                  6144,,,                122419,                -17723,                 -8920,             -2268611,                -12942,                 25175,                324073,             -1836529,,                179657,               -297263,                -55322,                 55299,                -15516,                  1248,               -131897,             -1968426,             -1962282,                -17651,                 25135,                  2400,               -164389,               -219846,               -374351,,                              0,                              0,                              0,                    111,                 -2357,                -11027,                  1290,                              0,                -11983,,                363355,                 19904,                              0,               -373500,                  3690,                              0,                 -8472,                  4977,                -28087,               -409444,                926000,                516556,                516556,,,,,,,,,,,
2548,2015年01月01日至2015年03月31日,,              1204173,              1204173,,,                  1585,                    440,                              0,                 12487,                 -4807,                   -382,                              0,                              0,                  9323,,,                298191,                  9126,                  3146,             -1180049,                              0,                 54711,                121894,               -692981,,                162731,               -397336,               -100732,                251782,                 41451,                    632,                -41472,               -734453,               -725130,                479043,                  4807,,                -65932,                 -9185,                408733,,,                              0,                              0,                    111,                 -2078,                 -9494,                    463,                              0,                -10998,,                302712,               -200116,                              0,               -186750,                  1800,                              0,                              0,                -82354,                -14722,                300659,                926000,              1226659,              1226659,                              0,,,,,,,,,,
2548,2014年度,,              1714486,              1714486,,,                  7029,                  2351,                -45196,                 73273,                -23564,                 -1913,                  1346,                   -109,,,,               -106001,                -21909,                  2256,                 73990,               -182910,               -247593,             -1112254,             -1594421,,                 13290,                116316,                 34753,              1674343,                 -3052,                  3730,              1839380,                244959,                258176,              1972662,                 23564,                  4243,               -311595,                -26177,              1662697,,,                  9959,                 -5000,                              0,                 -3364,               -158361,                  1000,                              0,               -155766,,              1011362,               -269083,              1522000,             -1449000,                -73960,             -1522469,               -101172,               -882322,                 40752,                665361,                260639,                926000,                926000,,,                 13217,                              0,,,,,,,
2548,2014年01月01日至2014年09月30日,,                 42008,                 42008,,,                  5214,                  1876,                -30651,                 54406,                -30519,                   -617,                     21,                 39479,                 39209,,,                 11407,                 47696,                -13902,             -1525235,               -256312,               -300057,             -1467683,             -3504086,,                181727,               -348608,                -25856,              2518728,                155264,                -72775,              2408480,             -1095606,             -1056397,             -1014389,                 30519,                  4243,               -234399,                -26629,             -1240655,,                 17632,                  9959,                 -5000,                              0,                 -1153,                -83558,                 18934,                              0,                -43186,,              3342529,              1099280,              1522000,             -1324500,                              0,             -1522469,               -112228,              3004612,                  4162,              1724933,                260639,              1985572,              1985572,,,,,,,,,,,
2548,2014年01月01日至2014年06月30日,,               -127464,               -127464,,,                  3509,                  1311,                 -5831,                 41549,                -18296,                    300,                      4,                  2623,                 25169,,,               -219492,                 40594,                 -5964,             -1058257,               -210006,               -198748,             -2209746,             -3861619,,                 90728,               -385268,               -100575,              1654234,                -10956,                 12968,              1261131,             -2600488,             -2575319,             -2702783,                 18296,                  3200,               -152168,                -26457,             -2859912,,                  2339,                    801,                              0,                              0,                   -923,                -26476,                 19379,                              0,                 -4880,,              2900315,                709460,                              0,               -450000,                              0,                              0,                -10555,              3149220,                -35043,                249385,                260639,                510024,                510024,,,,,,,,,,,
2548,2014年01月01日至2014年03月31日,,                -38235,                -38235,,,                  1743,                    616,                 -6359,                 21610,                 -1903,                      1,                      1,                              0,                 15709,,,                113181,                  3120,                   -691,               -445291,                              0,               -101565,               -115328,               -546574,,                 89048,               -366557,               -182934,                751347,                -20771,                  6484,                276617,               -269957,               -254248,               -292483,                  1903,,                -73448,                              0,               -364028,,,                              0,                              0,                              0,                   -348,                -33698,                    684,                              0,                -33362,,              1171117,               -199789,                              0,               -225000,                              0,                              0,                 -2232,                744096,                 -7413,                339293,                260639,                599932,                599932,                              0,,,,,,,,,,
2548,2013年度,,              3325195,              3325195,,,                  4537,                  2840,                 -4248,                 47976,                 -3024,                 -4205,                     26,                              0,,,,               -630131,                -49011,                 -4970,             -3475257,               -221964,               -329119,             -2081784,             -6792236,,                -15393,               -183586,                104605,                282993,                  8434,                  1957,                199010,             -6593226,             -6549324,             -3224129,                  3024,                  3200,               -216829,               -177805,             -3612539,,,                              0,                              0,                              0,                -13377,               -126796,                 22790,                              0,               -117383,,              4024839,                399185,              1245000,             -1580000,                 69411,             -1384064,                 20596,              2794967,                 68378,               -866577,              1127216,                260639,                260639,,,                 43902,                              0,,,,,,,
2548,2013年01月01日至2013年09月30日,,              3006498,              3006498,,,                  2938,                  2220,                 -1209,                 31528,                 -4947,                   -899,                     -7,                              0,,,,               -405728,               -121400,                -24305,             -3543282,               -342027,               -112518,               -993022,             -5542282,,                 62114,               -571302,                  7159,                254771,                 23797,                 63113,               -160348,             -5702630,             -5673006,             -2666508,                  4947,                  3200,               -145000,                -81073,             -2884434,,                              0,                              0,                              0,                              0,                 -5226,               -132130,                  7514,                              0,               -129842,,,                359152,,               -185000,,             -1384064,                 12500,              2228044,                 41500,               -744732,              1127216,                382484,                382484,,,                 29624,,                              0,              3425456,,,,,
2548,2013年01月01日至2013年06月30日,,              3093663,              3093663,,,                  1965,                  1549,                 -5111,                 19150,                 -4278,                   -722,                     -7,                              0,,,,                              0,                -22910,                 -5368,             -1379757,                -70428,                -50909,               -737477,             -3654849,,                 30308,               -592307,                 -5063,               -521619,                 12316,                 55072,             -1021293,             -4676142,             -4663596,             -1569933,                  4278,                  3200,                -76099,                -79900,             -1718454,,                              0,                              0,,                              0,                 -3139,                -46261,                 -4946,                              0,                -54346,,              2076756,,,             -1280000,,,                 16627,              1212458,                 55236,               -505106,              1127216,                622110,                622110,,,                 12546,,,,                              0,             -1388000,                399075,,
