證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 其他非流動負債增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 其他項目,　　　　 處分投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應付票據增加（減少）,　　　　　 負債準備增加（減少）,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 存出保證金減少,　　 短期借款增加,　　　 不影響現金流量之收益費損項目,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資
2468,2015年01月01日至2015年09月30日,,                 38093,                 38093,,,                  9566,                  1396,                     14,                 -4200,                 -1160,                 -3864,                  1752,,,                 10701,                -15624,                 15072,                  6716,                -60496,                 13994,                -29637,,                 17656,                 -2081,                 29389,                 44964,                 15327,                 17079,                 55172,                  3830,                    -14,                 -8779,                 50209,,                              0,                -17141,                              0,                 -1275,                              0,                   -582,                 -9072,                -28070,,                              0,                              0,                      2,                -34981,                -34979,                    937,                -11903,                184663,                172760,                172760,                              0,,,,,,,,,,,,,,,
2468,2015年01月01日至2015年06月30日,,                 22992,                 22992,,,                  6539,                    960,,                 -2727,                 -1012,                  2504,                  6273,,,                  2794,                -21758,                 10414,                  1980,                -26444,                 10314,                -22700,,                 39500,                 -3170,                 20172,                 56502,                 33802,                 40075,                 63067,                  2815,                     -9,                 -5287,                 60586,,                              0,                  1319,                              0,                   -646,,                   -435,                 -6725,                 -6487,,                              0,                              0,                      2,,                      2,                 -1906,                 52195,                184663,                236858,                236858,                              0,                      9,,,,,,,,,,,,,,
2468,2015年01月01日至2015年03月31日,,                  7613,                  7613,,,                  3269,                    481,,                 -1263,,                  1365,                  3885,,,                 13543,                 33637,                  6821,                -29211,                 -4880,                 11418,                 31328,,                 28074,                -14473,                  5931,                 19532,                 50860,                 54745,                 62358,                  1016,                     -5,                    -35,                 63334,,                 -2507,,,                   -241,,,                   -394,                 -6337,,                              0,                              0,                      3,,                      3,                 -1023,                 55977,                184663,                240640,                240640,                              0,                      5,                              0,                     28,                              0,                              0,                              0,                              0,                              0,                 -3195,                              0,,,,,
2468,2014年度,,                 52202,                 52202,,,                 14023,                  1940,                  1674,                 -4684,                  2934,                -10993,,,,                   -208,                 56955,                 -5930,                 85203,                 71239,                -10154,                197105,,                -69917,                  8840,                   -212,                -61691,                135414,                140318,                192520,                  4664,                 -1653,                 -6433,                189098,,,,                 -3999,                -11143,                      2,                   -987,                 -1499,                -29179,,,                -59935,                  1548,                -20988,               -229375,                  6911,                -62545,                247208,                184663,                184663,,                              0,                              0,,                              0,,                   -402,                              0,                              0,                 -2988,               -150000,,                     10,                  4904,                 -8565,                              0
2468,2014年01月01日至2014年09月30日,,                 23513,                 23513,,,                 10639,                  1444,                  1586,                 -3449,                  4243,                 -5545,                  8918,,,                   -116,                  4322,                 -1419,                 51399,                 45907,                 -7179,                 92914,,                -51565,                  9730,                 -7662,                -49497,                 43417,                 52335,                 75848,                  3138,                 -1605,                 -6263,                 71118,,                   -989,                              0,                 -3999,                 -7292,                      2,                   -897,                 -5163,                -18338,,               -105000,                     13,                  1554,                -20988,               -124421,                  2858,                -68783,                247208,                178425,                178425,                              0,,,,,,,,,,,,,,,
2468,2014年01月01日至2014年06月30日,,                  9973,                  9973,,,                  7142,                    910,,                 -2314,                  4974,                 -2517,                  9337,,,                  6732,                  8707,                   -924,                 37714,                  3085,                  4636,                 59950,,                -50717,                    585,                -22280,                -72412,                -12462,                 -3125,                  6848,                  2383,                 -1131,                 -3316,                  4784,,                 -2307,                              0,                 -3999,                 -4105,,                   -485,                 -4358,                -15254,,                -70000,                 29990,                     13,,                -39997,                    265,                -50202,                247208,                197006,                197006,                              0,                  1142,,,,,,,,,,,,,,
2468,2014年01月01日至2014年03月31日,,                  9641,                  9641,,,                  3567,                    421,,                 -1194,,                  1852,                  7409,,,                  9860,                 66662,                 -2015,                 26482,                 13343,                   -930,                113402,,                -31573,                 -9569,                -16183,                -57325,                 56077,                 63486,                 73127,                    919,                   -633,                   -343,                 73070,,                -11395,,,                 -3489,,,                   -531,                -14007,,                -25000,                  9954,                     12,,                -15034,                  4142,                 48171,                247208,                295379,                291380,                  3999,                    647,                              0,                  2116,                              0,                              0,                              0,                              0,                              0,                  1408,                              0,,,,,
2468,2013年度,,                 37838,                 37838,,,                 19366,                  2029,                  3400,                 -4866,                  1612,                 -9271,,,,                 -3455,                -46159,                  3137,                -39911,                -22696,                 -1248,                -65315,,                -63879,                -28525,                -16985,               -110153,               -175468,               -178114,               -140276,                  4692,                 -3229,                 -5043,               -143856,,,,                              0,                -31168,                 40548,                   -505,                 52449,                 16049,,,                 -9907,                    921,                 -6996,                 44018,                  7780,                -76009,                323217,                247208,                247208,,                     25,                 -4820,,                 45017,,                   -764,                -81892,                 78018,                -65867,                 60000,,                -10121,                 -2646,                              0,                 24466
2468,2013年01月01日至2013年12月31日,,                 37838,                 37838,,,                 19366,                  2029,                  3400,                 -4866,                  1612,                 -9271,,,,                 -3455,                -46159,                  3137,                -39911,                -22696,                 -1248,                -65315,,                -63879,                -28517,                -16985,               -110153,               -175468,               -178114,               -140276,                  4692,                 -3229,                 -5043,               -143856,,,,                              0,                -31168,                 40548,                   -505,                 52449,                 16049,,,                 -9907,                    921,                 -6996,                 44018,                  7780,                -76009,                323217,                247208,                247208,                              0,                     25,                 -4820,,                 45017,                     -8,                   -764,                -81892,                 78018,                -65867,                 60000,,                -10121,                 -2646,,                 24466
2468,2013年01月01日至2013年09月30日,,                  6854,                  6854,,,                 14874,                  1594,                  2508,                 -3734,,                 -7049,,,,                  5074,                -23779,                   -494,                -18798,                -36486,                 -9118,                -38672,,               -135300,                -25754,                -11573,               -173209,               -211881,               -204186,               -197332,                  3156,                 -2377,                 -4495,               -201048,,,,                              0,                -29601,                              0,                   -505,                  1094,                -27807,,,                     -4,                  1261,                 -6996,                142261,                  6050,                -80544,                323217,                242673,                242673,                              0,                     12,                 -4809,                  1983,                 44929,                     -9,                   -573,                -81891,                 71413,,                148000,,                  2316,                  7695,                              0,                 11683
2468,2013年01月01日至2013年06月30日,,                  4022,                  4022,,,                  9859,                  1167,,                 -2478,,                -10380,,,,                 10939,                -18990,                  2579,                -29699,                -22618,                -22785,                -35645,,                -71202,                -25052,                    157,                -83287,               -118932,               -117998,               -113976,                  2264,                 -1291,                 -2111,               -115114,,,,                              0,                -27765,,                   -505,                   -528,                -62048,,                146700,                     -8,                  1250,,                147942,                  8859,                -20361,                323217,                302856,                302856,                              0,                  1576,                 -2305,                  3495,                 44929,                 13193,                   -383,                -82765,                 42543,,,,,                    934,                              0,                  6972
2468,2013年01月01日至2013年03月31日,,                    346,                    346,,,                  3767,                    937,,                 -1214,,                 -8617,,,,                 -3687,                 52951,                 -4324,                -16071,                 -8891,                 -4925,                 -2045,,               -145809,                -34603,                 15072,               -165531,               -167576,               -174079,               -173733,                    821,                   -701,                    -50,               -173663,,,,,                -25065,,,                   -302,                -30861,,                              0,                 29920,                  1320,,                148240,                  6706,                -49578,                323217,                273639,                273639,                              0,                    294,                   -846,                   -824,                -17098,                      1,                   -192,                -30528,                 23620,                  4057,                117000,,,                 -6503,                 -2643,
2468,2012年01月01日至2012年12月31日,,                 12313,                 12313,,,                  6993,                  4057,                  1294,                 -3760,                  6223,                    624,,,,                 10327,                -16882,                 -7103,                -35508,                -34014,                -11430,               -138726,,                 77578,                -26490,                 18496,                 68853,                -69873,                -54447,                -42134,                    403,                 -1421,                 -4558,                -47710,,,,                 -8383,                -86883,                              0,                 -5289,                    748,               -103240,,,                 69842,                    249,                -34981,                125110,                 -5773,                -31613,                354830,                323217,                323217,                              0,                    -62,                              0,,                -44116,                     29,                   -760,                -58951,                              0,                -14979,                 90000,,                     57,                 15426,,                 70497
2468,2012年01月01日至2012年09月30日,,                 -5720,                 -5720,,,                  5203,                  1550,                    670,                 -2711,                  6301,                  4080,,,,                 11053,                -26599,                 -2726,                -47373,                -21702,                -24241,               -157069,,                 25644,                -41569,                 15475,                 -1021,               -158090,               -142603,               -148323,                    253,                   -868,                   -187,               -149125,,,,                 -8383,                -75387,,                 -3188,                     -1,                -74384,,,                 79797,                    247,                -34981,                185063,                 -4621,                -43067,                354830,                311763,                311763,                              0,                    386,                              0,,                -45481,                              0,                   -571,                -42947,                              0,,                140000,,                      8,                 15487,,                 55522
2468,2012年01月01日至2012年06月30日,,                  5038,                  5038,,,                  3546,                    894,,                 -1703,                  1132,                 -2368,,,,                 15845,                -18332,                 -2129,                -10980,                -16247,                    149,                -31694,,                 12908,                -44560,                  2276,                -29757,                -61451,                -59785,                -54747,                     31,                   -165,                   -136,                -55017,,,,,                -47727,,                 -1904,                  1639,                -39748,,,                              0,                    247,,                105247,                    986,                 11468,                354830,                366298,                366298,                              0,                    165,                              0,,                              0,                              0,                   -381,                -29762,                              0,,                105000,,,                  1666,,                 38006
2468,2012年01月01日至2012年03月31日,,                -11999,                -11999,,,                  1752,                    395,,                   -838,                    264,                    868,,,,                 10360,                 47116,                 -1696,                -38661,                -14364,                 -3458,                   -703,,                -10687,                -38890,                  1352,                -48009,                -48712,                -46270,                -58269,                     15,                     -1,                              0,                -58255,,,,,                -10079,,                   -666,                   -775,                 -1572,,,                              0,                    247,,                    247,                 -2302,                -61882,                354830,                292948,                292948,                              0,                      1,                              0,                              0,                              0,                    406,                   -190,                              0,                              0,                  7916,                              0,,,                  2442,                              0,                  2032
