證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 以成本衡量之金融資產減資退回股款,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產減少,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 其他非流動負債減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 負債準備增加（減少）,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 處分採用權益法之投資,　　 其他非流動資產增加,　　　　 金融資產減損損失,　　 發放現金股利,　　 其他符合國際會計準則第七號現金及約當現金定義之項目
1309,2015年01月01日至2015年09月30日,,                112222,                112222,,,                165943,                  5542,                  2336,                 -1939,                 55565,                -30399,                 -5809,                  1856,                    -40,                 56065,                              0,                 51623,                  8233,                308976,,,               -375623,                598083,                182469,                 33532,                -24855,                   -844,                278955,                -22752,                 -1736,                667229,,                -46617,               -146566,                   -775,                 -4107,                  2691,                -18262,                   -786,               -214422,                452807,                761783,                874005,                 29757,                -56323,                -34982,                812457,,                              0,                262416,                              0,                  1278,               -100483,                     80,                    -86,                     24,                 -6609,                              0,                  7666,                164286,,                              0,               -841458,                              0,               -400000,              3540000,             -3600000,                    677,                              0,             -1300781,                  3792,               -320246,                910720,                590474,                590474,,,,,,,,,,,,,,
1309,2015年01月01日至2015年06月30日,,                304051,                304051,,,                110617,                  3449,                  1201,                -16904,                 37290,                -25990,                 -5809,                 -2593,                   -239,                              0,,                 -4371,                  5525,                102176,,,               -334868,                554180,               -147877,                 16492,                  1384,                   -329,                 63326,                -11957,                 -1491,                138860,,                -34299,                240847,                   -774,                -12867,                  2166,                -11134,                   -532,                183407,                322267,                424443,                728494,                 24425,                -36362,                    -11,                716546,,                -80637,,,,                -72887,                    256,                              0,,                 -6029,                    944,,               -158353,,                              0,               -302123,                              0,,              2540000,             -2600000,                    114,,               -362009,                 -2915,                193269,                910720,              1103989,              1103989,,,,,,,,,,,,,,
1309,2015年01月01日至2015年03月31日,,                 73714,                 73714,,,                 55528,                  1561,                   -910,                -19016,                 20254,                -12224,,                    754,                      5,                              0,,                  1147,,                 47099,,,               -153347,                237261,                428290,                 21615,                 40054,                   -380,                213252,                -37256,                 -1019,                748470,,                -18935,                223914,                   -322,                 26452,                    693,                 31043,                   -248,                265768,              1014238,              1061337,              1135051,                  9719,                -19690,                    -13,              1125067,,                -81087,                              0,,,                -46381,,,,,                    944,,               -126524,,               -995700,,                              0,,              1300000,             -1300000,                    180,,               -995520,                 -5373,                 -2350,                910720,                908370,                908370,                  3171,,,,,,,,,,,,,
1309,2014年度,,               -638210,               -638210,,,                215412,                  3361,                    348,                  5241,                103036,                -44562,                 -8714,                 -3738,                   -106,                 76824,,                  7114,                  1345,,,,               -109348,                504402,               -195352,                -36489,                -15587,                    189,                973483,                 67574,                    679,              1189551,,                -14371,             -1196406,                   -720,                 23291,                    935,                 13570,,             -1162823,                 26728,                382320,               -255890,                 44994,               -101495,                   -888,               -313279,,,,                  2250,,               -201099,                    449,                 -1812,,                              0,,                 15854,               -396780,,                              0,               -129217,                200000,,              4794000,             -4494000,                    517,,                371300,                 13377,               -325382,              1236102,                910720,                910720,                 13193,,                     31,                355592,                 -2315,                   -284,                    351,             -2427843,              2215907,                              0,                   -553,,,
1309,2014年01月01日至2014年09月30日,,               -419526,               -419526,,,                158217,                  3153,                    689,                 15375,                 77927,                -31339,                 -8714,                 -6143,                     19,                              0,                 -8534,                  6900,                  8778,                216328,,,               -405972,                349050,               -150220,                -68737,                -23150,                    619,                205120,               -120685,                 -1681,               -215656,,                -15414,             -1167698,                   -550,                 26256,                 -1883,                 13137,                 -1979,             -1148131,             -1363787,             -1147459,             -1566985,                 30365,                -75215,                   -669,             -1612504,,               -244054,                              0,                  2250,                              0,               -149182,                    292,                 -1822,                              0,                              0,                    262,                 15854,               -376400,,              1008743,                              0,                200000,                              0,              3794000,             -3200000,                              0,                   -830,              1801913,                  2520,               -184471,              1236102,              1051631,              1051631,,,,,,,,,,,,,,
1309,2014年01月01日至2014年06月30日,,               -299233,               -299233,,,                101155,                  1610,                    131,                 28749,                 49489,                -20532,                 -8714,                 -3403,                    -78,                -10334,,                  7426,                  6019,                151518,,,               -467791,                320481,               -293814,                              0,                -25409,                 -6598,               -266924,               -122578,                    -55,               -862688,,                  5679,             -1199699,                 -1184,                  5240,                   -685,                 12118,                 -1576,             -1180107,             -2042795,             -1891277,             -2190510,                 19337,                -46803,                   -645,             -2218621,,               -412076,,,,               -126616,                    292,                 -9696,,                              0,                    232,,               -547864,,              1517738,                              0,                200000,,              2500000,             -2200000,                    205,,              2017943,                 -1001,               -749543,              1236102,                486559,                486559,,,,,,,,,,,,,,
1309,2014年01月01日至2014年03月31日,,               -220346,               -220346,,,                 43361,                    395,                    -40,                 22278,                 21359,                 -7703,,                 -1425,                      1,                 44985,,                 11755,,                134966,,,                -64193,                 63679,                -45248,                              0,                 15172,                    780,               -889854,               -174468,                   -944,             -1095076,,                 14422,               -790851,                 -1138,                 -9354,                 -1434,                 17521,                 -1226,               -768824,             -1863900,             -1728934,             -1949280,                  8338,                -17797,                              0,             -1958739,,                              0,                 85434,,,                -65610,,,,,                              0,,                 19824,,              1513031,,                100000,,                300000,                              0,                    856,,              1913887,                  7588,                -17440,              1236102,              1218662,              1218662,                  3236,,,,,,,,,,,,,
1309,2013年度,,                 14874,                 14874,,,                170457,                    185,                 -3556,                -29416,                 57197,                -34776,                -15832,                -32202,                    -84,                 47043,,                -13785,                  1307,,,,                173039,               -291643,               -441740,                              0,                -11782,                  1031,             -1054074,                -20301,                  7579,             -1637891,,                 38823,                922190,                    416,                 18700,                 -3192,                 16196,,              1006540,               -631351,               -484500,               -469626,                 35034,                -55351,                   -640,               -490583,,,,                  5309,,               -565577,                    445,                              0,,                 -1503,,                 19200,               -524297,,              1214735,                              0,                200000,,              4400000,             -4300000,                  3413,,              1518148,                 71617,                574885,                661217,              1236102,              1236102,                 11719,,                    313,                146851,                  1688,                              0,                              0,                 -1762,                              0,                 19785,                   -194,,,
1309,2013年01月01日至2013年12月31日,,                 14874,                 14874,,,                170457,                    185,                 -3556,                -29416,                 57197,                -34776,                -15832,                -32202,                    -84,                 47043,                              0,                -13785,                  1307,,,,                173039,               -291643,               -441740,,                -11782,                  1031,             -1054074,                -20301,                  7579,             -1637891,,                 38823,                922190,                    416,                 18700,                 -3192,                 16196,,              1006540,               -631351,               -484500,               -469626,                 35034,                -55351,                   -640,               -490583,,,,                  5309,,               -565577,                    445,,,                 -1503,                              0,                 19200,               -524297,,              1214735,                              0,                200000,                              0,              4400000,             -4300000,                  3413,                              0,              1518148,                 71617,                574885,                661217,              1236102,              1236102,                 11719,,                    313,                146851,                  1688,,                              0,                 -1762,,                 19785,                   -194,                              0,                              0,
1309,2013年01月01日至2013年09月30日,,                 84688,                 84688,,,                127940,                  1105,                  2388,                -28752,                 41938,                -25313,                -15534,                -26959,                    -85,                  6000,,                -20770,                  7495,,,,                -63578,               -121133,               -574473,                              0,                -25136,                  1666,               -246261,               -191988,                  7483,             -1213420,,                 75777,                198605,                 -1039,                 25516,                 -5179,                 19487,,                313723,               -899697,               -829931,               -745243,                 24681,                -39785,                  5910,               -738903,,,,                  5309,,               -496446,                    445,                              0,,                 -1503,                              0,                 15534,               -491462,,                641466,,                200000,,              3700000,             -3200000,                  3475,                              0,              1344941,                 52697,                167273,                661217,                828490,                828490,,,                    313,                 69766,                    556,,,                -18980,                              0,                 19786,                    -73,,,
