證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 不動產、廠房及設備轉列費用數,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分子公司,　　 取得不動產、廠房及設備,　　 其他金融資產增加,　　 其他非流動資產減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 其他金融資產減少,　　 其他非流動資產增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分不動產、廠房及設備,　　 應付短期票券減少,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　 其他投資活動
2024,2015年01月01日至2015年09月30日,,                 28862,                              0,                 28862,,,                 51597,                    240,                    170,                 12378,                 -1740,                              0,                              0,                 62645,,,                    345,                 30317,                    907,                 50891,                   -262,                    367,                  2178,                 -5511,                 -1998,                 77234,,                  1737,                 29734,                 -9151,                  1108,                 -3514,                 19914,                 97148,                159793,                188655,                  1740,                -12079,                   -235,                178081,,                              0,                -54550,                 35220,                 -1974,                -49864,                -71168,,                520501,               -501343,                 60000,                -92357,                -81600,                -34562,               -129361,                              0,                -22448,                140110,                117662,                117662,                              0,,,,,,,,,,,
2024,2015年01月01日至2015年06月30日,,                 20763,                              0,                 20763,,,                 34201,                    160,                     55,                  8221,                 -1548,                              0,                              0,                 41089,,,                  1418,                 -1113,                     -7,                 20944,                   -120,                     14,                 23004,                   -167,                 -2151,                 41822,,                 -3191,                 49846,                 -4909,                   -276,                 -2343,                 39127,                 80949,                122038,                142801,                  1548,                 -8239,                              0,                136110,,                              0,                -29366,                  8302,                   -204,                -37862,                -59130,,                  9618,                              0,                              0,                -74905,,,                -65287,                              0,                 11693,                140110,                151803,                151803,                              0,                              0,                              0,,,,,,,,,
2024,2015年01月01日至2015年03月31日,,                 12739,                              0,                 12739,,,                 16999,                     80,                     69,                  4213,                   -708,                              0,                              0,                 20653,,,                  1369,                 15202,                    984,                 18203,                   -503,                    544,                -28773,                 -1067,                 -2671,                  3288,,                 -1461,                 36028,                -17644,                   -472,                 -1172,                 15279,                 18567,                 39220,                 51959,                    708,                 -4193,                   -141,                 48333,,,                -13549,                  9854,,                 -1876,                -10196,,,                -13727,                              0,                -37452,,,                -51179,                              0,                -13042,                140110,                127068,                127068,                              0,,                 -4625,,,,,,,,,
2024,2014年度,,                 97522,                 -6925,                 90597,,,                 68649,                    561,                  4197,                 19455,                 -2901,                    316,                    610,,,,                   -478,                -36040,                 13342,                -13413,                 10184,                 -1126,                 -5129,                  2261,                  2387,                -28012,,                  1228,                 55814,                -12684,                  8416,,                 49890,                 21878,                112765,                203362,                  2901,                -19770,                 -5298,                181195,,                 26982,                -37912,                 -9496,,                -15819,                -36500,,,                -14488,                137340,               -225223,,                -77062,               -179433,                 -3090,                -37828,                177938,                140110,                140110,                              0,,                   -255,,                 90887,                 -2884,                              0,                              0,,,,
2024,2014年01月01日至2014年09月30日,,                 83027,                 -6925,                 76102,,,                 51927,                    481,                  3174,                 14894,                 -2087,                    316,                    610,                 69315,,,                   -126,                -47935,                 14769,                -30112,                 10224,                   -893,                -59568,                   -505,                 -1185,               -115331,,                  4267,                 52706,                 -4130,                  8119,                 -1886,                 59076,                -56255,                 13060,                 89162,                  2087,                -15046,                 -5106,                 71097,,                 -1855,                -40244,                -16842,                  1238,                 -1915,                -59618,,                811264,               -775449,                137340,               -197770,                              0,                -77062,               -101677,                 -3090,                -93288,                206775,                113487,                113487,                              0,,,,,,,,,,,
2024,2014年01月01日至2014年06月30日,,                 49685,                 -6925,                 42760,,,                 35258,                    392,                  2017,                 10239,                 -1346,                    316,                    610,                 47486,,,                     47,                -22903,                 -2793,                -10040,                 -5465,                 -3241,                -21431,                   -348,                 -1473,                -67647,,                  2380,                 67192,                 -2417,                  7834,                 -1258,                 73731,                  6084,                 53570,                 96330,                  1346,                -10783,                 -2938,                 83955,,                 -1855,                -25416,                              0,                              0,                 -1923,                -51547,,                              0,                -29471,                 67340,               -152958,,,               -115089,                 -3090,                -85771,                206775,                121004,                121004,                              0,                -23592,                  1239,,,,,,,,,
2024,2014年01月01日至2014年03月31日,,                 22109,                 -2314,                 19795,,,                 17522,                    194,                    806,                  5575,                   -583,                    316,                    344,                 24174,,,                     81,                  1412,                 -8300,                  6545,                    285,                   -513,                 29818,                 -1238,                   -101,                 27989,,                    166,                -15090,                 -8036,                  2997,                   -629,                -20592,                  7397,                 31571,                 51366,                    583,                 -5726,                    -97,                 46126,,,                 -8659,                -23136,,                 -3746,                -35870,,,                -36988,                 17340,                -68812,,,                -88460,                 -1745,                -79949,                206775,                126826,                110367,                 16459,,                   -329,,,,,,,,,
2024,2013年度,,                 66444,                -20537,                 45907,,,                 64199,                    707,                  5146,                 28488,                 -1082,                              0,                  1342,,,,                 -1992,                  6630,                 -1186,                  5805,                 -3848,                   -241,                -59301,                  1702,                 -2467,                -54898,,                 -4857,                 60315,                 14798,                  4013,,                 71168,                 16270,                115070,                160977,                  1082,                -28616,                    -68,                133375,,                186821,                -60218,                -10292,,                 -4839,                112038,,,               -106332,                270000,               -252167,,                              0,               -158499,                  7939,                 94853,                111922,                206775,                177938,                 28837,,                   -519,,                 98800,                 -3101,                  1085,                -70000,,,,
2024,2013年01月01日至2013年12月31日,,                 66444,                -20537,                 45907,,,                 64199,                    707,                  5146,                 28488,                 -1082,,                  1342,,,,                 -1992,                  6630,                 -1186,                  5805,                 -3848,                   -241,                -59301,                  1702,                 -2467,                -54898,,                 -4857,                 60315,                 14798,                  4013,,                 71168,                 16270,                115070,                160977,                  1082,                -28616,                    -68,                133375,,,                -60218,                -10292,,                 -4839,                112038,,,               -106332,                270000,               -252167,                              0,,               -158499,                  7939,                 94853,                111922,                206775,                177938,                 28837,                              0,                   -519,,                 98800,                 -3101,                  1085,                -70000,                              0,                              0,                              0,                186821
2024,2013年01月01日至2013年09月30日,,                 53401,                -12286,                 41115,,,                 47579,                    539,                    125,                 21752,                   -591,                              0,                  1005,,,,                              0,                 -1005,                 -3217,                  1747,                 -2414,                   -154,                 44346,                  1343,                    901,                 41547,,                 -5409,                 53459,                  5438,                  6329,,                 57694,                 99241,                169650,                210765,                    591,                -22218,                              0,                189138,,                              0,                -24675,                -31059,                              0,                -16356,                -71422,,                              0,                -45457,                220000,               -193354,,                              0,                -88811,                  5620,                 34525,                111922,                146447,                146447,                              0,,                   -415,,                 70409,                 -2123,                  1083,                -70000,,,,
