證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 存出保證金減少,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 持有供交易之金融負債增加（減少）,　　 償還公司債,　　 預付投資款減少,　　 預付投資款增加,　　 存出保證金增加,　　　　 買回應付公司債損失（利益）,　　　　　 應付建造合約款（增加）減少,　　 其他金融資產減少
6215,2015年01月01日至2015年09月30日,,                 28738,                              0,                 28738,,,                 38657,                  3136,                    399,                  9030,                   -468,                 -4719,                 -3274,                     41,                 42802,,,                              0,                 -8152,                117972,                  1336,                 -7106,                    236,                    414,                -19745,                  3377,                              0,                 88332,,                 -1215,                -18563,                  3981,                 -4503,                -29163,                 -3435,                 -5732,                   -683,                 -1698,                -61011,                 27321,                 70123,                 98861,                    468,                  4881,                 -9040,                -37206,                 57964,,                              0,                  5806,                              0,                -28275,                    -29,                  2635,                -19863,,                 32273,                 50000,                -93412,                -82790,                              0,                -93929,                  6246,                -49582,                228200,                178618,                178618,,,,,,,,,,
6215,2015年01月01日至2015年06月30日,,                 11622,                              0,                 11622,,,                 25258,                  3876,                    333,                  5744,                   -310,                 -4032,                 -1657,                     41,                 29253,,,                              0,                -25322,                 80314,                 -7233,                 -3765,                    621,                    -13,                 16028,                 -6869,                              0,                 53761,,                   -990,                 27786,                      3,                 -4197,                -26260,                 -2239,                 -7009,                   -857,                 -1109,                -14872,                 38889,                 68142,                 79764,                    310,                  4195,                 -6858,                -23629,                 53782,,                              0,,                              0,                -24658,                    198,                  3220,                -21240,,                -20216,                              0,                -39253,                              0,                              0,                -59469,                    615,                -26312,                228200,                201888,                201888,,,,,,,,,,
6215,2015年01月01日至2015年03月31日,,                 13439,                              0,                 13439,,,                 12397,                              0,                    133,                  2901,                   -126,                              0,                   -293,                     41,                 15053,,,                              0,                 19476,                 58630,                 -3830,                 -8124,                  2498,                    -65,                  3676,                -14213,                    -71,                 57977,,                   -844,                 31824,                  3312,                 -3550,                -27978,                 -1198,                   -288,                 -1000,                   -548,                   -270,                 57707,                 72760,                 86199,                    126,                              0,                 -2908,                 -3609,                 79808,,                              0,,                              0,                 -5249,                     98,                  1687,                 -3464,,                -40000,                              0,                 -4133,                              0,                              0,                -44133,                    440,                 32651,                228200,                260851,                260851,,,,,,,,,,
6215,2014年度,,                159836,                              0,                159836,,,                 48680,                  1670,                    113,                 11848,                 -1630,                 -5960,                 -4709,,,,,,                -13774,               -190155,                  2082,                   -416,                  2711,,                 -4718,                -29749,,               -234019,,                    155,                 55238,                 -1132,                 -6749,                 51936,                    981,,                  6506,                 -1885,                105050,               -128969,                -78957,                 80879,                  1630,                  9143,                -11806,                -11182,                 68664,,                              0,                  4200,                              0,                -26349,                  2037,                  7559,                -12553,,                 34913,                              0,                -78575,                -49674,                              0,                -93336,                    -23,                -37248,                265448,                228200,                228200,,                 50012,                              0,                              0,,,,,,
6215,2014年01月01日至2014年09月30日,,                126767,                              0,                126767,,,                 36767,                  1648,                    128,                  8827,                 -1273,                 -5960,                 -3190,                              0,                 36947,,,                              0,                -18297,               -228797,                  2390,                 -1565,                  1480,                    455,                     23,                  2926,                              0,               -241385,,                 -1090,                112642,                 -2332,                 -6930,                 27422,                    969,                 12869,                 -4241,                 -1387,                137922,               -103463,                -66516,                 60251,                  1273,                  9143,                 -8979,                 -8022,                 53666,,                              0,                              0,                              0,                 -9981,                              0,                  5992,                 -3989,,                 -5000,                              0,                -43440,                -49674,                              0,                -98114,                  3907,                -44530,                265448,                220918,                220918,,,,,,,,,,
6215,2014年01月01日至2014年06月30日,,                 59366,                              0,                 59366,,,                 25124,                    688,                    -93,                  5964,                   -628,                 -5313,                 -3126,                              0,                 22616,,,                              0,                 -8413,               -156080,                 -2144,                    952,                  2903,                    329,                 61163,                -14614,                              0,               -115904,,                   -552,                 97444,                  4736,                 -1500,                  3618,                   -827,                 13046,                              0,                   -918,                115047,                   -857,                 21759,                 81125,                    628,                  8496,                 -6117,                 -7704,                 76428,,                              0,,                              0,                 -4215,                    766,                  4476,                  1027,,                -95000,                              0,                -39243,                              0,                              0,               -134243,                  3400,                -53388,                265448,                212060,                212060,,,,,,,,,,
6215,2014年01月01日至2014年03月31日,,                 12122,                              0,                 12122,,,                 12706,                              0,                   -138,                  3235,                   -239,                              0,                 -1714,                              0,                 13850,,,                              0,                  5817,                  1826,                   -676,                -21792,                  5806,                    -11,                 71244,                  1537,                              0,                 63751,,                   -335,                  6700,                  2437,                 -7062,                 -7019,                 -1471,                 11095,                              0,                   -448,                  3897,                 67648,                 81498,                 93620,                    239,                              0,                 -3322,                 -2784,                 87753,,                              0,,                              0,                 -3186,                    -41,                  1075,                 -2152,,                -85293,                              0,                 -4147,                              0,                              0,                -89440,                   -222,                 -4061,                265448,                261387,                261387,,,,,,,,,,
6215,2013年度,,                 37180,                              0,                 37180,,,                 50435,                 -3698,                  3344,                 13765,                   -709,                 -5781,                 -7411,,,,,,                 -3404,                168848,                              0,                 40173,                  9990,,                 10745,                 -9835,,                216517,,                   -327,                -64896,                  8269,                 -4347,                  3633,                 -2016,,                   -173,                 -1498,                -68427,                148090,                198035,                235215,                    709,                 11566,                -12916,                -12007,                222567,,                -37692,                              0,                 -9571,                 -5441,                   -522,                  1922,                -51304,,               -199156,                285000,               -219611,                              0,                   -300,               -140867,                  2838,                 33234,                232214,                265448,                265448,,                 49945,                 -7072,                 -6800,,,,,,
6215,2013年01月01日至2013年12月31日,,                 37180,                              0,                 37180,,,                 50435,                 -3698,                  3344,                 13765,                   -709,                 -5781,                 -7411,,,,,                              0,                 -3404,                168848,                              0,                 40173,                  9990,,                 10745,                 -9835,,                216517,,                   -327,                -64896,                  8269,,                  3633,                 -2016,,                   -173,                 -1498,                -68427,                148090,                198035,                235215,                    709,                 11566,                -12916,                -12007,                222567,,                -37692,,                 -9571,                 -5441,,                  1922,                -51304,,               -199156,                285000,               -219611,                              0,                   -300,               -140867,                  2838,                 33234,                232214,                265448,                265448,,                 49945,                 -7072,                 -6800,,                              0,                   -522,                              0,                 -4347,                              0
6215,2013年01月01日至2013年09月30日,,                 36943,                              0,                 36943,,,                 38572,                 -1054,                    129,                 10421,                   -501,                 -5781,                 -5634,,,,,                              0,                -23497,                 65550,                 -2489,                 40585,                 10596,                    -16,                 28620,                -20564,,                 98785,,                    -79,                -20445,                  5781,                 -4801,                 14600,                 -2001,,                 -2809,                   -752,                -14199,                 84586,                120738,                157681,                    501,                 11566,                -11444,                 -9903,                148401,,                -37692,,                 -9571,                 -5212,,                  3510,                -48965,,                -64575,                135000,               -199462,                              0,                   -300,               -129337,                  2795,                -27106,                232214,                205108,                205108,,                 36152,                 -3693,,,,,,,
