證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得按攤銷後成本衡量之金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得投資性不動產,　　 其他非流動資產增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 其他非流動負債增加,　　 發放現金股利,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他金融資產增加,　　 短期借款減少,　　 其他非流動負債減少,　　　 不影響現金流量之收益費損項目,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 應付帳款－關係人增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 取得備供出售金融資產,　　 持有至到期日金融資產到期還本,　　 以成本衡量之金融資產減資退回股款,　　 存出保證金減少,　　 取得無形資產,　　 預付設備款增加,　　 存入保證金增加,　　 應付租賃款減少,　　 現金減資,　 匯率變動對現金及約當現金之影響,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 預付投資款增加,　　 存出保證金增加,　　 處分以成本衡量之金融資產,　　 存入保證金減少,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　 處分持有至到期日金融資產
1614,2015年01月01日至2015年09月30日,,                241199,                241199,,,                 73718,                  2455,                 -4239,                 -2094,                  5308,                   -996,                -10549,                     -2,                 -1324,                  3768,                 66045,,,                 53992,                -23437,                 -2753,                  2940,                 68190,                 98932,,                    287,               -101772,                112973,                -11137,                 -4063,                 -7238,                -10950,                 87982,                154027,                395226,                    996,                 10549,                 -5308,                -48905,                352558,,                              0,                 29012,                              0,                -37707,                      3,               -215388,                -21793,                -11560,               -257433,,                 39979,                 10037,               -196052,                              0,               -146036,                -50911,                105375,                 54464,                 54464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,2015年01月01日至2015年06月30日,,                144681,                144681,,,                 48347,                  1632,                 -3717,                 -1866,                  3548,                   -740,                 -2497,                      1,                 -2846,                  3768,                 45630,,,                182131,                  7170,               -291491,               -116086,                 50606,               -167670,,                    647,                -19932,                177311,                 53689,                -23821,                 -3423,                184471,                 16801,                 62431,                207112,                    740,                  2497,                 -3548,                -27768,                179033,,                              0,                 25305,,                -23581,                              0,               -193494,                -24165,                -11560,               -227495,,                  6012,                  2644,                              0,,                  8656,                -39806,                105375,                 65569,                 65569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,2015年01月01日至2015年03月31日,,                 11675,                 11675,,,                 23739,                    816,                 -3644,                 -1237,                  1772,                   -444,,                              0,                 -1791,,                 19211,,,                379857,                 -2316,                -38558,               -357965,                 25474,                  6492,,                   -722,                 71684,                -21815,                 18312,                -14293,                -13987,                 39179,                 45671,                 64882,                 76557,                    444,,                 -1772,                 -4838,                 70391,,                              0,                 15733,,                -13969,,               -130838,                 -6501,,               -147122,,                 10964,                 14911,                              0,,                 25875,                -50856,                105375,                 54519,                 54519,                -11547,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,2014年度,,                275528,                275528,,,                 88716,                  5240,                  3089,                   -274,                  3808,                 -2271,                   -200,                    -19,                 -5717,                 22666,,,,                392560,                 12398,                -10154,                  9252,                 -3137,                367390,,                     11,                109962,                -18955,                  5023,                -12066,,                 61443,                428833,                543871,                819399,                  2252,                    200,                 -3841,                -24088,                793922,,,,                -81440,                -32394,                    505,               -256198,                 -2873,,               -487081,,                              0,,               -233722,                 -4762,               -244286,                 62555,                 42820,                105375,                105375,,                 -5359,,,                              0,                115038,                              0,                              0,                 -3666,                -29934,                 -1547,                  1618,                              0,                 -6787,                -15745,                -15483,                              0,                              0,                    881,                 -6004,                -94075,                 10275,                -10718,                              0,                              0,                              0,,,,,,,,,,
1614,2014年01月01日至2014年09月30日,,                209828,                209828,,,                 65840,                  3773,                    808,                 -4141,                  2795,                 -1674,                 -9397,                    374,                              0,                    438,                 58816,,,               -161943,                -17889,                -62325,                196051,                 -5437,                -51543,,                   -818,                137615,                159264,                 -2506,                -13832,                 -9431,                270292,                218749,                277565,                487393,                  1919,                  9397,                 -3129,                -24356,                471224,,                -17439,                 -9924,                -64000,                -34843,                    105,                -52965,                -69075,                              0,               -248141,,                    401,                  9064,               -233722,                 -4762,               -229019,                 -5936,                 42820,                 36884,                 36884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,2014年01月01日至2014年06月30日,,                107683,                107683,,,                 43824,                  2333,                  1466,                 -3757,                  1857,                 -1132,                   -832,                    374,                              0,                    438,                 44571,,,                -63460,                 -7857,               -196974,                -22154,                -20043,               -310488,,                   -818,                145448,                 86060,                 51099,                 -6457,                 -6998,                268334,                -42154,                  2417,                110100,                  1737,                    832,                 -1903,                 -4748,                106018,,                 -4240,                     12,,                 -3445,                    105,                              0,                -56836,                              0,                -64404,,                 -7398,                 -5431,                 -4762,,                -17591,                 24023,                 42820,                 66843,                 66843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,2014年01月01日至2014年03月31日,,                  7533,                  7533,,,                 22488,                    955,                   -168,                 -2544,                    881,                   -552,,                      8,                              0,,                 21068,,,                 69604,                -12329,                 -7069,                -77278,                -37286,                -64358,,                  6781,                 97782,                -41332,                 13986,                 -7928,                   -129,                 69160,                  4802,                 25870,                 33403,                    128,,                 -1212,                 -1034,                 31285,,                 -1440,                              0,,                 -1879,,                              0,                -18142,,                -21461,,                              0,                              0,                 -4762,,                -19428,                 -9604,                 42820,                 33216,                 33216,                              0,                -13135,                 -1531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,2013年度,,                287093,                287093,,,                 93763,                  2708,                  2109,                   -426,                  3523,                 -3036,                 -7018,                -19972,                -10775,                              0,,,,                194602,                 12654,                 58867,                372978,                    832,                648268,,                    818,                  5365,                -42025,                -21645,                 25920,,                -49372,                598896,                659772,                946865,                  3513,                  7018,                 -3468,                -77487,                876441,,,,               -104400,                -32411,                 24599,                              0,                 -3924,,               -145211,,                              0,,               -261439,                 -3647,               -725870,                  5360,                 37460,                 42820,                 42820,,                 -5169,,,                              0,                 60876,                  3559,                  5332,                  7656,                 -2545,                 -4125,                 -1542,                 -7537,                  6430,                -16698,                -77620,                 82000,                              0,                    177,                   -747,                -32885,                 10233,                 -8911,               -456937,                              0,                              0,,,,,,,,,,
1614,2013年01月01日至2013年12月31日,,                287093,                287093,,,                 93763,                  2708,                  2109,                   -426,                  3523,                 -3036,                 -7018,                -19972,                -10775,,,,,                194602,                 12654,                 58867,                372978,                    832,                648268,,                    818,                  5365,                -42025,                -21645,                 25920,,                -49372,                598896,                659772,                946865,                  3513,                  7018,                 -3468,                -77487,                876441,,,,               -104400,                -32411,                 24599,,                 -3924,,               -145211,,                              0,,               -261439,                 -3647,               -725870,                  5360,                 37460,                 42820,                 42820,,                 -5169,,,                              0,                 60876,                  3559,                  5332,                  7656,                 -2545,                 -4125,                 -1542,                 -7537,                  6430,                -16698,                -77620,                 82000,                              0,                    177,                   -747,                -32885,                 10233,                 -8911,               -456937,                              0,                              0,,,,,,,,,,
1614,2013年01月01日至2013年09月30日,,                178586,                178586,,,                 69029,                  1640,                  4489,                 -2516,                  2589,                 -2436,                 -7018,                -13760,                 -7270,                              0,,,,               -280177,                 -9218,                 23365,                379242,                   -384,                102015,,                              0,                 43239,                 99087,                -16944,                 28104,,                145831,                247846,                292593,                471179,                  3070,                  7018,                 -2869,                -62694,                415704,,,,               -104400,                -26036,                 26733,,                 -3124,,               -135870,,,,               -261439,                 -3647,               -266631,                 13203,                 37460,                 50663,                 50663,,                 -9188,,,,                 44747,                  3559,                  5332,                 -7833,                 -4222,                 -4012,                 -3637,                 -7537,                  9295,                 -9413,,                 82000,,,                              0,                -28349,                 14325,                 -6682,,,,                -82797,                              0,                              0,                    103,,,,,,
