證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 預付設備款增加
4956,2014年度,,                133212,                133212,,,                261661,                  2900,                  1763,                  2299,                 10045,                 -6311,                  1110,                  5773,                 -5698,                273542,,,                 82497,               -138597,                 -1349,               -156037,                -40111,                      8,               -253589,,                    -68,                -33700,                 24923,                              0,                    335,                 -8510,               -262099,                 11443,                144655,                 -8995,                135660,,               -107324,                107625,               -223930,                209500,               -203420,                 -3350,                     42,                 -3979,                  6003,               -218833,,              1713553,             -1839255,                500000,                 85000,               -304197,                 74808,                -51418,                -50204,                 -4937,                123350,                    597,                 40774,                292410,                333184,                333184,
4956,2014年01月01日至2014年09月30日,,                103179,                103179,,,                194747,                  2152,                    218,                  2449,                  6804,                 -4315,                  1110,                  4359,                 -1885,                205639,,,                -38379,               -125202,                   -324,                -91752,                -27953,                     17,               -283593,,                    -68,                 15757,                 26629,                     93,                  1337,                 43748,               -239845,                -34206,                 68973,                 -8676,                 60297,,               -107324,                107625,               -198787,                197787,               -141878,                 -3028,                     42,                 -3779,                  4323,               -145019,,              1319376,             -1521532,                500000,                 25000,               -258147,                 65418,                              0,                -50204,                 -4371,                 75540,                     76,                 -9106,                292410,                283304,                283304,
4956,2014年01月01日至2014年06月30日,,                 67223,                 67223,,,                128377,                  1385,                    184,                   -443,                  3635,                 -2762,                  1107,                  3460,                 -1049,                133894,,,                -90292,               -101622,                   -900,                -44997,                -20397,                    -21,               -258229,,                    -68,                 30203,                 12484,                     62,                    658,                 43339,               -214890,                -80996,                -13773,                 -8128,                -21901,,                -77324,                 77617,               -198787,                107787,                -40743,                     -9,                              0,                 -2918,                  2784,               -131593,,              1245162,             -1365694,                500000,                 25000,               -159883,,                              0,,                 -3772,                240813,                   -305,                 87014,                292410,                379424,                379424,
4956,2014年01月01日至2014年03月31日,,                 27898,                 27898,,,                 64340,                    750,                    359,                   -296,                  1848,                 -1348,                  1107,                  3445,                    771,                 70976,,,                 46217,               -111690,                    157,                -27064,                -12557,                      9,               -104928,,                     94,                -10704,                  1796,,                     89,                 -8725,               -113653,                -42677,                -14779,                   -243,                -15022,,                -77324,                 76868,,                              0,                -14036,,                      2,                              0,                  1356,                -13134,,                685000,               -755532,,                 25000,                -30958,,                              0,,                 -2119,                -78609,                    -56,               -106821,                292410,                185589,                185589,
4956,2013年度,,                 69068,                 69068,,,                282695,                  3698,                 -2657,                              0,                  8764,                 -5527,                              0,                  2671,                    572,                290216,,,                -90323,                 74331,                 11506,                -44718,                -49717,                    364,                -98557,,                              0,                 78687,                -31303,                              0,                 -1517,                 45867,                -52690,                237526,                306594,                -10975,                295619,,                              0,                              0,               -349800,                361900,               -194448,                   -694,                    493,                 -3643,                  5683,               -180509,,              2359634,             -2158485,                              0,                104000,               -121312,                              0,                 -2000,                -60245,                 -8483,                113109,                    841,                229060,                 63350,                292410,                292410,
4956,2013年01月01日至2013年12月31日,,                 69068,                 69068,,,                282695,                  3698,                 -2657,,                  8764,                 -5527,                              0,                  2671,                    572,                290216,,,                -90323,                 74331,                 11506,                -44718,                -49717,                    364,                -98557,,                              0,                 78687,                -31303,,                 -1517,                 45867,                -52690,                237526,                306594,                -10975,                295619,,,,               -349800,                361900,               -194448,                   -694,                    493,                 -3643,                  5683,               -180509,,              2359634,             -2158485,,                104000,               -121312,                              0,                 -2000,                -60245,                 -8483,                113109,                    841,                229060,                 63350,                292410,                292410,
4956,2013年01月01日至2013年09月30日,,                 46475,                 46475,,,                217850,                  2934,                 -2811,                              0,                  6606,                 -3945,                              0,                  1911,                  1491,                224036,,,                -90625,                 60611,                 -2606,                -26730,                -27858,                   -249,                -87457,,                              0,                 58610,                -32819,                     93,                 -1521,                 24363,                -63094,                160942,                207417,                -10803,                196614,,                              0,                              0,               -349800,                361900,               -153046,                   -540,                    109,                 -2596,                  4128,               -139845,,              1629478,             -1386348,                              0,                104000,                -86120,                              0,                 -2000,                -60245,                 -6364,                192401,                    602,                249772,                 63350,                313122,                313122,
4956,2013年01月01日至2013年06月30日,,                 25334,                 25334,,,                147601,                  1785,                 -1971,                              0,                  4201,                 -2547,                              0,                  2974,                      7,                152050,,,                -58306,                 12862,                  1059,                 -4381,                -17836,                     74,                -66528,,                              0,                 35345,                -20039,                     62,                 -1709,                 13659,                -52869,                 99181,                124515,                -10727,                113788,,                              0,                              0,               -349800,                361900,                -88119,                   -550,                     95,                 -2573,                  2559,                -76488,,                281244,                -74194,                              0,                 49000,                -56170,,                 -2000,,                 -4003,                193877,                    638,                231815,                 63350,                295165,                295165,
4956,2013年01月01日至2013年03月31日,,                  8577,                  8577,,,                 73605,                    855,                   -977,                              0,                  1973,                 -1173,                              0,                  1578,                    783,                 76644,,,                -82841,                 51668,                    -29,                -22508,                -20915,                    355,                -74270,,                              0,                 41295,                -25563,,                 -1423,                 14309,                -59961,                 16683,                 25260,                   -118,                 25142,,                              0,                              0,,                 12100,                -32440,,                     16,                 -1793,                  1185,                -20932,,                 87948,                -70082,,                 49000,                -33633,,                 -2000,,                 -1956,                 29277,                    994,                 34481,                 63350,                 97831,                 97831,
4956,2012年01月01日至2012年12月31日,,                 89856,                 89856,,,                264468,                  4155,                  4574,,                  6555,                 -4919,                      8,                 15621,                     45,                290507,,,               -122411,               -124861,                -10396,                -14854,                 -8283,                   -389,               -281194,,                -46369,                 73713,                 37071,,                    590,                 65005,               -216189,                 74318,                164174,                -25705,                138469,,,,               -402900,                100300,               -207720,                    -37,                    249,                 -1621,                  4669,               -507060,,                786383,               -712000,,                136700,               -156935,                  2000,                              0,                -60245,                 -8812,                -12909,                   -333,               -381833,                445183,                 63350,                 63350,
4956,2012年01月01日至2012年09月30日,,                101479,                101479,,,                191558,                  3286,                  4430,,                  4653,                 -3572,                      8,                 11941,                    460,                212764,,,               -199288,                -24038,                 -4874,                -10097,                 -4738,                -15895,               -258930,,                -46369,                 72182,                 30455,,                   -248,                 56020,               -202910,                  9854,                111333,                -25088,                 86245,,,,               -402900,                100300,                -15149,                   -396,                    630,                 -1374,                  3329,               -446489,,                460000,               -370000,,                136700,               -138877,                  2000,                              0,                -60245,                 -4700,                 24878,                   -251,               -335617,                445183,                109566,                109566,               -130929
4956,2012年01月01日至2012年06月30日,,                 77696,                 77696,,,                124446,                  2356,                  3361,,                  2993,                 -2322,                      8,                  3085,                    578,                134505,,,               -130680,                -73114,                -21005,                  7150,,                 -7156,               -224805,,                -45055,                 87993,                 42021,                              0,                   -101,                 84858,               -139947,                 -5442,                 72254,                -25064,                 47190,,,,               -369370,                107770,                -34882,                    -43,                    525,                   -884,                  2117,               -362884,,                210000,               -180000,,                 46700,                -63235,                  2000,                              0,,                 -3031,                 12434,                   -100,               -303360,                445183,                141823,                141823,                -68117
4956,2012年01月01日至2012年03月31日,,                 16731,                 16731,,,                 60441,                  1260,                  2921,,                  1495,                 -1125,                      8,,,                 65000,,,                -45378,                -46908,                -14938,                 -6827,,                -13861,               -127912,,                    190,                 26520,                -19508,                              0,                  3813,                 11015,               -116897,                -51897,                -35166,                   -238,                -35404,,,,               -262100,                              0,                -53114,                     27,,                   -167,                  1109,               -314245,,                 51000,                              0,,                              0,                -38613,,                              0,,                 -1487,                 10900,                   -184,               -338933,                445183,                106250,                106250,                              0
