證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 預付投資款增加,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得投資性不動產,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 員工執行認股權,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他營業負債增加（減少）,　　 存出保證金減少,　　 短期借款增加,　　 應付短期票券減少,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得備供出售金融資產,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 取得無形資產,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 股份基礎給付酬勞成本,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損損失,　　　　　 其他營業資產（增加）減少,　　　　 金融資產減損損失
1229,2015年01月01日至2015年09月30日,,              1352049,              1352049,,,                151402,                  5363,                  2633,                 31085,                 -5745,              1185595,             -1058540,                   -587,                              0,                311206,,,                -47836,                -39946,                 -3477,               -143093,                -13250,               -247602,,                  1506,                 10711,                  2445,                    276,                  8798,                    516,                 24252,               -223350,                 87856,              1439905,                  5745,                -31310,                -92420,              1321920,,                              0,               -239305,                              0,               -225000,                -92338,                  1331,                 -3204,                   -164,                -15568,               -574248,,              1099360,                 49803,                100000,             -1000000,                    -23,             -1196354,                              0,                 49324,               -897890,                  1971,               -148247,                830963,                682716,                682716,,,,,,,,,,,,,,,,,,,,
1229,2015年01月01日至2015年06月30日,,              1021458,              1021458,,,                 99134,                  3801,                  1254,                 20616,                 -4370,                              0,               -946587,                   -594,                              0,               -826746,,,                -31156,                 23414,                   -220,               -503720,                  1327,               -510355,,                    807,                201247,                 -3930,,                  3027,                   -191,                201144,               -309211,             -1135957,               -114499,                  4370,                -20579,                -73530,               -204238,,                              0,                -38974,,,                -73824,                  1004,                 -2350,                              0,                -14206,               -128350,,                974303,               -299935,                100000,               -500000,                 -1529,,                              0,                 49324,                322163,                 -5821,                -16246,                830963,                814717,                814717,                    184,,,,,,,,,,,,,,,,,,,
1229,2015年01月01日至2015年03月31日,,                288830,                288830,,,                 48552,                  1709,                    712,                 10072,                 -2148,,               -246433,                      1,,               -187535,,,                 16740,                 13492,                  2753,                 13581,                  9900,                 56466,,                   -427,                -37941,                -14439,,                  5959,                   -896,                -47652,                  8814,               -178721,                110109,                  2148,                 -9999,                    -65,                102193,,,                -39404,,,                 -8406,                              0,                              0,,                 -8376,                -56049,,                              0,,                500000,               -500000,                              0,,                              0,,                 -1895,                 -2084,                 42165,                830963,                873128,                873128,                     92,                    137,                300000,               -299900,                 -1995,,,,,,,,,,,,,,,
1229,2014年度,,              1768219,              1768219,,,                167136,                  4169,                 -3181,                 46854,                 -8809,              1027853,             -1409172,                 18550,                 -5991,,,,                    638,                 -7116,                  1594,                -61615,                 20328,                -46171,,                   -187,                -29098,                 -6607,                    207,                    996,,                -35889,                -82060,               -255683,              1512536,                 12186,                -48159,                -44508,              1432055,,                 19308,                -65305,                 15075,,                -45306,                  6384,,                   -398,                -17733,               -103184,,,                199959,                500000,               -500000,                 12257,               -854291,                 18000,                   -812,             -1595103,                 20741,               -245491,              1076454,                830963,                830963,,                 -1709,               -970216,,,,                -11032,               -173623,                 -1200,                              0,                              0,                -13500,                              0,,,,,,,
1229,2014年01月01日至2014年09月30日,,              1612989,              1612989,,,                142992,                  3089,                 -3099,                 35801,                 -5316,              1021771,             -1358965,                    431,                 -6282,               -169578,,,                 48511,                 -5026,                 -7894,               -237704,                 34851,               -167262,,                    350,                -15978,                 16946,                    272,                -16341,                 -2004,                -16755,               -184017,               -353595,              1259394,                  5316,                -35488,                -43846,              1185376,,                 19194,                -65156,                 15075,                              0,                -23081,                    488,                   -877,                   -147,                -11243,                -65747,,               -885534,                400271,                              0,                              0,                  2103,               -854291,                 18000,                   -813,             -1320264,                  5477,               -195158,              1076454,                881296,                881296,,,,,,,,,,,,,,,,,,,,
1229,2014年01月01日至2014年06月30日,,              1184935,              1184935,,,                 97291,                  2113,                 -1784,                 23733,                 -3961,                  4108,             -1088136,                     58,                 -6295,               -972873,,,                 47658,                 -9650,                -12816,               -377314,                 34412,               -317710,,                   -785,                 28427,                  3341,,                -10687,                   -807,                 19684,               -298026,             -1270899,                -85964,                  3961,                -24008,                -43810,               -149821,,                 19232,                -65206,,,                 -8252,                    409,                   -729,                   -147,                -14209,                -68902,,               -310664,                199683,                              0,                              0,                     90,,                 15153,                              0,                -95738,                 -4658,               -319119,              1076454,                757335,                757335,                    195,,,,,,,,,,,,,,,,,,,
1229,2014年01月01日至2014年03月31日,,                677098,                677098,,,                 49730,                  1225,                 -1165,                 12025,                 -1998,,               -628395,                     59,,               -568519,,,                 33169,                 50597,                  3031,               -113855,                 22984,                 -4074,,                   -134,                -62250,                -21430,,                  5491,                    793,                -77412,                -81486,               -650005,                 27093,                  1998,                -11755,                    -44,                 17292,,,                -15000,,,                 -1266,                    409,                   -438,,                 -6206,                -22501,,               -112653,,                              0,                              0,                     89,,                  5323,,               -207238,                    884,               -211563,              1076454,                864891,                864891,                    118,                              0,                              0,                -99997,                              0,,,,,,,,,,,,,,,
1229,2013年度,,              1376116,              1376116,,,                164960,                  3260,                 -3469,                 51422,                -18559,                748559,             -1055205,                 -6965,                 -2035,,,,                 46294,                -22204,                  1559,                 43470,                -20342,                 48777,,                              0,                -14253,                 -1283,                    -91,                  1861,,                -16481,                 32296,                -85736,              1290380,                 14518,                -47581,               -101136,              1156181,,                              0,                -40000,                 67349,,                -25172,                 16862,,                   -247,                -39038,               -531748,,,                199884,                              0,               -625000,                    176,               -852428,                 43505,                              0,               -800105,                 16319,               -159353,              1235807,              1076454,              1076454,,                    166,                433758,,,,                              0,               -118032,                 -2715,               -434854,                 63191,               -148613,                  8608,,,,,,,
1229,2013年01月01日至2013年12月31日,,              1376116,              1376116,,,                164960,                  3260,                 -3469,                 51422,                -18559,                748559,             -1055205,                 -6965,                 -2035,,,,                 46294,                -22204,                  1559,                 43470,                -20342,                 48777,,                              0,                -14253,                 -1283,                    -91,                  1861,,                -16481,                 32296,                -85736,              1290380,                 14518,                -47581,               -101136,              1156181,,                              0,                -40000,                 67349,,                -25172,                 16862,                              0,                   -247,                -39038,               -531748,,                              0,                199884,,               -625000,                    176,               -852428,                 43505,                              0,               -800105,                 16319,               -159353,              1235807,              1076454,              1076454,,                    166,                433758,,,,,               -118032,                 -2715,               -434854,                 63191,               -148613,                  8608,,                              0,                              0,                              0,                              0,,
1229,2013年01月01日至2013年09月30日,,              1036884,              1036884,,,                146739,                  2492,                 -2210,                 38774,                -11235,                670619,               -832002,                 -7275,                 -1973,,,,                 37464,                  1890,                 15298,                 -5698,                 28453,                 77407,,                    651,                -13408,                -63298,,                  3213,,                -63579,                 13828,                 17757,              1054641,                 11235,                -39182,               -100235,                926459,,                              0,                              0,                 67362,,                -18426,                 18727,                              0,                   -247,                -35966,               -300077,,                              0,                              0,,               -925000,                    109,               -852428,                 42351,                              0,               -724029,                 21042,                -76605,              1235807,              1159202,              1159202,                 12597,                    968,              1011127,                   -188,,,,                  3929,                 -3334,               -365928,                 63191,                -29734,,                    -24,,,,,,
