證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 處分採用權益法之投資,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 處分投資性不動產,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 應付款項增加,　　 應付款項減少,　　 其他應付款－關係人增加,　　 現金增資,　　 庫藏股票處分,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　　 持有供交易之金融資產（增加）減少,　　 存出保證金減少,　　　　 不動產、廠房及設備轉列費用數,　　 預付設備款增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得投資性不動產
1413,2015年01月01日至2015年09月30日,,                -18729,                -18729,,,                 73450,                 15758,                   -151,                              0,                              0,               -124810,                -11244,                    -32,                -47029,,,                -28682,                -29810,                -13323,                -12535,                     51,                -21400,                131116,                              0,                 -5924,                 20278,                              0,                 39771,,                -55258,                 -4788,                  1789,                 91630,                  3517,                 -4183,                -78734,                   -278,               -126282,               -172587,               -132816,               -179845,               -198574,                    151,                              0,                -15214,                 -9961,               -223598,,                     24,                    715,                -14082,                -17615,                199418,                 36806,                    431,                205697,,                949826,             -1250085,                              0,                              0,                236459,               -130000,                              0,                              0,                              0,                              0,                              0,                195000,                  8653,                -38536,                -28683,                -46584,                 97418,                 50834,                 50834,,,,,,,,,
1413,2015年01月01日至2015年06月30日,,                  7441,                  7441,,,                 51815,                 10804,                    -18,,                  8518,               -110827,                 -7392,                  1467,                -45633,,,                -28378,                 20209,                 25876,                              0,                    -13,                -71826,                 23074,                 -2785,                 -3620,                   -225,                 19875,                -17813,,                 13358,                 -4773,                -17032,                 50219,                 -6052,                 -4184,                -82376,                    -60,               -126282,               -177182,               -194995,               -240628,               -233187,                     18,,                -14155,                     -2,               -247326,,                     24,                    715,,                 -8830,                227256,                 11935,,                231530,,                553831,               -873364,                              0,                              0,                 20000,                -20000,                              0,                    -85,                138000,                -21161,                              0,                195000,,                -40782,                -48561,                -64357,                 97418,                 33061,                 33061,                              0,                              0,                    430,,,,,,
1413,2015年01月01日至2015年03月31日,,                -29516,                -29516,,,                 25904,                  5639,                     -2,,                     58,,                 -7392,                    -90,                 24117,,,                -14528,                 20190,                 27497,                    -19,                -12273,,                -38398,                    824,                 -1487,                      4,                  7957,                -10233,,                 72901,                              0,                -88468,                100625,                -18129,                 -3780,                 -8145,                    224,               -138585,                -83357,                -93590,                -69473,                -98989,                      2,,                 -5582,                              0,               -104569,,                     24,                    715,,                              0,,                 11935,,                 13104,,                329591,               -343509,                              0,                              0,                 20000,                   -537,                              0,                    -85,                 63680,                 -9281,,,,                -38412,                 21447,                -70018,                 97418,                 27400,                 27400,                              0,                              0,                    430,                              0,                              0,,,,
1413,2014年度,,               -245757,               -245757,,,                106400,                 23188,                    -93,                 -5511,                     -2,                              0,                  8967,                 -4525,,,,                103537,                 26848,                 17841,                    400,                    869,,                164414,                    458,                    255,                     26,                 13812,                328460,,                 -6479,                   -372,                -92865,                 11278,                -21239,                    204,                -48568,                   -185,,               -178883,                149577,                278001,                 32244,                     93,                  5511,                -23390,                   -139,                 14319,,                149258,                              0,,                 -8446,                              0,                 18737,,                159549,,              1114663,             -1171666,                              0,                -68000,,,                     35,                    -40,                 99000,               -111122,                              0,,,,               -137130,                 36738,                 60680,                 97418,                 97418,                              0,                              0,                              0,                              0,                              0,,                128424,                -20657,
1413,2014年01月01日至2014年09月30日,,               -170131,               -170131,,,                 80052,                 17274,                    -39,                 -5511,                    -92,                              0,                  8967,                              0,                100651,,,                114390,                 26513,                 30460,                    400,                   -607,                              0,                 92931,                              0,                   -833,                     27,                 19480,                282761,,                 11634,                    -68,                -72072,                   -298,                -24802,                    155,                -56230,                     61,                -15344,               -156964,                125797,                226448,                 56317,                     39,                  5511,                -17425,                   -136,                 44306,,                              0,                              0,                              0,                              0,                 -5834,                 18737,                              0,                 12903,,              1011359,             -1054682,                 67000,                -68000,                              0,                              0,                              0,                     -5,                              0,                -27842,                              0,                              0,                              0,                              0,                -72170,                -14961,                 60680,                 45719,                 45719,,,,,,,,,
1413,2014年01月01日至2014年06月30日,,                -69537,                -69537,,,                 53826,                 11313,                    -36,,                     35,                              0,                  8967,                              0,                 74105,,,                 -9127,                 33650,                 20516,                    400,                    472,                              0,                -31871,                 -2230,                   -852,                     26,                  8364,                 19348,,                 20303,                   -160,                -14173,                     -1,                -22367,                    332,                 50576,                    132,                -10105,                 24537,                 43885,                117990,                 48453,                     36,,                -11435,                   -136,                 36918,,                              0,                              0,,                 -4936,                              0,                 18737,,                 13801,,                794762,               -828351,                 67000,                -68000,                              0,                              0,                     25,                    -40,                              0,                -18561,                  4000,                              0,,                              0,                -49165,                  1554,                 60680,                 62234,                 62234,                              0,                              0,                              0,,,,,,
1413,2014年01月01日至2014年03月31日,,                -48638,                -48638,,,                 27006,                  5622,                    -12,,                      1,,                              0,                              0,                 32617,,,                 25589,                 27013,                 17756,                    400,                    864,,                 39258,                    965,                    137,                     26,                 29086,                141094,,                  1710,                    -52,                -23580,                    -38,                -16749,                     63,                  2326,                    404,                 -5019,                -40935,                100159,                132776,                 84138,                     12,,                 -5803,                     -1,                 78346,,                              0,                              0,,                 -3385,,                              0,,                 -3385,,                718356,               -754772,                 68000,                -68000,                              0,                              0,                     25,                    -65,                              0,                 -9281,,,,                              0,                -45737,                 29224,                 60680,                 89904,                 89904,                              0,                              0,                              0,                              0,                              0,,,,
1413,2013年度,,               -295151,               -295151,,,                105702,                 23927,                   -129,                 -2036,                     32,                              0,                   -125,                              0,,,,                 46669,                 21769,                  5037,                   -400,                   -289,,                307001,                    188,                 60552,                     -8,                -28002,                415517,,               -177382,                 37507,               -115666,                    275,                  1726,                   -658,                169490,                    -44,,               -104701,                310816,                438211,                143060,                    129,                  2036,                -24459,                   -512,                120254,,                              0,                              0,,                -52258,                              0,                  2902,,                -47616,,                777888,               -879138,                 68000,                -74000,,,                    715,                   -860,                 77612,                -44554,                              0,,,,                -74337,                 -1699,                 62379,                 60680,                 60680,                     24,                  3000,                  1740,                              0,                              0,,                127395,                -19949,
1413,2013年01月01日至2013年12月31日,,               -295151,               -295151,,,                105702,                 23927,                   -129,                 -2036,                     32,                              0,                   -125,                              0,,,,                 46669,                 21769,                  5037,                   -400,                   -289,,                307001,                    188,                 60552,                     -8,                -28002,                415517,,               -177382,                 37507,               -115666,                    275,                  1726,                   -658,                169490,                    -44,,               -104701,                310816,                438211,                143060,                    129,                  2036,                -24459,                   -512,                120254,,                              0,                              0,,                -52258,                              0,                  2902,,                -47616,,                777888,               -879138,                 68000,                -74000,,,                    715,                   -860,                 77612,                -44554,                              0,,,,                -74337,                 -1699,                 62379,                 60680,                 60680,                     24,                  3000,                  1740,                              0,                              0,,                127395,                -19949,
1413,2013年01月01日至2013年09月30日,,               -207893,               -207893,,,                 78441,                 17561,                    -68,                 -2036,                    -63,                              0,                     90,                              0,,,,                 56543,                 -7546,                    426,                              0,                 -1267,,                142301,                   -930,                 54413,                              0,                -24283,                222657,,               -162341,                 -2499,                -64973,                    727,                  3378,                    -94,                177198,                    276,,                -63283,                159374,                253323,                 45430,                     68,                  2036,                -17937,                   -508,                 29089,,                              0,,,                -43814,                              0,                  1883,,                -40190,,                729129,               -800639,                 74000,                -74000,,,                    600,                   -700,                 77611,                -35274,                 40000,,,,                 10727,                   -374,                 62379,                 62005,                 62005,                     24,                  3000,                  1741,                              0,                              0,,                 93949,                -14955,                              0
