證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 存入保證金增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 停業單位稅前淨利（淨損）,　　　　　 預付費用（增加）減少,　　 短期借款增加,　　 應付短期票券增加,　　　　　 負債準備增加（減少）,　　 預付設備款增加,　　 其他投資活動,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 以成本衡量之金融資產減資退回股款
1236,2015年度,,                120633,                120633,,,                132319,                 22256,                  4010,                   -621,                 -1685,                              0,                 -1012,                155267,,,                 -4792,                -27883,                  3789,                -18158,                 -4283,                 -3285,                -54612,,                 12790,                  6845,                  8782,                 39884,                     31,                 68332,                 13720,                168987,                289620,                    621,                 -3935,                -11576,                274730,,                              0,                   -150,               -212366,                  1792,                    478,                 -9104,               -219350,,                -33323,                              0,                100000,                  2187,               -140845,                -71981,                  1090,                -15511,                219165,                203654,                203654,,,,,,,,,,,
1236,2015年01月01日至2015年09月30日,,                 68673,                 68673,,,                100116,                 17373,                  3055,                   -498,                   -437,,                 -1582,                118027,,,                -10613,                -40710,                  4454,                113039,,                 -5276,                 59000,,                 -8483,                -52269,                -25647,                 22989,,                -63410,                 -4410,                113617,                182290,                    498,                   -950,                -11407,                170431,,                              0,,               -186211,                    469,                   -682,                 -3446,               -189870,,                -59846,                              0,                140000,                 15729,               -140846,                -44963,                  1663,                -62739,                219165,                156426,                156426,                              0,                 -1894,,,,,,,,,
1236,2015年01月01日至2015年06月30日,,                 56777,                 56777,,,                 67972,                 12047,                  2038,                   -460,                   -426,,                  2405,                 83576,,,                 12345,                142102,                  4446,                 64082,,                 -6157,                208348,,                -28644,                -48317,                -50509,                  3060,,               -124410,                 83938,                167514,                224291,                    460,                   -413,                 -6087,                218251,,                              0,                              0,               -151367,                    458,                  2305,                 -2413,               -151017,,,,                              0,                 -2822,,               -158248,                 -2442,                -93456,                219165,                125709,                125709,                              0,                 -8470,                -55426,               -100000,,,,,,,
1236,2015年01月01日至2015年03月31日,,                 87374,                 87374,,,                 34511,                  6143,                  1301,                   -327,                   -448,,                 -3600,                 37580,,,                -31437,                -61509,                  4294,                 67621,,                 -5228,                -42670,,                -23326,                -37991,                -44279,                 -6885,,               -112724,               -155394,               -117814,                -30440,                    327,                   -478,                    -31,                -30622,,                              0,,                -72886,                    448,                    606,,                -73021,,,,                -50000,                 12567,,                -20756,                  3582,               -120817,                219165,                 98348,                 98348,                              0,                -16411,                 16677,                              0,                   -243,                              0,                 -1189,,,,
1236,2014年度,,                181932,                181932,,,                137006,                 29771,                  6401,                 -1887,               -113066,                 -4415,                 -3478,                 50332,,,                  5840,                100517,                 -4932,                -18431,                  6433,                   -319,                 89108,,                -60393,                 -9457,                -29386,                    139,                     13,                -99084,                 -9976,                 40356,                222288,                  1887,                 -5433,                -11164,                207578,,                  4944,                              0,               -274579,                152409,                 -2544,                -19914,               -139684,,                -26635,                 60000,                 50000,                 -1332,               -140845,                -58812,                  3581,                 12663,                206502,                219165,                219165,,,,,,,,,                 50332,                     13,
1236,2014年01月01日至2014年09月30日,,                134834,                134834,,,                101882,                 22946,                  4813,                 -1948,               -112793,,                 -3490,                 11410,,,                  2394,                119365,                     51,                 74503,,                 -3384,                199619,,                -65594,                -74693,                -65755,                 -1071,,               -207113,                 -7494,                  3916,                138750,                  1948,                 -4150,                -10947,                125601,,                  4944,,               -185622,                151276,                   -522,                -17836,                -47760,,                -67158,                 20000,                100000,                 11070,               -140846,                -76934,                   -897,                     10,                206502,                206512,                206512,                              0,                  6690,,,,,,,,,
1236,2014年01月01日至2014年06月30日,,                121090,                121090,,,                 67133,                 15310,                  3348,                   -877,               -112822,,                 -3367,                -31275,,,                 13554,                182788,                    604,                 23545,,                 -2548,                233831,,                -90564,                -55842,                -68912,                -11378,,               -226696,                  7135,                -24140,                 96950,                    877,                 -3389,                 -3651,                 90787,,                  4944,                              0,               -113263,                151276,                     79,                -16564,                 26472,,,,                -20000,                  2773,,                -20159,                 -1049,                 96051,                206502,                302553,                302553,                              0,                 15888,                -62932,                 60000,,,,,,,
1236,2014年01月01日至2014年03月31日,,                 32404,                 32404,,,                 32342,                  7542,                  1735,                   -572,                      8,,                 -4444,                 36611,,,                 -5257,                 33530,                 -1552,                 56198,,                 -2680,                 82490,,                -93204,                -48067,                -71311,                    958,,               -211624,               -129134,                -92523,                -60119,                    572,                 -1728,                    -12,                -61287,,                  4944,,                -79632,                              0,                   -485,,                -83010,,,,                -20000,                 -1112,,                122997,                     61,                -21239,                206502,                185263,                185263,                              0,                  2251,                 54109,                 90000,                              0,                              0,                 -7837,,,,
1236,2013年度,,                156418,                156418,,,                136742,                 25976,                  8003,                 -1747,                  4276,                              0,                 60285,,,,                  6102,                -99388,                126581,                 39738,                 -4038,                    557,                 69552,,                 32492,                  7112,                 22232,                  8463,,                 70415,                139967,                373502,                529920,                  1747,                 -8263,                -18892,                504512,,                              0,                -21964,                -56261,                  2015,                   -252,                -19893,                -96355,,                -58988,                -40000,               -120000,                  1881,                -75840,               -292947,                -10413,                104797,                101705,                206502,                206502,,,,,,,,,                233535,                    116,
1236,2013年01月01日至2013年12月31日,,                156418,                156418,,,                136742,                 25976,                  8003,                 -1747,                  4276,,                 60285,,,,                  6102,                -99388,                126581,                 39738,                 -4038,                    557,                 69552,,                 32492,                  7112,                 22232,                  8463,,                 70415,                139967,                373502,                529920,                  1747,                 -8263,                -18892,                504512,,,                -21964,                -56261,                  2015,                   -252,                -19893,                -96355,,                -58988,                -40000,               -120000,                  1881,                -75840,               -292947,                -10413,                104797,                101705,                206502,                206502,,,,,,,,,                233535,                    116,
