證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他預付款項增加,　　　　 金融資產重分類淨損失（利益）,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應付票據增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 其他金融資產減少,　　 短期借款增加,　　 發行公司債,　　 存入保證金減少,　　 員工執行認股權,　　　　 處分其他資產損失（利益）,　　　　　 應付帳款－關係人增加（減少）,　　 其他金融資產增加,　　　　　 預付款項（增加）減少,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 非控制權益變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 其他營業負債增加（減少）
2231,2015年01月01日至2015年09月30日,,                981036,                981036,,,                 73929,                  3568,                 -2108,                     37,                    823,                 -1235,                              0,                    273,                 -2651,                 72636,,,                 -5838,               -348964,                 11284,                -63741,                 40217,                -59618,               -426660,,                 46199,                 12067,                  4547,                   -383,                 62430,               -364230,               -291594,                689442,                  1235,                   -421,               -155320,                534936,,               -106236,                     94,                  1127,                 -3108,               -108123,,                -25286,                161000,               -161701,                    119,                 -2640,                -28508,                  7539,                405844,                465660,                871504,                871504,,,,,,,,,,,,,,,,,,,,
2231,2015年01月01日至2015年06月30日,,                588770,                588770,,,                 47434,                  2409,                 -2103,                     37,                    595,                   -623,                              0,                     69,                 -2295,                 45523,,,                   -704,               -218459,                 17379,                -38369,                 41162,                -48506,               -247497,,                 35871,                  6301,                 11930,                   -270,                 53832,               -193665,               -148142,                440628,                    623,                   -445,                -98037,                342769,,                -78742,                     95,,                 -1638,                -79158,,                   -591,                128000,                -68562,                    116,,                 58963,                 -7010,                315564,                465660,                781224,                781224,                  1127,,,,,,,,,,,,,,,,,,,
2231,2015年01月01日至2015年03月31日,,                292051,                292051,,,                 23172,                  1236,,                     30,                    279,                   -332,                              0,                    152,                 -2491,                 19925,,,                 -1304,                -86078,                 15777,                -45464,                 -8236,                -12308,               -137613,,                 19956,                 -5914,                 12076,                   -156,                 25962,               -111651,                -91726,                200325,                    332,                   -266,                 -4568,                195823,,                -45456,                              0,,                   -984,                -52574,,                    -63,                 68000,                -48280,                      9,,                 19666,                 -2743,                160172,                465660,                625832,                625832,                 -6134,                 -2121,,,,,,,,,,,,,,,,,,
2231,2014年度,,                880519,                880519,,,                 85247,                  3281,                  2728,                   -197,                  5042,                    721,                    125,                     33,                 14709,,,,                    463,,                -15361,                -53884,                -53876,                 -4984,               -314624,,                  4970,                 25362,                  1259,,                 30180,               -284444,               -172755,                707764,                    721,                 -2790,                -70337,                635358,,               -149646,                    708,                              0,                -10216,               -159396,,,                113165,               -110593,,               -374822,               -441551,                  5528,                 39939,                425721,                465660,                465660,,,,                111689,               -186982,                              0,                 -1411,                   -242,                -69964,                              0,                      3,                    660,,,,,,,,
2231,2014年01月01日至2014年09月30日,,                582132,                582132,,,                 62907,                  2182,                     30,                   -150,                  3323,                 -1506,                    125,                    156,                 -3030,                 64037,,,                   -374,               -241523,                    222,                -56138,                -11477,                -36635,               -345925,,                  2826,                  8847,                   -167,                 -1343,                 10163,               -335762,               -271725,                310407,                  1506,                 -1350,                -71929,                238634,,                -89675,                      1,                              0,                 -6849,                -96523,,                -71002,                112987,                   -274,                              0,               -374822,               -333111,                  3175,               -187825,                425721,                237896,                237896,,,,,,,,,,,,,,,,,,,,
2231,2014年01月01日至2014年06月30日,,                361502,                361502,,,                 41899,                  1340,                     30,                   -162,                  2741,                 -1116,                    125,                    145,                  1492,                 46494,,,                  2572,               -135947,                 -1903,                -23206,                 -7523,                -29308,               -195315,,                 -6340,                  5432,                 -3359,                 -1155,                 -5422,               -200737,               -154243,                207259,                  1116,                 -1012,                -35478,                171885,,                -48195,                      1,,                 -2418,                -50612,,                -23265,                  2987,                              0,                      3,,                -20275,                 -9021,                 91977,                425721,                517698,                517698,                              0,,,,,,,,,,,,,,,,,,,
2231,2014年01月01日至2014年03月31日,,                166675,                166675,,,                 21114,                    699,,                   -418,                  1511,                   -374,                     75,                      3,                    962,                 23572,,,                  1455,                -55178,                 -1948,                -32750,                 -4173,                 -1652,                -94246,,                 -8016,                 -6301,                 -4258,                   -249,                -18824,               -113070,                -89498,                 77177,                    374,                   -542,                 -1507,                 75502,,                -12842,                      1,,                   -931,                -13784,,                -22265,                              0,                              0,                      6,,                -22259,                    379,                 39838,                425721,                465559,                465559,                    -12,                              0,,,,,,,,,,,,,,,,,,
2231,2013年度,,                430804,                430804,,,                 82434,                  3335,                    264,                   -572,                  4207,                 -1008,                  1018,                    644,                  1041,,,,                   -626,,                 -2861,                -47690,                -11436,                -16767,               -202240,,                 64228,                    157,                  2944,,                 66995,               -135245,                -43882,                386922,                  1008,                 -2996,                -44479,                340455,,                -26096,                  1880,                    562,                 -4932,                -35473,,,                436500,               -481500,,               -244756,                  7706,                  4007,                316695,                109026,                425721,                425721,,,,                 91363,               -122860,                   -341,                      7,                 -6887,                 36041,                244805,                              0,                 16616,,,,,,,,
2231,2013年01月01日至2013年12月31日,,                430804,                430804,,,                 82434,                  3335,                    264,                   -572,                  4207,                 -1008,                  1018,                    644,                  1041,,,,                   -626,               -122860,                 -2861,                -47690,                -11436,                -16767,               -202240,,                 64228,                    157,                  2944,,                 66995,               -135245,                -43882,                386922,                  1008,                 -2996,                -44479,                340455,,                -26096,                  1880,                    562,                 -4932,                -35473,,,                436500,               -481500,,               -242356,                  7706,                  4007,                316695,                109026,                425721,                425721,,,,                 91363,,                   -341,                      7,                 -6887,                 36041,                244805,                              0,                 16616,,,,                              0,                              0,                 -2400,,
2231,2013年01月01日至2013年09月30日,,                288639,                288639,,,                 61509,                  2598,                    264,                              0,                  2454,                   -464,                    936,                     98,,,,,                  3074,                -11990,                 -1510,                -44884,                -14020,                              0,                -69330,,                 44516,                  2600,                  3510,,                 50288,                -19042,                 48353,                336992,                    464,                 -2381,                -42952,                292123,,                -18803,                    486,                    562,                 -3383,                -21138,,                              0,                276500,               -295000,,               -244756,                100598,                  2345,                373928,                109026,                482954,                482954,,,,                 67395,,                   -341,                      3,,                111764,                250000,,                  2090,,,,,,,,
