證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分無形資產損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 金融資產減損迴轉利益,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 處分持有至到期日金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 預付投資款增加,　　 預付投資款減少,　　 處分子公司,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 處分無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他預付款項增加,　　 其他預付款項減少,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 應付租賃款減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 取得子公司股權,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他應收款－關係人（增加）減少,　　　　　 其他應付款－關係人增加（減少）,　　 取得採用權益法之投資,　　 預付設備款增加,　　 預付設備款減少,　　 取得持有至到期日金融資產,　　 應付短期票券增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 透過其他綜合損益按公允價值衡量之金融資產減資退回股款,　　 取得按攤銷後成本衡量之金融資產,　　 處分按攤銷後成本衡量之金融資產,　　 發行公司債,　　 現金增資,　　 取得無活絡市場之債券投資,　　 其他符合國際會計準則第七號現金及約當現金定義之項目
1704,2015年01月01日至2015年09月30日,,              8728597,              8728597,,,              1047971,                 14439,                 -2196,                 -5851,                660171,                -60306,               -969556,               -205985,                  5898,                 -3916,                  3016,                   -700,               -150630,                 -7299,                -29947,              1534016,                              0,                              0,                -93196,                -76741,                 -3598,             -8425297,             -6769707,,,                 19119,                328193,                 10839,               -843605,                  4396,                -56142,              1096499,               -329321,                -12960,             -1950572,             -1733554,,                   -330,                  3665,                329258,                  5744,                444146,                 98865,                    206,                    803,                882357,               -851197,             -7620904,              1107693,               -100404,                -15148,                992141,,             -2571762,              2885684,             -1816235,              2025692,                 11527,                              0,                -61311,                  3756,                 71432,                              0,                              0,               -138609,                906477,               -553957,                 10172,                              0,                 11513,                 -5243,                    700,               -381945,                              0,                              0,                              0,                 52345,                969556,              1419792,,                798744,                              0,                              0,             -2025781,                538198,             -1465239,                              0,                   -931,               -196986,                              0,                              0,                              0,                              0,             -2351995,                400388,                460326,              5761345,              6221671,              6221671,,,,,,,,,,,,,,,,,,
1704,2015年01月01日至2015年06月30日,,                867098,                867098,,,                706517,                  9532,                 -2728,                 -6409,                624449,                -41296,               -706243,               -205985,                  5132,                 -4291,                  1871,                   -700,               -150630,                 -3667,,,                              0,                              0,                -93670,                -48339,                 -2887,                 -2205,                 78451,,,                 19119,                336833,                  2491,               -491462,                  4989,                 86603,                992404,                -54692,                -18005,               -543742,                334351,,                    326,                   -198,                266723,                 -3637,                184631,                171566,                 -3331,                  1711,                617782,                952133,              1030584,              1897682,                -66424,                 20637,              1851895,,             -1652732,              2168580,             -1283198,                510173,                  9008,                              0,                -38895,                  3128,                 58456,                              0,                              0,,                906477,               -372550,                 10172,                 -4861,                 12426,                 -4777,                    700,             -3285122,              2410446,                              0,,                 33095,                706243,                191681,,              4066429,             -4177933,                              0,               -140560,                339879,             -1106631,                    218,                 -1321,                -25337,,                              0,                              0,                              0,             -1045256,               -185802,                812518,              5761345,              6573863,              6573863,                   -187,                     -9,                              0,                -15883,                 20795,,,,,,,,,,,,,
1704,2015年01月01日至2015年03月31日,,                230871,                230871,,,                353064,                  4775,                 -2526,                 -7319,                323609,                -16968,               -482439,                  5476,                  2829,                 -4775,                  1284,,               -150630,                 -1222,,                              0,,                              0,                -43005,                -64286,                 -2235,                    190,                -84178,,,                 19119,                 39096,                  7152,               -301149,                -19069,                    665,                729727,                 22329,                 -1228,               -665574,               -169148,,                     51,                   -248,                322479,                -11826,                -52637,                 70938,                   -224,                              0,                328947,                159799,                 75621,                306492,                -32773,                 -7922,                265797,,             -1206929,              1443393,               -948053,                 46957,                  5671,                              0,                 -8272,                    913,                 22942,                              0,                              0,,                906477,               -222932,                  8784,                 -1496,                 10027,                 -3336,,             -1764171,                937296,                              0,                              0,                 10875,                482439,               -295334,,              1430009,             -1671001,                              0,                -93233,                343783,               -231500,                    218,                   -150,                -12741,                              0,                              0,                              0,                              0,               -234615,                -72531,               -336683,              5761345,              5424662,              5424662,                   -216,                    414,                              0,                -15919,,                              0,                              0,,,,,,,,,,,
1704,2014年度,,            -13153617,            -13153617,,,              2079012,                 25663,                   -172,                -77263,                980481,                -92885,               -691348,                 46825,                 21076,                  6750,                 10410,,,                -41243,,                 26702,                -18990,             11241929,               -409311,                -13543,,                -24266,,,,                227401,                 33076,                -14134,              1455141,                 19616,                234244,                626913,                222918,                -46830,             -1780964,                978274,,                    957,                 -2243,             -1735980,               -373876,               -234257,               -239973,                -32110,                  7726,             -2609851,             -1631577,             11438250,             -1715367,               -357721,               -114412,             -2187500,,             -9318187,             10532177,             -1791226,              4510349,                 31111,              1059889,               -415194,                  1513,                143837,               -101262,                  4935,,,             -1270439,                  2802,                -73355,                 49663,                 -8804,,             -1904744,              1971373,                -80600,                 71474,                 99149,                691348,              4175474,,             10713616,            -13852844,               -149944,,                200000,             -1946754,                    646,                 -1024,                -47634,               -426621,                -10047,                  1221,                 43044,             -5476341,                440555,             -3047812,              8809157,              5761345,              5761345,                    893,                    -95,                              0,                -30335,,                              0,                              0,,             13069827,,,,,,,,,
1704,2014年01月01日至2014年09月30日,,            -12410189,            -12410189,,,              1728187,                 19459,                 -2361,                -58262,                437245,                -75838,               -487473,                 60397,                 14379,                  5618,                 10353,                              0,                              0,                -40812,                              0,                              0,                -18990,             11219355,               -350426,                 -3587,                              0,                 -6331,             12450913,,,                211974,                -13276,                -11608,                984213,                 -4358,                183139,                325264,                 81457,                -58821,             -1131330,                566654,,                    951,                 -3743,             -1422336,               -367030,               -264706,               -166906,                -29997,                  3690,             -2250077,             -1683423,             10767490,             -1642699,               -316663,                -99022,             -2058384,,             -5808836,              7379891,             -1729557,              4510140,                 23903,              1053082,               -300767,                  1509,                 79199,               -100612,                  4902,                              0,                              0,             -1028739,                  1436,                 -8600,                              0,                   -475,                              0,                              0,                 49020,                -80053,                 70989,                 81545,                487473,              4685450,,                              0,             -1645410,               -149944,                              0,                200000,             -1303413,                    813,                              0,                -35292,               -426621,                -10047,                    800,                 43044,             -3326070,                162799,               -536205,              8809157,              8272952,              8272952,,,,,,,,,,,,,,,,,,
1704,2014年01月01日至2014年06月30日,,            -11500344,            -11500344,,,              1320836,                 12760,                  3272,                -40778,                244607,                -53298,               -327247,                 50914,                  8962,                  5516,                              0,                              0,                              0,                 -8608,,,                -18990,             10449626,                -11538,                  8992,                              0,                 -3572,             11641454,,,                  5174,                 15680,                -15420,                301096,                 14287,                165144,               -417001,                -70184,                -51530,                -40382,                -92507,,                  2590,                 -3249,                -91123,               -381610,                -38665,               -108035,                -29484,                  2641,               -647040,               -739547,             10901907,               -598437,               -228006,                -75637,               -902080,,             -5094245,              5472907,               -859638,              2610586,                 15926,                633896,               -238913,                    748,                 49154,               -100820,                  4917,,                              0,               -688504,                    314,                 -9290,                  9794,                   -380,                              0,             -1078776,                747418,                 -9076,,                 53816,                327247,              1832408,,              7154347,             -5588105,               -149944,                              0,                              0,               -946912,                    142,                     -2,                -23442,,                -10047,                    800,                 43044,                479881,                 18846,              1429055,              8809157,             10238212,             10238212,                    629,                   -105,                              0,                -14673,                              0,,,,,,,,,,,,,
1704,2014年01月01日至2014年03月31日,,               -425556,               -425556,,,                665100,                  6338,                  1811,                -14959,                120133,                -27032,               -166657,                 25992,                  4174,                      3,                              0,,                              0,                 -5259,,                              0,,                              0,                -80919,                 50484,                              0,                  2027,                581236,,,                  2517,                -27828,                 -9571,                565114,                 18394,                -62803,               -790226,                -40462,                -36159,                    -15,               -380358,,                              0,                 -3991,               -541706,               -373592,               -197094,               -141337,                    757,                              0,             -1257063,             -1637421,             -1056185,             -1481741,               -109876,                 -4222,             -1595839,,             -3290193,              3055690,               -790418,              1481803,                  6374,                              0,               -151328,                    748,                 24347,                              0,                  4948,,                              0,               -278328,                              0,                   -950,                     40,                              0,,               -456079,                450237,                              0,                              0,                 26286,                163192,                195292,,              3044406,             -1817175,               -149944,                              0,                              0,               -375000,                      2,                   -361,                -11686,                              0,                              0,                              0,                              0,                690242,                159730,               -550575,              8809157,              8258582,              8258582,                    681,                   -100,                              0,                -51077,,                              0,                              0,,,,,,,,,,,
1704,2013年度,,               -999154,               -999154,,,              2714644,                 43795,                    201,               -116191,                460284,                -93982,             -1347269,                130291,                  2926,                  5255,                  5074,,,                -20755,,                  9281,                              0,              1841190,               -580605,                 33880,,                    507,,,,                  6005,                697792,                 -3074,               -504552,                -27580,                 66954,                185356,               -233094,                -63179,                -17602,                106130,,                -33126,                 -2382,                 58358,                272783,               -201264,                 24036,                 31149,                              0,                149666,                255796,              3344322,              2345168,               -429199,               -587467,              1328502,,            -13610580,             14283711,             -3757842,              4990585,                 30500,                              0,               -229531,                366330,                154946,                 -4794,                              0,,,             -1581802,                    905,                -52136,                 54717,                -10160,,             -1797805,              1644392,                              0,                              0,                 94976,              1347269,              1154471,,             10234143,            -10257013,                              0,,                              0,               -398611,                      2,                   -370,                -44558,               -639932,                              0,                              0,                              0,               -956395,                  5677,              1532255,              7276902,              8809157,              8809157,                   -896,                    112,                -48000,                -97746,,               -623464,                149944,,              3088526,,,,,,,,,
1704,2013年01月01日至2013年12月31日,,               -999154,               -999154,,,              2714644,                 43795,                    201,               -116191,                460284,                -93982,             -1347269,                130291,                  2926,                  5255,,,,                -20755,,                  9281,,              1841190,               -580605,,,                   -694,,,,                  1201,                697792,                 -3074,               -545062,                -27580,                 89214,                185356,               -243236,                -60549,,                 93166,,                -37373,                 -2382,                 65210,                273480,               -165268,                 24036,                 31149,,                188964,                282130,              3330501,              2331347,               -429199,               -576420,              1325728,,            -13610580,             14293964,             -3757842,              4990585,                 30500,                              0,               -229531,                366330,                154946,                 -4794,,,,             -1579359,                    906,                -52136,                 54717,                -10160,,             -1815407,              1644392,                              0,                              0,                 94976,              1347269,              1149566,,             10241404,            -10257013,                              0,,                              0,               -398610,                              0,                   -368,                -44558,               -639932,,,,               -949133,                  6094,              1532255,              7276902,              8809157,              8809157,                   -896,                    112,                -48000,                -97746,                              0,               -623464,                149944,,              3048371,,,,,,                              0,                              0,,
1704,2013年01月01日至2013年09月30日,,                278156,                278156,,,              2042628,                 37945,                  2564,                -87364,                343868,                -66186,               -998979,                104285,                    266,                  3525,                  4358,,,                -11405,,,                              0,                753394,               -502573,                 24881,,                   -777,,,,                    182,                638505,                              0,               -609921,                -20353,                -14499,                649420,                -22555,                -16886,,                603506,,                -30074,                 -2152,               -169587,                 97867,               -318037,                -25413,                 23634,                              0,               -423754,                179752,              1830182,              2108338,               -321929,               -515403,              1271006,,             -9306837,              9903690,             -2427406,              4319740,                 21510,                              0,               -121964,                364661,                100495,                              0,                              0,,,             -1272326,                    665,                -35972,                 54717,                 -3095,,             -1153946,              1052701,                              0,                              0,                 66579,                998979,              2456959,,              7912899,             -8653980,                              0,,                              0,               -180555,                      2,                   -696,                -33280,               -639932,                              0,                              0,                              0,             -1445761,                 -1229,              2280975,              7276902,              9557877,              9557877,                   -387,                      8,                -48000,                -57232,                              0,,                149781,,              1650430,,,,,,,,,
