證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得持有至到期日金融資產,　　 處分持有至到期日金融資產,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 現金減資,　　 庫藏股票買回成本,　　 處分子公司股權（未喪失控制力）,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 處分子公司,　　 發放現金股利,　　　　　 其他營業資產（增加）減少,　　 其他預付款項增加
2459,2015年01月01日至2015年09月30日,,                405866,                405866,,,                208128,                  5452,                              0,                 12747,                -24935,                   -122,                -21974,                179296,,,                  7356,               -339288,                 10068,                 -4949,               -142711,                 26688,                -13345,               -456181,,                    516,                198083,                   -277,                -39493,                 13040,                 -1210,                    995,               -284151,               -112497,               -568678,               -389382,                 16484,                -93964,                -77480,,             -3243060,              2206964,               -231300,                789849,               -281272,                102301,               -114910,                326181,                 73392,                -86884,                  1059,                              0,                  3484,                 -6930,                 24935,               -436191,,                474092,                              0,                 49976,                250000,               -161000,                              0,               -173297,                  3078,                -12107,                -36593,                394149,                106915,                -12607,              1404199,              1391592,              1391592,,,,,,,,,,
2459,2015年01月01日至2015年06月30日,,                257466,                257466,,,                140063,                  3475,                              0,                  8080,                -18270,                    -65,                -12203,                121080,,,                  4094,               -126169,                  9181,                -11410,                -83551,                 32813,                 -8001,               -183043,,                    231,                136507,                    -94,                -28915,                  5754,                -19881,                    662,                 33121,                127385,                -55658,                 65422,                322888,                -71565,                251323,,             -1912819,              1047051,               -163200,                695383,               -148196,                101275,               -110401,                290363,                 73392,                -51090,                    296,,                    359,                 -6658,                 18270,               -165975,,                 28756,                              0,                 49980,                 50000,               -111000,,                -47472,                  3078,                 -7827,                -36593,                -71078,               -111506,                -97236,              1404199,              1306963,              1306963,,,,,,,,,,
2459,2015年01月01日至2015年03月31日,,                107984,                107984,,,                 70729,                  1600,                     50,                  4256,                 -8639,                    -45,                 -4276,                 63675,,,                 -2073,                321393,                  9088,                  2734,               -117775,                 24301,                  5796,                243464,,                    507,               -246618,                  1546,                -57521,                  1498,                 19658,                    331,                              0,               -280599,                -37135,                 26540,                134524,                -28177,                106347,,               -799000,                116379,                -64000,                619295,                -50442,                 51071,                -76672,                215370,                 73392,                -29464,                    109,,                    150,                 -1484,                  8639,                 63343,,,                -89100,                 24990,                              0,                -61000,,,                  3078,                 -4453,,               -126485,                -72398,                -29193,              1404199,              1375006,              1375006,                              0,,,,,,,,,
2459,2014年度,,                684782,                684782,,,                268720,                  6382,                   -680,                 16802,                -31830,                 13210,                -27681,,,,                -12969,                469785,                 11598,                -11378,               -108285,                -38068,                 10946,                321629,,                      4,               -202933,                  2201,                 44079,                    898,                 -7888,,               -135028,               -297411,                 24218,                269141,                953923,               -144288,                809635,,                -10795,,             -3350364,              2914355,,,               -213857,,,               -223640,                  1268,                   -545,,                 -1503,                 31830,               -844144,,                142425,               -278041,,                640000,               -585000,               -284152,,,                -16999,                -36278,               -631159,                192531,               -473137,              1877336,              1404199,              1404199,,,                244923,                  1256,                -50918,                 60025,                              0,               -213114,,
2459,2014年01月01日至2014年09月30日,,                531251,                531251,,,                199881,                  4775,                   -590,                 12009,                -27208,                  3342,                -17036,                175173,,,                -39102,                235579,                  9936,                -25623,                -84879,                 10410,                    310,                106631,,                    697,               -128564,                   -207,                 42738,                  1017,                -30889,                    936,               -265992,               -380264,               -273633,                -98460,                432791,               -111671,                321120,,                              0,                              0,             -2466821,              2008250,                -65440,                 69887,                              0,                              0,                              0,               -161651,                    936,                    -54,                              0,                 -1472,                 27208,               -589157,,                              0,                 -9132,                              0,                155000,               -100000,               -284152,                              0,                              0,                -12062,                -36278,               -286624,                 35500,               -519161,              1877336,              1358175,              1358175,,,,,,,,,,
2459,2014年01月01日至2014年06月30日,,                319452,                319452,,,                133076,                  3179,                   -280,                  8034,                -19178,                  2661,                 -8392,                119100,,,                -21353,                444059,                  7385,                  8463,                -66964,                  6238,                 -3917,                373911,,                    104,               -200571,                    401,                 20613,                 -2259,                  6126,                    618,                -11630,               -186598,                187313,                306413,                625865,                -66791,                559074,,                              0,                              0,             -1216140,              1134937,                              0,                 10289,                              0,                              0,                              0,                -91400,                    805,,                    332,                   -810,                 19178,               -142809,,                              0,               -300850,                              0,                 80000,               -100000,,                              0,                              0,                 -8361,                -36278,               -365489,                -55137,                 -4361,              1877336,              1872975,              1872975,,,,,,,,,,
2459,2014年01月01日至2014年03月31日,,                128151,                128151,,,                 66948,                  1617,                   -210,                  4527,                 -9851,                    390,                 -2288,                 61133,,,                 16556,                850367,                 11120,                   -287,                -28173,                  2780,                    -10,                852353,,                    514,               -470583,                   -203,                -21886,                  2476,                   -535,                    308,                -42416,               -532325,                320028,                381161,                509312,                -23822,                485490,,                              0,                              0,               -504330,                345554,                              0,                 10442,                              0,                              0,                              0,                -21906,                    304,,                     52,                   -824,                  9851,               -160857,,,               -323935,                              0,                 50000,                -50000,,,                              0,                 -5092,,               -329027,                  8188,                  3794,              1877336,              1881130,              1881130,                              0,,,,,,,,,
2459,2013年度,,                613442,                613442,,,                258507,                  5805,                    490,                 17227,                -39871,                 17688,                -39250,,,,                   -751,                -64613,                 26044,                 -7063,                 22538,                -12066,                -13262,                -49173,,                    113,                -71232,                    287,                 -8510,                 -5894,                 24115,,                 25981,                -34282,                -83455,                137141,                750583,               -184491,                566092,,                              0,,             -1010065,                812917,,,                              0,,,               -220847,                  2647,                   -699,,                 -9818,                 39871,               -125958,,                250905,               -421314,,                480000,               -500000,                              0,,,                -17127,                -53069,               -544757,                121029,                 16406,              1860930,              1877336,              1877336,,,                220596,                    858,                -10330,                132452,                137914,               -284152,,
2459,2013年01月01日至2013年12月31日,,                613442,                613442,,,                258507,                  5805,                    490,                 17227,                -39871,                 17688,                -39250,,,,                   -751,                -64613,                 26044,                 -7063,                 22538,                -12066,                -13262,                -49398,,                    113,                -71232,                    287,                 -8510,                 -5894,                 24115,,               -258171,               -318434,               -367832,               -147236,                466206,               -184491,                281715,,,,             -1010065,                812917,,,,,,               -220847,                  2647,                   -699,,                 -9818,                 39871,               -125958,,                250905,               -421314,                              0,                480000,               -500000,,                              0,,                -17127,,               -207536,                 68185,                 16406,              1860930,              1877336,              1877336,,,                220596,                    858,                -10330,                132452,                137914,,                   -225,
2459,2013年01月01日至2013年09月30日,,                486026,                486026,,,                192249,                  4254,                    300,                 12477,                -28956,                    726,                -39244,,,,                -16025,               -502770,                 20668,                -16300,                -60934,                 11236,                 -1978,               -566103,,                    686,                419723,                    180,                -27256,                 -6492,                  1863,,               -244826,                145229,               -420874,               -279068,                206958,               -133344,                 73614,,,,               -628646,                647776,,,,,,               -185416,                  2493,                   -444,,                 -9140,                 28956,                 70618,,                215195,               -274906,,                150000,               -180000,                              0,,,                -12733,                -53069,               -155513,                 71625,                 60344,              1860930,              1921274,              1921274,,,                141806,                  1351,                   -236,                 77361,                137914,,,
2459,2013年01月01日至2013年06月30日,,                303296,                303296,,,                127722,                  2725,                    300,                  8740,                -20895,                    705,                -39066,,,,                -30075,               -101337,                 28869,                 -7919,                -35980,                  4552,                 -6085,               -147975,,                    425,                297781,                    521,                 21179,                 -3346,                 26486,,                 53720,                397893,                249918,                330149,                633445,               -102881,                530564,,,,               -381186,                445731,,,,,,               -156444,                    427,                   -619,,                 -8357,                 20895,                 58125,,,               -113503,,                              0,               -180000,,,,                 -8026,                -53069,               -354598,                109219,                343310,              1860930,              2204240,              2204240,,,                 80231,                  1127,                   -236,                              0,                137914,,,
2459,2013年01月01日至2013年03月31日,,                155285,                155285,,,                 62215,                  1021,                    100,                  4954,                -11104,                    193,                -38965,,,,                 -4679,                450151,                 18925,                  2273,                -50619,                  9010,                 -3707,                421354,,                 12722,               -266950,                    461,                -41958,                 -3634,                  2566,,                -27150,               -323023,                 98331,                116745,                272030,                -33576,                238454,,,,               -285574,                235636,,,,,,                -48742,                    273,                   -457,,                 -5200,                 11104,                -89948,,,                -34725,,                              0,               -180000,,,,                 -4507,,               -219232,                 72127,                  1401,              1860930,              1862331,              1862331,,,                 18414,                    920,               -134902,                              0,                137914,,,
2459,2012年01月01日至2012年12月31日,,                606708,                606708,,,                236601,                  9651,                              0,                 15631,                -35167,                 14181,                 -1350,,,,                 28103,                 76306,                 -4073,                -12030,                192541,                -10288,                 11366,                277551,,                   -190,               -102281,                    -27,                -13364,                  9111,                -27601,,               -261136,               -394768,               -117217,                122330,                729038,               -128600,                600438,,,,               -991502,                979332,,,,,,               -320543,                  9896,                   -649,,                 -2760,                 35167,               -463814,,                170754,               -559179,                -49957,                500000,                 -4996,,                -71250,,                -14070,,                -28698,                -18053,                 89873,              1771057,              1860930,              1860930,,,                239547,                    720,               -192464,                 19709,                              0,,                 -4374,
2459,2012年01月01日至2012年09月30日,,                466282,                466282,,,                174334,                  2579,                              0,                 11348,                -24337,                 -5688,                 -1250,,,,                 37458,                193912,                 -3303,                -21963,                114110,                -21317,                  1767,                304490,,                  2767,                -88399,                    397,                 43786,                  1194,                -22791,,               -261136,               -324191,                -19701,                137285,                603567,                -85158,                518409,,,,               -725502,                699848,,,,,,               -232720,                  9903,                   -240,,                 -1628,                 24337,               -206293,,                 29587,               -431704,                -49957,                300000,                 -3740,,,,                -10448,,               -166262,                 22338,                168192,              1771057,              1939249,              1939249,                              0,,                156986,                     -9,                              0,                 19709,                              0,,                  3826,
2459,2012年01月01日至2012年06月30日,,                293975,                293975,,,                114075,                  1779,                   -270,                  7602,                -15879,                 -6172,                   -648,,,,                 13551,               -136609,                  2526,                 -2945,                163646,                -22308,                 11418,                 31955,,                   -173,                167428,                    -11,                 -2349,                  2844,                -10712,,                              0,                158462,                190417,                290904,                584879,                -49043,                535836,,,,               -392612,                186673,,,,,,               -128881,                  9803,                   -358,,                   -379,                 15879,               -290166,,,               -477139,                -49957,                300000,                 -2488,,,,                 -6500,,               -236084,                 27672,                 37258,              1771057,              1808315,              1808315,                              0,,                100487,                  1435,                              0,                 19709,                              0,,                  2676,
2459,2012年01月01日至2012年03月31日,,                106778,                106778,,,                 56095,                    810,                   -220,                  4126,                 -7181,                    753,                    -77,,,,                  9248,                339487,                  3417,                 -4802,                154775,                -20209,                  5904,                487820,,                  4021,               -299733,                    105,                 32923,                  2412,                -30456,,                              0,               -290509,                197311,                251617,                358395,                -12784,                345611,,,,               -151622,                 22277,,,,,,               -183764,                  1360,                              0,                    145,                   -223,                  7181,               -282576,,,               -514523,                     37,                300000,                 -1242,,,,                 -4822,,               -220550,                 73968,                -83547,              1771057,              1687510,              1687510,,,                 54306,                    219,                              0,                 19709,                              0,,,                  2361
