證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產減少,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 償還長期借款,　　 發放現金股利,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 其他金融資產減少,　　 其他非流動資產增加,　　　 不影響現金流量之收益費損項目,　　　　 股份基礎給付酬勞成本,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分備供出售金融資產,　　 舉借長期借款,　　 現金增資,　　　　 處分投資損失（利益）,　　 其他籌資活動,　　 停業單位稅前淨利（淨損）,　　　　 處分其他資產損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　 其他應付款－關係人減少
4137,2015年01月01日至2015年09月30日,,                923867,                923867,,,                 66092,                  9832,                -14768,                              0,                -30173,                  3117,                    100,                 34200,,,                   -587,               -361836,                 -7676,                 28157,               -198396,                -47888,                 -1030,               -589256,,                109027,                 14286,                -19514,                 -7857,                 24110,                -83090,                    121,                 27272,                 64355,               -524901,               -490701,                433166,               -216321,                216845,,             -6497899,              6513115,                   -476,                -23706,                              0,                   -989,                220404,                  2360,                 31036,                243845,,                              0,               -556446,                              0,               -556446,                 55915,                -39841,              2410252,              2370411,              2370411,,,,,,,,,,,,,,,,,
4137,2015年01月01日至2015年06月30日,,                510707,                510707,,,                 44082,                  6420,                 -8418,                              0,                -24431,                  2284,                     73,                 20010,,,                   -736,               -161986,                    229,                 25939,                -61879,                -47517,                  1497,               -244453,,                 56946,                  4013,                -17962,                 -2825,                 92388,                -13512,                     82,                 26163,                145293,                -99160,                -79150,                431557,               -130009,                301548,,             -2601048,              2609437,                   -776,                -11602,                              0,                              0,                 -3262,                              0,                 25434,                 18183,,                              0,,                              0,                              0,                -54081,                265650,              2410252,              2675902,              2675902,,,,,,,,,,,,,,,,,
4137,2015年01月01日至2015年03月31日,,                217890,                217890,,,                 22224,                  3237,                 -1313,                              0,                -15244,                  2570,                     49,                 11523,,,                   -575,                -53396,                 -3990,                 27162,                -31777,                -28393,                   -182,                -91151,,                 37754,                  5281,                -12196,                 -1549,                 26925,                 43646,                     40,                  2073,                101974,                 10823,                 22346,                240236,                -16363,                223873,,,,                   -787,                 -4500,                              0,                              0,                              0,,                 15270,                127630,,                              0,,                              0,                              0,                -19514,                331989,              2410252,              2742241,              2742241,               -780130,                690559,                207218,                              0,,,,,,,,,,,,,
4137,2014年度,,                997281,                997281,,,                 85975,                  2096,                 -7272,                 16025,                -47687,,                    192,,,,                    438,                -21743,                    937,                -29019,                  3671,                 26351,                  1227,                -18138,,                 19599,                -13295,                 27476,                  6065,                -46785,                 -2801,,                 55019,                 45421,                 27283,                 76612,              1073893,               -249982,                823911,,             -3390355,              3468273,                -78325,                -94187,                    374,                -65371,               -107350,,                 50009,               -215944,,               -437815,               -492096,                -16025,               -945936,                101858,               -236111,              2646363,              2410252,              2410252,,,,                    988,,                              0,                 49329,                    143,                              0,                              0,                              0,,,,,,
4137,2014年01月01日至2014年09月30日,,                718886,                718886,,,                 62771,                    914,                 -5420,                 15869,                -35339,                              0,                    249,                 39044,,,                     64,                 -7322,                    957,                   -306,                -62050,                -23131,                    839,                -90949,,                 20841,                 32476,                  4554,                  2793,                -54999,                -85955,                    104,                 46177,                -34009,               -124958,                -85914,                632972,               -197597,                435375,,             -2433094,              2506793,                              0,                -59558,                    199,                -59593,               -101241,                    957,                 35339,               -110198,,               -424230,               -492096,                -15869,               -932195,                 20600,               -586418,              2646363,              2059945,              2059945,,,,,,,,,,,,,,,,,
4137,2014年01月01日至2014年06月30日,,                487211,                487211,,,                 41035,                              0,                 -3596,                 12194,                -28949,                              0,                    230,                 20914,,,                     -5,                 -4003,                  1198,                   -293,                 -4643,                 -9367,                  1068,                -16045,,                 21063,                 11715,                  3161,                  1337,                -54927,                -92694,                     69,                 30709,                -79567,                -95612,                -74698,                412513,               -134164,                278349,,             -1525568,              1595616,                              0,                -70698,                    184,                 -9001,               -134732,                  3127,                 27749,               -113323,,                -77048,,                -12194,                -89242,                -42675,                 33109,              2646363,              2679472,              2679472,,,,,,,,,,,,,,,,,
4137,2014年01月01日至2014年03月31日,,                250296,                250296,,,                 20661,                              0,                 -2009,                  6529,                -16867,                              0,                     94,                  8408,,,                    230,                    745,                  1068,                   -172,                    191,                  9315,                  1186,                 12563,,                 12637,                 -9124,                 -2626,                   -289,                -27999,               -103664,                     34,                 19791,               -111240,                -98677,                -90269,                160027,                -42522,                117505,,,,                              0,                 -9300,                     45,                -30561,                -49353,,                 13475,                -25479,,                -69085,,                 -6529,                -75614,                  2296,                 18708,              2646363,              2665071,              2665071,               -796319,                850405,                              0,                 -3871,,,,,,,,,,,,,
4137,2013年度,,                866957,                866957,,,                 58618,                              0,                 -9099,                 12998,                -16767,,                    130,,,,                    271,                  4235,                 -2873,                 14575,                -25333,                -23931,                 -2085,                -35141,,                 -6641,                    251,                  6887,                -11196,                -13237,                 81459,,                 54498,                112138,                 76997,                126801,                993758,               -198890,                794868,,             -1692957,              1840139,                              0,               -653642,                              0,                              0,                -98380,,                 13472,               -520465,,                -21319,               -280560,                -12998,              1462856,                 60122,              1797381,                848982,              2646363,              2646363,,,,                 -3197,,                  3924,                 49804,                    117,                 74100,                281357,              1496376,,,,,,
4137,2013年01月01日至2013年12月31日,,                866957,                866957,,,                 58618,,,                 12998,                -16767,,                    130,,,,                    271,                  4235,                 -2873,                 14575,                -25333,                -23931,                 -2085,                -35141,,                 -6641,                    251,                  6887,                -11196,                -13237,                 81459,,                 54498,                112138,                 76997,                126801,                993758,               -198890,                794868,,             -1692957,              1840139,,               -653642,                              0,,                -98380,,                 13472,               -520465,,                -21319,               -280560,                -12998,              1462856,                 60122,              1797381,                848982,              2646363,              2646363,,,,                 -3197,,                  3924,                 49804,                    117,                 74100,                281357,              1496376,                 -9099,                              0,,,,
4137,2013年01月01日至2013年09月30日,,                653507,                653507,,,                 41176,                              0,                 -7938,                  8951,                 -9135,,                    131,,,,                    667,                  4176,                 -4877,                 14180,                -61122,               -135295,                 -1595,               -183866,,                   -517,                  5089,                  4378,                 -6834,                -56077,                 53526,,                 39094,                 38746,               -145120,               -111935,                541572,               -149320,                392252,,             -1321333,              1589366,,               -151626,                              0,                              0,                              0,,                  9135,               -131680,,                -14576,               -280560,                 -8951,               -244087,                 33399,                 49884,                848982,                898866,                898866,,,,               -257222,,,                 33185,                     87,,                 60000,,,,,,,
