證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存入保證金增加,　　 存出保證金增加,　　 其他應收款減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 其他應收款增加,　　 其他預付款項增加,　　 現金增資,　　 其他金融資產增加,　　 其他非流動資產減少,　　　　　 持有供交易之金融資產（增加）減少,　　 存入保證金減少,　　 其他非流動資產增加,　　 其他投資活動
4999,2015年度,,                526501,                526501,,,                106115,                  6296,                 -1247,                 -1022,                  2740,                 -5557,                    290,                  3368,                110983,,,                 -1737,                 78854,                 21857,                 12334,                  4160,                115468,,                  3470,                -20141,                   -121,                -16792,                 98676,                209659,                736160,                  5557,                 -2740,               -101971,                637006,,               -176580,                    258,                    796,                -11758,                              0,               -187284,,                132186,               -224786,               -297669,                -36389,               -426658,                 37330,                 60394,              1230448,              1290842,              1290842,,,,,,,,,,,,,,,
4999,2015年01月01日至2015年09月30日,,                355490,                355490,,,                 78337,                  4462,                  1022,                 -1022,                  2139,                 -4054,                    116,                  1744,                 82744,,,                   -975,                163162,                 42460,                  4680,                 11901,                221228,,                -18983,                 -6815,,                -25798,                195430,                278174,                633664,                  4054,                 -2139,                -89835,                545744,,               -122840,                    234,                    589,                -11140,                              0,               -133157,,                 99939,               -126709,               -297669,                -12535,               -336974,                 38443,                114056,              1230448,              1344504,              1344504,                              0,,,,,,,,,,,,,,
4999,2015年01月01日至2015年06月30日,,                175697,                175697,,,                 50576,                  2543,                   -105,                 -1022,                  1609,                 -3308,                    -54,                  1168,                 51407,,,                    115,                287521,                 47119,                  5410,                 17436,                357601,,                -48625,                -48401,,                -97026,                260575,                311982,                487679,                  3308,                 -1609,                -65968,                423410,,                -86796,                    233,,                 -7324,,                -93330,,                 28317,                -32267,,,                 -3950,                -24759,                301371,              1230448,              1531819,              1531819,                              0,                    557,                              0,,,,,,,,,,,,
4999,2015年01月01日至2015年03月31日,,                 93522,                 93522,,,                 22758,                    983,                   -729,                 -1022,                    775,                 -1397,                    -86,                    624,                 21906,,,                   -113,                156196,                  2670,                  2634,                  6012,                167399,,                -33599,                -30568,,                -64167,                103232,                125138,                218660,                  1397,                   -775,                 -5257,                214025,,                -74353,                    233,,                 -6362,,                -79864,,                 29509,                              0,,,                 29509,                -10901,                152769,              1230448,              1383217,              1383217,                              0,                    618,                              0,,,,,,,,,,,,
4999,2014年度,,                625353,                625353,,,                 84667,                  3736,                   -428,                  1022,                  4700,                 -7249,                  1609,                  1753,                 89810,,,                  2133,                -18722,                -12124,                 -3259,                  7818,                -24154,,                -34456,                 28272,                   -116,                 -6300,                -30454,                 59356,                684709,                  7380,                 -4700,                -93434,                593955,,               -366161,                    478,                  5705,                 -5363,                 44019,               -321322,,                259266,               -479539,               -223252,                              0,               -443525,                 56824,               -114068,              1344516,              1230448,              1230448,,,,,,,,,,,,,,,
4999,2014年01月01日至2014年09月30日,,                434444,                434444,,,                 61547,                  2917,                    542,                  2941,                  3731,                 -5496,                  1050,                  1307,                 68539,,,                  1789,                -17439,                 -1962,                 -7246,                  8494,                -16364,,                -14183,                -17746,,                -31929,                -48293,                 20246,                454690,                  5627,                 -3731,                -81227,                375359,,               -324367,                     93,                  5541,                 -4880,                 44889,               -278724,,                190186,               -294929,               -223252,                              0,               -326413,                 18717,               -211061,              1344516,              1133455,              1133455,                  1582,,,,,,,,,,,,,,
4999,2014年01月01日至2014年06月30日,,                263281,                263281,,,                 37802,                  2446,                   -731,                  8565,                  2553,                 -3795,                  1215,                  1648,                 49703,,,                  1472,                 75423,                    586,                 -3156,                 -7873,                 66452,,                -19288,                 13971,,                 -5317,                 61135,                110838,                374119,                  3926,                 -2553,                -49635,                325857,,                -89706,                     93,,                 -1808,,                -40841,,                 34853,               -204321,,,               -167915,                 -1840,                115261,              1344516,              1459777,              1459777,                  1553,                  5346,                 45234,,,,,,,,,,,,
4999,2014年01月01日至2014年03月31日,,                 77502,                 77502,,,                 18504,                    961,                  1299,                 11214,                  1543,                 -1571,                    955,                    827,                 33732,,,                    947,                 82653,                  8188,                 -4506,                 20709,                107991,,                -76528,                -42010,,               -118538,                -10547,                 23185,                100687,                  1702,                 -1543,                -12183,                 88663,,                -23251,                              0,,                 -4088,,                 18304,,                 31389,               -196622,,,               -163648,                 18785,                -37896,              1344516,              1306620,              1306620,                  1585,                    825,                 44818,,,,,,,,,,,,
4999,2013年度,,                485307,                485307,,,                 73135,                 12901,                  7536,                              0,                  4469,                 -5545,                  2590,                  1296,,,,                   -525,               -172376,                 18099,                 -3560,                 -6817,               -165179,,                 12082,                  2738,,                 14709,               -150470,                -54088,                431219,                  5414,                 -4469,                -57376,                374788,,               -288695,                              0,,                 -2773,                              0,               -429436,,                552904,               -188901,               -135303,,                640425,                 24373,                610150,                734366,              1344516,              1344516,,                 -3477,,,                 96382,                   -111,                -63751,                -70740,                411725,,,,,,
4999,2013年01月01日至2013年12月31日,,                485307,                485307,,,                 73135,                 12901,                  7536,,                  4469,                 -5545,                  2590,                  1296,,,,                   -525,               -172376,                 18099,                 -3560,                 -6817,               -165179,,                 12082,                  2738,,                 14709,               -150470,                -54088,                431219,                  5414,                 -4469,                -57376,                374788,,               -288695,                              0,,                 -2773,                              0,               -429436,,                552904,               -188901,               -135303,,                640425,                 24373,                610150,                734366,              1344516,              1344516,,                 -3477,,,                 96382,                   -111,                -63751,                -70740,                411725,,,                              0,                              0,,
