證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得持有至到期日金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 預付投資款增加,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 取得投資性不動產,　　 預付設備款增加,　　 其他預付款項增加,　　 其他預付款項減少,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 員工執行認股權,　　 庫藏股票處分,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 償還長期借款,　　　　 金融資產減損迴轉利益,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 採用權益法之被投資公司減資退回股款,　　　　 除列按攤銷後成本衡量金融資產淨損失（利益）,　　　　　 應付建造合約款（增加）減少,　　 處分投資性不動產,　　　　 非金融資產減損損失,　　 其他投資活動,　　　　 非金融資產減損迴轉利益
9904,2015年01月01日至2015年09月30日,,             16369482,             16369482,,,              5902264,                319375,                202649,                187145,                837411,               -336478,               -758064,                 49371,             -5815655,                280657,               -125979,               -141237,                351191,                952650,,,               -202972,                 -2203,                   -121,               -263454,                -34287,                 96335,                -33672,             -1444380,                -13097,             -1897851,,                   -338,                -17375,              2140747,                218811,                338353,               -441478,                -94567,                -81275,              2062878,                165027,              1117677,             17487159,               -835814,             -2107485,             14543860,,               -314198,                  9112,                -56844,                209223,             -1975113,              3499882,             -1368984,                 -2301,                140850,                              0,              1864441,               -583443,                -63572,                 88007,             -9261012,                370421,                              0,                 41043,                              0,                -15640,             -2109516,                -96210,                115940,                422741,              2414550,             -6670623,,                              0,                -70356,                423700,                              0,                744400,                              0,                   -918,             -4416206,                 47700,                              0,                 36183,             -3235497,             -1157948,              3479792,             34794727,             38274519,             38274519,                              0,,,,,,,,,,,,,,
9904,2015年01月01日至2015年06月30日,,             10617658,             10617658,,,              3906901,                221544,                 47772,               -767468,                574529,               -243669,                 -8234,                 31402,             -3159198,                219795,               -125902,               -140772,                371550,                928250,,,                202201,                  7220,                    -35,             -1710424,                -20209,                305824,              5308104,               -370675,                   -262,              3721744,,                 -6780,                -11824,               -183570,                 45972,             -1091588,               -520425,                -99913,                -51401,             -1919529,              1802215,              2730465,             13348123,               -565226,             -1639261,             11143636,,               -314198,                  6701,                -56844,                209146,             -1893192,              2646889,,                              0,                140850,                              0,              1534656,               -547765,                -63572,                 88007,             -5795592,                248962,,                 44290,                              0,                -12753,               -638842,                              0,                115940,                347435,                413643,             -3526239,,,             -3738912,                773000,                              0,,                              0,                 -1287,,,                              0,             -4945661,             -9025660,              1299967,               -108296,             34794727,             34686431,             34686431,                              0,             -1112800,,,,,,,,,,,,,
9904,2015年01月01日至2015年03月31日,,              4350739,              4350739,,,              1946470,                112087,                 21940,               -158741,                273559,               -117241,,                 14690,             -1460549,                 43088,                              0,                 -2427,,                672847,,,                 26289,                   -659,                     -2,              3617815,                -36493,                649428,                -37046,               -836970,                 47234,              3429596,,                 10881,                -16696,                176197,               -132577,             -2547879,                124588,               -105200,                 25228,             -2465458,                964138,              1636985,              5987724,               -280659,               -375326,              5331739,,               -314198,                  2194,,                              0,               -281214,              1622991,,,                 19406,                              0,                348807,,,,             -3055022,                117465,,                  3014,,                -11432,                -50290,,,                 87256,                246794,             -1264229,,              1205349,,                483000,,                              0,,                    -76,,,                              0,               -923122,                158151,                565436,              4791097,             34794727,             39585824,             39526667,                 59157,               -607000,                    -29,,,,,,,,,,,,
9904,2014年度,,             15874379,             15874379,,,              7226528,                423738,                -54447,                610698,              1075314,               -488171,               -610535,                 46267,             -6154285,                -48835,                 42846,                134840,                              0,,,,                340355,                 -1768,                     12,             -1217856,                 25518,                -40775,             -5358204,                205682,                 41628,             -6005408,,                 24936,                 -2289,                616059,                205265,              3153390,              1660993,,                -11950,              5644506,               -360902,              1666772,             17541151,             -1072428,             -2711093,             13757630,,               -290975,                370618,                              0,                164880,,,,                 -6853,                276176,                -96835,                 53479,,               -141590,                -46799,             -9238179,              1135966,                -31008,                              0,                   -289,                              0,               -628942,               -558559,                              0,                481295,              2418254,             -7121493,,              1782383,,,               -452000,              2233857,                  2609,,             -2944137,                              0,                414705,                455212,              1492629,             -2940203,              5188563,             29606164,             34794727,             34734908,                 59819,                              0,               -176284,,              2027674,                 -1898,             -5339341,              4006401,                350808,,,,,,
9904,2014年01月01日至2014年09月30日,,             11004342,             11004342,,,              5367811,                307481,                 24120,                567167,                793955,               -363736,               -610535,                   -455,             -4655538,                -74891,                 44297,                 27024,                104339,              1531039,,,                261039,                  3506,                    -38,              1251953,                  5487,                405698,             -2387330,                -80835,                 64766,               -475754,,                 13967,                  1101,              1440184,                254070,              2322739,                423597,                 -5096,                -11559,              4439003,              3963249,              5494288,             16498630,               -767678,             -2236397,             13494555,,               -290975,                368336,                              0,                164880,             -4131707,              2383787,                              0,                 -2688,                221358,                -96835,                 31260,                              0,               -141590,                -46799,             -6365276,                945517,                -16021,                              0,                    -76,                   -978,               -616849,                -39394,                              0,                358831,              2134649,             -5140570,,              1470691,                              0,                              0,               -329000,              2557391,                  2145,                              0,             -2944137,                              0,                414705,             -1440978,               -269183,             -1042527,              7042275,             29606164,             36648439,             36648439,                              0,,,,,,,,,,,,,,
9904,2014年01月01日至2014年06月30日,,              4914938,              4914938,,,              3532633,                203304,                  5112,                887131,                536995,               -224856,                -22189,                   -845,             -2186900,               -106455,                 97748,                  3107,                 80173,              2804958,,,                270880,                -10432,                    -49,             -1602245,                -29611,                628960,              1908089,                292780,                 68642,              1527014,,                 31955,                 -4076,             -1094756,                206725,              2756362,                529333,                  9431,                -15337,              2419637,              3946651,              6751609,             11666547,               -526669,             -1935986,              9203892,,               -290975,                 69689,                              0,                164880,             -2554009,              1551245,,                 -2688,                156213,                -96835,                  8111,                -48053,               -141590,                -46799,             -3665327,                741061,,                 15363,                    -10,                              0,               -331511,                -17650,                              0,                310092,                549384,             -3629409,,,               -544315,                              0,               -175000,,                    970,                              0,,,                414705,             -2789617,             -3279669,               -470413,              1824401,             29606164,             31430565,             31430565,                              0,               -186412,,,,,,,,,,,,,
9904,2014年01月01日至2014年03月31日,,              2779174,              2779174,,,              1776644,                100007,                 18919,                867304,                267974,               -101041,,                   -424,               -913550,                  4660,                117683,                  6629,,              2139359,,,                167637,                 -2929,                    -15,              1755249,                -15141,                386315,             -1608696,             -1563952,                 45513,               -836019,,                  3051,                -10602,                -25172,                -38502,             -1493889,                113261,                  4821,                 14955,             -1432077,             -2268096,               -128737,              2650437,               -263966,               -678882,              1707589,,                              0,                 67510,,                164722,             -1146435,                 94862,,,                 36092,                -51171,                  2377,,,,             -1389782,                254076,,                 13713,,                              0,               -290190,,,                108262,                358306,             -1777658,,              2848035,,                 50000,,                615826,,                    -25,,,                414458,              1613980,              5542274,               -923094,              4549111,             29606164,             34155275,             34155275,                              0,                              0,                 -5446,,,,,,,,,,,,
9904,2013年度,,             18732093,             18732093,,,              7434221,                420656,               -274435,               -805221,              1250172,               -337820,               -545546,                 -1611,             -4977369,                424698,                -15214,             -1228802,                876641,,,,                841929,                 63686,                    237,             -1677371,                -22138,               -426585,             -2680415,             -2484125,               -163206,             -6547988,,                -17533,                    622,              2138019,                -43676,                332709,                 35525,,                101139,              2552450,             -3995538,             -1775168,             16956925,             -1232036,             -1473629,             14251260,,               -362152,                  7755,               -816927,                150440,,,,               -179748,                  8977,             -2133590,              1136696,,                              0,              1515944,             -5489206,                947943,                              0,                 16025,                   -526,                   -363,                -21329,               -223034,                 60887,                340140,              1834500,             -3389905,,                977644,,,               -262000,                              0,                 15200,,             -4401307,                 19236,                              0,               -783763,             -9185208,               -924608,                751539,             28854625,             29606164,             29606164,                              0,             -4750218,                              0,,              2220370,                  5645,             -1528296,                474815,                871144,,,,,,
9904,2013年01月01日至2013年12月31日,,             18732093,             18732093,,,              7434221,                420656,,               -805221,              1250172,               -337820,               -545546,                 -1611,             -4977369,                424698,                -25483,             -1228802,                876641,,,,                487532,                 63686,                    237,             -1951806,                -22138,               -426585,             -2680415,             -2484125,               -184535,             -7198149,,                -17533,                    622,              2138019,                -43676,                332709,                 35525,,                101139,              2552450,             -4645699,             -2150894,             16581199,             -1232036,             -1473629,             13875534,,,,               -816927,                150440,,,,               -179748,                  8977,             -2133590,              1136696,,                              0,              1515944,             -5489206,                947943,,                 16025,                   -526,                   -363,,               -223034,                 60887,                253751,              1834500,             -3100568,,                977644,                              0,,               -262000,                              0,                 15200,,             -4401307,                 19236,,               -783763,             -9185208,               -838219,                751539,             28854625,             29606164,             29606164,,             -4750218,,,              2494805,                  5645,             -1528296,                474815,                871144,                 10269,                              0,                              0,,,
9904,2013年01月01日至2013年09月30日,,             14081215,             14081215,,,              5679506,                309359,                 64600,               -560069,                968506,               -251431,               -545546,                 -4270,             -3688799,                257120,                -15214,             -1348222,                 81896,,,,                726313,                 58497,                    211,                  3139,                -58297,                834192,             -2250145,             -2514694,                 79276,             -3121508,,                -12117,                 -3464,                750817,                -98058,               -499410,                477245,,                 86031,                707508,             -2414000,             -1466564,             12614651,               -959498,             -1173004,             10482149,,               -298250,                  5664,,                150440,,,,               -170411,                  8977,             -2133590,              1153359,,                              0,              1700150,             -4053477,                580981,                              0,                  5481,                   -514,                   -360,                 -3123,               -118250,                 36204,                266123,              1528292,             -1050906,,              4481744,,,                -37000,                              0,                 13199,,             -4401307,                 19236,                              0,             -1299151,             -5363814,             -1123012,              2944417,             28854625,             31799042,             31718523,                 80519,             -4140535,,,                947436,                  6464,                -94888,                386286,,,,,,,
