證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得持有至到期日金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得投資性不動產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　 存出保證金減少,　　 短期借款減少,　　　 不影響現金流量之收益費損項目,　　　　 處分投資性不動產損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分投資性不動產,　　 存入保證金減少,　　　　　 應付票據增加（減少）,　　　　　 負債準備增加（減少）
2062,2015年度,,                809049,                809049,,,                305744,                 12735,                 10983,                  1620,                 16551,                -19167,                  2764,                  6245,                 28718,                   -164,                 23651,                389680,,,                      1,               -148426,                 30855,               -308482,               -141100,               -567152,,                168415,                -19016,                  2252,                 -4569,                147082,               -420070,                -30390,                778659,                 24312,                -16815,               -198797,                587359,,                 -5519,             -2413552,                  7315,                 13102,               -274339,                -64498,                -44733,               -749997,             -3532221,,               -221448,              2160500,               -750000,                  6600,               -436840,                758812,                -23393,             -2209443,              2595072,                385629,                385629,,,,,,,,,,,,
2062,2015年01月01日至2015年09月30日,,                535060,                535060,,,                222919,                  8481,                 15948,                              0,                 20659,                -17824,                  1944,                  3550,                 19951,                  1406,                 -4247,                272787,,,                    237,                  8244,                 25916,               -203622,                 16561,               -152664,,                 -9209,                -26781,                    593,                              0,                -35397,               -188061,                 84726,                619786,                 23719,                -21286,               -179753,                442466,,                 -5519,             -1706380,                  6025,                -22058,,                -24802,                -22993,               -715986,             -2491713,,                334740,                750000,               -750000,,                              0,                334740,                  8711,             -1705796,              2595072,                889276,                889276,                              0,,,,,,,,,,,
2062,2015年01月01日至2015年06月30日,,                316125,                316125,,,                148115,                  5485,                 18379,                              0,                 13407,                -16363,                  1124,                  2042,                 11890,                 45050,                -20587,                208542,,,                   -110,                 -6022,                -66808,                -85151,                 21054,               -313671,,                -52042,                -36590,                  2056,                              0,                -86576,               -400247,               -191705,                124420,                 21653,                -13764,               -118631,                 13678,,                 -5519,             -1503721,                  2056,                -16726,,,                -13194,                -59895,             -1596999,,                134740,                750000,               -750000,,                              0,                134740,                -49621,             -1498202,              2595072,              1096870,              1096870,                              0,               -176634,,,,,,,,,,
2062,2015年01月01日至2015年03月31日,,                162618,                162618,,,                 74443,                  2515,                 11742,                              0,                  5524,                -11127,                    356,                  1076,,                 38677,                -32551,                 90655,,,                    237,                 32901,                 26140,               -130181,                 -3191,                -74094,,                 -8672,                -81480,                    750,                              0,                -89402,               -163496,                -72841,                 89777,                 13786,                 -6300,                -26689,                 70574,,                 -5519,               -201256,                  1320,,,,                 -7707,               -315806,               -534394,,,                              0,                              0,,,               -235260,                -28919,               -727999,              2595072,              1867073,              1867073,                              0,,                 -5426,               -235260,,,,,,,,
2062,2014年度,,                788268,                788268,,,                279436,                  7442,                  1616,                  4622,                 24420,                -62958,                              0,                  6552,                  3936,                -37348,                  1540,                229258,,,                    672,               -111108,                 -3813,               -121914,                -28538,               -264701,,                 52973,                  6515,                  4760,                 -7115,                 57133,               -207568,                 21690,                809958,                 70724,                -23862,               -211312,                645508,,                              0,               -484705,                  7110,                -14545,                              0,                              0,                -26108,               -177501,               -695749,,                 98648,              1621000,             -1518000,                              0,               -733500,               -531852,                 81367,               -500726,              3095798,              2595072,              2595072,,,,,,                              0,                229258,                 -7115,                              0,,,
2062,2014年01月01日至2014年09月30日,,                517761,                517761,,,                207839,                  5538,                  1502,                 16133,                 18216,                -49449,                              0,                  7173,                              0,                  7818,                 -8753,                206017,,,                    557,                -97459,                 22412,                -62745,                 -3861,               -265813,,                 27684,                -30199,                  7645,                 -3831,                  1299,               -264514,                -58497,                459264,                 58367,                -18063,               -194127,                305441,,                              0,               -231879,                  5158,                -13269,,                              0,                -15204,                -76777,               -331971,,               -308181,              1621000,             -1518000,,               -733500,               -938681,                    637,               -964574,              3095798,              2131224,              2131224,               -124717,,,,,,,,,,,
2062,2014年01月01日至2014年06月30日,,                275928,                275928,,,                139217,                  3679,                    282,                 50525,                 12374,                -36491,                              0,                  4254,                  2647,                 40211,                -21414,                195284,,,                    883,                -29306,                 12346,                 16177,                -53557,               -178174,,                -17736,                -30585,                  4677,                 -3831,                -47475,               -225649,                -30365,                245563,                 43566,                -11937,               -146092,                131100,,                              0,               -145256,                  3148,                   -279,,,                -19543,                              0,               -161930,,                -32656,              1621000,             -1461000,,               -733500,               -606156,                -40466,               -677452,              3095798,              2418346,              2418346,               -124717,                              0,,,,,,,,,,
2062,2014年01月01日至2014年03月31日,,                110959,                110959,,,                 67364,                  1826,                    316,                 47399,                  6547,                -20890,                              0,                  4087,,                 16920,                -33073,                 90496,,,                    883,                 82659,                 21249,                -61607,                -24130,               -105663,,                -49260,                -49333,                    766,                 -3831,               -101658,               -207321,               -116825,                 -5866,                 23054,                 -6244,                 -6092,                  4852,,                              0,                -85945,                    287,,,,                -11783,                              0,                -97349,,,                814000,               -714000,,,                -13670,                 -9117,               -115284,              3095798,              2980514,              2980514,               -124717,,                     92,               -113670,,,,,,,,
2062,2013年度,,              1109561,              1109561,,,                257938,                  7147,                    -32,                 -4622,                 20250,                -53125,,                  5933,                 25278,                -51910,                 44892,,,,                     68,                -76833,                 21463,               -134018,                 -5095,               -194415,,                  9572,                 59561,                -10212,,                 50290,               -144125,                 24460,              1134021,                 42242,                -27681,               -261042,                887540,,,               -299184,                 11026,                 -1038,,,                -34196,                  4723,               -169083,,                907861,              4702000,             -4552000,                 -1495,               -326000,                730366,                148303,              1597126,              1498672,              3095798,              3095798,,,,,,                -83164,                168585,                 -8631,                149586,,,
2062,2013年01月01日至2013年12月31日,,              1109561,              1109561,,,                257938,                  7147,                    -32,                 -4622,                 20250,                -53125,,                  5933,                 25278,                -51910,                 44892,,,,                     68,                -76833,                 21463,               -134018,                 -5095,               -194415,,                  9572,                 59561,                -10212,,                 50290,               -144125,                 24460,              1134021,                 42242,                -27681,               -261042,                887540,,,               -299184,                 11026,                 -1038,,,                -29473,,               -169083,,                907861,              4702000,             -4552000,                 -1495,               -326000,                730366,                148303,              1597126,              1498672,              3095798,              3095798,,,,,,                -83164,                168585,                 -8631,                149586,,                              0,
2062,2013年01月01日至2013年09月30日,,                850215,                850215,,,                192911,                  5803,                    411,                  1116,                 13658,                -33409,,                  1699,                 25278,                -16257,                 32447,,,,                    939,               -181322,                 24073,                -55669,                 -4399,               -338728,,                 44757,                 34743,                 -8632,,                 70868,               -267860,               -127367,                722848,                 29230,                -21134,               -245584,                485360,,,               -189778,                  7915,                   -999,,,                -25247,                  1056,                -57467,,                334185,              2681000,             -2431000,                 -1471,               -326000,                256714,                102954,                787561,              1498672,              2286233,              2286233,               -122350,,,,,                -83164,                140493,                              0,                149586,,,
2062,2013年01月01日至2013年06月30日,,                535636,                535636,,,                127654,                  4061,                 13169,                              0,                  8695,                -20815,,                  1301,,                -21488,                 19402,,,,                    940,               -154463,                 13594,                -28202,                  1133,               -166998,,                107328,                 20901,                 -4579,,                123650,                -43348,                 54617,                590253,                 17016,                -15802,               -197448,                394019,,,                -61738,                  1948,                   -930,,,                -21624,,                -19153,,                599794,                847000,               -597000,                   -226,               -326000,                523568,                 57867,                956301,              1498672,              2454973,              2454973,                              0,,,,,                -34014,                 97965,                              0,                 63191,,,
2062,2013年01月01日至2013年03月31日,,                245270,                245270,,,                 64091,                  1991,                    -73,                              0,                  4400,                 -8460,,                   -112,,                   -565,                  7802,,,,                    415,                 18010,                  5649,                 -4322,                    894,                 20646,,                  4451,                -13335,                 -2026,,                -10910,                  9736,                 44796,                290066,                  4538,                -11378,               -108337,                174889,,,                -31326,                    568,,,,                   -342,,                 32114,,,                597000,               -597000,,,                640893,                 12182,                860078,              1498672,              2358750,              2358750,                              0,,                     23,                641119,,                -34014,                 35060,                              0,                 63191,                   -226,,
2062,2012年01月01日至2012年12月31日,,                553372,                553372,,,                281048,                 10020,                 -1055,                              0,                 20376,                -26686,,                -10874,                 12291,                  9662,                              0,,,,                 -1009,               -143565,                -50473,                    262,                 49773,               -145012,,                -79834,                -35716,                 -1181,,               -115858,               -260870,                 33912,                587284,                 28435,                -13621,                -95304,                506794,,,                -89800,                 16431,                    983,,,                 23950,,                -48436,,               -418800,                707000,               -395000,                  1243,               -358600,               -464157,                -48293,                -54092,              1552764,              1498672,              1498672,,,,,,                              0,                294782,                    921,                              0,,                    -48,
2062,2012年01月01日至2012年09月30日,,                351170,                351170,,,                213626,                  7722,                  2494,                              0,                 10490,                -21587,,                  2121,                 10221,                 11312,                 14061,,,,                   -563,                 -2447,                 -9586,                -16899,                 40874,                 11379,,                -53539,                -40603,                   -133,,                -94323,                -82944,                167516,                518686,                 23075,                -10481,                -92795,                438485,,,                -86690,                  3009,                    979,,,                 -1569,,                -84271,,               -285800,                574000,               -395000,                  1243,               -358600,               -464157,                -45516,               -155459,              1552764,              1397305,              1397305,                              0,,,,,                              0,                250460,,                              0,,                    -48,
2062,2012年01月01日至2012年06月30日,,                244928,                244928,,,                143770,                  5335,                  1519,,                  7105,                -14608,,                  1036,                  5525,                 -3545,,,,,                   -733,                -42019,                -10305,                 13634,                 36804,                 -2619,,                 18359,                -34258,                  1501,,                 -4979,                 -7598,                138539,                383467,                 15225,                 -7080,                -69972,                321640,,,                -67078,                  2571,                    900,,,                              0,,                -63607,,               -179000,                564000,               -385000,                    560,                              0,                    560,                -12503,                246090,              1552764,              1798854,              1798854,,,,,,                              0,                146137,,                              0,,                              0,                  9419
2062,2012年01月01日至2012年03月31日,,                129930,                129930,,,                 73114,                  2710,                  2847,,                  3598,                 -6704,,                   -260,                  5410,                 16460,,,,,                   -173,               -117890,                 -5875,                 65914,                 33560,                -24464,,                -37138,                -55495,                    530,,                -92095,               -116559,                -19384,                110546,                  6237,                 -3668,                -19769,                 93346,,,                -52911,                  1375,,,,                              0,,                -50811,,,                385000,               -385000,                    226,,                    226,                -34479,                  8282,              1552764,              1561046,              1561046,,,                    725,                              0,,                              0,                 97175,,                              0,,                      8,                              0
