證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現銷貨利益（損失）,　　　　 已實現銷貨損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 預付投資款增加,　　 處分子公司,　　 採用權益法之被投資公司減資退回股款,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 取得投資性不動產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 現金增資,　　 取得子公司股權,　　 處分子公司股權（未喪失控制力）,　　 支付之利息,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 其他項目,　　 其他金融資產增加,　　 停業單位稅前淨利（淨損）,　　　 不影響現金流量之收益費損項目,　　　　 處分投資性不動產損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 處分投資性不動產,　　 對子公司之收購（扣除所取得之現金）,　　 預付設備款增加,　　 短期借款減少,　　　　　 其他金融資產（增加）減少
4104,2015年01月01日至2015年09月30日,,                399453,                399453,,,                 86243,                  8984,                 16564,                 -2549,                 26326,                -33409,                 -3946,                  2042,                -52955,                    347,                -84205,                  4243,                              0,                 -2144,                 40996,                -41965,                -35428,,,                    500,                -33262,                  5933,                 12516,                -58462,               -662866,                  4229,                 31223,                -11281,                -26971,                 16620,               -721821,,                   -109,                 -4362,                140008,                -11798,                336753,                 -1029,                 35627,                -59247,                  4678,                              0,                440521,               -281300,               -316728,                 82725,                 28274,                -80192,                 30807,,                129773,               -783735,                791671,                -76363,                              0,                              0,                              0,                              0,                              0,                -19657,                  3642,                -31557,                  6922,                 -1147,                 -9061,                247739,                 -1525,                  4666,                 27995,                289363,,               -604000,                -99913,                600000,                              0,                 15000,                -27535,                     83,                              0,               -282381,                299250,                -17429,                    798,                -24425,                -88118,                146839,                -81831,                 11548,                249887,              1973714,              2223601,              2204208,                 19393,,,,,,,,,,,,,,
4104,2015年01月01日至2015年06月30日,,                275610,                275610,,,                 57742,                  6152,                  5009,                  4210,                 17069,                -23707,                 -2871,,                -38730,                   -494,                -56226,                  4243,                              0,                   -685,                 24552,                -25068,                -28804,,,                   -139,                 18589,                  2559,                 10248,                -24500,               -406545,                 -7826,                154826,                -11200,                  8856,                 14182,               -240950,,                 -4291,                 -1983,                -93838,                -11320,                293738,                 -5935,                 48649,                 -2278,                  9297,                              0,                232039,                 -8911,                -37715,                237895,                 23689,                -39158,                222426,,                 79351,               -414502,                332275,                -76363,,                              0,                              0,,                              0,                -17615,                  2430,                -16960,                 16460,                   -147,                 -3078,,                   -938,                  5454,                  3500,                -99106,,               -294000,                 99947,                300000,,                 15000,                 -9637,                     79,,,,,,                 -9246,,                146839,                248982,                -24491,                347811,              1973714,              2321525,              2321525,,                              0,                 -8973,,,,,,,,,,,,
4104,2015年01月01日至2015年03月31日,,                121325,                121325,,,                 29294,                  3031,                  6446,                    876,                  8429,                -11585,,,                -16575,                   -654,                -29326,                              0,                              0,                   -328,                  9773,                -10113,                -10732,,,                              0,                 45101,                   -129,                -14490,                 -6138,               -324918,                 -7994,                 94257,                   -246,                -52404,                  7773,               -259188,,                     97,                   -591,               -171059,                -10698,                -54935,                 -5808,                 11112,                 20487,                 -1227,                              0,               -212622,               -471810,               -482542,               -361217,                 11504,                   -383,               -350096,,                 41154,                -39263,                              0,,,,                              0,,                              0,                -13046,                  2546,                -11045,                 10210,                   -140,,                296657,                   -637,                  5297,,                291733,,               -540000,                 94950,                300000,,                 15000,                 -5359,,,,,,,                 -5148,,                146839,                  6282,                -12920,                -65001,              1973714,              1908713,              1908713,,,,                              0,,,,,,,,,,,
4104,2014年01月01日至2014年09月30日,,                379133,                379133,,,                 83923,                  6017,                  8656,                     30,                 23630,                 -8911,                 -5526,                              0,                -29520,                  1670,                -84464,                  8513,                  2198,                              0,                 34721,                -33919,                  7018,,,                              0,                 61723,                 -6538,                -20090,                -20722,                 13320,                   -751,                 31757,                   -736,                 19024,                   -453,                 76534,,                     34,                -14490,                -84398,                 -7523,               -208563,                    141,                 79079,                 20575,                   -550,                   -673,               -216368,               -139834,               -132816,                246317,                  8823,                -97399,                157741,,                 33262,               -210200,                320400,                -78945,                  7851,               -367804,                 23882,                 24500,                 38746,                -16145,                    704,                 -6716,                104412,                   -190,                              0,                 83490,                 -8426,                  1759,                  8414,                -41006,,                  2000,                 29988,                              0,               -320000,                 15000,                -22130,                              0,                 -9500,               -225905,                              0,                              0,                 86078,                -18932,                -57494,                              0,               -520895,                  1372,               -402788,              1508840,              1106052,              1106052,                              0,,,,,,,,,,,,,,
4104,2014年01月01日至2014年06月30日,,                256822,                256822,,,                 55640,                  4134,                  5877,                    835,                 16487,                 -7081,                              0,,                 -9663,                              0,                -80328,                  8513,                  3200,                              0,                 22371,                -22106,                 -2121,,,                              0,                -26358,                 -9229,                -34460,                  6485,                 77316,                  3395,                185285,                              0,                 56556,                 -4770,                254220,,                   -579,                -60502,               -154954,                -13356,                105238,                    -22,                 31092,                 59373,                   -576,                   -505,                -34791,                219429,                217308,                474130,                  7028,                -56879,                424279,,                 29346,               -210200,                110200,                              0,,               -367804,                 23882,,                 38746,                -21606,                              0,                 -3005,                 98952,                    -39,                              0,,                 -8360,                  2727,                  3039,               -463960,,                -37000,                 29924,                              0,,                              0,                -15839,                              0,,,,,,                -12690,,                              0,                -35605,                 -8038,                -83324,              1508840,              1425516,              1425516,,                              0,               -159838,,,,,,,,,,,,
4104,2014年01月01日至2014年03月31日,,                127841,                127841,,,                 28028,                  2286,                  2714,                 -1014,                  8621,                 -3468,,,                   -283,                              0,                -72428,                  8513,                    390,                              0,                 10493,                -10046,                -26194,,,                    451,                 -6713,                 -6264,                -57002,                 21460,                126457,                   -302,                105044,                              0,                  3225,                 -6392,                179964,,                              0,                -10219,               -208723,                 -9063,               -111966,                    -11,                  5275,                 69451,                   -532,                   -253,               -266041,                -86077,               -112271,                 15570,                  3239,                   -391,                 18418,,                 29346,               -180000,                 20000,,,,                  7135,,                 38746,                 -4571,                              0,                 -3256,                 85707,                              0,,                 37462,                   -546,                    677,,                 30700,,                 30000,                 29947,                              0,,                              0,                 -7904,,,,,,,                 -6739,,                              0,                 45304,                 -1039,                 93383,              1508840,              1602223,              1602223,,,,                              0,,,,,,,,,,,
4104,2013年01月01日至2013年12月31日,,                414701,                414701,,,                108853,                 14369,                 14325,                    987,                 41438,                -12194,                 -1978,,                 24030,                    113,               -205277,                  6133,                 45644,                              0,                 61762,                -62638,,,,                              0,                154036,                 56175,                 27763,                 -1555,               -356398,                 -7359,               -144994,,                 19213,                  5974,               -247145,,                   -987,                -21033,                 10696,                 -1838,                210801,                    389,                -17819,                 44691,,                 -1011,                230345,                -16800,                 20926,                435627,                 12426,                -90576,                357477,,                261469,,,               -651851,,,                  7135,                 75556,,                -88062,                    329,               -123359,                              0,                 -1176,                              0,                              0,                -16073,                    563,                 24631,               -538758,,                132975,                 49874,,               -410000,                 30358,                -25552,                    400,,               -225905,,                              0,                 40197,                -25605,                -89750,                656401,                133393,                 10983,                -36905,              1545745,              1508840,              1508840,,,               -136510,,,                  2159,                 37726,                  6456,               -120000,                199800,                 28790,                              0,,,
4104,2013年01月01日至2013年09月30日,,                361684,                361684,,,                 80407,                 10122,                 -3629,                    734,                 30062,                 -8583,                 -1827,,                 13147,                      4,               -194910,                  6133,                    103,,                 46148,                -47073,,,,                   -147,                178137,                 60388,                  9390,                -45503,                -84976,                    264,               -196385,                              0,                -24343,                 -7061,               -110236,,                    443,                -29766,                -30874,                 -4860,               -140257,                    445,                -24866,                 67829,,                    998,               -160706,               -270942,               -337945,                 23739,                  8602,                -82847,                -50506,,                246026,,,               -612177,                 20504,                              0,                              0,                              0,                              0,                -59176,                  1303,                -56653,                  8531,                   -143,,                              0,                 -6265,                    511,                 19538,               -467866,,                312943,                              0,,                              0,                 20007,                -18038,                    400,                              0,                              0,,,                              0,                -17689,                -89750,                 39550,                247423,                  1940,               -269009,              1545745,              1276736,              1276736,,                              0,               -128655,,,                  2159,                -67003,                    202,               -120000,                190000,                 28790,,,,
4104,2013年01月01日至2013年06月30日,,                249330,                249330,,,                 52591,                  7114,                 -2834,                 -1296,                 19421,                 -6028,,,                 10122,                    136,               -140924,                              0,                              0,                    -23,                 28365,                -29415,,,,                    634,                  9907,                 65008,                   -377,                -73347,               -217570,                  1750,               -103491,,                 -5095,                 -6614,               -329195,,                              0,                -27712,                -95638,                 -2084,                138338,                   -126,                -18416,                 93662,,                  1461,                 89648,               -239547,               -302318,                -52988,                  4667,                -52620,               -100941,,                154178,,,               -574977,,                              0,                              0,,                              0,                -45688,                    484,                -53973,                  8114,                              0,,,                 -6631,                    321,                              0,               -528801,,                176975,                 49961,,,                 10893,                 -9482,                    500,,,,,,                -15715,,                  4900,                218032,                 -9891,               -421601,              1545745,              1124144,              1124144,,                              0,               -100629,,,,                -62771,                    163,                              0,                 90000,,,,,
4104,2013年01月01日至2013年03月31日,,                 79794,                 79794,,,                 26590,                  4359,                  2705,                   -403,                  9219,                 -2371,,,                   -991,                    136,                -13236,                              0,                              0,                   -410,                 13587,                -14183,,,,                              0,                 53326,                  5160,                  7269,                 45526,               -151241,                   -914,               -104440,,                 10999,                  6691,               -127624,,,                -39410,                 46564,                  3209,                292534,                   -315,                -17157,                 38553,,                  1832,                325877,                198253,                223255,                303049,                  1668,                    425,                305142,,                 15102,,,,,,                              0,,                              0,                -13116,                    753,,                  1304,,,                              0,                 -4271,                              0,,                -45204,,               -223496,                              0,,,                 10893,                 -4712,                    500,,,,,,                 -7382,,                  4900,               -219297,                 -2586,                 38055,              1545745,              1583800,              1583800,,,                -44976,,,,                 25002,                     67,                              0,                              0,,,,,
