證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 非金融資產減損迴轉利益,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他金融資產增加,　　　 不影響現金流量之收益費損項目,　　　　 呆帳費用提列（轉列收入）數,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 遞延貸項增加（減少）,　　 處分不動產、廠房及設備,　　 處分無形資產,　　 其他非流動資產減少,　　 存出保證金減少,　　 其他非流動資產增加,　　 預付設備款增加,　　 預付投資款增加,　　 存出保證金增加,　　 取得投資性不動產,　　 取得無形資產,　　 支付之利息,　　　　　 應付票據增加（減少）
2424,2015年01月01日至2015年09月30日,,                 -7147,                 -7147,,,                    524,                    432,                 -3225,                  5697,                              0,                  3428,,,                    -94,                              0,                    249,                    521,                     -1,                   -670,                     33,                   -269,                   -231,,                    -12,                   -842,                   -390,                     -3,                 -1247,                 -1478,                  1950,                 -5197,                  1738,                -18236,                -21695,,                              0,                              0,                  1240,                  1240,,                     -6,                     -6,                     75,                -20386,                318632,                298246,                298246,,,,,,,,,,,,,,,,,,,,
2424,2015年01月01日至2015年06月30日,,                -21851,                -21851,,,                    351,                    288,                 -2013,                  3082,                              0,                  1708,,,                   -187,,                    354,                    537,                     -5,                    220,                     32,                     31,                    982,,                   -523,                 -1352,                   -390,                     27,                 -2238,                 -1256,                    452,                -21399,                  1654,                -18227,                -37972,,                              0,,,               -203086,,                     -6,                     -6,                   -160,               -241224,                318632,                 77408,                 77408,               -203086,,,,,,,,,,,,,,,,,,,
2424,2015年01月01日至2015年03月31日,,                 -9817,                 -9817,,,                    178,                    144,                   -999,                  1586,                              0,                    909,,,                   -234,,                     15,                    403,                     95,                    594,                    -23,                     31,                    881,,                   -261,                 -1054,                   -390,                     12,                 -1693,                   -812,                     97,                 -9720,                  1146,                   -114,                 -8688,,                              0,,,               -104178,,                     -6,                     -6,                    -58,               -112930,                318632,                205702,                205702,               -104178,,,,,,,,,,,,,,,,,,,
2424,2014年度,,                 12180,                 12180,,,                    875,                    577,                 -3960,                  7549,                 -5071,,,,,                    106,                   -301,                   -398,                    -27,                 19132,                    121,                    -96,                 18537,,                    176,                 -2002,                 -3415,,                -17971,                    566,                  1022,                 13202,                  3541,                   -352,                 16391,,                 -9921,                    -85,,               -110722,,                   -144,                   -144,                    -21,                -94496,                413128,                318632,                318632,               -100716,,                              0,                              0,                              0,                    486,                    456,                -12730,                              0,                              0,                              0,,,,,,,,,
2424,2014年01月01日至2014年09月30日,,                  9330,                  9330,,,                    691,                    433,                 -2831,                  2494,                 -5071,                 -4284,,,                              0,                    106,                    185,                   -208,                     82,                 19087,                    179,                    -52,                 19379,,                     94,                 -2831,                -15742,                    -14,                -18493,                    886,                 -3398,                  5932,                  2062,                   -204,                  7790,,                 -9921,                    -85,               -327580,               -337586,,                   -150,                   -150,                   -311,               -330257,                413128,                 82871,                 82871,,,,,,,,,,,,,,,,,,,,
2424,2014年01月01日至2014年06月30日,,                  5406,                  5406,,,                    506,                    288,                 -1555,                  1253,                 -5071,                 -4579,,,                    106,,                     24,                    158,                     82,                 19425,                    137,                     -1,                 19931,,                  1327,                 -2341,                -11769,                    -25,                -12808,                  7123,                  2544,                  7950,                  1285,                   -127,                  9108,,                -10290,,,               -173886,,                   -150,                   -150,                   -175,               -165103,                413128,                248025,                248025,               -163596,,,,,,,,,,,,,,,,,,,
2424,2014年01月01日至2014年03月31日,,                  4210,                  4210,,,                    302,                    144,                   -640,                    647,                 -5071,                 -4618,,,                              0,,                      9,                 -2467,                     89,                  4823,                   -861,                    -71,                  1522,,                    913,                 -2544,                 -7834,                     96,                 -9369,                 -7847,                -12465,                 -8255,                    670,                    -65,                 -7650,,                -10290,,,                 -6860,,                              0,                              0,                    -75,                -14585,                413128,                398543,                398543,                  3430,,,,,,,,,,,,,,,,,,,
2424,2013年度,,                212250,                212250,,,                  3864,                     67,                 -1110,                  1293,                              0,,,,,                   -106,                     57,                    -52,                    -63,                177079,                  4535,                   -463,                180987,,                 -3115,                    417,                 -9145,,                -28240,                152747,                149681,                361931,                    831,                   -616,                362146,,               -105276,                 -1338,,               -109850,,                 -1672,                 -1672,                  6160,                256784,                156344,                413128,                413128,                              0,,                      7,                   -920,                    521,                 -6788,                 -3066,                -16397,                  1124,                 -4950,                    590,,,,,,,,,
2424,2013年01月01日至2013年12月31日,,                212250,                212250,,,                  3864,                     67,                 -1110,                  1293,,,,,,                   -106,                     57,                    -52,                    -63,                177079,                  4535,                   -463,                180987,,                 -3115,                    417,                 -9145,,                -28240,                152747,                149681,                361931,                    831,                   -616,                362146,,               -105276,                 -1338,,               -109850,,                 -1672,                 -1672,                  6160,                256784,                156344,                413128,                413128,,,                      7,                   -920,                    521,                 -6788,                 -3066,                -16397,                  1124,,                    590,                              0,                              0,,,,                              0,                 -4950,,
2424,2013年01月01日至2013年09月30日,,                 28331,                 28331,,,                  3476,                     19,                   -706,                  2351,                              0,,,,,                              0,                     32,                              0,                     43,                 62350,                   -521,                              0,                 61904,,                  3435,                   -530,                 -7579,,                -16756,                 45148,                 46578,                 74909,                    411,                   -616,                 74704,,                -98244,                 -1158,,               -101797,,                    -85,                    -85,                  3933,                -23245,                156344,                133099,                133099,                              0,,                    459,                   -918,,                 -3251,                  1430,                -12082,                  1105,,,                              0,                 -3383,                   -117,,,,,                   -616,
