證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得持有至到期日金融資產,　　 處分持有至到期日金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他預付款項增加,　　 其他預付款項減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 員工執行認股權,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金減少,　　 存入保證金減少,　　 短期借款減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 處分子公司,　　 其他非流動資產增加,　　 其他非流動資產減少
2454,2015年01月01日至2015年09月30日,,             24623511,             24623511,,,              1356624,              2053785,                -28545,                 74538,                417076,             -2238214,               -366078,                 32302,               -373626,                  6344,             -1224250,                851478,                561434,,,               -426072,             -2822275,              1856357,            -11389931,               -117797,               -626089,            -13525807,,              3809013,                 97296,             -6481084,                962736,                  8430,                -17336,             -1620945,            -15146752,            -14585318,             10038193,              2531310,                663445,               -407494,             -7613277,              5212177,,             -6906875,              3913798,             -1578221,              1850906,             -1773790,                299121,             -1198997,                 33721,                 29371,               -459409,                248000,             -1895647,                 21864,             -8379402,                  9182,                -27537,             -1895402,                -35297,                              0,            -17744614,,             10339590,                              0,                  2555,            -34403228,                 30132,                242032,            -23788919,              2639711,            -33681645,            192797506,            159115861,            159115861,,,,,,,,,,,,
2454,2015年01月01日至2015年06月30日,,             15549335,             15549335,,,                836576,              1335519,                -28018,                -55570,                254662,             -1623035,               -298173,                 33096,               -218720,                  5841,               -419467,                851478,                674189,,,              2554711,                417241,              2019155,            -11021248,               -454293,               -165823,             -6650257,,              4090420,                 26717,             -5128998,                308164,                  8506,                -29701,               -724892,             -7375149,             -6700960,              8848375,              1722405,                378389,               -189678,             -6205072,              4554419,,             -3457035,              1872910,             -1330601,              1497320,             -1254664,                              0,               -379335,                 23964,                 27547,               -285047,,             -1105005,                 20506,             -5976486,                  3861,,             -1766624,                -30430,                              0,            -12135998,,             11330289,                              0,                              0,,                 29624,                134489,             11491461,               -883178,              3026704,            192797506,            195824210,            195824210,                  3121,                 -2941,,,,,,,,,,
2454,2015年01月01日至2015年03月31日,,              8142183,              8142183,,,                414281,                640440,                 44311,                -78395,                155030,               -815708,                -48394,                 16760,                -77716,                    481,                -10039,                 56200,                297251,,,              1770021,               -888098,              2350299,             -5643225,               -137005,               -126987,             -2674995,,              5189687,               -144874,             -4986432,               -165633,                 13630,                -21869,               -115491,             -2790486,             -2493235,              5648948,                694732,                 63295,               -132980,               -274025,              5999970,,             -1384012,                855847,               -691197,              1063731,               -753422,,                -75048,                 24219,                  7338,                -40331,,                              0,                 20725,             -4510686,                  2793,                              0,             -1451687,                -32657,                              0,             -6955301,,              4773129,                              0,,,                 28076,                 59431,              4858691,               -557715,              3345645,            192797506,            196143151,            196143151,                  9086,                 -1945,                              0,,,,,,,,,
2454,2014年度,,             52349955,             52349955,,,              1312641,              1453158,                 26806,                 40242,                478782,             -3125381,               -238877,                 63935,               -983941,                  2775,               -928953,                263372,,,,             -3783596,               -483221,               -839604,             -8836098,               -711574,               -309172,            -14963265,,              1883426,             -1456969,             11673202,               -730994,,                 13932,             11444682,             -3518583,             -5154024,             47195931,              2752253,                355312,               -485217,             -5488505,             44329774,,             -4344406,                827975,,,                              0,                824381,             -1857157,                935500,                 41835,               -204887,                              0,             33097485,                              0,             -9828126,                105504,                -35360,               -795756,                 -1425,,             17801767,,             17109093,               -651000,                 50406,            -23448412,                223003,                560126,             -6156784,              3825023,             59799780,            132997726,            192797506,            192797506,                              0,,,,             -1635441,                              0,                 62085,             -1923564,                959768,                              0,,
2454,2014年01月01日至2014年09月30日,,             40567742,             40567742,,,                958315,              1079725,                 14445,                 18461,                342811,             -2322611,               -201049,                 49985,               -777250,                  1561,               -894939,                263020,             -1467526,,,               -891016,             -3637084,               -979430,            -11333860,               -668324,               -847946,            -18357660,,              8614475,             -1381152,              8621600,                 68398,                 23666,                  7885,             15954872,             -2402788,             -3870314,             36697428,              2023564,                303233,               -307746,             -4790762,             33925717,,             -3271101,                411849,               -622543,                411668,                              0,                634620,             -1579285,                930174,                 27482,               -202396,                              0,             33097485,                              0,             -3073986,                 90747,               -159877,               -182497,                              0,                  1597,             26513937,,             14436372,               -651000,                 46094,            -23448412,                208987,                164835,             -9243124,                876089,             52072619,            132997726,            185070345,            185070345,,,,,,,,,,,,
2454,2014年01月01日至2014年06月30日,,             25654177,             25654177,,,                607225,                694160,                 55325,                 32218,                195526,             -1427765,               -116827,                 37878,               -627471,                  1319,               -701966,                263020,               -987358,,,                722003,             -1364205,               -295569,             -6170323,               -824620,               -344609,             -8277323,,              4713061,               -348001,              3781231,               -105331,                 20566,                  8900,              8070426,               -206897,             -1194255,             24459922,              1364147,                201262,               -179639,             -3661695,             22183997,,               -299516,                 20941,               -299564,                102000,                              0,                256223,             -1101317,                932241,                 19012,               -125304,,             33097485,                              0,             -1290118,                 67505,,               -192033,                              0,                  4212,             31204161,,              5028046,               -651000,                 43524,,                 62461,                   -262,              4482769,               -730522,             57140405,            132997726,            190138131,            190138131,                 12394,                              0,,,,,,,,,,
2454,2014年01月01日至2014年03月31日,,             11500964,             11500964,,,                303702,                425437,                 13593,                 -5586,                 82099,               -615533,                -51828,                 18659,               -483744,                    111,                  7839,                              0,               -305251,,,                276847,             -1828193,                -42953,             -3520772,               -142552,               -233831,             -5491454,,              3576307,               -269477,                -31303,               -139288,                  2669,                 15770,              3154678,             -2336776,             -2642027,              8858937,                414477,                 51828,                -95187,                -89789,              9140266,,               -290000,                 21357,                    -97,                              0,                              0,,               -788752,                              0,                  3304,                -76094,,             33097485,                              0,               -602933,                 63462,                              0,               -256432,                              0,                  1572,             31181898,,                              0,               -651000,,,                 50471,                   -262,             -7745125,              1424271,             34001310,            132997726,            166999036,            166999036,                  9026,                 -6584,             -7137750,,,,,,,,,
2454,2013年度,,             29546822,             29546822,,,              1182191,                544639,                -79110,                  9155,                146816,             -1755482,               -167855,                 75799,             -2150963,                  3137,                 48008,                478110,,,,             -1418009,               -983242,              1186065,              4532449,               -263240,                -33922,              3020101,,                819786,              1054687,              3376421,                736536,,                  7485,              6003150,              9023251,              7357696,             36904518,              1991816,              1744746,               -125582,               -942777,             39572721,,             -1377363,              1469999,,,                -72743,                              0,               -626407,                    299,                322344,                -91571,                              0,                              0,                              0,             -1628684,                 43510,                              0,               -324414,                 -4148,,             -2214302,,             19983850,                              0,                 17521,            -12074279,                 94732,                 26142,              8047966,              1724131,             47130516,             85867210,            132997726,            132997726,                 68800,,,,             -1665555,                              0,                  8235,                    -43,                              0,                  6119,,
2454,2013年01月01日至2013年12月31日,,             29546822,             29546822,,,              1182191,                544639,                -79110,                  9155,                146816,             -1755482,               -161905,                 75799,             -2150963,                  3137,                 48008,                478110,,,,             -1418009,               -983242,              1186065,              4532449,               -263240,                -33922,              3020101,,                819786,              1054687,              3376421,                736536,,                  7485,              6003150,              9023251,              7363646,             36910468,              1991816,              1738796,               -125582,               -942777,             39572721,,             -1377363,              1469999,,,                -72743,                              0,               -626407,                    299,                322344,                -91571,                              0,                              0,                              0,             -1628684,                 43510,,               -324414,                 -4148,,             -2214302,,             19983850,,                 17521,            -12074279,                 94732,                 26142,              8047966,              1724131,             47130516,             85867210,            132997726,            132997726,                 68800,,,,             -1659605,                              0,                  8235,                    -43,,                  6119,,
2454,2013年01月01日至2013年09月30日,,             20100486,             20100486,,,                910388,                418269,                -48467,                -10003,                 88526,             -1249972,               -138764,                 57454,             -1985479,                  1509,                 34408,                449683,,,,               -890211,             -4428241,                571067,                920134,                187331,               -183403,             -3823323,,              2492108,                948842,              1814607,                632203,,                 17267,              5911196,              2087873,                615425,             20715911,              1281444,              1709997,                -76239,               -681900,             22949213,,               -919693,              1229268,,,                -72063,                              0,               -166545,                    299,                141847,                -69046,                              0,                              0,                              0,             -1248503,                 26614,,                -22661,,,             -1050545,,             10756970,                              0,                 17084,            -12074279,                 12388,                 26142,             -1261695,              1112692,             21749665,             85867210,            107616875,            107616875,                 52355,,,,             -1472448,                              0,                  6169,                    -34,                              0,,                 -2383,                              0
2454,2013年01月01日至2013年06月30日,,             11065389,             11065389,,,                609221,                291018,                -79721,                  1816,                 51432,               -834349,                -69190,                 38651,             -1301490,                    948,                 33664,                449683,,,,             -1444085,             -4049345,              1601460,              2897521,                330590,               -124199,               -788058,,              1336900,                430222,              1557629,                221020,,                 -5033,              3545002,              2756944,              1948627,             13014016,                570703,                 69190,                -43401,               -632690,             12977818,,               -882066,              1188593,,,                -41216,                              0,               -146391,                    299,                115956,                -80491,                              0,                              0,                              0,               -848637,                  7493,,                -20121,,,               -676798,,              7007450,                              0,                 17783,,                    465,                 13268,              7038966,              2017885,             21357871,             85867210,            107225081,            107225081,                 34248,,,,               -808317,                              0,                  4264,                    -37,                              0,,                 -4428,                              0
2454,2013年01月01日至2013年03月31日,,              3922081,              3922081,,,                298954,                157837,                -17471,                  2750,                 15882,               -368845,                -18365,                 12844,               -497324,                    398,                 30682,                109261,,,,               -931747,               -430702,              1499968,              1085233,                169444,                -13680,              1378516,,             -1557297,               -161231,             -1073960,                589204,,                     15,             -2201320,               -822804,             -1096201,              2825880,                279054,                 18365,                -12864,                -53118,              3057317,,               -369513,                979451,,,,,                -78522,                    299,                101467,                              0,,                              0,,               -549594,                    156,                 -1598,                 -5530,                 -2671,                              0,                 73945,,              3734375,                              0,,,                    221,                              0,              3734383,              1358428,              8224073,             85867210,             94091283,             94091283,                              0,                   -213,                              0,,               -273397,,                  1949,                              0,,,,
2454,2012年01月01日至2012年12月31日,,             16485081,             16485081,,,              1218375,              2478080,                -81003,                -57383,                109458,             -1730158,               -148878,                 49661,             -1059870,                 10000,             -1051798,                588747,,,,              1227038,                861436,               -869314,             -4462887,               -450822,               -119134,             -3790116,,                 22548,                 75504,             -2488432,               -167602,,                  2216,             -2530651,             -6320767,             -5995536,             10489545,              1487073,                148878,               -112604,               -609960,             11402932,,               -403716,                234448,,,               -319768,                372684,               -948441,                 44749,                              0,               -278382,              1528400,               -938022,                  1457,             -2246318,                  2799,,             -1071578,               -114347,,             -4177212,,              4791280,,                 24057,            -10257979,                  1510,                 20097,             -5421035,             -1758913,                 45772,             85821438,             85867210,             85867210,                 59038,,,,                325231,                 23567,                 25115,               -100215,,                              0,,
