證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損損失,　　　　 未實現銷貨利益（損失）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他應收款－關係人減少,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 存入保證金減少,　　 發放現金股利,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 未實現外幣兌換損失（利益）,　　 存出保證金減少,　　 其他投資活動,　　　　 處分投資損失（利益）,　　 處分備供出售金融資產,　　 處分無活絡市場之債務工具投資,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分無活絡市場之債券投資,　　 其他金融資產增加,　　 短期借款增加,　　 存入保證金增加,　　 其他應收款－關係人增加
2485,2015年01月01日至2015年09月30日,,                665803,                665803,,,                137656,                  6585,                              0,                  2668,                -20666,                  3592,                    -19,                              0,                              0,                 -8019,                121797,,,             -1191350,                -37847,             -1090597,                 44342,             -2275452,,              1504715,                 20339,                108247,                    591,                              0,              1633892,               -641560,               -519763,                146040,                 20666,                 -2668,                -73380,                 90658,,                  9677,                -49979,               -348711,                  1729,                 -3195,                  1857,                              0,                 24470,                 -1053,                -36517,               -401722,,                -96763,                   -150,               -476534,                              0,                              0,               -573447,                  5929,               -878582,              3790947,              2912365,              2912365,,,,,,,,,,,,,,
2485,2015年01月01日至2015年06月30日,,                217576,                217576,,,                 92190,                  4497,                              0,                  1863,                -13900,                  2736,                     27,                              0,,                -44116,                 43297,,,               -933515,                -24825,               -656161,                 27670,             -1586831,,              1122040,                  1895,                 71456,                    309,,              1195700,               -391131,               -347834,               -130258,                 13900,                 -1863,                -21996,               -140217,,,                -49979,                -57576,                    504,,                  1182,                              0,                 77796,                -46389,                -29058,               -102455,,                 -7683,                   -150,                              0,                              0,,                 -7833,                -10140,               -260645,              3790947,              3530302,              3530302,                              0,                  1065,                              0,,,,,,,,,,,
2485,2015年01月01日至2015年03月31日,,                 88760,                 88760,,,                 47815,                  2369,                              0,                   -964,                 -7971,                              0,                     -9,                              0,                              0,                -20600,                 20640,,,               -719967,                  3081,                 50026,                 25417,               -641443,,                413979,                 54250,                 54128,                    232,                   -399,                522190,               -119253,                -98613,                 -9853,                  7971,                    964,                   -655,                 -1573,,,                -49979,                -31000,                    509,,                    712,                              0,                 68488,                   -439,                 -2188,                -12691,,                 -3288,                   -151,                              0,,,                 -3439,                 -1447,                -19150,              3790947,              3771797,              3771797,,                  1206,                              0,                              0,                              0,                              0,,,,,,,,
2485,2014年度,,                717429,                717429,,,                161006,                 11888,                  5868,                  4947,                -39541,                              0,                   -168,                -18317,                              0,                -23937,,,,               -131338,                -31067,               -244026,                 -8867,               -415298,,                580832,                 18070,                 59619,,                              0,                659445,                244147,                345893,              1063322,                 39541,                 -4947,               -163175,                934741,,                  7000,                              0,                -92977,                  5845,                 -7844,                  3860,                 -1459,,                 -7875,               -229867,               -607999,,,,               -508302,                 69488,,               -443731,                  8100,               -108889,              3899836,              3790947,              3790947,,,,                              0,                              0,,,                101746,                    924,                              0,               -284682,                 -4357,                   -560,
2485,2014年01月01日至2014年09月30日,,                444621,                444621,,,                119313,                  9209,                  5868,                  2945,                -30571,                              0,                    279,                -18317,                              0,                -18266,                 70460,,,                 36309,                  6102,               -278008,                 12228,               -223369,,                419630,                -29173,                 75647,                    883,                   -399,                466588,                243219,                313679,                758300,                 30571,                 -2945,               -160807,                625119,,                              0,                              0,                -34086,                  2459,                 -5134,                  2473,                 -1459,               -103085,                 -1991,                -98734,               -239557,,                 -9696,                   -751,               -508302,                 72488,                 -3000,               -449261,                 20163,                -43536,              3899836,              3856300,              3856300,,,,,,,,,,,,,,
2485,2014年01月01日至2014年06月30日,,                248272,                248272,,,                 79733,                  6388,                  5868,                  2260,                -19878,                              0,                    426,                -12719,,                -49129,                 12956,,,                 12366,                -20430,                 -1704,                 62852,                 53084,,                -61752,                 14495,                 50417,                    725,,                  3885,                 56969,                 69925,                318197,                 19878,                 -2260,                -81369,                254446,,,                              0,                -13843,                    142,,                  3861,                 -1459,                 60162,                 -6276,                -57632,                -16558,,                -19126,                              0,                              0,                 72488,,                 53362,                 20445,                311695,              3899836,              4211531,              4211531,                      7,                  1487,                 -3000,,,,,,,,,,,
2485,2014年01月01日至2014年03月31日,,                210176,                210176,,,                 41046,                  3218,                  5868,                 -1249,                 -7495,                              0,                      9,                 -5541,                   -788,                 11918,                 46986,,,                102997,                   -656,                -57438,                -65888,                -20985,,               -204152,                -18094,                 33710,                    584,                 -1462,               -189414,               -210399,               -163413,                 46763,                  7495,                  1249,                   -685,                 54822,,,                              0,                 -6223,                     40,,                  2766,                 -1459,                 49380,                              0,                 -8316,                 38970,,                 10000,                              0,                              0,,,                 10000,                  2216,                106008,              3899836,              4005844,              4005844,,                   -218,                  3000,                              0,                              0,                              0,,,,,,,,
2485,2013年度,,                896005,                896005,,,                174105,                 10447,                              0,                  4391,                -25170,                  2321,                  1409,                              0,                 -4053,                 75269,,,,               -150065,                 68788,               -221004,                -84205,               -386486,,                469072,                 70597,                 11025,,                    400,                551456,                164970,                404021,              1300026,                 25170,                 -4391,                -98384,              1222421,,                              0,                              0,                -36291,                 10279,                 -5355,                 12556,                 -2496,,                 -7783,                -49664,               -558343,,,,               -412996,                  2088,,               -436684,                 15340,                242734,              3657102,              3899836,              3899836,,,,                    332,                 31131,,,                239051,                    362,                              0,               -510720,                -25176,                   -600,
2485,2013年01月01日至2013年09月30日,,                673643,                673643,,,                132307,                  7273,                              0,                  3224,                -16979,                  1189,                   -663,                              0,                 -3253,                 41681,,,,               -203498,                 54799,               -269590,                -13105,               -431394,,                359806,                 -9938,                 -2668,,                              0,                348939,                -82455,                 82656,                756299,                 16979,                 -3224,                -89562,                680492,,,                 -1350,                -56976,                 10065,                 -1642,                  8041,,,                 -9211,                -18959,               -543101,,                -34838,                 -1801,               -412996,                              0,                              0,               -449635,                  7087,               -305157,              3657102,              3351945,              3351945,,,,                    332,                 31131,,,                165111,                  1739,                              0,               -504200,,,
2485,2013年01月01日至2013年06月30日,,                450863,                450863,,,                 89408,                  4510,                              0,                  2060,                -11376,                  1178,                     99,                              0,,                  5878,,,,               -158322,                 27063,               -377949,                 95442,               -413766,,                493666,                  9981,                 16008,,                              0,                520586,                106820,                195703,                646566,                 11376,                 -2060,                -11818,                644064,,,                 -1350,                -22845,                  1814,                 -2503,,,,                 -3478,                -27739,                -46139,,               -702143,                 -1801,                              0,                              0,,                -39778,                 14904,                573051,              3657102,              4230153,              4230153,                 -2874,,                              0,                              0,                              0,,,                 88883,                    931,                              0,,                664166,,                  9962
2485,2013年01月01日至2013年03月31日,,                209937,                209937,,,                 45075,                  2219,                              0,                  1021,                 -4745,                    634,                    -22,                              0,                 -2448,                  9881,,,,                -21182,                 21151,               -161996,                 11200,               -150827,,                312461,                -27879,                  4841,,                              0,                289555,                138728,                190343,                400280,                  4745,                 -1021,                   -351,                403653,,,                 -1350,                 -8127,                  1089,                 -2077,                 10789,                              0,,                 -2641,                 -6430,                 -8747,,,,                              0,,,                -31818,                 10814,                373902,              3657102,              4031004,              4031004,,,                              0,                              0,                              0,,,                 51615,                    132,                              0,,                -30018,                 -1800,
