證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 存入保證金增加,　　 發放現金股利,　　 處分子公司股權（未喪失控制力）,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 處分無形資產損失（利益）,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 取得持有至到期日金融資產,　　 處分持有至到期日金融資產,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 償還長期借款,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　　 應收票據（增加）減少,　　　　　 應付票據增加（減少）,　　　　　 負債準備增加（減少）,　　 短期借款減少,　　 應付短期票券減少,　　 處分無活絡市場之債券投資,　　 持有至到期日金融資產到期還本,　　 存出保證金減少
9941,2015年01月01日至2015年09月30日,,              1627222,              1627222,,,              3466153,                  6282,                672764,                676134,             -4671270,                -17680,                    345,                 55102,                292651,                -16853,                463628,,,                 34060,             -6032719,               -284058,                 -1298,                526656,                -50897,                 20954,             -2554815,                    -80,             -8342197,,                  2261,               -115783,                361103,                 12759,                 81473,                -10675,                 16522,                347660,             -7994537,             -7530909,             -5903687,              4621866,               -701708,               -431358,             -2414887,,               -153208,                              0,             -6145641,                 12510,                -25092,                -19466,                  7853,             -6323044,,              2559944,              8750892,                              0,                              0,                301004,                422329,             -1475355,                              0,                              0,             10558814,                 15051,              1835934,              1699802,              3535736,              3535736,                              0,,,,,,,,,,,,,,,,,,,
9941,2015年01月01日至2015年06月30日,,              1313163,              1313163,,,              2299535,                  4223,                430760,                432844,             -3068457,                -12047,                     98,                 45103,                -40131,                -31553,                 60375,,,                -44937,             -4880898,               -353170,                 -6652,               -279761,                125279,                 13278,             -1417605,                    -78,             -6844544,,                    204,                 -9131,                950181,               -169176,                 73460,                -10760,                 16852,                851630,             -5992914,             -5932539,             -4619376,              3007187,               -446754,               -255204,             -2314147,,               -198826,                              0,             -4221079,                  6797,                -17282,                -10118,                  7853,             -4432655,,              1969177,              5329793,                              0,                              0,                300595,                271597,,                              0,                              0,              7871162,                -28371,              1095989,              1699802,              2795791,              2795791,                              0,,,,,,,,,,,,,,,,,,,
9941,2015年01月01日至2015年03月31日,,                624107,                624107,,,              1148934,                  2186,                219019,                212201,             -1510420,                 -6582,                   -132,                 16274,                -21954,                 -8187,                 51339,,,                -15039,             -1797955,               -170362,                 17785,               -256016,                -70891,                 20913,               -449501,                    -79,             -2721145,,                     31,                -33841,                554085,               -321202,                167314,                    118,                 16320,                382825,             -2338320,             -2286981,             -1662874,              1474077,               -192202,                -26272,               -407271,,                 36891,                              0,             -2089702,                  2827,                -14028,                 -8916,,             -2072928,,              1751666,              1152534,,,                300015,                104677,,                              0,                              0,              3308892,                -20721,                807972,              1699802,              2507774,              2507774,                              0,                              0,                              0,,,,,,,,,,,,,,,,,
9941,2014年度,,              2154268,              2154268,,,              4616580,                  7289,                842774,                752729,             -4365713,                -13928,                  1571,                 93865,                -70772,                 -1366,,,,                 20067,            -12044008,               -147682,               -124072,              3676780,             -1039760,                -21365,             -3986292,                 -1010,            -13667342,,                 -3846,                -43145,                 29835,                256971,                119178,,                 17898,                375480,            -13291862,            -11428833,             -9274565,              4389969,               -734104,               -425994,             -6044694,,,                -39427,             -8043498,                 16829,                -45368,                -75244,                 10786,             -8039886,,              4236476,              9112697,              3000000,             -2000000,                596836,                795084,             -1346634,                     11,                 60860,             14455330,                 46525,                417275,              1282527,              1699802,              1699802,                              0,,,,              1863029,                 -1411,                136036,                              0,                              0,,,,,,,,,,,
9941,2014年01月01日至2014年09月30日,,              1726023,              1726023,,,              3445479,                  4628,                497414,                541706,             -3893625,                -14201,                    527,                 64064,                 72437,                 -9867,                708562,,,                 33932,            -10531542,                -62122,               -213227,                986106,               -812672,                -69063,             -2747939,                    -25,            -13416552,,                 -3813,                 67469,                662267,                135338,                109959,                    -46,                  1628,                972802,            -12443750,            -11735188,            -10009165,              3841908,               -545449,               -392752,             -7105458,,                104219,                -39427,             -6017222,                 12181,                -20589,                -34169,                 10786,             -5984221,,              3015990,              9987548,              1500000,             -1000000,                598670,                580696,             -1346634,                     11,                 60860,             13397141,                  6302,                313764,              1282527,              1596291,              1596291,                              0,,,,,,,,,,,,,,,,,,,
9941,2014年01月01日至2014年06月30日,,              1173038,              1173038,,,              2286570,                  2775,                252077,                346031,             -2471406,                 -9396,                    262,                 49292,                 20991,                 15393,                492589,,,                 48569,             -6878874,               -206207,               -108037,                969538,               -703252,               -125467,             -2041400,                  2868,             -9042262,,                 -2731,                 23013,              1030500,                369009,                182649,                   -229,                    932,              1603143,             -7439119,             -6946530,             -5773492,              2445609,               -350831,               -228838,             -3907552,,                  6444,                -39427,             -4054760,                  9972,                 -1337,                -15729,                 10786,             -4084051,,              1107575,              5737070,              1500000,             -1000000,                399006,                357267,,                     11,                 60860,              8161789,                    545,                170731,              1282527,              1453258,              1453258,                              0,,,,,,,,,,,,,,,,,,,
9941,2014年01月01日至2014年03月31日,,                558818,                558818,,,              1147509,                  1291,                131177,                165187,             -1204365,                 -4566,                    521,                 20126,                  6123,                  6550,                270350,,,                  4169,             -3522890,               -153408,               -105752,                728191,               -377990,                -50398,               -261834,                  3750,             -3736162,,                 -1460,                -36705,              1098410,                 55596,                184846,                  3766,                    914,              1305367,             -2430795,             -2160445,             -1601627,              1123425,               -169264,                 -9337,               -656803,,                 44227,                -39427,             -1894717,                  6174,                 -1815,                 -2810,,             -1888368,,                207443,              3250801,,,                              0,                              0,,                     11,                 60860,              3458281,                 12267,                925377,              1282527,              2207904,              2207904,                              0,                    797,                -60834,,,,,,,,,,,,,,,,,
9941,2013年度,,              1971365,              1971365,,,              4679151,                  4484,                656943,                618759,             -3556846,                -22654,                  4470,                129959,               -175020,                -67879,,,,                -30269,             -5844240,                149726,                -11236,              2396374,               -576830,                -79692,             -1624523,                  4407,             -5616283,,                -12032,                 28788,               -270197,                 78641,                -21625,,                 53246,               -141774,             -5758057,             -3486690,             -1515325,              3584337,               -613200,               -448755,              1007057,,,                              0,             -7569393,                 19448,                 -5101,                -32041,                  9974,             -7791789,,                880676,              5643379,                              0,                              0,                200000,                789177,               -817648,                              0,                              0,              6695584,                 22172,                -66976,              1349503,              1282527,              1282527,                              0,,,,              2271367,                  1405,               -214676,                -10000,                 10000,,,,,,,,,,,
9941,2013年01月01日至2013年12月31日,,              1971365,              1971365,,,              4679151,                  4484,                656943,                618759,             -3556846,                -22654,                  4470,                129959,               -136626,                -67879,,,,                -42301,             -5844240,                149726,                -11236,              2394961,               -576830,               -104382,             -1875854,                  4407,             -5905749,,,                 28788,               -270197,                275702,                105865,,                 53246,                194809,             -5710940,             -3401179,             -1429814,              3584337,               -613200,               -448755,              1092568,,,,             -7569393,                 19448,                 -5101,                 -7511,                  9974,             -7767259,,                880676,              5643379,                              0,,,                679136,               -707400,,               -110248,              6585543,                 22172,                -66976,              1349503,              1282527,              1282527,                              0,,,,              2309761,                  1405,               -214676,                -10000,,                 10000,                200000,,,,,,,,,
9941,2013年01月01日至2013年09月30日,,              1593052,              1593052,,,              3516310,                  3203,                381461,                456221,             -2619485,                -14754,                  3700,                 89918,                -70302,                -82289,,,,                -58205,             -3271250,                 33354,                -27572,              1204877,               -157970,                -74394,             -1150353,                  4057,             -3497456,,                -10283,                 30252,                322950,                 11316,                472827,,                 12610,                840963,             -2656493,               -992510,                600542,              2634931,               -455264,               -421829,              2358380,,,                              0,             -5883660,                 13866,                 -4632,                -18848,                  9973,             -6157551,,              1069261,              3375629,                              0,                              0,                              0,                 40872,               -817648,                              0,                              0,              3668114,                 14751,               -116306,              1349503,              1233197,              1233197,                              0,,,,              1663983,                  1291,               -282850,,,                  8600,,,,,,,,,,
