證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 預付設備款增加,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 長期應收租賃款增加,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 應付帳款－關係人增加（減少）,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　　　 呆帳費用提列（轉列收入）數
1525,2015年01月01日至2015年09月30日,,                304566,                304566,,,                 23072,                  3036,                    -65,                    608,                 -7374,                              0,               -268577,                   -736,                    442,               -249594,,,                 11071,                  6362,                 30696,                 -1583,                    710,                  5192,                 52448,,                -28388,                 -1964,                  5357,                 32032,                     38,                 -4013,                  3062,                 55510,               -194084,                110482,                   -608,                -22480,                 87394,,                              0,                -21763,                    740,                              0,                   -552,                -78721,                   -710,                  7374,                 31689,                -61943,,                 50000,                -96943,                -46943,                    -25,                -21517,                 33816,                 12299,                 12299,,,,,,,,,,,
1525,2015年01月01日至2015年06月30日,,                204208,                204208,,,                 15321,                  2082,                    -49,                    355,                 -4987,,               -180842,                   -106,                    442,               -167784,,,                 -5959,                 10422,                -38972,                -29428,                  8769,                 -7854,                -63022,,                 10164,                  9415,                 -3521,                 59036,                  5149,                 -4761,                 75482,                 12460,               -155324,                 48884,                   -355,                -21104,                 27425,,                              0,                              0,                    110,,                   -552,                -67337,                -10468,                  4987,                 31689,                -41571,,,,,                   -315,                -14461,                 33816,                 19355,                 19355,                              0,,,,,,,,,,
1525,2015年01月01日至2015年03月31日,,                 93376,                 93376,,,                  7653,                  1025,                    -23,                    175,                 -2420,                 31689,                -86340,                              0,,                -48241,,,                 -8977,                  9230,,                 -3452,                  5624,                 -6036,                -44036,,                -10213,,                -13773,                 24283,                   -131,                 -3263,                -14002,                -58038,               -106279,                -12903,                   -175,                 -6174,                -19252,,                              0,                   -150,                              0,,                   -195,,,                  2420,                              0,                  2075,,                              0,,                              0,                     -6,                -17183,                 33816,                 16633,                 16633,,                  6536,                -43663,                 -3298,                -10905,,,,,,
1525,2014年度,,                356304,                356304,,,                 31657,                  3097,                   -227,                    298,                 -7394,                321890,               -317308,                   -443,,,,,                 61351,                    601,,                  5178,                 -5515,                  2897,                121049,,                  2447,,                 11465,                  1075,                  2019,,                 20119,                141168,                171638,                527942,                   -298,                -51213,                476431,,               -412218,                              0,                    849,                      2,                 -4871,,,                  7394,                  4412,               -404432,,                 50000,               -110793,                -60793,                  3074,                 14280,                 19536,                 33816,                 33816,,                 -1636,                 86035,                -27862,                  6145,,                              0,                 -1100,                 30470,                 -3032,
1525,2014年01月01日至2014年09月30日,,                260552,                260552,,,                 23918,                  2166,                   -212,                    103,                 -5137,                              0,               -240998,                   -172,                              0,               -220332,,,                 51338,                 -5870,                 84470,                -23152,                 -7914,                  1038,                 99910,,                  1487,                  3865,                 -3474,                 27257,                  5237,                 -3809,                 30563,                130473,                -89859,                170693,                   -103,                -29236,                141354,,               -305257,                 -9574,                    568,                      2,                   -698,                183539,                -12905,                  6587,                 40900,                -96838,,                 60000,               -110793,                -50793,                     -2,                 -6279,                 19536,                 13257,                 13257,,,,,,,,,,,
1525,2014年01月01日至2014年06月30日,,                174588,                174588,,,                 16054,                  1445,                   -161,                     60,                 -4049,,               -164620,                   -159,                              0,               -151430,,,                 35241,                  2499,                -14521,                -22948,                 -8389,                    735,                 -7383,,                  9673,                 10268,                -16046,                 24430,                  1793,                 -4574,                 25544,                 18161,               -133269,                 41319,                    -60,                -18413,                 22846,,               -162884,                              0,                    547,,                              0,                110504,                -10181,                  3458,                 33682,                -24872,,,,,                    -38,                 -2064,                 19536,                 17472,                 17472,                      2,,,,,,,,,,
1525,2014年01月01日至2014年03月31日,,                 80530,                 80530,,,                  8100,                    742,                    -94,                              0,                 -2042,                 29687,                -79651,                    -58,,                -43316,,,                  1071,                   -462,,                -22606,                 -7029,                    695,                104053,,                 -2657,,                -18805,                 14801,                 -1044,                 -5338,                 -5714,                 98339,                 55023,                135553,                              0,                 -3891,                131662,,               -164982,                              0,                     58,,                              0,,,                  1182,                  4457,               -159285,,                 49520,,                 49520,                   -324,                 21573,                 19536,                 41109,                 41109,,                 45477,                 91469,                 -4562,                  7329,,,,,,
1525,2013年度,,                364460,                364460,,,                 31110,                  1778,                   -201,                      5,                 -7433,                143289,               -321458,                    237,,,,,                113498,                  1383,,                 83560,                 28085,                  5865,                 81891,,                 -9889,,                  2204,               -115852,                 -1392,,               -139136,                -57245,               -206452,                158008,                     -5,                -47532,                110471,,                              0,                   -449,                    106,                              0,                              0,,,                  8021,                              0,                  7678,,                              0,               -110793,               -110793,                    239,                  7595,                 11941,                 19536,                 19536,,                -21147,                -87984,                -41369,                -17689,,                   -454,                  3920,               -149207,                  3482,
1525,2013年01月01日至2013年12月31日,,                364460,                364460,,,                 31110,                  1778,                   -201,                      5,                 -7433,                143289,               -321458,                    237,,,,,                113498,                  1383,                -21147,                 83560,                 28085,                  5865,                 81891,,                 -9889,,                  2204,               -115852,                 -1392,,               -139136,                -57245,               -206452,                158008,                     -5,                -47532,                110471,,,                   -449,                    106,,,,,                  8021,,                  7678,,,               -110793,               -110793,                    239,                  7595,                 11941,                 19536,                 19536,,,                -87984,                -41369,                -17689,,                   -454,                  3920,               -149207,                  3482,                              0
1525,2013年01月01日至2013年09月30日,,                244168,                244168,,,                 23032,                  1149,                   -575,                      3,                 -5261,                 93422,               -215381,                     59,                  3920,,,,                132498,                  6738,                 -2143,                 18109,                 21663,                  1090,                150018,,                  1781,                -29283,                -12204,                -69659,                 -2196,,               -108963,                 41055,                -58577,                185591,                     -3,                -37358,                148230,,                              0,                   -327,                     83,                              0,,,                -36211,                  5545,                              0,                -30910,,                              0,               -110793,               -110793,                 -1344,                  5183,                 11941,                 17124,                 17124,,,                -27937,,,,,,                -99632,                  2598,
