證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 因合併產生之現金流入,　　 其他金融資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 償還公司債,　　 償還長期借款,　　 存入保證金減少,　　 其他非流動負債減少,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 處分投資損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　　 其他流動負債增加（減少）,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 其他金融資產減少,　　 短期借款增加,　　 存入保證金增加,　　 舉借長期借款,　　　 不影響現金流量之收益費損項目,　　　　 處分其他資產損失（利益）,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 發放現金股利,　　 現金增資,　　 存出保證金減少,　　 其他非流動資產減少,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 非金融資產減損損失,　　　　　 其他流動資產（增加）減少,　　　　　 持有供交易之金融負債增加（減少）,　　 其他投資活動
3164,2015年01月01日至2015年09月30日,,                -29384,                -29384,,,                 38768,                 32976,                    810,                              0,                   -837,                   -765,                    250,                    574,                 71776,,,                 -2252,                -53772,                    293,                 -6281,                  4894,                 -1170,                -58288,,                -12282,                 19750,                 -3265,                 -9713,                              0,                 -5510,                -63798,                  7978,                -21406,                    837,                    765,                              0,                    -78,                -19882,,                -14719,                    919,                   -455,                 -4727,                              0,               -124652,                 -1488,               -145122,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                    141,               -164863,                315335,                150472,                150472,,,,,,,,,,,,,,,,,,,,,,,,
3164,2015年01月01日至2015年06月30日,,                -45216,                -45216,,,                 25886,                 21889,                    664,                              0,                   -546,,                    450,                    901,                 49244,,,                  1094,                -21114,                   -280,                  7178,                  3662,                 -1061,                -10521,,                -12170,                  6275,                 -5746,                 -7747,                              0,                -19388,                -29909,                 19335,                -25881,                    546,,                              0,                    192,                -25143,,                -13386,                    663,                 -1345,                 -4727,                              0,               -142246,                   -935,               -161976,,,                              0,                              0,,                              0,                              0,                              0,                   -447,               -187566,                315335,                127769,                127769,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,
3164,2015年01月01日至2015年03月31日,,                -24502,                -24502,,,                 12979,                 10867,                    824,                              0,,,                    369,                  1080,                 26119,,,                  1442,                -21331,                    351,                  2519,                 -2544,                   -662,                -20225,,                  2240,                 -5000,                -11944,                   -941,                              0,                -15645,                -35870,                 -9751,                -34253,,,                              0,                              0,                -34253,,                 -7402,                     30,                 -1012,                   -155,                              0,                -69300,                              0,                -77839,,,                              0,,,                              0,                              0,                              0,                    -83,               -112175,                315335,                203160,                203160,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,
3164,2014年度,,               -381031,               -381031,,,                 67890,                 36327,                    566,                 10094,,                   -510,                121116,                 30522,,,,                  2214,                    191,                    900,                 17178,                  3121,                  2468,                 26072,,                -37615,                  6476,                 -5646,                -10174,,                -48649,                -22577,                352693,                -28338,,                    510,                -26487,                 -7681,                -61996,,                -25250,                    405,                  7584,                 -1801,               -693303,                606012,                 -8804,               -115157,,,               -431400,,,               -104500,                              0,                -50344,                    301,               -227196,                542531,                315335,                315335,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                -62600,                      2,               -569045,,                 35057,                 74208,                375270,                 -1690,                              0,              1117199,,,,,,,
3164,2014年01月01日至2014年09月30日,,                -72707,                -72707,,,                 50563,                 25426,                    416,                  8385,                   -936,                   -510,                  2192,                  4930,                 90466,,,                  3393,                -18488,                  1334,                 17428,                  5904,                    329,                  9900,,                 -2119,                 -2211,                 -6188,                -15200,                    402,                -25316,                -15416,                 75050,                  2343,                    936,                    510,                -24778,                 -7377,                -28366,,                -16314,                    166,                  7799,                 -1445,                  4647,                586344,                 -8284,                572913,,                -40000,               -431400,               -100728,                     -2,               -104500,                  8013,               -668617,                     17,               -124053,                542531,                418478,                418478,,,,,,,,,,,,,,,,,,,,,,,,
3164,2014年01月01日至2014年06月30日,,                -27843,                -27843,,,                 32420,                 14558,                    248,                              0,                   -828,,                    -35,                  3050,                 49413,,,                 -2727,                -19128,                  1142,                 -4796,                  7098,                    218,                -18193,,                -21402,                  1972,                  5320,                -19100,                    319,                -32891,                -51084,                 -1671,                -29514,                    828,,                -21872,                 -7351,                -57909,,                 -3256,                    166,                  7801,                 -1445,                  4647,                530769,                -12616,                526066,,,               -431400,                -83411,,               -104500,                              0,               -659313,                   -188,               -191344,                542531,                351187,                351187,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                -40000,                     -2,,,,,,,,,,,,,,,
3164,2014年01月01日至2014年03月31日,,                 -3944,                 -3944,,,                 15288,                     83,                    103,                              0,,,                   -166,                  6362,                 21670,,,                  4227,                -17374,                    346,                 -7451,                    412,                  1320,                -18520,,                -25647,                    747,                -10234,                -12973,                     69,                -48038,                -66558,                -44888,                -48832,,,                -18506,                              0,                -67338,,                 -2351,                    166,                  7775,                 -1145,                  4647,                529994,                 -2540,                536546,,,               -431400,,,               -104500,                              0,               -627254,                    -30,               -158076,                542531,                384455,                384455,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                -20000,                      4,                -71358,,,,,,,,,,,,,,
3164,2013年度,,                 36857,                 36857,,,                 17066,                    325,                   -548,                 29169,,                 -3400,                   -190,                 -2360,,,,                  5807,                  2331,                  6448,                  4277,                 -3595,                    -99,                 15169,,                    294,                    340,                  6997,                  4507,,                  6254,                 21423,                 67020,                103877,,                  3400,                 -1722,                 -5184,                100371,,                 -5128,                    190,                    661,                   -208,                              0,                 81645,                 -5200,                 72960,,,                -68600,,,                              0,                              0,                -99006,                    316,                 74641,                467890,                542531,                542531,                              0,                              0,                  1395,                 -5884,                              0,                              0,                  1000,                              0,                     50,                              0,,                              0,                  4140,                 45597,                              0,                -30456,                              0,,,,,,,
3164,2013年01月01日至2013年12月31日,,                 36857,                 36857,,,                 17066,                    689,                   -548,                  6212,,,                   -190,                 -2360,,,,                  5807,                  2331,                  6448,                  4277,                 -3595,                   -463,                 14805,,                    294,                    340,                 28232,                  4507,,                 27489,                 42294,                 68698,                105555,,,                              0,                 -5184,                100371,,                 -5128,                    190,,                   -208,,,                 -5200,                 72960,,,                -68600,,,,                              0,                -99006,                    316,                 74641,                467890,                542531,                542531,,                              0,                  1395,                 -5884,                              0,                              0,                 82645,,                     50,,,,,                 26404,,                -30456,,                    661,,,                  4140,                              0,                              0,
3164,2013年01月01日至2013年09月30日,,                 62810,                 62810,,,                 12633,                    261,                    578,                 11251,,,                   -190,                   -832,,,,                 -3054,                 -8980,                  6287,                  4925,                 -3683,                              0,                 -4505,,                    306,                 -1983,                 -6433,                  9336,,                 -3847,                 -8352,                 16708,                 79518,,,                              0,                 -4921,                 74597,,                 -4929,                    190,,                              0,                              0,               -329005,                              0,               -332409,,                              0,                -70322,                              0,,                              0,                              0,               -100728,                    144,               -358396,                467890,                109494,                109494,                              0,                              0,                  1359,                 -5073,                              0,                              0,                  1000,,                     50,,,,,                 25060,                              0,                -30456,,                    331,                      4,,,,,
