證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 取得無形資產,　　 取得投資性不動產,　　 其他金融資產增加,　　 其他金融資產減少,　　 收取之利息,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分不動產、廠房及設備,　　 其他預付款項增加,　　 應付短期票券減少,　　 非控制權益變動,　　　　 其他項目,　　　　　 其他營業負債增加（減少）
2545,2015年01月01日至2015年09月30日,,               -124976,               -124976,,,                  8862,                    831,                 32129,                181352,                -12254,                -13165,                     60,                197815,,,                 34992,                 17595,                125451,                402180,                 25648,                  6456,                 -1306,             -2488312,               -138375,                -15708,               -100084,             -2131463,,               -154709,                -93566,                 67013,                 47295,                              0,                325184,                 60533,                   -898,                250852,             -1880611,             -1682796,             -1807772,                -36439,             -1844211,,                 -2703,                   -285,               -133042,                 18300,                              0,                 12254,                 13165,               -141789,               -234100,,              3990000,             -1431689,                 23000,                500000,                -37298,                  2116,             -1310939,               -359481,              1375709,               -702602,              2223286,              1520684,              1520684,,,,,,,,,,,
2545,2015年01月01日至2015年06月30日,,                -66372,                -66372,,,                  5910,                    565,                -11457,                122061,                -10082,,                     41,                107038,,,                 81170,                 21116,                 42118,                349596,                 25649,                  7670,                    101,             -1545566,                -80251,                  1177,                -15228,             -1112448,,                 20532,                -96152,,                  7611,,                220186,                 -3513,                              0,                148664,               -963784,               -856746,               -923118,                -21632,               -944750,,                 -1617,                   -285,                -29771,                 -6108,,                 10082,,                -95382,               -123081,,              1816000,             -1179149,                 23000,,                -24844,                    345,,               -238180,                397172,               -670659,              2223286,              1552627,              1552627,                              0,,,,,,,,,,
2545,2015年01月01日至2015年03月31日,,                 25193,                 25193,,,                  2928,                    296,                -10298,                 62286,                 -4983,,                     41,                 50270,,,                -94952,                 -5626,                 40000,                392888,                              0,                  5569,                    100,               -709691,                -44418,                  4714,                 26691,               -384725,,               -136881,               -196510,,                  6579,                              0,                205350,                -15664,,               -137126,               -521851,               -471581,               -446388,                 -1217,               -447605,,                    -15,                              0,                -10094,                 -3772,,                  4983,,                -47927,                -56825,,                874000,               -652303,                              0,,                -12411,,,               -116869,                 93006,               -411424,              2223286,              1811862,              1811862,                              0,                    589,,,,,,,,,
2545,2014年度,,              1915456,              1915456,,,                 11638,                 49298,                 16948,                262387,                -50697,                 -9849,                     11,,,,                -98878,                  4182,                 19484,               -408689,                 99952,                -28514,                    252,             -2813912,                -67693,                -14521,                678282,             -2630055,,                536084,                210079,,                 14960,                   -456,                972910,                 21826,,              1755527,               -874528,               -594792,              1320664,               -257549,              1063115,,                 -1768,                   -148,                -57164,                -27300,,                 50697,                  9849,               -186597,               -212431,,              4245720,             -3824305,                570000,                              0,                -44774,                  2010,             -1310939,               -451716,               -814004,                 36680,              2186606,              2223286,              2223286,,                              0,,                279736,                    124,                              0,                              0,                              0,                              0,,
2545,2014年01月01日至2014年09月30日,,              1135143,              1135143,,,                  8718,                 37042,                 21772,                193151,                -28891,                 -9751,                      3,                222044,,,               -219697,                 -8838,                -46719,                 -1551,                 99952,                   -462,                    349,             -1924495,                -54869,                -25111,                566222,             -1615219,,                236367,                -89332,                              0,                 94881,                   -456,                876884,                    671,                              0,              1119015,               -496204,               -274160,                860983,               -247208,                613775,,                 -1176,                   -148,                -61047,                              0,                -29233,                 28891,                  9751,               -138784,               -191746,,              3409820,             -2466735,                520000,                              0,                -29539,                  2456,             -1310939,               -329391,               -204328,                217701,              2186606,              2404307,              2404307,,,,,,,,,,,
2545,2014年01月01日至2014年06月30日,,                640654,                640654,,,                  5784,                 24781,                 21660,                126736,                -24140,,                      3,                154824,,,                -84153,                  6928,                -60934,                    -20,                 58593,                  8655,                 -3756,             -1240676,                -43293,                -23801,                516941,               -865516,,                116097,                 -5478,,                 52721,,                492055,                218143,                   -456,                873082,                  7566,                162390,                803044,               -212352,                590692,,                   -844,                   -148,                -24263,                -22926,,                 24140,,                -92125,               -116166,,              1351200,             -1938898,                450000,,                -17693,                  1636,,               -215997,               -369752,                104774,              2186606,              2291380,              2291380,                              0,,,,,,,,,,
2545,2014年01月01日至2014年03月31日,,               -167632,               -167632,,,                  2866,                 12517,                 14814,                 65778,                 -3998,,                              0,                 91977,,,                -76364,                  5201,               -125934,                   -720,                 58593,                  9384,                 -1410,               -524448,                -47532,                 -5363,                399225,               -309368,,                  1387,               -152231,,                 11219,                   -456,                531083,                216957,,                607959,                298591,                390568,                222936,                   -574,                222362,,                   -502,                   -148,                 -8970,                -17868,,                  3998,,                -46112,                -69602,,                787200,               -975898,                300000,,                 -5846,,,               -108786,                 -4196,                148564,              2186606,              2335170,              2335170,                              0,                   -866,,,,,,,,,
2545,2013年度,,              1898802,              1898802,,,                  7601,                 48482,                -21503,                273365,                -20757,                 -7592,                     52,,,,                158629,                 65299,               -138692,                 42303,                -61837,                  5060,                 25807,                268430,               -293179,                115424,             -1346442,             -1159198,,                -24259,               -162727,,                 -3493,                   -643,              1218164,                 -5658,,              1020506,               -138692,                140956,              2039758,               -219793,              1819965,,                -33928,                 -2276,                              0,                 -9561,,                 20757,                  7592,               -157122,             -1368538,,              3543860,             -3217320,                              0,              2440000,                -11384,                              0,             -2458011,               -405410,               -328102,                123325,              2063281,              2186606,              2186606,,                 -2323,,                279648,                   -878,                              0,             -1194000,               -200000,                -17514,,
2545,2013年01月01日至2013年12月31日,,              1898802,              1898802,,,                  7601,                 48482,                -21503,,,                 -7592,                     52,,,,                158629,                 65299,               -138692,                 42303,                -61837,                  5060,                 25807,                268430,               -293179,                115424,             -1346442,             -1159198,,                -24259,               -162727,,                 -3493,                   -643,              1218164,                 -5658,,              1020506,               -138692,                140956,              2039758,               -219793,              1819965,,                -33928,                 -2276,,                 -9561,,                 20757,                  7592,               -157122,             -1368538,,              3543860,             -3217320,,              2440000,                -11384,                              0,             -2458011,               -405410,               -328102,                123325,              2063281,              2186606,              2186606,,                 -2323,,                279648,                   -878,                              0,             -1194000,               -200000,                -17514,                252608,
2545,2013年01月01日至2013年09月30日,,              1964711,              1964711,,,                  4316,                 36317,                -14996,                207786,                -14185,                 -7431,                      4,,,,                 -1946,                 59219,                -64236,                 34117,                 96844,               -167412,                 24809,                735716,               -208757,                111825,             -1111526,               -491347,,                -52841,             -1478432,,                203974,                   -643,                754407,                  3800,,               -570723,             -1062070,               -850259,              1114452,               -218621,                895831,,                 -8121,                              0,                              0,                -24187,,                 14185,                  7431,               -100385,               -111077,,              2285200,             -2645262,                              0,              2440000,                 -8538,                              0,             -2458011,               -315075,               -924087,               -139333,              2063281,              1923948,              1923948,,                 -6318,,                211811,                   -988,,,               -200000,                -16083,,
