證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 取得無形資產,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 發行公司債,　　 發放現金股利,　　 現金增資,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 償還公司債,　　　　　 應付票據－關係人增加（減少）,　　　　 呆帳費用提列（轉列收入）數,　　　　　 持有供交易之金融資產（增加）減少,　　 收取之股利,　 匯率變動對現金及約當現金之影響
1808,2015年01月01日至2015年09月30日,,                729584,                729584,,,                 13397,                  1067,                 57371,                 55749,                 -6472,                -16844,                  1859,                    218,                106345,,,                 44230,                190535,                 -1397,                -25898,             -1460508,                105598,                 -7926,                112464,             -1042902,,                -13242,                114339,                -95996,                 90030,                              0,               -550656,                 12895,               -442630,             -1485532,             -1379187,               -649603,                -30300,               -679903,,                -36842,                 -1162,                  3056,                -34948,,              2132000,             -2046099,                730000,               -540000,                              0,               -862500,                780000,               -137252,                 56149,               -658702,              1754146,              1095444,              1095444,,,,,,,,
1808,2015年01月01日至2015年06月30日,,                 89931,                 89931,,,                  8534,                    706,                 -1811,                 29914,                 -5033,,                  1859,                    218,                 34387,,,                 19738,                348566,,                 -5078,             -2308717,                -21948,                 -8112,                102657,             -1872894,,                -13224,                 -3693,               -195732,                 -2087,,                113454,                 29134,                -72148,             -1945042,             -1910655,             -1820724,                 -2477,             -1823201,,                -12761,                   -538,                  2980,                -10319,,                330000,               -927113,                365000,               -175000,                              0,,                780000,                -94179,                278708,             -1554812,              1754146,                199334,                199334,,,,,,,,
1808,2015年01月01日至2015年03月31日,,                126501,                126501,,,                  4139,                    369,                -19155,                 18603,                 -2539,,                  1859,,                  3276,,,                -13712,                375304,,                     -5,               -804464,                  8094,                 -3390,                 85705,               -352468,,                -11759,                 -3063,               -133108,                -18677,,               -116735,                 19661,               -263681,               -616149,               -612873,               -486372,                 -2284,               -488656,,                 -4266,                   -158,                  1050,                 -3374,,                              0,               -900400,                              0,               -175000,,,                780000,                -36091,               -331491,               -823521,              1754146,                930625,                930625,,,,,,,,
1808,2014年度,,                676809,                676809,,,                 15630,                  1402,                -13952,                 83810,                 -9579,,,,,,,               -115572,               -189713,,                 21289,                540437,                  2734,                  7306,               -108085,                158396,,                 13112,                -38626,                201758,                -71634,,                265975,                 10538,                381123,                539519,                616830,              1293639,                -58900,              1234739,,                -13672,                   -774,                  6093,                 -8353,,              3558805,             -5499935,                884478,               -740000,              2000000,                -55600,,               -177186,                -30138,              1196248,                557898,              1754146,              1754146,,                 77311,                   -700,,,,,
1808,2014年01月01日至2014年09月30日,,                297149,                297149,,,                 11641,                  1083,                 -1788,                 50629,                 -4676,                              0,                              0,                              0,                 56889,,,                 -1269,                162929,                              0,                 24040,                 47632,                -58583,                    325,               -482110,               -307036,,                  4099,                 22668,                 67512,                -51491,                    -52,                219754,                 24301,                286791,                -20245,                 36644,                333793,                -45544,                288249,,                -10405,                   -729,                  2868,                 -8266,,              2193805,             -3460019,                707011,               -537633,              2000000,                -55600,                              0,               -111861,                735703,              1015686,                557898,              1573584,              1573584,,,,,,,,
1808,2014年01月01日至2014年06月30日,,                 29326,                 29326,,,                  7702,                    763,                  1305,                 30668,                 -2523,,                              0,                              0,                 37915,,,                              0,                 71632,,                              0,             -1170024,               -156726,                 -4840,               -376806,             -1636764,,                  6919,                -31287,                260442,                -38760,,                566981,                 48063,                812358,               -824406,               -786491,               -757165,                -28701,               -785866,,                 -6539,                   -105,                  2128,                 -4516,,              1093000,             -1463960,                507830,               -308583,              1500000,,                              0,                -76749,              1251538,                461156,                557898,              1019054,              1019054,,,,,,,,
1808,2014年01月01日至2014年03月31日,,                 13186,                 13186,,,                  3878,                    397,                 -1608,                 12766,                   -448,,                              0,,                 14985,,,                 -1750,                 41875,,                              0,               -248728,                -90739,                 -1316,               -208024,               -508682,,                 17857,                -92303,                -18556,                 27917,,                317669,                  8409,                260993,               -247689,               -232704,               -219518,                   -929,               -220447,,                 -2444,                              0,                     90,                 -2354,,                333000,               -130000,                278783,                -29803,,,                              0,                -37243,                414737,                191936,                557898,                749834,                749834,,,,,,,,
1808,2013年度,,                 87609,                 87609,,,                 17212,                  7798,                -42865,                 51202,                 -4048,,,,,,,                 10333,                 35961,,                -23173,             -4667353,               -295721,                 -9054,                 95873,             -4853134,,                     43,                206394,                145023,               -129283,,              1182396,                 -2638,              1401935,             -3451199,             -3421900,             -3334291,                 -3401,             -3337692,,                -11282,                   -624,                  4010,                 -7896,,              4616266,             -2626600,                239884,               -210000,              1495000,               -434100,,               -119022,              2961428,               -384160,                942058,                557898,                557898,,                 29299,                              0,,,,,
1808,2013年01月01日至2013年12月31日,,                 87609,                 87609,,,                 17212,                  7798,                -42865,                 51202,                 -4048,                              0,,,,,,                 10333,                 35961,,                -23173,             -4667353,               -295721,                 -9054,                 95873,             -4853134,,                     43,                206394,                145023,               -129283,,              1182396,                 -2638,              1401935,             -3451199,             -3421900,             -3334291,                 -3401,             -3337692,,                -11282,                   -624,                  4010,                 -7896,,              4616266,             -2626600,                239884,               -210000,              1495000,               -434100,,               -119022,              2961428,               -384160,                942058,                557898,                557898,,                 29299,,,                              0,                              0,                              0,
1808,2013年01月01日至2013年09月30日,,                  2891,                  2891,,,                 13324,                  5916,                -26224,                 43457,                 -2530,,,,,,,                  9002,                 79832,,                              0,             -4408412,               -172827,                 -6393,                148725,             -4350073,,                    635,                117490,                 50768,               -191900,                  5400,                828297,                 66098,                876788,             -3473285,             -3439342,             -3436451,                 -3250,             -3439701,,                -10415,                   -623,                  2501,                 -8537,,              4315696,             -2626600,                              0,                              0,              1495000,               -434100,,                -91407,              2658589,               -789649,                942058,                152409,                152409,,                 33943,,,,,,
