證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 各項保險負債淨變動,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 存放央行及拆借金融同業（增加）減少,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 備供出售金融資產（增加）減少,　　　　　 應收款項（增加）減少,　　　　　 貼現及放款（增加）減少,　　　　　 再保險合約資產（增加）減少,　　　　　 持有至到期日金融資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 央行及銀行同業存款增加（減少）,　　　　　 透過損益按公允價值衡量之金融負債增加（減少）,　　　　　 附買回票券及債券負債增加（減少）,　　　　　 應付款項增加（減少）,　　　　　 存款及匯款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 其他負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產及設備,　　 處分不動產及設備,　　 取得無形資產,　　 取得投資性不動產,　　 處分投資性不動產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 央行及同業融資增加,　　 央行及同業融資減少,　　 應付商業本票增加,　　 應付商業本票減少,　　 發行公司債,　　 償還公司債,　　 發行金融債券,　　 償還金融債券,　　 其他借款增加,　　 其他借款減少,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,　　 符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 停業單位稅前淨利（淨損）,　　　 不影響現金流量之收益費損項目,　　　　 股份基礎給付酬勞成本,　　　　 不影響現金流量之收益費損項目合計,　　　　　 員工福利負債準備增加（減少）,　　 現金增資,　　 非控制權益變動,　　　　 保證責任準備淨變動,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益
2886,2015年01月01日至2015年09月30日,,             26497385,             26497385,,,                482265,                 35530,             -1256517,             15250431,            -44291226,             -1482092,                  8037,               -204114,                 -4144,               -498404,                416044,            -31544190,,,            162696479,               -736535,            -44270971,            -17753523,            -60407201,                -12354,            -26712458,              2804598,              2360005,             17968040,,            -64095720,             -6173404,            -47988711,             17513653,            133965655,               -125448,                339243,             -1609061,             31826207,             49794247,             18250057,             44747442,             41505347,              1496712,            -14493368,             -4933161,             68322972,,               -255000,                 21924,                 69750,               -358000,                  5334,                -63376,                              0,              1177738,                598370,,                              0,               -279429,                              0,             -2799937,              5800000,                              0,                              0,             -7600000,                              0,             -1941763,                 91870,                              0,            -15860486,            -22589745,               -146077,             46185520,            415144124,            461329644,             93217798,            359787710,              8324136,,,,,,,,,,,
2886,2015年01月01日至2015年06月30日,,             19480167,             19480167,,,                321581,                 22661,             -1916658,             10274139,            -29293438,               -142929,               -113173,               -153751,                 -3706,               -497417,                265035,            -21237656,,,             80569854,              8022285,            -33012487,            -20549444,            -16257533,                -26338,            -10389907,               -220892,              2695488,             10831026,,           -159031007,             -9061468,            -41259016,               -583604,            121456185,                -26433,                428335,             -1808600,            -89885608,            -79054582,           -100292238,            -80812071,             30074249,                313786,            -10261196,             -1953976,            -62639208,,               -255000,                 21924,                 69750,               -269489,                  4363,                -63376,                              0,              1176751,                684923,,,             -7277380,             -3465000,,,                              0,                              0,             -6000000,               -890589,,,               -511490,,            -18144459,             -1981970,            -82080714,            415144124,            333063410,            132296074,            195610650,              5156686,                              0,,,,,,,,,,
2886,2015年01月01日至2015年03月31日,,              9366982,              9366982,,,                162819,                 22410,                -62659,              5061275,            -14701176,                   -581,                -42052,                -54434,                   -821,               -496996,                    814,            -10111401,,,           -225828729,              7003354,            -16404185,             -8015793,              2515734,                 48880,             -1450857,                460045,             -4008866,           -245680417,,            143343670,             -4487007,            -37699633,                 50826,             39350369,                 32488,                -90061,                386173,            140886825,           -104793592,           -114904993,           -105538011,             15661716,                    644,             -4495109,               -253895,            -94624655,,,,,               -139642,                  1421,                 -5621,                              0,              1173532,              1029690,,               -154421,,                495000,,,                              0,                              0,,               -455474,,,               -162032,,               -276927,             -1343589,            -95215481,            415144124,            319928643,            149780733,            163233079,              6914831,                              0,,,,,,,,,,
2886,2014年度,,             35328826,             35328826,,,                666646,                 37054,              1588465,             19794401,            -58137682,               -805145,               -207527,               -152363,                     79,                -42252,                374423,,,,             11542898,             14433916,             -6200811,            -19603693,            -80685890,                 76252,             20703157,              2413258,              2530071,            -54790842,,            -16312405,             14725952,              2158196,             -7008637,            102681323,                  9840,                683659,              2769853,             99588837,             44797995,              7914094,             43242920,             58629026,                941091,            -19564672,             -2170273,             81078092,,,,                              0,               -463155,                  1047,                -26701,               -292334,                391866,               -389277,,             21576296,                              0,             10975000,,,             -6000000,             12000000,             -5700000,                417550,                              0,              1267889,                              0,            -12590800,             21945935,              1496054,            104130804,            311013320,            415144124,            171560274,            231709523,             11874327,                              0,                              0,,                              0,            -36883901,               -118944,                              0,                              0,,,
2886,2014年01月01日至2014年09月30日,,             28088882,             28088882,,,                495037,                 25723,              1164496,             14686307,            -43267273,             -1338984,                 73595,                -87558,                    777,                  1234,                293711,            -27952935,,,           -196799729,             19136274,             -8890661,            -17782214,            -53621958,               -235529,             20367434,              2560625,              4526924,           -230738834,,            196737780,             -1192528,             14055163,              8247338,            -36080958,               -305773,              1625108,              3025804,            186111934,            -44626900,            -72579835,            -44490953,             43055789,              1472980,            -13469561,             -2159033,            -15590778,,                              0,                              0,                              0,               -315786,                    809,                -42588,               -290259,                343002,               -304822,,              7559530,                              0,              8605000,                              0,                              0,             -6000000,             12000000,             -5000000,              2823149,                              0,                              0,               -454063,            -12590800,              6942816,                372403,             -8580381,            311013320,            302432939,            176168949,            118780966,              7483024,,,,,,,,,,,
2886,2014年01月01日至2014年06月30日,,             19354761,             19354761,,,                341695,                 16434,                662304,              9711339,            -28513753,                 -5598,                -64846,                -47480,                    763,                  3678,                 85344,            -17810120,,,             62047008,             20075038,             -1179383,            -20683508,            -13190235,               -187559,              5448220,              2661345,              4609060,             59599986,,           -114839705,               -529978,             13549982,             -4258289,            -17763326,               -173840,              1851960,               -321180,           -122484376,            -62884390,            -80694510,            -61339749,             27988256,                 27528,             -9129870,               -653640,            -43107475,,                              0,                              0,                              0,               -217695,                  5164,                              0,               -280000,                 21057,               -471474,,,              7180138,              2795000,,,             -6000000,             12000000,                              0,              5420907,,,               -251419,,             21144626,                154685,            -22279638,            311013320,            288733682,            174195646,            108896653,              5641383,                              0,,,,,,,,,,
2886,2014年01月01日至2014年03月31日,,              9426939,              9426939,,,                171893,                  7952,                141186,              4763239,            -13912779,                              0,                  3814,                -26614,                     90,                  4714,                 13362,             -8833143,,,            -17136622,             24169218,             -5787164,             -8468809,            -19748096,               -112972,              2262291,               -457359,              3302356,            -21977157,,            -36139461,             -1464174,             -6146276,                 -8379,             17279011,             -1221809,                814351,               -369931,            -27256668,            -49233825,            -58066968,            -48640029,             13817409,                     61,             -3918214,               -741011,            -39481784,,,,,                -78917,                 36829,                              0,               -280000,                 17612,               -304476,,              7190018,,              2010000,,,             -6000000,              4900000,,              1731088,,,               -620222,,              9210884,                700666,            -29874710,            311013320,            281138610,            168386844,            107751868,              4999898,                              0,,,,,,,,,,
2886,2013年度,,             27000082,             27000082,,,                701988,                 37540,              5276424,             15468578,            -48619411,               -219419,               -183695,               -203681,                     51,                -36302,                333187,,,,                558711,            -11084317,            -49848233,            -60155809,           -158402839,                  7613,            -23157251,              3845982,                 66579,           -298169564,,            162125237,                179799,             32169494,              5320507,            215733043,                 63363,             -1633566,             -1571082,            412436663,            114267099,             87168712,            114168794,             47942040,                459744,            -15427301,             -5276472,            141866805,,,,                214431,               -457437,                  2488,                -51809,                 -2324,                277772,                -16879,,                              0,            -52496698,              2513000,,,             -6600000,                              0,                              0,                              0,             -1031787,                              0,               -670609,            -11394773,            -48270867,                 40247,             93619306,            217394014,            311013320,            160288195,            148139780,              2585345,                              0,                              0,,                346353,            -27098387,                 49868,             21500000,                -90000,,,
2886,2013年01月01日至2013年12月31日,,             27000082,             27000082,,,                701988,                 37540,              5276424,             15468578,            -48619411,               -219419,               -112327,               -203681,                     51,                -36302,                333187,,,,            -38195107,            -11084317,            -49848233,            -60155809,           -158402839,                  7613,            -23157251,              3845982,                 71184,           -336918777,,            162125237,                179799,             32169494,              5320507,            215733043,                 -8005,             -1633566,             -2241691,            411690081,             74771304,             47744285,             74744367,             47942040,                459744,            -15427301,             -5276472,            102442378,,,,                214431,               -457437,                  2488,                -51809,                 -2324,                277772,                -16879,,                              0,            -52496698,              2513000,,,             -6600000,                              0,,                              0,             -1031787,,,            -11394773,            -47600258,                 40247,             54865488,            315710144,            370575632,            367990287,                              0,              2585345,                              0,                              0,,                346353,            -27027019,                 45263,             21500000,                -90000,,,
2886,2013年01月01日至2013年09月30日,,             22016677,             22016677,,,                528763,                 29767,              2796231,             11294433,            -35572671,               -222134,                122733,                -86542,                    847,                 -7322,                285923,,,,             84877488,              4552188,             -1190396,            -49129316,           -109327140,               -227630,            -18809447,              1835781,              1270094,            -86148378,,             26324073,              1450750,             10094144,             25312678,             80261037,               -111013,                606614,               -459084,            143479199,             57330821,             36500849,             58517526,             35023404,              1335778,            -10555099,             -4502842,             79818767,,,,                139431,               -365350,                 20158,                 -4777,               -131323,                 28539,               -313322,,                              0,            -51115344,              4858000,,,             -6600000,                              0,                              0,                              0,             -1261710,,               -670609,            -11410738,            -66200401,                153274,             13458318,            217394014,            230852332,            112639803,            113448102,              4764427,,,,,            -20829972,,,,,,
