證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他應收款－關係人增加,　　 其他應收款－關係人減少,　　 取得無形資產,　　 取得投資性不動產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 應付短期票券減少,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他預付款項減少,　　 短期借款減少,　　　　 處分採用權益法之投資損失（利益）,　　　 不影響現金流量之收益費損項目,　　　　 投資性不動產公允價值調整損失(利益),　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 存出保證金增加,　　 處分投資性不動產,　　　　 處分無形資產損失（利益）
1217,2015年01月01日至2015年09月30日,,                 68194,                 34113,                102307,,,                229609,                  5029,                  5125,                -17630,                122268,                -11210,                 -2614,                 21955,                      5,                  1618,                              0,               -242910,                              0,                 -1831,                              0,                109414,,,                  7806,                -95804,               -687709,               -252584,                121251,                -37166,                 52425,               -891781,,                 50983,                239854,                137569,                  3041,                  8020,                 -9299,                430168,               -461613,               -352199,               -249892,                  9678,                  2614,               -110067,                 -5513,               -353180,,                              0,                              0,                              0,                              0,                -55000,                              0,                              0,                              0,                -11696,                              0,                 -9815,               -107340,                 17781,                  1581,                              0,                354900,                   -463,                   -281,                     -8,                              0,                              0,                 -7700,                    634,                182593,,                  1176,                -50005,                              0,                              0,               -558183,                593000,               -642589,                  5183,                              0,                425409,               -226009,                 16718,               -379878,                928230,                548352,                548352,,,,,,,,,,,
1217,2015年01月01日至2015年06月30日,,               -133295,,               -133295,,,                150123,                  3199,                    523,                -19363,                 83278,                 -9497,                 -2108,                -11146,                     42,                  3852,,                 -1496,,                 -1831,,                195576,,,                  7806,                -54367,               -277000,                 39876,               -144306,                 -3847,                  7543,               -424295,,                 64744,                120060,                 29543,                    806,                 10296,                 -5323,                220126,               -204169,                 -8593,               -141888,                  6977,                  2108,                -72880,                   -472,               -206155,,,,                              0,                              0,                              0,                              0,                              0,,                -86964,,,                -95485,                 15104,                  1391,                              0,                 79900,                   -265,                   -281,                     -8,                              0,                 -7754,,                -59259,               -153621,,                102343,                              0,                -25000,                              0,               -558183,                818000,               -520934,                  3961,                              0,                277616,                 97803,                 -9200,               -271173,                928230,                657057,                657057,                              0,                              0,,,,,,,,,
1217,2015年01月01日至2015年03月31日,,                -79451,,                -79451,,,                 76254,                  1622,                   -522,                -25957,                 42516,                 -4812,,                 -1379,                   -242,                  1025,                              0,                    -11,,                 -1831,,                 86663,,,                    395,                -29547,               -166005,                 49033,                 52393,                 -5239,                  5573,                -93397,,                -30059,                 28026,                -81749,                    525,                 13728,                 -6572,                -76101,               -169498,                -82835,               -162286,                  2789,,                -34658,                  1713,               -192442,,                              0,                              0,,                              0,                              0,                              0,,,                -12730,,,                -78901,                    243,                 -8585,                              0,,                    -85,                   -281,                              0,,                              0,                  4493,                -50335,               -146181,,                302330,                  5000,                              0,                              0,               -558183,                463000,               -166077,                  3549,                              0,                 93527,                143146,                  3434,               -192043,                928230,                736187,                736187,                              0,                              0,                              0,,,,,,,,
1217,2014年度,,               -395397,,               -395397,,,                299618,                  6107,                  3498,                 17023,                171248,                -19453,                 -5200,                -16647,                  4304,                  7346,                              0,                    431,                  1528,                -13283,                              0,,,,                 27481,                  3047,                 11155,                -65825,                -17481,                -65640,                 13125,                -94138,,                 33195,                 38956,                  9018,                  1913,                 -4688,,                 76572,                -17566,                379454,                -15943,                 20685,                 10929,               -144050,                -13385,               -141764,,,,,                              0,,                -12600,                    441,                 24332,                -18114,                              0,,               -694286,                 33998,                 53757,                -73000,,                 -2920,                    -61,                    -15,                              0,,                 -8217,                -53616,               -746943,,                309824,                 38000,                              0,                              0,               -347604,                530000,               -604868,                 -1858,                              0,                208175,                131669,                 46791,               -710247,              1638477,                928230,                928230,,,                              0,,                -59500,                397020,                 -1822,                              0,                              0,                  3358,
1217,2014年01月01日至2014年09月30日,,               -335977,                 -1864,               -337841,,,                221209,                  4445,                  5484,                  8312,                129108,                -13482,                 -2313,                -24567,                  4965,                  6599,                              0,                    430,                              0,                -13283,                              0,                326907,,,                 27481,                -70581,               -478770,                 -6792,                 89301,                -59603,                 62050,               -436914,,                138832,                 99679,                 94034,                  2118,                 -4213,                 -4369,                326081,               -110833,                216074,               -121767,                 14714,                  8041,               -103667,                -18251,               -220930,,                              0,                              0,                              0,                              0,                              0,                              0,                    441,                 24332,                -30714,                              0,                              0,               -560457,                  3133,                 55703,                              0,                  2000,                   -661,                    -60,                -12942,                              0,                              0,                    480,                -46082,               -564827,,                423198,                 50000,                              0,                              0,               -347604,                530000,               -572237,                 -3104,                              0,                209240,                289493,                 40959,               -455305,              1638477,              1183172,              1183172,,,,,,,,,,,
1217,2014年01月01日至2014年06月30日,,               -301817,,               -301817,,,                147841,                  3133,                  1931,                -13101,                 86248,                 -7831,                 -1109,                 -8073,                  1433,                  5016,,                   -313,,                -13210,,                201965,,,                 12222,                -29170,               -245373,                 -3233,                -17013,                -39121,               -148571,               -470259,,                 83792,                166844,                 45871,                    878,                 -4892,                 -2313,                290180,               -180079,                 21886,               -279931,                  6427,                  1172,                -66094,                -15539,               -353965,,,,                              0,                              0,                              0,                -12600,                    441,,                -18114,,,               -313281,                  1096,                  4949,                              0,                              0,                   -603,                    -60,                     -7,                              0,                 -1500,,                              0,               -333577,,                467500,                 62000,                              0,                              0,               -346077,                530000,               -506104,                 -3275,                              0,                209240,                413284,                 17844,               -256414,              1638477,              1382063,              1382063,                  6102,                              0,,,,,,,,,
1217,2014年01月01日至2014年03月31日,,               -168017,,               -168017,,,                 74657,                  1475,                   -257,                -13235,                 41326,                 -3792,,                 -4693,                    783,                  2513,                    435,                    -76,,                              0,,                 99136,,,                -16702,                -23785,                -24414,                 -2572,                 64731,                -26635,                 -9000,                -38377,,                 -5736,                 53628,                -57435,                    155,                 -2441,                  1396,                -10433,                -48810,                 50326,               -117691,                  1943,,                -32307,                 -3920,               -151975,,                              0,                              0,,                              0,                              0,                              0,,,                              0,,,               -209678,                  3041,                  4642,                              0,,                   -377,                   -252,                              0,,                              0,                  5415,                              0,               -194880,,                293700,                 45000,                              0,                              0,                              0,                100000,               -342751,                 -3453,                              0,                              0,                 92496,                 24037,               -230322,              1638477,              1408155,              1408155,                  2329,                              0,                              0,,,,,,,,
1217,2013年度,,                -55520,,                -55520,,,                286849,                  6079,                 -4136,                  2274,                161913,                -11865,                 -5497,                 -1868,                  2047,                              0,                  1327,                -17434,                  1488,                -12178,                 41494,,,,                 69010,                 53112,                187025,                 34881,                -83995,                -61092,                 16879,                215820,,                -24505,                -47897,                -31166,                   -935,                  4507,,               -129886,                 85934,                409256,                353736,                 11794,                 26022,               -123562,                -14666,                253324,,,,,                 49185,,                -76962,                  5961,                    954,                -97229,                  8474,,               -851234,                  1116,                              0,               -336000,,                -17772,                -11028,                              0,                164985,,                  3066,                 -7121,             -1271675,,                167100,                              0,                -36000,                990000,             -1052099,              1380000,               -618328,                    324,                              0,                139956,                970953,                 34238,                -13160,              1651637,              1638477,              1638477,,,                -57629,,                -69542,                323322,                -29890,                -60000,                -48471,                    401,
1217,2013年01月01日至2013年12月31日,,               -136955,,               -136955,,,                291057,                  6079,                 -4136,                  2274,                161913,                -11865,                 -5497,                  5817,                  2047,,                  1327,                -17434,                  1488,                -12178,                 41494,,,,                 69010,                 53112,                187025,                 34881,                -83995,                -61092,                 16879,                215820,,                -24505,                -47897,                -31166,                   -935,                  4507,,               -129886,                 85934,                490691,                353736,                 11794,                 26022,               -123562,                -14666,                253324,,,,,                 49185,,                -76962,                  5961,                    954,                -97229,                  8474,,               -851234,                  1116,                              0,               -336000,,                -17772,                -11028,                              0,                164985,,                  3066,                 -7121,             -1271675,,                167100,                              0,                -36000,                990000,             -1052099,              1380000,               -618328,                    324,                              0,                139956,                970953,                 34238,                -13160,              1651637,              1638477,              1638477,,,                -57629,,,                404757,                -29890,                -60000,                -48471,                    401,
1217,2013年01月01日至2013年09月30日,,                -65612,,                -65612,,,                193190,                  4408,                    -13,                 -6415,                120237,                 -6590,                 -2568,                  7317,                  2472,                  8324,                  1729,                -27612,                 16438,                -12178,                 41407,,,,                 88966,                -36343,               -329154,                -32933,                -63541,                -96597,                    879,               -468723,,                113031,                 43666,                  6430,                    756,                  2201,,                150982,               -317741,                 24256,                -41356,                  4196,                  7554,                -92375,                 -2206,               -124187,,                              0,                              0,                              0,                 49184,,               -136962,                              0,                    954,                -45928,                              0,,               -673643,                              0,                  3082,               -281000,                              0,                -13040,                -11028,                              0,                163941,                -14798,                              0,                 -4144,               -963382,,                457618,                              0,                -10000,                990000,             -1052100,              1050000,               -464412,                 -2694,                              0,                139005,              1107417,                 54726,                 74574,              1651637,              1726211,              1726211,,,                  1851,,,                341997,                -15102,,,,
