證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產減少,　　 預付設備款增加,　　 預付設備款減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金增加,　　 存入保證金減少,　　 其他非流動負債減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 預付投資款增加,　　　 不影響現金流量之收益費損項目,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 支付之利息,　　 備供出售金融資產減資退回股款,　　　　 非金融資產減損損失,　　 其他非流動資產減少,　　 支付之股利,　　 存出保證金減少,　　　　 金融資產減損損失
6136,2015年01月01日至2015年09月30日,,                223271,                223271,,,                  4373,                  2144,                    447,                 -3261,               -134040,                  1766,                -65614,                              0,               -194185,,,                 28398,                    -75,                -14114,                 -2634,                -31509,                   -322,                  4075,                 -7164,                  8745,                -14600,,                    995,                 -1650,                    276,                  4805,                 -3566,                   -198,                    662,                -13938,               -208123,                 15148,                  3379,                134040,                 -7467,                145100,,                              0,                 94839,                              0,                 -1689,                 -2511,                -14846,                 -1264,                    122,                 74651,,                    148,                   -455,                    139,               -266889,                   -675,               -267732,                  1299,                -46682,                576682,                530000,                530000,,,,,,,,,,,,,
6136,2015年01月01日至2015年06月30日,,                 93294,                 93294,,,                  2947,                  1412,                   -326,                 -2417,                 -1200,                  1218,                -65211,                              0,                -63577,,,                 -1958,                    -43,                -14514,                -16946,                 19092,                    817,                  7354,                    112,                     64,                 -6022,,                     16,                 -3846,                -17625,                  6348,                  3403,                    -62,                -11766,                -17788,                -81365,                 11929,                  2429,                  1200,                 -4932,                 10626,,                              0,                 94792,,                   -583,                 -1780,                -10000,                   -694,,                 81735,,                              0,                   -307,                              0,,                   -308,                   -615,                   -515,                 91231,                576682,                667913,                667913,                              0,,,,,,,,,,,,
6136,2014年度,,                244024,                244024,,,                  5119,                  2955,                    659,                 -4307,               -129554,                  1227,                -76022,                    842,,,,                -73009,                    530,                 20722,                 -1938,                  6826,                 12962,                   -686,                   -198,                 10783,                -24008,,                   -128,                 -1826,                  3776,                 -9698,                -10304,,                -18609,                -42617,               -241698,                  2326,                  4487,                129554,                 -9582,                126785,,                 -1555,                104689,                 -5000,                 -2831,                 -3096,,                   -595,,                 91612,,                  3286,                   -621,                     88,               -265734,                   -388,               -263369,                  1956,                -43016,                619698,                576682,                576682,,,                              0,                              0,               -199081,                   -429,                              0,                              0,,,,,
6136,2014年01月01日至2014年09月30日,,                222743,                222743,,,                  3998,                  2256,                    693,                 -3153,               -128583,                    713,                -76191,                    842,               -199425,,,                -48009,                    429,                 17114,                 -2361,                 29836,                 13832,                -12512,                   -263,                  8548,                  6614,,                     85,                 -4320,                   -164,                  1210,                  4389,                     67,                  1267,                  7881,               -191544,                 31199,                  3381,                128583,                 -9487,                153676,,                 -1555,                104689,                 -5000,                 -1210,                 -2455,                              0,                   -472,                              0,                 93997,,                  3286,                   -262,                      8,               -265734,                   -770,               -263472,                    534,                -15265,                619698,                604433,                604433,,,,,,,,,,,,,
6136,2014年01月01日至2014年06月30日,,                 86800,                 86800,,,                  2752,                  1538,                   -981,                 -2365,                   -620,                    446,                -63535,                    842,                -61923,,,                -48820,                    164,                 10766,                 -5433,                 40258,                  1450,                  3635,                      8,                  8656,                 10684,,                    385,                 -9070,                    343,                   -417,                   -207,                     48,                 -8918,                  1766,                -60157,                 26643,                  2396,                    620,                 -6519,                 23140,,                 -1555,                 88105,,                 -1083,                 -1838,                              0,                              0,,                 78629,,                    490,                              0,                     -2,,                   -141,                    347,                   -156,                101960,                619698,                721658,                721658,                 -5000,,,,,,,,,,,,
6136,2014年01月01日至2014年03月31日,,                 19801,                 19801,,,                  1414,                    788,                   -569,                   -973,                    -20,                    170,                   -317,                    842,,,,                 -4683,                    295,                 23532,                 -1978,                 39074,                    922,                  6079,                    -32,                   -305,                 62904,,                    239,                 -7123,                 -4010,                 -1313,                     46,,                -12278,                 50626,                 51961,                 71762,                  1046,                     20,                   -134,                 72694,,                 -1555,,,                   -144,                   -757,,,,                 -2456,,,,                     12,,                    103,                    115,                    505,                 70858,                619698,                690556,                690556,,,,,                  1335,                   -117,,,,,,,
6136,2013年度,,                244275,                244275,,,                  6664,                  4905,                   -447,                 -4550,               -146151,                  1398,                -53465,                  5652,,,,                    132,                   -454,                 58071,                 -2211,                -29037,                -13135,                 -5489,                     85,                 19065,                 27027,,                 -1328,                 -9782,                 -9035,                  5958,                  4635,,                -10756,                 16271,               -169725,                 74550,                  4753,                146151,                 -6438,                219015,,                              0,                 82625,                              0,                 -1101,                 -3868,,                              0,,                 78072,,                              0,                              0,                      2,               -288841,                 -1442,               -290281,                    886,                  7692,                612006,                619698,                619698,,,                     -3,                      1,               -185996,                 -1204,                     -1,                    416,,,,,
6136,2013年01月01日至2013年12月31日,,                244275,                244275,,,                  6664,                  4905,                   -447,                 -4550,               -146151,                  1398,                -53465,                  5652,,,,                    132,                   -454,                 58071,                 -2211,                -29037,                -13135,                 -5489,                     85,                 19065,                 27027,,                 -1328,                 -9782,                 -9035,                  5958,                  4635,,                -10756,                 16271,               -169725,                 74550,                  4753,                146151,                 -6438,                219015,,,                 82625,                              0,                 -1101,                 -3868,,,,                 78072,,,,                      2,               -288841,                 -1442,               -290281,                    886,                  7692,                612006,                619698,                619698,,,                     -3,                      1,               -185996,                 -1204,                     -1,                    416,                              0,                              0,,                              0,                              0
6136,2013年01月01日至2013年09月30日,,                178982,                178982,,,                  5078,                  3944,                    383,                 -3512,               -146147,                  1368,                   -163,                  4155,,,,                   -890,                    116,                 49155,                 -2798,                  4637,                  1209,                -29390,                     86,                 29661,                 51786,,                 -1284,                 -4882,                -14636,                  1853,                 15560,,                 -3841,                 47945,                -86951,                 92031,                  3795,                146147,                 -6726,                235246,,                              0,                              0,                              0,                   -963,                 -3457,,                              0,,                 -4010,,                              0,                              0,                              0,               -288841,                 -1552,               -290393,                    620,                -58537,                612006,                553469,                553469,,,                     -3,                      1,               -134896,                   -452,                     -1,                    416,                              0,                     -6,,,
6136,2013年01月01日至2013年06月30日,,                 31268,                 31268,,,                  3401,                  2821,                    690,                 -2630,                              0,                    702,                    -53,                  2658,,,,                              0,                     42,                 46515,                     69,                    808,                  1881,                -28278,                     77,                 16320,                 37434,,                   -950,                -14718,                -11380,                  5963,                 14257,,                 -7131,                 30303,                 37886,                 69154,                  2843,                              0,                 -4501,                 67496,,                              0,                              0,,                   -905,                 -2804,,,,                 -3293,,                              0,,                      3,,                    494,                    497,                    963,                 65663,                612006,                677669,                677669,                              0,,                     -6,,                  7583,                   -303,,                    416,,                              0,                              0,                              0,
