證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 取得投資性不動產,　　 其他非流動資產增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債減少,　　 發放現金股利,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 應付短期票券減少,　　 短期借款減少,　　 其他非流動負債增加,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　 處分以成本衡量之金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 預付投資款增加,　　　　 呆帳費用提列（轉列收入）數,　　 取得無活絡市場之債券投資,　　 取得採用權益法之投資,　　 處分投資性不動產,　　 處分無活絡市場之債券投資,　　　　　 其他營業資產（增加）減少,　　　　　 其他營業負債增加（減少）,　　 處分子公司
2501,2015年01月01日至2015年09月30日,,              1935164,              1935164,,,                280817,                 11809,                141609,                 -8416,               -126914,                  9306,                 -5516,                 23685,                -92110,                234270,,,                 40494,                -52981,                113166,             -1662475,               -134940,                 15842,             -1680894,,                  6366,                              0,                235902,                -34557,                -44096,               -813766,                -17649,               -667800,             -2348694,             -2114424,               -179260,                  8588,               -119964,               -290636,,               -300000,                170385,                              0,               -257850,                 18324,                -21428,               -909179,               -443968,                126914,             -1616802,,              1163000,                218259,              3000000,                              0,               -476874,                 -2847,             -1656516,               -337110,                 41362,              1949274,                -68142,                -26306,              2998223,              2971917,              2971917,,,,,,,,,,,,,,,,,
2501,2015年01月01日至2015年06月30日,,              1960781,              1960781,,,                185920,                  7414,                 99172,                 -5843,                -14697,                  4259,                 -3399,                  3139,                -92110,                183855,,,                  7979,                -29647,                114807,               -618417,                -92049,                 20882,               -596445,,                  3029,                              0,                303648,                 47135,                -22251,             -1083505,                -13496,               -765440,             -1361885,             -1178030,                782751,                  5693,               -113158,                675286,,                              0,                170385,                              0,               -240558,                  7267,                 -7442,               -521413,               -175757,                 14697,               -752821,,              1227000,                              0,,                262561,,                 -4807,,               -213943,                 18467,                429466,                  7686,                359617,              2998223,              3357840,              3357840,               -859812,,,,,,,,,,,,,,,,
2501,2015年01月01日至2015年03月31日,,              1554620,              1554620,,,                 92864,                  3415,                 51709,                 -2003,                   -300,                   -455,                   -192,                  3140,                              0,                148178,,,                  7283,                 12135,                112960,               -356809,                -51658,                 10248,               -265841,,                   -108,                              0,                334571,                194137,                -23874,               -976595,                -13366,               -485235,               -751076,               -602898,                951722,                  1958,               -108237,                845443,,,                              0,,               -207857,                  1637,                 -5095,               -379364,               -109587,                    300,               -699966,,                537000,                              0,,                296599,,                -18265,,               -105416,,                377607,                  2182,                525266,              2998223,              3523489,              3523489,               -332311,                              0,                              0,,,,,,,,,,,,,,
2501,2014年度,,              3148457,              3148457,,,                364439,                 12236,                212428,                -20558,                -88762,                 -4785,                 -3883,                 83311,               -149076,,,,                -36243,                 49390,               -120010,             -6316236,               -114853,                 14269,             -6523683,,                 13433,               -108793,               -881273,                181718,                -71952,              1118582,                 17582,                269297,             -6254386,             -5849036,             -2700579,                 20348,               -297188,             -2977419,,             -1029682,                330765,                  1069,               -361153,                 11034,                -15335,               -561071,               -267964,                 88762,             -1803404,,                              0,              1630708,,              3773149,,,             -1656516,               -403113,                 46119,              3176605,                -27509,             -1631727,              4629950,              2998223,              2998223,                              0,               -167000,                -46742,,                              0,                405350,                    171,                              0,,,,,,,,,
2501,2014年01月01日至2014年09月30日,,                848688,                848688,,,                270694,                  9024,                154638,                -16092,                -88712,                -10799,                 -3077,                 56060,               -159480,                212256,,,                -24158,                -17648,                 -1745,             -5134045,               -102981,                 31029,             -5249548,,                 22477,               -108793,               -782610,                 -9318,                -97293,                834800,                 59677,                -81060,             -5330608,             -5118352,             -4269664,                 15807,               -212596,             -4466453,,             -1029682,                330765,                  1069,               -192641,                  6595,                -10697,               -339302,               -325750,                 88712,             -1470931,,                726000,              2070754,                              0,              3815989,                              0,                -27049,             -1656516,               -295921,                 15119,              4648376,                -11757,             -1300765,              4629950,              3329185,              3329185,,,,,,,,,,,,,,,,,
2501,2014年01月01日至2014年06月30日,,                365758,                365758,,,                179466,                  5946,                 93847,                -12154,                -86628,                 -9487,                 -2172,                 36452,                -21185,                184085,,,                 -3389,                 -4272,                -76961,             -2641647,                -91362,                 29649,             -2787982,,                 11228,                -46978,                 44054,                -24235,               -154946,                634071,                 -3499,                459695,             -2328287,             -2144202,             -1778444,                 12079,               -153435,             -1919800,,             -1029682,                 45067,                  1069,               -180542,                  3786,                 -9243,               -294280,               -332825,                 86628,             -1710022,,                496000,                878668,,              2070105,,                -25344,,               -187233,                 15026,              3247222,                -28823,               -411423,              4629950,              4218527,              4218527,                              0,,,,,,,,,,,,,,,,
2501,2014年01月01日至2014年03月31日,,               -120095,               -120095,,,                 88990,                  2961,                 45535,                 -5851,                   -275,                 -6349,                   -965,                  7839,                 -4269,                127616,,,                 -8832,                 19885,                  4985,               -946463,                -81492,                  2642,             -1009275,,                  4369,               -108793,               -100332,                177249,               -161830,                277525,                 25438,                113626,               -895649,               -768033,               -888128,                  5745,                   -125,               -882508,,,                  8509,,               -150261,                  1466,                 -9123,               -128636,             -1284318,                    275,             -1562088,,                              0,              1123099,,              1109121,,                              0,,                -90129,,              1911757,                -24180,               -557019,              4629950,              4072931,              4072931,                              0,               -234000,                  3666,,,,,,,,,,,,,,
2501,2013年度,,              1667350,              1667350,,,                320935,                 13866,                103463,                -25062,                -46562,                -11647,                 -2941,                  2461,               -162125,,,,                 15560,                 35704,                159551,             -1024975,                -43335,                 -7770,               -865265,,                -19165,               -152172,                127644,                 32497,                127561,              2259356,                 17924,              2393645,              1528380,              1692275,              3359625,                 25106,               -156493,              3228238,,               -207676,                321886,                              0,               -337499,                 10583,                -14957,               -318084,                -38366,                 46562,             -2793856,,                910000,                              0,,              1590032,,,             -1656516,               -253717,                480498,                673869,                 14349,              1122600,              3507350,              4629950,              4629950,               -472057,                              0,                 75629,,                -28493,                163895,                 26419,             -2282724,,,,,,,,,
2501,2013年01月01日至2013年12月31日,,              1667350,              1667350,,,                320545,                 13866,                103463,                -25062,                -46562,                -11647,                 -2941,,               -162125,,,,                 15560,                 35704,                159551,             -1024975,                -43335,                 -7770,               -865265,,                -19165,               -152172,                127644,                 32497,                127561,              2259356,                 17924,              2393645,              1528380,              1689424,              3356774,                 25106,               -156493,              3225387,,               -207676,                321886,                              0,               -337109,                 10583,                -14957,               -318084,                -34832,                 46562,             -2791005,,                910000,,,              1590032,,                              0,             -1656516,               -253717,                480497,                673868,                 14350,              1122600,              3507350,              4629950,              4629950,               -472057,,                 75629,,                -28493,                161044,                 26419,             -2282724,,                              0,                 -3534,                              0,                  2461,,,,
2501,2013年01月01日至2013年09月30日,,              1574107,              1574107,,,                237594,                  9743,                 66409,                -15942,                -46562,                 -8448,                 -3102,                              0,                -63752,,,,                 -6566,                 35177,                158673,                870066,                  4718,                -28864,              1033204,,                -14866,               -198130,                -57257,                 84137,                 76433,              1320529,                  6226,              1217072,              2250276,              2397723,              3971830,                 16219,               -145474,              3842575,,               -117107,                146502,                              0,               -210219,                  5947,                -11821,                -92613,               -124079,                 46562,             -2562273,,                              0,                              0,,              1283801,,                              0,             -1656516,               -174103,                453878,               -760191,                  2320,                522431,              3507350,              4029781,              4029781,               -509375,               -180000,                 22124,,                -28493,                147447,                 16740,             -2222185,,,,,,,,,
2501,2013年01月01日至2013年06月30日,,              1339940,              1339940,,,                155514,                  5881,                 43341,                 -6530,                 -3197,                 -6147,                 -3102,                              0,                  9678,,,,                 -3426,                111044,                113739,              1172721,                 21025,                 33520,              1448623,,                -14633,               -184050,                208713,                 18154,                -23663,                959085,                247701,              1211307,              2659930,              2826875,              4166815,                  6578,               -136123,              4037270,,                              0,                              0,                  8764,               -105524,                  5499,                 -4775,                -88885,               -164893,                  3197,             -1020864,,                              0,                              0,,                237937,,,,               -115708,                453878,             -1911623,                -10000,              1094783,              3507350,              4602133,              4602133,             -1000456,             -1500000,                 12726,,                -28493,                166945,,,               -674247,,,,,,,,
2501,2013年01月01日至2013年03月31日,,                380275,                380275,,,                 76666,                  2553,                 22188,                 -1900,                   -197,                 -2474,                    -45,                              0,                              0,,,,                -39713,                101047,                  4169,                -73826,                 -2099,                 29614,                 19192,,                 -5031,               -101600,                290586,                    414,                -39324,              1172125,                 18746,              1335916,              1355108,              1423406,              1803681,                  2342,                -21750,              1784273,,,                              0,,                -55824,                    762,                 -1950,                -86914,                -58420,                              0,               -202346,,,                              0,,                177705,,,,                -59505,,             -1404446,                 -6150,                171331,              3507350,              3678681,              3678681,               -922166,               -610000,                  9520,,                -28493,                 68298,,,,,,,,,,,
2501,2012年01月01日至2012年12月31日,,              1723032,              1723032,,,                213710,                  8617,                 24419,                -11435,                -31990,                -16870,                              0,,                     55,,,,                 -7003,                -72281,               -117933,             -1844469,                -71838,                451142,             -1662382,,                -13986,                260965,                744471,                 15088,                 23763,                981317,                -22149,              1989469,                327087,                516779,              2239811,                 11252,                -81291,              2169772,,                              0,                              0,                  7707,               -393576,                  4530,                 -7773,             -3885752,               -103771,                 31990,             -4371124,,              2160000,,,              4346357,,                 -8175,             -1656516,               -135690,                523875,              4591343,                 -4182,              2385809,              1121541,              3507350,              3507350,               -638508,,                              0,,                              0,                189692,                              0,                              0,,                  3186,                -24500,                 -2933,                  2954,,,,
