證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計
2539,2015年01月01日至2015年09月30日,,                723722,                723722,,,                  1444,                              0,                    -98,                              0,                   -329,                     23,                  1040,,,                 -3917,                              0,                 12726,                              0,             -1675752,                -25352,                    397,               -173436,             -1865334,,                  9576,                -30230,                              0,                -28752,                 -1297,                  9772,                   -720,                 -6945,                -48596,             -1913930,             -1912890,             -1189168,                    329,                              0,                -91895,             -1280734,,                -47215,                   -147,                              0,                -47362,,                147000,                              0,                250269,                              0,              1244970,               -128930,               -238638,              1274671,                -53425,                152085,                 98660,                 98660,                              0,,,
2539,2015年01月01日至2015年06月30日,,                736133,                736133,,,                    937,                              0,                    -62,                              0,                   -321,                      1,                    555,,,                    727,                              0,                  2184,                    -17,             -1422400,                  7020,                    787,                -36266,             -1447965,,                    622,                -39636,                              0,                  8834,                   -568,               -176262,                     90,                 -6746,               -213666,             -1661631,             -1661076,               -924943,                    321,                              0,                -67325,               -991947,,                   -117,,                      4,                   -113,,                 50000,                              0,                250761,                              0,                758450,               -128930,,                930281,                -61779,                152085,                 90306,                 90306,,,,
2539,2015年01月01日至2015年03月31日,,                  9624,                  9624,,,                    467,                              0,                    -11,                              0,                    -12,                      1,                    445,,,                 -7150,                              0,                  5669,,               -328443,                -24514,                  6452,                -68780,               -416766,,                 50637,                -57483,                              0,                 -9313,                   -260,                205445,                   -359,                  6533,                195200,               -221566,               -221121,               -211497,                     12,                              0,                   -260,               -211745,,,                   -552,                              0,                   -552,,                              0,,                 50875,                              0,                 90000,,,                140875,                -71422,                152085,                 80663,                 80663,,,,
2539,2014年度,,              1198617,              1198617,,,                  1872,                     33,                   -303,                    484,                   -852,                     34,,,,                 -2115,                     27,                272636,,             -1298759,                 13112,                  8342,                -28774,             -1035531,,                  4641,                -14427,                -74521,                -22561,                  1117,                -67343,                    550,                 -1787,               -174331,             -1209862,             -1208594,                 -9977,                    852,                   -484,               -116606,               -126215,,                              0,,                    915,                    915,,                 -6108,,                              0,               -230392,                758500,               -827830,                -56371,               -362201,               -487501,                639586,                152085,                152085,                              0,,                              0,                  1268
2539,2014年01月01日至2014年09月30日,,                949867,                949867,,,                  1403,                     33,                   -284,                    480,                   -483,                     30,                  1179,,,                 -1212,                     27,                241751,                    -17,               -636732,                 10281,                 11749,                -99610,               -473763,,                  8919,                -77213,                -74521,                 -1289,                  1036,               -171449,                    640,                    767,               -313110,               -786873,               -785694,                164173,                    483,                   -480,               -114638,                 49538,,                              0,                              0,                    443,                    443,,                              0,               -276100,                              0,               -236420,                723400,               -611630,                -56371,               -457121,               -407140,                639586,                232446,                232446,                              0,,,
2539,2014年01月01日至2014年06月30日,,                562234,                562234,,,                    935,                     25,                   -218,                    481,                   -452,                     13,                    784,,,                 -2416,                     27,                283978,                    -17,               -555053,                 -5317,                  8758,               -133246,               -403286,,                  2060,                -21142,                -74521,                 47119,                    836,               -114523,                  1300,                  6740,               -152131,               -555417,               -554633,                  7601,                    452,                   -481,                -70079,                -62507,,                              0,,                  1213,                  1213,,                              0,                -65000,                              0,               -327218,                723400,               -420000,,                -88818,               -150112,                639586,                489474,                489474,,,,
2539,2014年01月01日至2014年03月31日,,                 19488,                 19488,,,                    467,                     13,                   -116,                    262,                    -14,                      2,                    614,,,                -20465,                     27,                283811,,               -780965,                -23277,                  7736,                -84475,               -617608,,                 -3150,                -48471,                -74521,                -10063,                    -54,                 94524,                    300,                 23962,                -17473,               -635081,               -634467,               -614979,                     14,                   -262,                 -1023,               -616250,,,                              0,                  1015,                  1015,,                              0,,                              0,                -57641,                 90750,,,                 33109,               -582126,                639586,                 57460,                 57460,,,,
2539,2013年度,,              1072740,              1072740,,,                  2487,                    134,                   -923,                  1414,                   -680,                    416,,,,                  2245,                     82,               -276157,,               -991510,                 33042,                 11957,                 21536,             -1198805,,                 -1774,                 76347,                 33389,                 35033,                  1200,                 -6542,                    189,                 15638,                153480,             -1045325,             -1044563,                 28177,                    680,                 -1414,                -15659,                 11784,,                 -1805,,                    421,                 -1384,,                448708,,                436276,                              0,                715450,             -1027200,                -24834,                548400,                558800,                 80786,                639586,                639586,                              0,,                 -2086,                    762
2539,2013年01月01日至2013年12月31日,,              1057213,              1057213,,,                  2487,                    134,                   -923,                 49129,                   -680,                    416,,,,                  2245,                     82,               -276157,                              0,               -991775,                 33042,                 11957,                 21536,             -1199070,,                 -1774,                 76347,                 33389,                 35033,                  1200,                 -6542,                    189,                 15638,                153480,             -1045590,               -997113,                 60100,                    680,                -48864,                   -132,                 11784,,                 -1805,,                    421,                 -1384,,                448708,                              0,                436276,                              0,                715450,             -1027200,                -24834,                548400,                558800,                 80786,                639586,                639586,,,                 -2086,                 48477
2539,2013年01月01日至2013年09月30日,,                254738,                254738,,,                  2015,                     88,                 -1153,                    512,                   -322,                    411,,,,                   -504,                     68,                  5840,                              0,               -991540,                -27009,                  5813,               -414569,             -1421901,,                  2148,                -38724,                    431,                 -2866,                  1200,                310547,                    -70,                  6959,                279625,             -1142276,             -1140725,               -885987,                    322,                   -512,                 -4792,               -890969,,                 -1805,,                    516,                 -1289,,                448708,,                198013,,                575000,               -351500,                -24834,                845387,                -46871,                 80786,                 33915,                 33915,                              0,,,                  1551
