證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分無形資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債券投資,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 處分無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 現金增資,　　 員工執行認股權,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損迴轉利益,　　 以成本衡量之金融資產減資退回股款,　　 其他非流動負債增加,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　　 其他應收款－關係人（增加）減少,　　　　　 生物資產（增加）減少,　　 其他非流動負債減少,　　 其他非流動資產增加,　　 其他非流動資產減少
3665,2014年01月01日至2014年09月30日,,                598374,                598374,,,                105994,                 12366,                  1633,                 35267,                  6618,                 -9030,                  5310,                    544,                  3745,                    735,                      3,                              0,                  1398,                 -9711,                    328,                155200,,,                 12130,                  2673,                 91576,                   -859,                    697,               -189440,                -48044,                    -98,               -131365,,                   -846,                    140,                 88880,                 -9579,                  1457,                      8,                 80060,                -51305,                103895,                702269,                  9030,                 -5422,                -87595,                618282,,               -125428,                              0,                              0,                              0,               -413497,                  2114,                 -2484,                  3682,                 -8468,                     74,                 -4517,                  4499,                -17999,               -562024,,                 51838,                              0,                200000,                220900,                 -4253,                  1197,                              0,               -398984,                280500,                  6353,                 -5923,                351628,                -29367,                378519,                878970,              1257489,              1257489,,,,,,,,,
3665,2014年01月01日至2014年06月30日,,                357587,                357587,,,                 68702,                  8167,                  2418,                 42679,                  2888,                 -5186,                  2017,                    240,                  3141,                    735,                      3,,                  5022,                 10460,                    219,                141505,,,                 10529,                 -1657,                196535,                 -2991,                  7872,               -125871,                -28183,                    -98,                 56136,,,                    123,                 55489,                -69716,                 -3347,                      4,                -17447,                 38689,                180194,                537781,                  5186,                 -2844,                -52819,                487304,,               -141747,,,                              0,               -339442,                    207,                   -513,                  3500,                 -5470,                     74,                 -4517,                              0,                -22281,               -510189,,                156861,                              0,                              0,                220900,                 -1021,,,,,                  5617,,                383399,                -32603,                327911,                878970,              1206881,              1206881,                              0,                              0,                  1042,                              0,,,,,
3665,2014年01月01日至2014年03月31日,,                128196,                128196,,,                 34182,                  4054,                  1138,                 39397,                  1064,                 -2246,                    552,                     -3,                  2873,                    434,,,                              0,                 -3319,                    110,                 78234,,,                  8575,                 -4618,                220860,                   -149,,,                -21002,                    -98,                203050,,,                     23,               -135475,               -110987,                  5907,                      4,               -240528,                -37478,                 40756,                168952,                  2246,                 -1037,                -20368,                149793,,                -78069,,,,                -14809,                              0,                   -247,                  3222,                 -3425,,,                              0,                -11643,               -104971,,                 60507,                              0,,,                 -1021,,,,,                  1809,,                 61717,                   -851,                105688,                878970,                984658,                984658,                     -2,,                    422,,                  3964,                 -4482,                              0,,
3665,2013年01月01日至2013年12月31日,,                720567,                720567,,,                128563,                 12394,                  2106,                  4698,                  5235,                 -6925,                  3923,                   -438,                  4707,                              0,                  1599,                -15505,                  6207,                -13322,                    483,                133725,,,                 17784,                  7841,               -462947,                 -2646,                    518,               -132883,                 11738,                    -41,               -560636,,,,                120139,                102481,                 -1169,                    728,                222179,               -338457,               -204732,                515835,                  6925,                 -3798,               -144458,                374504,,               -159053,                -49343,                 21433,                 -2866,               -151299,                 15288,                 -3867,                    779,                -26294,,                -16377,                              0,                -22040,               -393639,,,                -22705,                              0,                 82057,                -84447,,,               -270855,,                 75684,,               -221381,                105139,               -135377,              1014347,                878970,                878970,,                              0,,                              0,,,                 -1115,,
3665,2013年01月01日至2013年09月30日,,                550627,                550627,,,                 95280,                  9085,                  1629,                 16648,                  4364,                 -4921,                  2940,                   -426,                  2292,                              0,                  1605,                -14921,                    462,                 31553,                    408,                145998,,,                  7887,                 14139,               -315926,                 -4040,                  6110,               -196695,                 -1644,                   -979,               -491148,,                              0,                              0,                178565,                 56936,                    166,                    -63,                235604,               -255544,               -109546,                441081,                  4921,                 -2927,               -109242,                333833,,               -120685,                -49343,                 19133,                 -2866,               -110832,                 13476,                    -90,                    918,                 -5745,                              0,                              0,                    107,                -14337,               -270264,,                              0,                -30085,                              0,                              0,                 -1389,                  2023,                 -3022,               -270855,                              0,                 53003,                              0,               -250325,                 34177,               -152579,              1014347,                861768,                861768,,,,,,,,,
3665,2013年01月01日至2013年06月30日,,                345518,                345518,,,                 63218,                  5990,                  1629,                 32893,                  3454,                 -3255,                  1400,                   -192,                  1451,                              0,                  1605,,                              0,                 12041,                    256,                114744,,,                  7950,                  6357,               -275902,                 -5378,                  6282,               -149947,                -22703,                 -2556,               -435897,,,                              0,                168281,                  7665,                 -4187,                    -42,                171717,               -264180,               -149436,                196082,                  3255,                 -2083,                -33987,                163267,,               -119366,,,                 -2866,                -57269,                 11218,                              0,                    918,                 -1719,                              0,                              0,                     81,                 -5794,               -174797,,                              0,                -61029,                              0,                              0,                   -381,,,,,                              0,,                -60917,                 43043,                -29404,              1014347,                984943,                984943,                 -5746,                              0,                    493,                              0,,,,,
3665,2013年01月01日至2013年03月31日,,                124792,                124792,,,                 31421,                  2982,                  1378,                 26505,                  1956,                 -1144,                  1087,                              0,                    314,                              0,,,                  7786,                 -2429,                    105,                 69961,,,                  7969,                 12692,                  5011,                              0,,,                 -2844,                   -963,                -66286,,,                              0,                 42673,                -45070,                 -2971,                    -21,                 -5389,                -71675,                 -1714,                123078,                  1144,                   -987,                -14882,                108353,,                -70924,,,,                -24660,                  7291,                   -101,                    874,                   -972,,,                     26,                              0,                -88466,,                              0,                -60641,,,                   -520,,,,,                              0,,                -62691,                 19395,                -23409,              1014347,                990938,                990938,                              0,,                              0,,                 -1673,                -86478,                 -1530,,
3665,2012年01月01日至2012年12月31日,,                368863,                368863,,,                117983,                  8878,                  1644,                  3169,                 10582,                 -4448,                 11674,                              0,                  4783,                    662,                              0,                              0,                 34963,                 10695,                    418,                201003,,,                 15533,                    751,               -124744,                              0,                  5067,                -24724,                -31516,                  1697,               -157936,,,,                 33808,                 37498,                  3454,                   -494,                 74266,                -83670,                117333,                486196,                  4448,                 -6873,                -78635,                405136,,                              0,                              0,                              0,                              0,               -156095,                  2466,                   -768,                 31572,                -30299,,                              0,                  7585,                -25413,               -166552,,,               -192838,                294503,                 82066,                -96111,,,               -125276,,                              0,,                -43723,                -30803,                164058,                850289,              1014347,              1014347,,                  4400,,                              0,,,                 -6067,,
3665,2012年01月01日至2012年09月30日,,                270412,                270412,,,                 88334,                  6656,                              0,                  9557,                  8121,                 -2090,                  5254,                              0,                  2243,                    588,                              0,                              0,                 22245,                 -4696,                    314,                136526,,,                  8614,                  8195,               -191750,                              0,                  7322,                -24164,                -86040,                  1329,               -276494,,,,                 -3827,                -13012,                  5365,                    -62,                -11536,               -288030,               -151504,                118908,                  2090,                 -5656,                -28938,                 86404,,                              0,                              0,                              0,                              0,               -109403,                 14464,,,                 -3842,,,                  7619,,                -87828,,,               -110980,                294503,,                -13581,,,               -130624,,                              0,,                 33553,                -27634,                  4495,                850289,                854784,                854784,,                  4383,,                              0,,,                 -5765,                 -1049,
3665,2012年01月01日至2012年06月30日,,                173552,                173552,,,                 55038,                  4613,                              0,                 10692,                  4240,                 -1399,                  4237,                              0,                  1389,                     24,                              0,,                 20863,                  3818,                    210,                103725,,,                  7604,                 14379,                -93923,                              0,                 25306,                -46648,                -28492,                 -4403,               -126177,,,,                 -7773,                 25175,                 13566,                    -62,                 30906,                -95271,                  8454,                182006,                  1399,                 -4240,                -27341,                151824,,                              0,,,                              0,                -69882,                  1555,,,                 -3672,,,                  7695,,                -84619,,,               -141755,                294503,,                -13084,,,,,,,                133698,                -32495,                168408,                850289,              1018697,              1018697,,                  4383,,                              0,,,                 -5966,,                -24698
