證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 預付設備款增加,　　 預付設備款減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分投資損失（利益）,　　　　 投資性不動產公允價值調整損失(利益),　　　　　 其他營業資產（增加）減少,　　　　　 其他營業負債增加（減少）,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 取得採用權益法之投資,　　 其他非流動資產減少,　　　　 處分採用權益法之投資損失（利益）,　　 處分採用權益法之投資,　　 其他籌資活動
1711,2015年01月01日至2015年09月30日,,                562477,                562477,,,                372166,                    836,                 14874,                  2583,                 39022,                 -3927,                -57278,                 17734,                -10065,                              0,                375945,,,                -17523,                -86475,                 63290,                  7160,                 27599,                 -5949,,                 27906,                 90182,                -39731,                -26899,                -20820,                 30638,                 24689,                400634,                963111,                  3534,                 57278,               -110300,                913623,,                              0,                              0,                              0,                              0,               -632607,                 33793,                              0,                  3703,                -32585,                -14607,                              0,               -642303,,              6900055,             -6968292,                  9986,                              0,                500000,               -180125,               -248414,                -42195,                -12570,                -41555,                 48119,                277884,                635857,                913741,                913741,,,,,,,,,,,,,,
1711,2015年01月01日至2015年06月30日,,                324779,                324779,,,                246149,                    621,                 12461,                  3979,                 25672,                 -2741,                   -617,                  9483,                -10338,,                284669,,,                -12079,               -187852,                 12244,,                   -608,               -148420,,                 48353,                 84347,,                -24923,                 -5158,                 62961,                -85459,                199210,                523989,                  2742,                    617,                -56024,                471324,,                              0,                              0,                              0,,               -440334,                 31555,                -11273,,                -25166,                              0,                 26233,               -418985,,                122896,,,                              0,                250000,               -180000,,                -26679,                 -8850,                157367,                -21484,                188222,                635857,                824079,                824079,                              0,                              0,                 39875,                -39658,,,,,,,,,,
1711,2015年01月01日至2015年03月31日,,                187992,                187992,,,                123233,                    394,                  2069,                  1324,                 12765,                   -947,,                  5120,                -10375,                              0,                133583,,,                 36010,               -134666,                 16698,                 22524,                 -3733,                -63167,,                 14298,                218713,                -75146,                -24893,                 -1903,                131069,                 67902,                201485,                389477,                    962,,                -11174,                379265,,                              0,                              0,                              0,,               -246665,                 30130,                   -237,,                -27051,                 23784,,               -220039,,               -112153,,,                              0,,,,                -14557,                 -8976,               -135686,                -12494,                 11046,                635857,                646903,                646903,,,,,,,,,,,,,,
1711,2014年度,,                748350,                748350,,,                436867,                  1655,                 -2250,                    -16,                 53610,                 -5246,                -45154,                    399,                  1202,                -11235,,,,                 16396,                -82993,               -342764,                 -6542,                 -1155,               -417058,,                -19856,               -149145,                  8153,                 21763,,               -162070,               -579128,               -146902,                601448,                  5255,                 45154,               -175698,                476159,,                 60037,               -209906,                 35935,                -48400,             -1050936,                  1906,                 -1160,,                              0,                              0,                  5503,             -1233088,,              1028305,                              0,,                 -4979,                 20923,               -240000,               -236584,                -52103,                  5411,                520973,                 26362,               -209594,                845451,                635857,                635857,,,,,,                  2394,                432226,                -22985,                              0,                -30000,                  3933,,,
1711,2014年01月01日至2014年09月30日,,                731039,                731039,,,                322242,                    727,                  4456,                  1393,                 40252,                 -4802,                -42130,                 -2352,                    425,                -11235,                308976,,,                  6873,               -178474,               -758909,                 20843,                 -7431,               -917098,,                 28803,                -37084,                -12423,                 13859,                -12543,                -19388,               -936486,               -627510,                103529,                  5000,                 42130,               -161090,                -10431,,                 60036,               -153649,                 35935,                -11400,               -755560,                  1659,                 -3971,                              0,                 -3948,                              0,                 15450,               -815448,,              1065837,                              0,                              0,                 -4987,                 20923,               -120000,               -236584,                -38674,                  3041,                689556,                  5093,               -131230,                845451,                714221,                714221,,,,,,,,,,,,,,
1711,2014年01月01日至2014年06月30日,,                560201,                560201,,,                209575,                    513,                  3499,                  3229,                 25821,                 -3193,                              0,                 -8361,                    580,,                220428,,,                 14203,               -307670,               -458743,,                 -3975,               -757915,,                  8019,                117011,,                 16137,                 -9306,                112159,               -645756,               -425328,                134873,                  3185,                              0,                -94446,                 43612,,                 60036,               -118368,                 35935,,               -456272,                    743,                 -3306,,                 -5925,                -34644,                              0,               -521801,,                546744,,,                 -4987,                              0,               -120000,,                -23788,                -16959,                381010,                 -7336,               -104515,                845451,                740936,                740936,                -11235,                              0,                 -1730,                -19702,,,,,,,,,,
1711,2014年01月01日至2014年03月31日,,                237908,                237908,,,                104374,                    230,                 -1679,                  5456,                 13078,                 -1612,,                 -8858,                    -37,                -11235,                 99717,,,                -24961,               -111687,               -314343,                 26579,                -39210,               -463622,,                -16255,                157967,                -74312,                 17361,                 -5478,                 79283,               -384339,               -284622,                -46714,                  1630,,                -14047,                -59131,,                 60036,                -27853,                 35935,,               -193805,                    317,                              0,,                 -4086,                  7170,,               -122286,,                178399,,,                 -4988,,,,                -11104,                 -4452,                157855,                  6042,                -17520,                845451,                827931,                827931,,,,,,,,,,,,,,
1711,2013年度,,                712005,                712005,,,                416711,                  2102,                 18073,                   -507,                 42409,                 -6096,                -40852,                 -2270,                    512,                 13342,,,,                -70339,               -235450,               -291748,                -13314,                 13931,               -596920,,                -87416,                 28891,                 51666,                 -3197,,                -26390,               -623310,               -161616,                550389,                  6111,                 40852,                -99566,                497786,,                470604,               -125088,                135020,                -24000,               -774756,                  3724,                   -102,,                 -5216,                -52300,                              0,               -832114,,                115995,                              0,,                 -5029,                500000,               -120000,               -225319,                -41689,                -12671,                211287,                 22367,               -100674,                946125,                845451,                845451,,,,,,                 18270,                461694,                -16334,               -460000,                              0,                              0,,,
1711,2013年01月01日至2013年12月31日,,                712005,                712005,,,                416711,                  2102,                 18073,                   -507,                 42409,                 -6096,                -40852,                 -2270,                    512,                 13342,,,,                -70339,               -235450,               -291748,                -13314,                 13931,               -596920,,                -87416,                 28891,                 51666,                 -3197,,                -26390,               -623310,               -161616,                550389,                  6111,                 40852,                -99566,                497786,,                470604,               -125088,                135020,                -24000,               -774756,                  3724,                   -102,                              0,                 -5216,                -52300,,               -832114,,                115995,                              0,,                 -5029,                500000,               -120000,               -225319,                -41689,                 -7466,                211287,                 22367,               -100674,                946125,                845451,                845451,,,,,,                 18270,                461694,                -16334,               -460000,,                              0,                              0,                              0,                 -5205
1711,2013年01月01日至2013年09月30日,,                537934,                537934,,,                312730,                  1331,                  2400,                    899,                 30351,                 -4354,                -41134,                 -3453,                   -398,                 15324,,,,                    336,               -211218,                -26097,                -28392,                 35059,               -230312,,                -80026,                 -7931,                -25917,                 17873,,               -106757,               -337069,                -23373,                514561,                  4354,                 41134,                -96524,                463525,,                350457,               -125086,                120464,                -24000,               -486888,                  2725,                              0,                    926,                 -2046,                -87030,,               -650478,,,                -30573,,                 -4993,                500000,                              0,               -225319,                -37226,                -12582,                189307,                 14970,                 17324,                946125,                963449,                963449,,,,,,,                313696,                -10756,               -400000,,                              0,,,
